,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,30,30,2021-02-19,32-342,GSW,@,ORL,L (-4),1,37:08,11,29,0.379,6,16,0.375,1,1,1.000,2,5,7,11,0,0,1,3,29,21.5,-7
,31,,2021-02-20,32-343,GSW,@,CHO,L (-2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
,32,31,2021-02-23,32-346,GSW,@,NYK,W (+8),1,36:42,9,22,0.409,7,14,0.500,12,12,1.000,0,6,6,6,2,0,2,1,37,30.8,19
,33,32,2021-02-24,32-347,GSW,@,IND,W (+4),1,35:56,7,21,0.333,1,11,0.091,9,10,0.900,1,7,8,8,2,0,4,2,24,17.3,7
,34,33,2021-02-26,32-349,GSW,,CHO,W (+9),1,35:53,8,15,0.533,3,8,0.375,10,10,1.000,0,4,4,9,1,0,4,1,29,25.8,23
,35,34,2021-02-28,32-351,GSW,@,LAL,L (-26),1,25:54,5,13,0.385,2,7,0.286,4,5,0.800,0,4,4,7,3,0,3,2,16,13.8,-24
,36,35,2021-03-03,32-354,GSW,@,POR,L (-2),1,36:17,13,28,0.464,5,14,0.357,4,5,0.800,1,6,7,5,3,0,4,1,35,24.8,-6
,37,,2021-03-04,32-355,GSW,@,PHO,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,38,36,2021-03-11,32-362,GSW,@,LAC,L (-26),1,26:40,6,16,0.375,1,8,0.125,1,2,0.500,0,4,4,3,2,1,2,1,14,8.4,-19
,39,37,2021-03-14,33-000,GSW,,UTA,W (+12),1,35:38,10,20,0.500,6,9,0.667,6,7,0.857,1,4,5,9,1,0,3,3,32,26.6,19
,40,38,2021-03-15,33-001,GSW,,LAL,L (-31),1,29:13,9,17,0.529,4,7,0.571,5,5,1.000,0,3,3,2,3,0,2,1,27,21.6,-12
,41,39,2021-03-17,33-003,GSW,@,HOU,W (+14),1,30:05,7,18,0.389,2,11,0.182,2,2,1.000,0,5,5,8,1,0,2,3,18,13.1,10
,42,,2021-03-19,33-005,GSW,@,MEM,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
,43,,2021-03-20,33-006,GSW,@,MEM,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
,44,,2021-03-23,33-009,GSW,,PHI,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,45,,2021-03-25,33-011,GSW,@,SAC,L (-22),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
,46,,2021-03-26,33-012,GSW,,ATL,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
,47,40,2021-03-29,33-015,GSW,,CHI,W (+14),1,30:17,11,24,0.458,6,14,0.429,4,5,0.800,1,4,5,6,1,0,1,0,32,25.3,16
,48,41,2021-04-01,33-018,GSW,@,MIA,L (-7),1,36:21,9,19,0.474,5,11,0.455,13,13,1.000,2,9,11,3,0,0,3,2,36,28.7,2
,49,,2021-04-02,33-019,GSW,@,TOR,L (-53),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
