,Player,FG-FGA,3P-3PA,FT-FTA,Off,Def,Tot,PF,TP,A,TO,Blk,Stl,Min,Date,Event
0,Kristian Gonzalez,0-1,0-1,0-0,0,1,1,3,0,1,1,0,0,2,04/08/2022,EYBL Session 1 (Orlando)
1,Yarell Greer,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/08/2022,EYBL Session 1 (Orlando)
2,Devon Malcolm,3-7,2-3,1-2,1,5,6,4,9,0,1,0,3,24,04/08/2022,EYBL Session 1 (Orlando)
3,Tyler Bey,3-5,0-2,2-2,4,2,6,3,8,0,0,1,0,18,04/08/2022,EYBL Session 1 (Orlando)
4,Jackson Shelstad,5-14,1-7,4-5,1,4,5,3,15,2,6,0,1,31,04/08/2022,EYBL Session 1 (Orlando)
5,Jacob Bannarbie,4-5,0-0,1-4,1,2,3,1,9,0,2,0,1,21,04/08/2022,EYBL Session 1 (Orlando)
6,Kosy Akametu,1-3,0-1,6-6,1,2,3,1,8,1,1,0,0,22,04/08/2022,EYBL Session 1 (Orlando)
7,Jimmy Oladokun,3-3,0-0,1-2,1,3,4,3,7,0,0,0,0,13,04/08/2022,EYBL Session 1 (Orlando)
8,Elhadji Seck,1-3,0-0,3-4,3,3,6,3,5,0,1,0,0,16,04/08/2022,EYBL Session 1 (Orlando)
9,Pasha Goodarzi,0-2,0-2,2-3,0,0,0,0,2,0,1,0,0,5,04/08/2022,EYBL Session 1 (Orlando)
10,Chris White,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,1,04/08/2022,EYBL Session 1 (Orlando)
11,Dimitrius Dudley,0-3,0-2,0-2,0,0,0,0,0,0,4,0,0,11,04/08/2022,EYBL Session 1 (Orlando)
12,Jayden Reid,2-7,0-1,4-8,1,5,6,2,8,2,4,0,1,23,04/08/2022,EYBL Session 1 (Orlando)
13,Kenneth Fields,0-0,0-0,2-2,0,0,0,0,2,0,0,0,0,1,04/08/2022,EYBL Session 1 (Orlando)
14,Diovion Famakinde,4-9,0-1,5-7,3,2,5,4,13,1,2,0,3,19,04/08/2022,EYBL Session 1 (Orlando)
15,Devin Vanterpool,4-11,0-7,0-0,0,4,4,3,8,3,0,1,2,26,04/08/2022,EYBL Session 1 (Orlando)
16,Spencer Mahoney,3-8,3-8,2-6,2,0,2,3,11,0,0,0,2,22,04/08/2022,EYBL Session 1 (Orlando)
17,Jaxon Koroll,1-2,0-0,0-0,2,2,4,4,2,1,2,2,0,18,04/08/2022,EYBL Session 1 (Orlando)
18,DeAndre Williams,0-1,0-0,1-2,1,1,2,3,1,1,0,1,0,7,04/08/2022,EYBL Session 1 (Orlando)
19,Lucius Gibson-,2-2,0-0,0-0,0,1,1,1,4,0,0,0,0,7,04/08/2022,EYBL Session 1 (Orlando)
20,Mouhamed Dioubate,0-2,0-0,1-4,1,2,3,1,1,0,0,0,2,11,04/08/2022,EYBL Session 1 (Orlando)
21,Brandon Williams,6-12,0-2,7-8,1,2,3,1,19,0,0,0,3,30,04/08/2022,EYBL Session 1 (Orlando)
0,Daniel Macgregor,1-2,0-1,2-4,2,4,6,3,4,7,1,1,3,20,04/08/2022,EYBL Session 1 (Orlando)
1,Kellan Lewis,0-1,0-1,0-0,0,0,0,0,0,1,1,0,0,3,04/08/2022,EYBL Session 1 (Orlando)
2,Julian Clarke,0-1,0-1,0-0,0,0,0,1,0,5,2,0,1,9,04/08/2022,EYBL Session 1 (Orlando)
3,Karter Knox,10-16,3-7,6-8,3,6,9,2,29,1,2,0,1,29,04/08/2022,EYBL Session 1 (Orlando)
4,Dylan Burrowes,1-1,0-0,0-0,0,0,0,1,2,0,0,0,0,0,04/08/2022,EYBL Session 1 (Orlando)
5,Jamie Phillips,1-3,0-1,0-0,0,0,0,1,2,4,0,0,2,13,04/08/2022,EYBL Session 1 (Orlando)
6,Isaac Celiscar,2-3,0-0,2-2,2,0,2,1,6,1,0,0,0,18,04/08/2022,EYBL Session 1 (Orlando)
7,QuinDarius Rumph,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/08/2022,EYBL Session 1 (Orlando)
8,Marcus Allen,9-16,0-3,5-6,1,1,2,1,23,4,2,2,3,23,04/08/2022,EYBL Session 1 (Orlando)
9,Elijah Elliott,2-6,1-1,0-0,1,1,2,1,5,2,1,0,1,18,04/08/2022,EYBL Session 1 (Orlando)
10,Tyler Johnson,5-10,0-2,0-0,3,2,5,2,10,4,0,2,3,24,04/08/2022,EYBL Session 1 (Orlando)
11,Player 1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/08/2022,EYBL Session 1 (Orlando)
12,Christopher McDermott,4-5,0-0,1-2,3,2,5,2,9,1,0,0,0,20,04/08/2022,EYBL Session 1 (Orlando)
13,Jerrell Barron,0-1,0-1,0-0,1,0,1,2,0,1,0,0,0,13,04/08/2022,EYBL Session 1 (Orlando)
14,Aaron Powell,3-7,0-2,0-0,0,0,0,2,6,0,4,0,0,14,04/08/2022,EYBL Session 1 (Orlando)
15,Isaiah Brooks,1-1,0-0,0-0,1,1,2,1,2,0,1,0,0,6,04/08/2022,EYBL Session 1 (Orlando)
16,Jakeel Registe,3-3,0-0,1-1,1,0,1,4,7,0,5,0,0,16,04/08/2022,EYBL Session 1 (Orlando)
17,Kayde Dotson,4-10,2-7,0-0,0,2,2,1,10,2,2,0,0,21,04/08/2022,EYBL Session 1 (Orlando)
18,Jeremiah Evans,2-2,1-1,2-2,0,2,2,3,7,0,0,0,0,13,04/08/2022,EYBL Session 1 (Orlando)
19,C. Payia,1-3,0-2,0-0,0,2,2,0,2,1,0,0,2,16,04/08/2022,EYBL Session 1 (Orlando)
20,Ashton Simmons,2-3,0-1,2-4,0,2,2,4,6,4,2,0,0,18,04/08/2022,EYBL Session 1 (Orlando)
21,Mercy Miller,4-12,1-5,7-8,1,2,3,2,16,2,4,2,3,24,04/08/2022,EYBL Session 1 (Orlando)
0,Kristian Gonzalez,2-5,0-2,1-2,0,1,1,2,5,1,0,0,0,16,04/10/2022,EYBL Session 1 (Orlando)
1,Yarell Greer,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,3,04/10/2022,EYBL Session 1 (Orlando)
2,Devon Malcolm,4-9,2-3,1-1,2,1,3,2,11,1,1,0,1,23,04/10/2022,EYBL Session 1 (Orlando)
3,Tyler Bey,0-1,0-0,0-0,0,1,1,0,0,0,1,0,0,2,04/10/2022,EYBL Session 1 (Orlando)
4,Jackson Shelstad,4-10,3-8,3-4,0,1,1,0,14,2,5,0,1,33,04/10/2022,EYBL Session 1 (Orlando)
5,Jacob Bannarbie,2-3,0-0,2-2,2,3,5,3,6,0,4,0,0,20,04/10/2022,EYBL Session 1 (Orlando)
6,Kosy Akametu,4-6,0-0,2-4,4,6,10,3,10,0,1,0,1,25,04/10/2022,EYBL Session 1 (Orlando)
7,Jimmy Oladokun,1-4,0-0,0-0,3,4,7,0,2,0,1,1,0,16,04/10/2022,EYBL Session 1 (Orlando)
8,Elhadji Seck,0-5,0-0,1-2,3,3,6,0,1,0,0,0,0,17,04/10/2022,EYBL Session 1 (Orlando)
9,Pasha Goodarzi,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/10/2022,EYBL Session 1 (Orlando)
10,Chris White,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/10/2022,EYBL Session 1 (Orlando)
11,Dimitrius Dudley,2-3,0-0,0-0,1,2,3,5,4,1,3,0,0,17,04/10/2022,EYBL Session 1 (Orlando)
