,Player,FG-FGA,3P-3PA,FT-FTA,Off,Def,Tot,PF,TP,A,TO,Blk,Stl,Min,Date,Event
8,Brandon Holmes,2-5,0-0,2-2,0,3,3,3,6,1,0,0,0,14,04/22/2023,E16 Session 1 (Atlanta)
9,William Scott,0-0,0-0,1-2,0,1,1,2,1,0,2,0,0,7,04/22/2023,E16 Session 1 (Atlanta)
10,Jayden Kelsey,0-2,0-1,0-0,2,3,5,0,0,0,0,0,0,15,04/22/2023,E16 Session 1 (Atlanta)
11,Caleb Thomas,5-7,1-3,0-0,0,2,2,1,11,0,2,0,1,19,04/22/2023,E16 Session 1 (Atlanta)
12,Eric Chatfield,1-9,0-3,0-1,1,1,2,3,2,1,0,0,0,18,04/22/2023,E16 Session 1 (Atlanta)
13,Zion Sampaio,0-1,0-1,0-0,0,1,1,0,0,0,0,0,0,6,04/22/2023,E16 Session 1 (Atlanta)
14,Abijah Franklin,5-10,0-1,6-6,0,0,0,0,16,1,1,0,1,16,04/22/2023,E16 Session 1 (Atlanta)
15,Isaiah Denis,2-6,0-4,2-2,1,2,3,2,6,1,0,0,0,16,04/22/2023,E16 Session 1 (Atlanta)
16,Juan Arche,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,3,04/22/2023,E16 Session 1 (Atlanta)
17,Jacob Wilkins,5-16,0-7,4-4,2,0,2,0,14,1,0,0,2,26,04/22/2023,E16 Session 1 (Atlanta)
18,Amare James,1-3,0-1,0-0,0,0,0,1,2,0,0,0,0,14,04/22/2023,E16 Session 1 (Atlanta)
19,Chandler Bing,2-6,0-1,0-2,3,2,5,2,4,0,0,0,0,21,04/22/2023,E16 Session 1 (Atlanta)
20,Eddie Cooke,0-3,0-2,4-5,2,0,2,0,4,0,1,0,0,10,04/22/2023,E16 Session 1 (Atlanta)
21,Joshua Jordan,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/22/2023,E16 Session 1 (Atlanta)
22,Austin Mosby-Weems,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,4,04/22/2023,E16 Session 1 (Atlanta)
23,Zakariyya Dwight,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,3,04/22/2023,E16 Session 1 (Atlanta)
0,Tristan Beckford,4-7,1-3,3-4,0,2,2,3,12,1,0,0,0,20,04/21/2023,E16 Session 1 (Atlanta)
1,Char Yeiy,1-3,0-0,4-5,0,2,2,5,6,0,1,1,0,15,04/21/2023,E16 Session 1 (Atlanta)
2,Darius McGlashen,3-7,0-1,1-2,1,1,2,0,7,2,2,0,0,25,04/21/2023,E16 Session 1 (Atlanta)
3,Imisi-oluwa Motunde,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,2,04/21/2023,E16 Session 1 (Atlanta)
4,Arafan Diane,2-3,0-0,0-0,5,3,8,1,4,0,1,0,0,14,04/21/2023,E16 Session 1 (Atlanta)
5,Onyx Nnani,4-5,1-2,0-0,0,1,1,3,9,3,2,0,0,22,04/21/2023,E16 Session 1 (Atlanta)
6,Saad Chaudhry,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/21/2023,E16 Session 1 (Atlanta)
7,Nishaan Singh,0-0,0-0,0-0,0,0,0,1,0,1,0,0,0,3,04/21/2023,E16 Session 1 (Atlanta)
8,Bashir Djeukam,0-1,0-0,4-5,0,0,0,2,4,1,5,0,0,14,04/21/2023,E16 Session 1 (Atlanta)
9,William Riley,6-9,1-3,6-7,0,3,3,3,19,5,4,0,0,28,04/21/2023,E16 Session 1 (Atlanta)
10,Xavier McLean,4-7,0-2,1-1,3,4,7,2,9,0,2,0,0,17,04/21/2023,E16 Session 1 (Atlanta)
11,Zyree Collins,1-5,0-1,5-5,0,0,0,4,7,3,3,0,0,23,04/21/2023,E16 Session 1 (Atlanta)
12,Jayden Johnson,2-8,2-5,1-2,0,0,0,1,7,1,0,0,0,17,04/21/2023,E16 Session 1 (Atlanta)
13,Vincas Buzelis,1-3,0-1,3-3,0,1,1,1,5,0,0,0,2,16,04/21/2023,E16 Session 1 (Atlanta)
14,Jai Hayes,4-10,1-2,2-2,3,2,5,2,11,0,4,0,0,26,04/21/2023,E16 Session 1 (Atlanta)
15,Nicholas Randall,5-7,1-1,1-2,2,4,6,5,12,0,1,0,0,17,04/21/2023,E16 Session 1 (Atlanta)
16,Ezequias Walker,0-0,0-0,4-5,0,4,4,1,4,3,1,0,1,24,04/21/2023,E16 Session 1 (Atlanta)
17,Benjamin Winker,3-6,0-1,0-1,2,0,2,2,6,0,0,0,0,11,04/21/2023,E16 Session 1 (Atlanta)
18,Clayton Parker,1-3,0-1,2-2,2,1,3,1,4,1,1,0,0,9,04/21/2023,E16 Session 1 (Atlanta)
19,Luke Walsh,2-7,2-7,2-2,0,0,0,2,8,0,1,0,0,18,04/21/2023,E16 Session 1 (Atlanta)
0,Jalen Rougier-Roane,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/23/2023,E16 Session 1 (Atlanta)
1,Jamari Jenkins,1-2,1-2,0-0,0,2,2,2,3,5,0,0,0,16,04/23/2023,E16 Session 1 (Atlanta)
2,Quincy Wadley,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/23/2023,E16 Session 1 (Atlanta)
3,Adlan Elamin,5-7,5-5,3-3,1,3,4,1,18,3,1,2,1,28,04/23/2023,E16 Session 1 (Atlanta)
4,Jaquan Womack,3-5,1-2,6-8,2,6,8,2,13,3,1,0,0,31,04/23/2023,E16 Session 1 (Atlanta)
5,Wyatt Norton,0-0,0-0,0-0,0,2,2,1,0,1,0,0,0,9,04/23/2023,E16 Session 1 (Atlanta)
6,Jordan Smith,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/23/2023,E16 Session 1 (Atlanta)
7,Christian Gurdak,6-7,0-0,3-9,3,5,8,4,15,1,3,2,1,23,04/23/2023,E16 Session 1 (Atlanta)
8,Derek Dixon,5-13,2-6,2-2,0,2,2,0,14,5,1,0,2,32,04/23/2023,E16 Session 1 (Atlanta)
9,Timothy Walker,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/23/2023,E16 Session 1 (Atlanta)
10,Austin Williford,4-8,1-3,0-0,2,2,4,2,9,2,1,0,0,21,04/23/2023,E16 Session 1 (Atlanta)
11,Darius Adams,6-16,3-9,2-2,3,3,6,1,17,2,2,0,1,31,04/23/2023,E16 Session 1 (Atlanta)
12,Zoumana Traore,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/23/2023,E16 Session 1 (Atlanta)
13,Josiah Wright,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,3,04/23/2023,E16 Session 1 (Atlanta)
14,Harvin Guevara,1-1,0-0,0-0,2,0,2,0,2,0,0,0,0,5,04/23/2023,E16 Session 1 (Atlanta)
15,Omari Moore,4-6,1-2,7-7,0,1,1,2,16,0,0,1,0,18,04/23/2023,E16 Session 1 (Atlanta)
16,Jayden Reid,0-1,0-1,0-0,1,1,2,1,0,0,0,0,0,9,04/23/2023,E16 Session 1 (Atlanta)
17,Quadri Bashiru,1-2,1-1,0-0,0,2,2,3,3,0,0,0,0,22,04/23/2023,E16 Session 1 (Atlanta)
18,Danny Carbuccia,2-10,2-4,0-0,2,5,7,2,6,3,2,0,1,25,04/23/2023,E16 Session 1 (Atlanta)
19,Kayden Mingo,5-12,0-3,2-2,3,4,7,2,12,1,2,0,0,29,04/23/2023,E16 Session 1 (Atlanta)
20,Keith McKnight,0-6,0-3,1-2,1,1,2,0,1,2,0,0,0,16,04/23/2023,E16 Session 1 (Atlanta)
0,Donovan Williams,2-4,1-1,0-1,0,4,4,2,5,1,0,1,1,19,04/23/2023,E16 Session 1 (Atlanta)
1,Jamier Jones,4-8,0-2,2-5,0,3,3,2,10,1,3,0,0,24,04/23/2023,E16 Session 1 (Atlanta)
2,DeWayne Brown,4-4,0-0,3-4,1,4,5,3,11,2,2,1,0,20,04/23/2023,E16 Session 1 (Atlanta)
3,Jalen Reece,5-6,2-2,0-0,1,2,3,1,12,5,2,0,1,26,04/23/2023,E16 Session 1 (Atlanta)
4,Amari Davis,1-2,1-2,0-0,0,2,2,1,3,0,0,0,0,10,04/23/2023,E16 Session 1 (Atlanta)
5,Isaiah Campbell-Finch,4-5,1-1,1-2,0,2,2,0,10,0,1,0,2,20,04/23/2023,E16 Session 1 (Atlanta)
6,Bryce heard,7-10,0-1,4-7,0,3,3,1,18,1,1,2,0,27,04/23/2023,E16 Session 1 (Atlanta)
7,Joshua Lewis,4-6,1-2,0-0,0,1,1,4,9,0,0,0,0,14,04/23/2023,E16 Session 1 (Atlanta)
8,Landon Clark,3-7,1-5,0-0,4,0,4,2,7,3,0,0,0,24,04/23/2023,E16 Session 1 (Atlanta)
9,Leo McNabb,0-2,0-1,0-0,1,1,2,0,0,1,0,0,0,8,04/23/2023,E16 Session 1 (Atlanta)
10,Dawson Townsend,2-4,2-4,0-0,0,2,2,1,6,0,0,0,0,15,04/23/2023,E16 Session 1 (Atlanta)
11,Ace Flagg,1-8,0-2,4-4,0,1,1,3,6,2,1,0,3,22,04/23/2023,E16 Session 1 (Atlanta)
12,Kaden Bedard,5-10,2-6,0-0,3,4,7,3,12,3,0,0,1,27,04/23/2023,E16 Session 1 (Atlanta)
13,Sammy Nzeyimana,1-2,1-1,2-2,0,0,0,1,5,0,2,0,0,14,04/23/2023,E16 Session 1 (Atlanta)
14,Gabriel Lash,0-1,0-1,1-2,0,1,1,0,1,0,0,0,0,11,04/23/2023,E16 Session 1 (Atlanta)
15,Cooper Flagg,6-13,2-5,3-3,0,6,6,3,17,3,2,1,1,24,04/23/2023,E16 Session 1 (Atlanta)
16,Teigan Pelletier,0-4,0-3,0-0,2,2,4,2,0,1,1,0,0,13,04/23/2023,E16 Session 1 (Atlanta)
0,Jacoby Hill,1-2,0-1,1-1,1,0,1,1,3,0,2,0,0,7,04/23/2023,E16 Session 1 (Atlanta)
1,Bryce Dawson,1-3,1-3,0-0,0,1,1,1,3,0,0,0,0,13,04/23/2023,E16 Session 1 (Atlanta)
2,Robert Simpson,3-6,0-2,0-0,2,0,2,1,6,1,0,0,0,14,04/23/2023,E16 Session 1 (Atlanta)
3,Dakarion Bryant,2-7,1-4,1-2,1,1,2,2,6,1,0,0,0,15,04/23/2023,E16 Session 1 (Atlanta)
4,Patrick Johnson,0-2,0-0,0-2,1,1,2,1,0,0,1,0,0,15,04/23/2023,E16 Session 1 (Atlanta)
5,Rashad Bryant,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,3,04/23/2023,E16 Session 1 (Atlanta)
6,Peyton Wiggins,4-12,1-4,0-0,1,2,3,0,9,1,1,0,0,29,04/23/2023,E16 Session 1 (Atlanta)
7,Charles Lindsey,4-6,2-4,3-3,0,2,2,1,13,1,0,0,0,14,04/23/2023,E16 Session 1 (Atlanta)
8,Jacobe Whitted,2-3,1-2,1-2,2,1,3,0,6,1,0,0,0,22,04/23/2023,E16 Session 1 (Atlanta)
9,Jeremiah Wilson,7-18,0-8,0-0,1,3,4,1,14,6,1,0,1,29,04/23/2023,E16 Session 1 (Atlanta)
10,Donovan Williams,4-8,1-3,0-0,0,2,2,1,9,3,0,0,2,11,04/23/2023,E16 Session 1 (Atlanta)
11,Jamier Jones,8-10,0-1,3-4,1,3,4,2,19,4,0,0,0,23,04/23/2023,E16 Session 1 (Atlanta)
12,DeWayne Brown,2-3,0-0,0-0,1,2,3,0,4,1,0,0,0,18,04/23/2023,E16 Session 1 (Atlanta)
13,Jalen Reece,6-9,2-3,0-0,0,3,3,1,14,6,1,0,1,23,04/23/2023,E16 Session 1 (Atlanta)
14,Amari Davis,1-3,1-2,0-0,0,1,1,1,3,0,0,0,0,14,04/23/2023,E16 Session 1 (Atlanta)
15,Isaiah Campbell-Finch,6-7,4-4,0-0,0,2,2,1,16,4,0,0,0,20,04/23/2023,E16 Session 1 (Atlanta)
16,Bryce heard,6-10,3-6,0-0,2,2,4,1,15,2,0,0,1,24,04/23/2023,E16 Session 1 (Atlanta)
17,Joshua Lewis,7-9,3-5,8-8,0,6,6,1,25,3,1,0,0,26,04/23/2023,E16 Session 1 (Atlanta)
0,Caleb Thomas,0-3,0-1,2-2,0,0,0,0,2,0,1,0,0,14,04/22/2023,E16 Session 1 (Atlanta)
1,Eric Chatfield,1-3,0-1,2-4,0,0,0,0,4,2,1,0,2,14,04/22/2023,E16 Session 1 (Atlanta)
2,Zion Sampaio,4-8,2-3,2-2,0,1,1,1,12,0,0,0,0,15,04/22/2023,E16 Session 1 (Atlanta)
3,Abijah Franklin,3-5,1-1,3-4,1,0,1,0,10,0,0,0,2,11,04/22/2023,E16 Session 1 (Atlanta)
4,Isaiah Denis,1-4,1-1,0-0,0,0,0,2,3,1,1,0,0,17,04/22/2023,E16 Session 1 (Atlanta)
5,Jacob Wilkins,2-3,1-1,4-4,0,1,1,0,9,0,0,0,1,16,04/22/2023,E16 Session 1 (Atlanta)
6,Amare James,0-2,0-1,5-6,0,1,1,0,5,1,1,0,0,9,04/22/2023,E16 Session 1 (Atlanta)
7,Chandler Bing,5-7,0-0,3-4,3,2,5,1,13,2,0,0,1,17,04/22/2023,E16 Session 1 (Atlanta)
8,Eddie Cooke,1-4,1-2,0-0,0,1,1,3,3,0,0,0,0,13,04/22/2023,E16 Session 1 (Atlanta)
9,Juan Arche,1-3,0-2,0-0,2,1,3,3,2,0,0,1,0,9,04/22/2023,E16 Session 1 (Atlanta)
10,Austin Mosby-Weems,0-1,0-0,0-0,0,3,3,0,0,3,0,0,0,13,04/22/2023,E16 Session 1 (Atlanta)
11,Zakariyya Dwight,2-2,0-0,0-0,1,1,2,0,4,1,0,1,0,12,04/22/2023,E16 Session 1 (Atlanta)
12,Joshua Jordan,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/22/2023,E16 Session 1 (Atlanta)
13,Sharod Barnes,2-3,0-0,0-0,0,0,0,0,4,4,1,0,1,13,04/22/2023,E16 Session 1 (Atlanta)
14,Leroy Blyden,8-8,3-3,0-0,0,1,1,2,19,1,0,0,1,10,04/22/2023,E16 Session 1 (Atlanta)
15,Jayce Branson,6-8,0-0,4-6,2,0,2,3,16,2,1,0,0,17,04/22/2023,E16 Session 1 (Atlanta)
16,Zachariah Scherler,3-3,0-0,2-2,1,2,3,1,8,3,0,1,0,19,04/22/2023,E16 Session 1 (Atlanta)
17,Geon Hutchins,5-8,0-0,4-4,1,2,3,0,14,2,0,0,0,15,04/22/2023,E16 Session 1 (Atlanta)
18,Macari Moore,6-8,1-2,0-0,1,2,3,1,13,3,1,0,0,16,04/22/2023,E16 Session 1 (Atlanta)
19,Dominic Krzesowiak,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/22/2023,E16 Session 1 (Atlanta)
20,Christopher McLavish,1-4,1-3,0-0,0,2,2,4,3,1,1,0,0,14,04/22/2023,E16 Session 1 (Atlanta)
21,Sebastian Randolph,2-2,0-0,0-0,0,1,1,1,4,0,1,0,0,7,04/22/2023,E16 Session 1 (Atlanta)
22,Lance Stone,0-3,0-1,0-0,0,3,3,0,0,2,0,0,0,13,04/22/2023,E16 Session 1 (Atlanta)
23,Cameron Hutson,2-3,1-2,1-1,0,3,3,4,6,2,1,0,0,15,04/22/2023,E16 Session 1 (Atlanta)
24,Xavier Johnson,4-9,0-1,0-0,2,4,6,2,8,5,1,0,0,18,04/22/2023,E16 Session 1 (Atlanta)
0,Zion Collins,5-9,1-3,0-0,0,2,2,5,11,1,2,0,0,17,04/22/2023,E16 Session 1 (Atlanta)
1,Hayden Assemian,5-6,0-0,0-0,0,6,6,3,10,1,1,1,0,18,04/22/2023,E16 Session 1 (Atlanta)
2,John Lash,3-3,0-0,0-0,1,0,1,1,6,0,1,0,2,18,04/22/2023,E16 Session 1 (Atlanta)
3,Myles Sidney,0-2,0-0,2-2,0,0,0,0,2,0,1,0,0,13,04/22/2023,E16 Session 1 (Atlanta)
4,Zacch Wiggins,3-5,1-2,2-2,0,2,2,0,9,1,0,0,0,20,04/22/2023,E16 Session 1 (Atlanta)
5,Jaylen Cross,5-8,1-2,1-2,1,3,4,0,12,1,1,0,1,22,04/22/2023,E16 Session 1 (Atlanta)
6,Kaden Hammond,0-1,0-1,4-4,0,2,2,0,4,0,1,1,1,13,04/22/2023,E16 Session 1 (Atlanta)
7,Nathaniel Williams,2-7,0-3,1-1,1,2,3,1,5,3,1,0,1,17,04/22/2023,E16 Session 1 (Atlanta)
8,Isaiah Henry,7-12,1-3,2-2,2,6,8,0,17,0,1,1,2,22,04/22/2023,E16 Session 1 (Atlanta)
9,Jaleel Donley,4-14,1-4,0-0,0,2,2,0,9,4,1,1,1,27,04/22/2023,E16 Session 1 (Atlanta)
10,Brady Wooley,0-2,0-1,1-2,0,0,0,1,1,1,0,0,0,6,04/22/2023,E16 Session 1 (Atlanta)
11,Chace Watley,1-3,0-0,3-3,0,1,1,1,5,1,0,0,2,14,04/22/2023,E16 Session 1 (Atlanta)
12,Thomas Ahneman,0-2,0-1,1-2,1,2,3,0,1,1,0,0,0,13,04/22/2023,E16 Session 1 (Atlanta)
13,Max Kraay,1-1,0-0,0-0,0,2,2,1,2,1,1,0,1,9,04/22/2023,E16 Session 1 (Atlanta)
14,Mason Klabo,3-8,2-3,0-2,1,2,3,2,8,1,2,0,0,23,04/22/2023,E16 Session 1 (Atlanta)
15,Tyler Wagner,4-8,4-7,0-0,0,2,2,2,12,0,1,0,0,23,04/22/2023,E16 Session 1 (Atlanta)
16,Abu Keita,3-4,0-1,1-2,0,3,3,1,7,0,1,0,0,15,04/22/2023,E16 Session 1 (Atlanta)
17,Jalen Wilson,8-12,0-0,1-1,1,1,2,4,17,1,1,0,1,25,04/22/2023,E16 Session 1 (Atlanta)
18,Miles Newton,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,5,04/22/2023,E16 Session 1 (Atlanta)
0,Zion Collins,3-10,1-3,1-2,3,0,3,3,8,0,3,0,0,19,04/23/2023,E16 Session 1 (Atlanta)
1,Myles Sidney,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/23/2023,E16 Session 1 (Atlanta)
2,John Lash,3-9,0-0,0-0,2,6,8,0,6,1,3,0,0,18,04/23/2023,E16 Session 1 (Atlanta)
3,Hayden Assemian,3-8,0-1,0-0,2,2,4,1,6,2,0,2,0,21,04/23/2023,E16 Session 1 (Atlanta)
4,Zacch Wiggins,0-1,0-0,0-0,0,3,3,2,0,4,2,0,0,18,04/23/2023,E16 Session 1 (Atlanta)
5,Jaylen Cross,8-12,2-4,2-4,2,3,5,0,20,0,1,0,0,23,04/23/2023,E16 Session 1 (Atlanta)
6,Kaden Hammond,3-5,1-1,0-0,3,5,8,1,7,0,2,1,0,15,04/23/2023,E16 Session 1 (Atlanta)
7,Nathaniel Williams,2-4,1-2,2-2,0,1,1,0,7,2,0,0,0,19,04/23/2023,E16 Session 1 (Atlanta)
8,Isaiah Henry,8-15,1-5,7-8,4,6,10,1,24,6,1,0,3,28,04/23/2023,E16 Session 1 (Atlanta)
9,Khalil Caple,0-5,0-4,0-0,0,2,2,4,0,3,2,0,0,15,04/23/2023,E16 Session 1 (Atlanta)
10,Akila Proctor,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/23/2023,E16 Session 1 (Atlanta)
11,Zekiah Gilliatt,1-3,1-1,0-0,0,1,1,0,3,0,1,0,0,4,04/23/2023,E16 Session 1 (Atlanta)
12,Silas Barksdale,5-9,1-2,1-2,3,4,7,1,12,3,1,1,0,26,04/23/2023,E16 Session 1 (Atlanta)
13,Jaevian Alston,2-6,0-1,0-0,0,2,2,1,4,2,0,0,0,17,04/23/2023,E16 Session 1 (Atlanta)
14,Adarius Boston,7-13,3-7,0-0,3,1,4,1,17,0,0,0,0,25,04/23/2023,E16 Session 1 (Atlanta)
15,Gabriel DAlessandro,1-5,0-2,0-1,0,0,0,0,2,0,1,0,0,9,04/23/2023,E16 Session 1 (Atlanta)
16,Justin Burrough,3-8,1-5,0-0,1,5,6,2,7,3,0,1,1,28,04/23/2023,E16 Session 1 (Atlanta)
17,Devin Sims,0-0,0-0,1-2,0,0,0,0,1,0,0,0,0,3,04/23/2023,E16 Session 1 (Atlanta)
18,Daniel Ogomeka,1-1,0-0,2-2,1,1,2,2,4,0,0,0,0,4,04/23/2023,E16 Session 1 (Atlanta)
19,Kamren Robinson,7-12,2-4,0-0,0,2,2,1,16,6,1,0,4,27,04/23/2023,E16 Session 1 (Atlanta)
0,Mike Jones,7-12,0-0,4-8,2,7,9,4,18,0,1,0,0,28,04/23/2023,E16 Session 1 (Atlanta)
1,Aleksandar Alston,5-7,5-7,0-0,0,0,0,1,15,1,1,1,0,21,04/23/2023,E16 Session 1 (Atlanta)
2,Lebron Hill,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,3,04/23/2023,E16 Session 1 (Atlanta)
3,Christian Cummings,0-4,0-4,2-2,0,0,0,0,2,0,0,0,0,20,04/23/2023,E16 Session 1 (Atlanta)
4,Davion Hannah,4-11,1-2,2-2,1,5,6,3,11,2,0,1,3,25,04/23/2023,E16 Session 1 (Atlanta)
5,Yaris Irby,4-7,1-3,2-4,3,3,6,1,11,5,3,0,0,26,04/23/2023,E16 Session 1 (Atlanta)
6,Elijah Lovemore,0-0,0-0,0-0,0,0,0,2,0,1,0,0,0,5,04/23/2023,E16 Session 1 (Atlanta)
7,Tristian Ford,5-10,3-5,2-2,1,2,3,4,15,1,3,0,1,26,04/23/2023,E16 Session 1 (Atlanta)
8,Kamari Cooke,3-8,3-5,0-0,0,2,2,2,9,1,0,0,0,18,04/23/2023,E16 Session 1 (Atlanta)
9,Sadiq White,7-9,0-1,0-0,2,4,6,1,14,2,0,1,2,26,04/23/2023,E16 Session 1 (Atlanta)
10,Jalyn Connor,1-4,1-4,0-0,0,0,0,1,3,1,0,0,0,12,04/23/2023,E16 Session 1 (Atlanta)
11,Arael Jones,1-2,0-0,2-2,0,0,0,1,4,1,0,0,1,10,04/23/2023,E16 Session 1 (Atlanta)
12,Levon Jacobs,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/23/2023,E16 Session 1 (Atlanta)
13,Jaydon Terrell,0-2,0-2,1-2,0,1,1,3,1,3,2,0,0,19,04/23/2023,E16 Session 1 (Atlanta)
14,Bryson Cowan,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/23/2023,E16 Session 1 (Atlanta)
15,Kaden Magwood,3-8,1-1,2-2,1,3,4,4,9,1,1,0,2,17,04/23/2023,E16 Session 1 (Atlanta)
16,Trajan Thompson,3-6,0-0,4-6,4,2,6,1,10,1,0,0,0,20,04/23/2023,E16 Session 1 (Atlanta)
17,Zymicah Wilkins,6-12,1-3,4-5,2,2,4,0,17,0,2,0,0,21,04/23/2023,E16 Session 1 (Atlanta)
18,Johnniyus Sharpe,2-3,1-1,1-2,0,2,2,0,6,0,0,0,1,11,04/23/2023,E16 Session 1 (Atlanta)
0,Jordan Lowery,7-11,3-4,0-0,1,4,5,1,17,2,0,0,1,23,04/22/2023,E16 Session 1 (Atlanta)
1,Jermaine ONeal,3-5,0-1,2-3,2,1,3,0,8,0,0,0,0,21,04/22/2023,E16 Session 1 (Atlanta)
2,Leroy Kelly,2-7,0-3,0-0,0,2,2,1,4,1,0,1,0,17,04/22/2023,E16 Session 1 (Atlanta)
3,Reginald Webster,1-5,0-0,0-0,0,0,0,1,2,1,0,1,0,16,04/22/2023,E16 Session 1 (Atlanta)
4,AJ Mcpeters,2-5,0-2,0-0,0,1,1,2,4,1,0,0,0,10,04/22/2023,E16 Session 1 (Atlanta)
5,Jaylin Faison,0-4,0-1,0-0,0,0,0,1,0,0,0,0,0,9,04/22/2023,E16 Session 1 (Atlanta)
6,Jed-Ethan Nansha,4-4,0-0,0-1,4,1,5,3,8,2,0,0,0,18,04/22/2023,E16 Session 1 (Atlanta)
7,Ahziel McIver,2-7,0-2,2-2,1,2,3,0,6,4,0,0,1,17,04/22/2023,E16 Session 1 (Atlanta)
8,Jaden Toombs,2-3,0-0,4-6,2,4,6,3,8,0,0,0,0,14,04/22/2023,E16 Session 1 (Atlanta)
9,Jaden Nickens,0-5,0-1,0-0,1,0,1,4,0,2,1,0,0,16,04/22/2023,E16 Session 1 (Atlanta)
10,Julius Edmonds,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,13,04/22/2023,E16 Session 1 (Atlanta)
11,Gregory Lawson,4-11,1-4,2-2,1,9,10,0,11,3,0,0,1,30,04/22/2023,E16 Session 1 (Atlanta)
12,Lebron Gough,0-1,0-1,2-3,0,3,3,2,2,0,0,0,0,24,04/22/2023,E16 Session 1 (Atlanta)
13,Chase Konieczny,2-4,0-1,0-0,2,0,2,0,4,0,1,0,0,11,04/22/2023,E16 Session 1 (Atlanta)
14,AmariYunn Blythe,0-3,0-0,0-0,1,1,2,1,0,0,1,0,0,7,04/22/2023,E16 Session 1 (Atlanta)
15,Jayden Miles,0-3,0-0,1-2,1,3,4,4,1,0,0,0,0,10,04/22/2023,E16 Session 1 (Atlanta)
16,Elijah Clinton,3-10,0-1,2-4,1,1,2,1,8,0,1,0,0,21,04/22/2023,E16 Session 1 (Atlanta)
17,Kellen Pickett,3-8,0-2,1-2,4,2,6,1,7,1,0,0,0,24,04/22/2023,E16 Session 1 (Atlanta)
18,Jack Smiley,2-4,1-3,0-0,3,2,5,0,5,1,1,0,0,21,04/22/2023,E16 Session 1 (Atlanta)
0,Jacoby Hill,5-12,1-3,5-6,0,2,2,2,16,5,0,0,0,23,04/22/2023,E16 Session 1 (Atlanta)
1,Bryce Dawson,1-2,1-1,0-0,0,2,2,1,3,0,0,0,0,8,04/22/2023,E16 Session 1 (Atlanta)
2,Robert Simpson,2-3,0-0,0-0,1,3,4,1,4,0,0,0,0,12,04/22/2023,E16 Session 1 (Atlanta)
3,Dakarion Bryant,2-6,0-3,0-0,0,1,1,1,4,0,0,2,0,11,04/22/2023,E16 Session 1 (Atlanta)
4,Patrick Johnson,3-6,0-0,2-5,3,3,6,1,8,1,0,0,1,17,04/22/2023,E16 Session 1 (Atlanta)
5,Rashad Bryant,1-2,0-0,2-2,2,3,5,1,4,0,1,0,0,8,04/22/2023,E16 Session 1 (Atlanta)
6,Peyton Wiggins,6-10,1-2,2-2,2,2,4,0,15,2,0,0,1,26,04/22/2023,E16 Session 1 (Atlanta)
7,Charles Lindsey,2-4,0-1,1-1,0,1,1,2,5,0,0,0,1,12,04/22/2023,E16 Session 1 (Atlanta)
8,Jacobe Whitted,7-8,4-4,0-0,2,4,6,1,18,0,1,0,0,16,04/22/2023,E16 Session 1 (Atlanta)
9,Jeremiah Wilson,4-13,0-3,0-0,2,4,6,1,8,5,0,0,0,25,04/22/2023,E16 Session 1 (Atlanta)
10,Daveyon Lydner,2-4,0-1,1-1,0,0,0,0,5,0,0,0,0,11,04/22/2023,E16 Session 1 (Atlanta)
11,Carey Maxey,2-5,2-4,4-6,0,1,1,1,10,0,2,0,0,20,04/22/2023,E16 Session 1 (Atlanta)
12,Micah Waters,0-0,0-0,0-0,0,1,1,1,0,2,0,0,0,14,04/22/2023,E16 Session 1 (Atlanta)
13,Dywane Chess,2-4,2-3,1-2,0,1,1,0,7,2,0,0,0,11,04/22/2023,E16 Session 1 (Atlanta)
14,Jake West,3-8,2-5,0-2,1,1,2,1,8,4,1,0,0,26,04/22/2023,E16 Session 1 (Atlanta)
15,Christian Sagba,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/22/2023,E16 Session 1 (Atlanta)
16,Jahrel Vigo,0-3,0-1,0-0,1,3,4,0,0,2,1,0,0,14,04/22/2023,E16 Session 1 (Atlanta)
