PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,TPM,3PA,TPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PM,OFFRTG,DEFRTG,NETRTG,ASTP,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOR,EFGP,TSP,USGP,PACE,PIE,ALLSTAR
YVONNE TURNER,PHO,31,24,13,11,13.8,3.9,1.3,4.1,32.3,0.6,2.2,28.3,0.6,0.9,71.4,0.3,1.7,2,1.5,0.7,0.8,0.1,1.3,10.6,0,0,0.9,101.2,97.4,3.8,16.7,2.19,22,2.2,12,7.3,10.1,39.9,43.4,16.1,98.51,7.3,0
VICTORIA VIVIANS,IND,24,26,3,23,25.1,8.5,2.9,7.2,39.9,1.8,4.5,39.7,0.9,1,96,0.4,2.5,2.8,1.1,1.1,0.8,0.2,1.7,15.4,0,0,-5,96.2,105.7,-9.4,7.4,1.04,11.3,1.4,10.7,5.7,10.9,52.1,55.3,15.4,95.75,7.3,0
TINA CHARLES,NYL,30,25,7,18,32.9,20.2,8,17.2,46.4,1,3.1,33.3,3.2,4,79.2,2.2,4.9,7.2,2.6,2.7,0.9,0.6,2.7,34.6,6,0,-4.2,100,105.6,-5.6,15.9,0.99,10.9,6.8,15.3,11,11.1,49.4,53.2,29.2,95.52,13.5,1
TIFFANY MITCHELL,IND,24,26,3,23,25.7,8.5,3,8.4,35.2,0.4,1.8,23.4,2.2,2.7,81.4,0.5,2,2.5,2.3,1.6,0.9,0.3,1.7,16.9,0,0,-6.6,94.5,106.3,-11.8,15.3,1.46,17.2,1.8,8.8,5.1,11.7,37.7,44.4,19.2,95.6,6.2,0
TIFFANY HAYES,ATL,29,22,15,7,28.1,17.2,5.7,12.4,46,1.3,4.1,31.1,4.5,5.3,86.2,0.8,2.7,3.5,2.7,1.5,1.1,0.2,2.1,28,0,0,4.1,100.9,93.9,7,17.3,1.84,14.3,2.7,8.9,5.8,7.7,51.1,58.5,23.9,99.14,15.2,0
TIERRA RUFFIN-PRATT,WAS,28,25,14,11,19.7,6.2,1.9,5.5,34.1,0.5,1.5,34.2,2,2.3,86,0.8,1.5,2.3,1.6,0.9,0.6,0.2,1.8,13.1,0,0,-4,99,107.6,-8.6,15,1.86,18,4.2,8.3,6.1,9.6,38.8,47.8,16.5,96.68,6.4,0
TIANNA HAWKINS,WAS,28,25,14,11,17.4,6.8,2.7,6,44.4,0.9,2.4,37.7,0.5,0.6,81.3,1.3,2.6,3.8,0.8,1.3,0.6,0.4,2.6,14.2,1,0,-1.7,98.8,104.4,-5.6,8.3,0.61,9.5,7.2,16.2,11.5,15.7,52,53.8,18.5,98.26,7.8,0
TEMI FAGBENLE,MIN,26,21,13,8,8.6,2.9,1.2,2.3,53.1,0,0,0,0.4,0.7,60,1,1,2,0.5,0.6,0.3,0.2,1,7.1,0,0,-1.6,90.9,98.2,-7.2,10.7,0.85,13.9,10.5,11.6,11.1,16.5,53.1,54.9,15.9,100.44,8.8,0
TEANA MULDROW,DAL,23,4,4,0,2.1,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0,0,0,0.3,0.3,0,0,-0.8,94.7,123.5,-28.8,0,0,0,0,14.3,7.1,0,0,0,5,101.37,-2.9,0
TAYLER HILL,DAL,28,13,8,5,9,3,0.8,3,28.2,0.5,1.6,28.6,0.8,0.9,91.7,0.1,0.5,0.6,1,0.8,0.2,0.1,0.5,5.1,0,0,-4.3,80.7,103.3,-22.5,22.8,1.18,19.1,0.8,6.4,3.5,16.2,35.9,44,19.6,100.52,5,0
TANISHA WRIGHT,MIN,35,24,15,9,15.6,4.3,1.5,3.8,40,0.6,1.4,42.4,0.7,1,73.9,0.3,0.9,1.2,1.5,1.1,0.5,0.2,1.9,8.7,0,0,-1.2,94.2,97.8,-3.6,15.4,1.35,21.9,2.2,6,4.1,16.3,47.8,51.4,14.2,98.95,3.9,0
TAMERA YOUNG,LVA,32,25,12,13,26.9,10,3.9,9.8,39.6,0.1,0.3,25,2.2,3,71.1,1,4.2,5.2,2.7,1.9,1.1,0.2,2.1,22.4,0,0,-2.1,99.4,102.8,-3.4,16.4,1.45,17.3,3.6,15.1,9.3,11.9,40,44.9,20.5,99.44,8.2,0
SYLVIA FOWLES,MIN,33,25,15,10,32.1,17.1,6.6,10.8,60.5,0,0,0,4,5.2,76.3,3.6,8.1,11.7,2.1,3,1.4,1.2,3.3,39,15,0,3.8,102.4,95.8,6.6,11.8,0.68,11.4,11.7,25.6,18.7,16.6,60.5,65.1,22.4,93.82,18.7,1
SYDNEY WIESE,LAS,24,8,6,2,3.7,0,0,0.4,0,0,0.4,0,0,0,0,0,0.3,0.3,0.3,0.1,0,0,0.5,0.6,0,0,-0.5,93.9,110,-16.1,8.3,2,33.3,0,10,4.3,16.7,0,0,5.6,101,-3.4,0
SUGAR RODGERS,NYL,29,22,5,17,16.3,5.4,1.9,5.2,35.7,1.1,3.5,32.9,0.5,0.7,73.3,0.7,2,2.6,1.5,1,0.6,0.1,1.7,12,0,0,-3.5,97.2,106.7,-9.5,14.9,1.57,18.9,4.1,12.5,8.2,12,46.5,48.5,17.1,97.18,7,0
SUE BIRD,SEA,38,24,19,5,26.8,10,3.6,8.4,43.3,1.8,4.5,40.7,0.9,1.1,81.5,0.1,1.6,1.7,7.3,1.9,1.2,0.1,1.2,24.9,4,0,8.2,114.3,99.8,14.5,38.3,3.83,40.5,0.3,6.2,3.4,10.6,54.2,56.4,17.6,96.13,12.3,1
STEPHANIE TALBOT,PHO,25,23,14,9,9.8,2.4,0.8,2,42.2,0.3,0.9,30,0.5,0.6,85.7,0.4,0.8,1.2,0.8,0.7,0.3,0.2,1.2,5.8,0,0,-2.4,93.7,107.2,-13.5,13.7,1.06,20.7,4.5,8.3,6.4,19.5,48.9,54.7,13.2,97.9,4.9,0
STEPHANIE MAVUNGA,IND,24,17,3,14,8.6,2.5,1,1.9,53.1,0,0.1,0,0.5,0.6,80,1.1,1.4,2.5,0.2,0.5,0.3,0.4,1.6,7.1,0,0,-0.5,102.7,105.1,-2.4,3.4,0.33,6.1,11.9,16.8,14.2,18.4,53.1,57.7,13.3,95.74,7.5,0
STEFANIE DOLSON,CHI,27,19,8,11,28.7,10.3,4.2,8.7,47.9,0.7,2.1,33.3,1.3,1.3,96,0.7,4.1,4.8,3.1,1.9,0.6,1.1,2.9,23.6,1,0,-3.5,101,107.4,-6.4,16.5,1.61,21.7,2.6,13.8,8.5,13.5,51.8,55.4,16.4,99.19,8.8,0
