LINEUPS,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
".S. Curry, .N. Bjelica, .D. Lee, .J. Toscano-Anderson, .J. Poole",GSW,3,7,12,5,15,33.3,2,10,20.0,0,0,0.0,1,5,6,3,2,1,0,0,4,2,-9
".D. Green, .A. Wiggins, .G. Payton II, .J. Poole, .J. Kuminga",GSW,3,7,13,3,10,30.0,1,4,25.0,6,9,66.7,1,6,7,2,1,0,0,1,2,5,1
".S. Curry, .N. Bjelica, .A. Wiggins, .J. Kuminga, .M. Moody",GSW,3,7,7,2,13,15.4,1,9,11.1,2,2,100,2,6,8,2,4,1,0,1,3,3,-10
".N. Bjelica, .D. Lee, .J. Poole, .J. Kuminga, .M. Moody",GSW,3,7,25,10,16,62.5,3,7,42.9,2,2,100,3,2,5,3,2,1,0,2,10,1,2
".A. Iguodala, .S. Curry, .O. Porter Jr., .G. Payton II, .D. Lee",GSW,3,7,15,7,14,50.0,1,6,16.7,0,0,0.0,4,3,7,4,2,1,2,1,2,1,-3
".S. Curry, .A. Wiggins, .G. Payton II, .J. Toscano-Anderson, .J. Poole",GSW,3,7,23,7,11,63.6,4,7,57.1,5,8,62.5,2,2,4,5,4,4,3,0,2,5,8
".N. Bjelica, .A. Wiggins, .D. Lee, .J. Poole, .J. Kuminga",GSW,3,7,17,7,11,63.6,3,4,75.0,0,0,0.0,0,6,6,3,2,0,0,0,5,2,7
".D. Lee, .J. Toscano-Anderson, .J. Kuminga, .J. Dowtin, .M. Moody",GSW,3,6,20,7,10,70.0,1,3,33.3,5,5,100,0,7,7,2,2,3,2,0,3,4,14
".K. Thompson, .A. Wiggins, .K. Looney, .J. Toscano-Anderson, .J. Poole",GSW,3,6,10,4,15,26.7,2,8,25.0,0,2,0.0,7,5,12,3,4,3,1,2,1,1,2
".N. Bjelica, .A. Wiggins, .G. Payton II, .J. Toscano-Anderson, .J. Poole",GSW,3,6,11,4,9,44.4,0,3,0.0,3,4,75.0,2,1,3,3,3,1,1,1,2,3,-2
".S. Curry, .D. Green, .O. Porter Jr., .D. Lee, .J. Toscano-Anderson",GSW,3,6,25,10,13,76.9,2,5,40.0,3,3,100,1,4,5,7,1,4,2,0,4,3,13
".D. Green, .O. Porter Jr., .G. Payton II, .J. Toscano-Anderson, .J. Poole",GSW,3,6,13,5,9,55.6,0,3,0.0,3,4,75.0,1,4,5,2,1,0,1,0,4,4,-4
".A. Iguodala, .S. Curry, .O. Porter Jr., .A. Wiggins, .K. Looney",GSW,3,6,14,5,12,41.7,3,9,33.3,1,1,100,2,3,5,5,1,1,0,0,3,3,1
".S. Curry, .N. Bjelica, .A. Wiggins, .D. Lee, .J. Kuminga",GSW,3,5,8,3,11,27.3,1,5,20.0,1,1,100,1,7,8,2,2,1,0,0,1,1,-1
".A. Wiggins, .K. Looney, .G. Payton II, .J. Poole, .J. Kuminga",GSW,3,5,20,6,9,66.7,2,4,50.0,6,6,100,3,6,9,3,1,1,0,1,2,4,9
".S. Curry, .N. Bjelica, .K. Thompson, .O. Porter Jr., .J. Poole",GSW,3,5,14,6,13,46.2,1,6,16.7,1,2,50.0,3,4,7,3,1,2,0,0,4,3,6
".D. Green, .A. Wiggins, .K. Looney, .J. Poole, .M. Moody",GSW,3,5,6,1,7,14.3,0,3,0.0,4,4,100,2,5,7,0,4,1,0,0,0,2,-2
".N. Bjelica, .O. Porter Jr., .A. Wiggins, .G. Payton II, .J. Poole",GSW,3,5,11,3,11,27.3,2,4,50.0,3,4,75.0,4,3,7,3,1,1,0,1,1,2,0
".S. Curry, .K. Thompson, .O. Porter Jr., .A. Wiggins, .J. Kuminga",GSW,3,5,13,3,8,37.5,1,5,20.0,6,7,85.7,2,3,5,2,1,0,1,0,3,3,-5
".S. Curry, .N. Bjelica, .D. Green, .O. Porter Jr., .G. Payton II",GSW,3,5,12,5,11,45.5,2,4,50.0,0,0,0.0,1,3,4,4,1,3,0,1,2,0,5
".N. Bjelica, .G. Payton II, .D. Lee, .J. Toscano-Anderson, .J. Poole",GSW,3,5,8,4,6,66.7,0,0,0.0,0,0,0.0,0,2,2,3,2,0,0,0,5,0,-4
".D. Green, .O. Porter Jr., .A. Wiggins, .D. Lee, .J. Poole",GSW,3,5,10,4,9,44.4,2,4,50.0,0,0,0.0,0,2,2,4,1,1,0,0,4,0,-6
".K. Thompson, .A. Wiggins, .K. Looney, .G. Payton II, .J. Poole",GSW,3,5,13,4,7,57.1,1,2,50.0,4,5,80.0,0,2,2,1,1,2,1,0,2,2,3
".N. Bjelica, .O. Porter Jr., .G. Payton II, .J. Toscano-Anderson, .J. Poole",GSW,3,4,9,3,7,42.9,0,3,0.0,3,4,75.0,1,2,3,1,1,1,0,0,1,4,0
".D. Green, .A. Wiggins, .C. Chiozza, .J. Toscano-Anderson, .J. Poole",GSW,3,4,7,2,9,22.2,2,4,50.0,1,2,50.0,2,3,5,2,0,0,1,0,3,1,4
".S. Curry, .N. Bjelica, .K. Thompson, .O. Porter Jr., .D. Lee",GSW,3,4,8,3,7,42.9,2,2,100,0,0,0.0,1,4,5,3,1,0,0,1,1,2,3
".N. Bjelica, .D. Green, .O. Porter Jr., .G. Payton II, .J. Poole",GSW,3,4,11,4,5,80.0,2,3,66.7,1,2,50.0,0,2,2,4,1,0,0,0,2,1,-4
".D. Green, .O. Porter Jr., .A. Wiggins, .J. Toscano-Anderson, .J. Poole",GSW,3,4,9,4,8,50.0,0,2,0.0,1,2,50.0,2,2,4,2,1,2,0,0,1,1,-1
".A. Iguodala, .S. Curry, .N. Bjelica, .D. Lee, .J. Poole",GSW,3,4,10,4,6,66.7,0,2,0.0,2,2,100,1,2,3,3,2,1,0,0,3,1,2
".A. Wiggins, .K. Looney, .C. Chiozza, .J. Toscano-Anderson, .J. Poole",GSW,3,3,5,2,4,50.0,0,1,0.0,1,4,25.0,1,3,4,1,2,0,0,0,0,2,0
".A. Iguodala, .S. Curry, .A. Wiggins, .K. Looney, .D. Lee",GSW,3,3,2,1,5,20.0,0,3,0.0,0,0,0.0,1,3,4,0,1,0,0,0,1,2,-6
".S. Curry, .O. Porter Jr., .G. Payton II, .D. Lee, .J. Toscano-Anderson",GSW,3,3,12,5,7,71.4,2,3,66.7,0,0,0.0,1,2,3,3,1,0,0,0,1,0,4
".S. Curry, .O. Porter Jr., .A. Wiggins, .J. Toscano-Anderson, .J. Poole",GSW,3,3,13,4,6,66.7,1,2,50.0,4,5,80.0,1,2,3,1,0,1,0,1,2,2,4
".A. Iguodala, .S. Curry, .D. Green, .A. Wiggins, .K. Looney",GSW,3,3,2,1,3,33.3,0,1,0.0,0,2,0.0,0,1,1,1,0,0,0,0,3,1,-6
".S. Curry, .A. Wiggins, .D. Lee, .J. Poole, .J. Kuminga",GSW,3,3,5,2,3,66.7,0,0,0.0,1,2,50.0,0,1,1,1,2,0,0,0,3,1,0
".S. Curry, .N. Bjelica, .O. Porter Jr., .A. Wiggins, .J. Poole",GSW,3,3,4,1,4,25.0,1,2,50.0,1,2,50.0,0,3,3,1,0,0,0,0,1,2,-1
".S. Curry, .O. Porter Jr., .A. Wiggins, .D. Lee, .J. Toscano-Anderson",GSW,3,2,4,1,3,33.3,1,2,50.0,1,2,50.0,0,1,1,1,2,0,0,0,1,1,-9
".N. Bjelica, .K. Thompson, .O. Porter Jr., .G. Payton II, .J. Poole",GSW,3,2,5,1,4,25.0,0,2,0.0,3,5,60.0,1,2,3,0,0,0,0,0,3,4,-1
".D. Green, .O. Porter Jr., .A. Wiggins, .K. Looney, .J. Poole",GSW,3,2,4,2,5,40.0,0,1,0.0,0,0,0.0,1,2,3,1,0,0,0,0,1,0,-2
