PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Cameron Johnson,BKN,27,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Joe Harris,BKN,31,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Mikal Bridges,BKN,26,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Nic Claxton,BKN,24,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Royce O'Neale,BKN,29,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Seth Curry,BKN,32,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Spencer Dinwiddie,BKN,30,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Bones Hyland,LAC,22,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Eric Gordon,LAC,34,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Ivica Zubac,LAC,26,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Marcus Morris Sr.,LAC,33,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Mason Plumlee,LAC,33,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Norman Powell,LAC,29,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Robert Covington,LAC,32,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Russell Westbrook,LAC,34,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Terance Mann,LAC,26,1,,,,0,,,,,,,,,,,,,,,,,,,,,
De'Anthony Melton,PHI,24,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Georges Niang,PHI,29,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Jalen McDaniels,PHI,25,1,,,,0,,,,,,,,,,,,,,,,,,,,,
James Harden,PHI,33,1,,,,0,,,,,,,,,,,,,,,,,,,,,
P.J. Tucker,PHI,37,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Paul Reed,PHI,23,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Tobias Harris,PHI,30,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Tyrese Maxey,PHI,22,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Bismack Biyombo,PHX,30,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Chris Paul,PHX,37,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Damion Lee,PHX,30,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Deandre Ayton,PHX,24,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Devin Booker,PHX,26,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Josh Okogie,PHX,24,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Kevin Durant,PHX,34,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Torrey Craig,PHX,32,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Aaron Gordon,DEN,27,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Al Horford,BOS,36,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,GSW,28,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,LAL,30,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Anthony Edwards,MIN,21,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Austin Reaves,LAL,24,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Austin Rivers,MIN,30,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Bam Adebayo,MIA,25,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Bogdan Bogdanovic,ATL,30,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Brook Lopez,MIL,35,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Bruce Brown,DEN,26,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Caleb Martin,MIA,27,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Caris LeVert,CLE,28,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Cedi Osman,CLE,28,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Christian Braun,DEN,22,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Clint Capela,ATL,28,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Cody Zeller,MIA,30,1,,,,0,,,,,,,,,,,,,,,,,,,,,
D'Angelo Russell,LAL,27,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Darius Garland,CLE,23,1,,,,0,,,,,,,,,,,,,,,,,,,,,
David Roddy,MEM,22,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Davion Mitchell,SAC,24,1,,,,0,,,,,,,,,,,,,,,,,,,,,
De'Aaron Fox,SAC,25,1,,,,0,,,,,,,,,,,,,,,,,,,,,
De'Andre Hunter,ATL,25,1,,,,0,,,,,,,,,,,,,,,,,,,,,
DeAndre Jordan,DEN,34,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Dejounte Murray,ATL,26,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Dennis Schroder,LAL,29,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Derrick White,BOS,28,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Desmond Bane,MEM,24,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Dillon Brooks,MEM,27,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Domantas Sabonis,SAC,26,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Donovan Mitchell,CLE,26,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Donte DiVincenzo,GSW,26,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Draymond Green,GSW,33,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Duncan Robinson,MIA,29,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Evan Mobley,CLE,21,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Gabe Vincent,MIA,26,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Gary Payton II,GSW,30,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Giannis Antetokounmpo,MIL,28,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Grant Williams,BOS,24,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Grayson Allen,MIL,27,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Harrison Barnes,SAC,30,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Immanuel Quickley,NYK,23,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Isaac Okoro,CLE,22,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Isaiah Hartenstein,NYK,24,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Ja Morant,MEM,23,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Jalen Brunson,NYK,26,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Jamal Murray,DEN,26,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Jaren Jackson Jr.,MEM,23,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Jarrett Allen,CLE,25,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Jaylen Brown,BOS,26,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Jayson Tatum,BOS,25,1,,,,0,,,,,,,,,,,,,,,,,,,,,
