~Mean Temperature,~Variance Temperature,Time
d18O_anomaly,d18O_Zscore,Age Yr.B. P.
-0.07,-1.31,3761.38
-0.07,-1.31,3764.36
-0.07,-1.31,3767.34
-0.07,-1.31,3770.32
-0.07,-1.31,3773.3
-0.07,-1.28,3776.28
-0.05,-1.22,3779.26
-0.03,-1.18,3782.24
-0.02,-1.12,3785.22
0.00,-1.06,3788.2
0.02,-1.03,3791.18
0.03,-0.97,3794.16
0.05,-0.91,3797.14
0.07,-0.85,3800.12
0.09,-0.82,3803.1
0.11,-0.88,3806.08
0.09,-0.97,3809.06
0.06,-1.09,3812.04
0.02,-1.22,3815.02
-0.02,-1.37,3818
-0.07,-1.49,3820.98
-0.11,-1.61,3823.96
-0.15,-1.74,3826.94
-0.18,-1.86,3829.92
-0.22,-1.95,3832.9
-0.25,-2.04,3835.88
-0.28,-1.98,3838.86
-0.26,-1.95,3841.84
-0.25,-1.92,3844.82
-0.24,-1.89,3847.8
-0.23,-1.86,3850.78
-0.21,-1.83,3853.76
-0.20,-1.80,3856.74
-0.19,-1.77,3859.72
-0.18,-1.74,3862.7
-0.17,-1.71,3865.68
-0.16,-2.01,3868.66
-0.26,-2.35,3871.64
-0.37,-2.57,3874.62
-0.44,-2.32,3877.6
-0.35,-2.04,3880.58
-0.26,-1.98,3883.56
-0.24,-2.01,3886.54
-0.25,-2.04,3889.52
-0.26,-1.92,3892.5
-0.22,-1.80,3895.48
-0.18,-1.80,3898.46
-0.18,-2.04,3901.44
-0.26,-2.29,3904.42
-0.34,-2.23,3907.4
-0.32,-2.04,3910.38
-0.26,-1.86,3913.36
-0.20,-2.20,3916.34
-0.31,-2.54,3919.32
-0.42,-2.75,3922.3
-0.49,-2.81,3925.28
-0.51,-2.87,3928.26
-0.53,-2.78,3931.24
-0.50,-2.63,3934.22
-0.45,-2.51,3937.2
-0.41,-2.35,3940.18
-0.36,-2.23,3943.16
-0.32,-1.95,3946.14
-0.23,-1.55,3949.12
-0.10,-1.12,3952.1
0.04,-1.15,3955.08
0.03,-1.28,3958.06
-0.01,-1.37,3961.04
-0.04,-1.46,3964.02
-0.07,-1.55,3967
-0.11,-1.52,3969.98
-0.10,-1.37,3972.96
-0.05,-1.22,3975.94
0.00,-1.31,3978.92
-0.03,-1.46,3981.9
-0.08,-1.68,3984.88
-0.15,-2.11,3987.86
