PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,SEASON
Chris Bosh,MIA,30,6-11,235,Georgia Tech,USA,2003,1,4,20.0,14.9,5.6,1.1,-1.9,4.4,15.0,19.5,59.6,5.4,2014
Chris Copeland,IND,30,6-8,235,Colorado,USA,Undrafted,Undrafted,Undrafted,12.0,3.0,0.4,0.1,16.8,1.5,4.8,20.0,56.3,1.9,2014
Chris Douglas-Roberts,CHA,27,6-7,210,Memphis,USA,2008,2,40,4.0,9.5,2.0,0.5,-11.6,3.2,10.9,18.2,85.7,6.3,2014
Chris Paul,LAC,29,6-0,175,Wake Forest,USA,2005,1,4,13.0,19.8,4.2,10.3,8.7,2.5,10.0,23.4,58.3,42.7,2014
Chuck Hayes,TOR,31,6-6,250,Kentucky,USA,Undrafted,Undrafted,Undrafted,5.0,1.2,1.6,0.4,11.4,8.7,10.5,11.8,33.8,8.3,2014
Cody Zeller,CHA,21,7-0,240,Indiana,USA,2013,1,4,4.0,2.0,2.3,0.5,-31.4,11.1,9.1,11.5,37.2,6.3,2014
Cory Joseph,SAS,22,6-3,190,Texas,Canada,2011,1,29,17.0,2.8,0.5,0.5,18.5,1.2,8.2,23.5,55.9,18.0,2014
Courtney Lee,MEM,28,6-5,200,Western Kentucky,USA,2008,1,22,7.0,10.0,2.0,1.6,-6.8,1.3,5.3,15.3,51.5,7.3,2014
D.J. Augustin,CHI,26,6-0,183,Texas-Austin,USA,2008,1,9,5.0,13.2,1.6,4.8,8.9,2.7,2.7,28.6,41.1,32.9,2014
DJ White,CHA,27,6-9,250,Indiana,USA,2008,1,29,1.0,0.0,2.0,0.0,50.0,0.0,40.0,25.0,0.0,0.0,2014
Damian Lillard,POR,23,6-3,195,Weber State,USA,2012,1,6,11.0,22.9,5.1,6.5,-0.3,2.5,9.1,23.1,57.8,24.8,2014
Danny Granger,LAC,31,6-9,228,New Mexico,USA,2005,1,17,13.0,2.6,1.5,0.2,13.9,1.4,11.9,15.3,38.7,3.1,2014
Danny Green,SAS,27,6-6,215,North Carolina,USA,2009,2,46,23.0,9.3,3.0,0.9,11.0,1.9,11.2,15.7,65.0,5.8,2014
Darren Collison,LAC,26,6-0,175,UCLA,USA,2009,1,21,13.0,8.5,2.1,2.4,-4.6,3.7,6.5,21.0,50.1,19.5,2014
David Lee,GSW,31,6-9,240,Florida,USA,2005,1,30,7.0,13.9,9.1,2.6,2.3,11.8,19.1,20.3,56.8,12.9,2014
David West,IND,33,6-9,250,Xavier,USA,2003,1,18,19.0,15.1,6.7,3.9,3.8,3.8,15.7,21.9,52.8,19.7,2014
DeAndre Jordan,LAC,25,6-11,265,Texas A&M,USA,2008,2,35,13.0,9.6,12.5,0.8,0.0,9.5,29.4,12.0,64.8,3.2,2014
DeJuan Blair,DAL,25,6-7,270,Pittsburgh,USA,2009,2,37,6.0,6.7,6.2,0.2,14.2,17.9,35.4,20.2,61.1,1.7,2014
DeMar DeRozan,TOR,24,6-7,216,Southern California,USA,2009,1,9,7.0,23.9,4.1,3.6,-3.7,1.2,9.7,28.3,55.0,16.7,2014
DeMarre Carroll,ATL,27,6-8,212,Missouri,USA,2009,1,27,7.0,8.9,4.9,1.6,-4.0,4.7,9.5,11.5,57.6,8.8,2014
Dennis Schroder,ATL,20,6-1,168,None,Germany,2013,1,17,2.0,2.5,1.0,0.0,74.2,0.0,40.0,13.3,125.0,0.0,2014
Derek Fisher,OKC,39,6-1,210,Arkansas-Little Rock,USA,1996,1,24,19.0,3.8,1.7,0.8,-7.7,2.0,9.0,12.8,45.9,8.6,2014
Deron Williams,BKN,30,6-3,209,Illinois,USA,2005,1,3,12.0,14.5,3.2,5.8,5.1,1.8,8.6,22.5,50.6,27.2,2014
Devin Harris,DAL,31,6-3,192,Wisconsin,USA,2004,1,5,7.0,11.4,2.4,3.9,-1.7,0.5,10.2,19.8,57.5,23.7,2014
Dirk Nowitzki,DAL,36,7-0,245,None,Germany,1998,1,9,7.0,19.1,8.0,1.6,-7.1,1.8,23.5,26.2,48.0,6.9,2014
Donald Sloan,IND,26,6-3,205,Texas A&M,USA,Undrafted,Undrafted,Undrafted,4.0,1.8,0.3,0.8,2.1,0.0,8.3,32.4,40.0,25.0,2014
Dorell Wright,POR,28,6-9,205,None,USA,2004,1,19,8.0,3.6,2.0,0.4,-21.7,2.2,14.0,15.3,56.6,5.7,2014
Draymond Green,GSW,24,6-7,230,Michigan State,USA,2012,2,35,7.0,11.9,8.3,2.9,5.7,8.0,18.1,16.4,58.8,12.6,2014
Drew Gooden,WAS,32,6-10,250,Kansas,USA,2002,1,4,10.0,3.4,4.2,0.4,16.8,13.1,15.5,14.2,40.9,4.3,2014
Dwight Howard,HOU,28,6-11,265,None,USA,2004,1,1,6.0,26.0,13.7,1.8,-1.6,11.0,23.7,28.2,58.1,8.9,2014
Dwyane Wade,MIA,32,6-4,220,Marquette,USA,2003,1,5,20.0,17.8,3.9,3.9,-0.2,2.8,10.3,27.2,56.0,20.9,2014
Earl Watson,POR,35,6-1,199,UCLA,USA,2001,2,39,4.0,0.0,0.3,0.3,-32.5,0.0,5.9,5.4,0.0,12.5,2014
Ed Davis,MEM,25,6-10,225,North Carolina,USA,2010,1,13,7.0,0.9,2.1,0.0,11.8,26.7,25.0,19.7,28.7,0.0,2014
Elton Brand,ATL,35,6-9,254,Duke,USA,1999,1,1,7.0,1.1,3.3,0.9,-13.7,8.8,20.3,8.3,28.2,12.8,2014
Evan Turner,IND,25,6-7,220,Ohio State,USA,2010,1,2,12.0,3.3,2.2,1.6,-23.7,0.0,18.4,15.1,52.4,23.2,2014
Francisco Garcia,HOU,32,6-7,195,Louisville,Dominican Republic,2005,1,23,2.0,3.5,1.0,0.0,-2.0,2.5,4.8,11.8,45.1,0.0,2014
Garrett Temple,WAS,28,6-6,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,10.0,0.5,0.0,0.0,-29.6,0.0,0.0,9.7,125.0,0.0,2014
Gary Neal,CHA,29,6-4,210,Towson,USA,Undrafted,Undrafted,Undrafted,4.0,11.3,2.0,1.0,-15.9,3.3,5.2,27.3,41.6,7.4,2014
George Hill,IND,28,6-3,188,Indiana-Purdue Indianapolis,USA,2008,1,26,19.0,12.1,3.8,3.0,0.8,2.2,8.6,16.4,56.1,14.1,2014
Gerald Henderson,CHA,26,6-5,215,Duke,USA,2009,1,12,4.0,9.8,4.0,2.3,-13.1,0.9,13.8,19.5,43.8,12.3,2014
Glen Davis,LAC,28,6-9,289,Louisiana State,USA,2007,2,35,13.0,3.8,2.8,0.7,0.9,8.0,12.4,13.3,61.0,8.8,2014
Greg Oden,MIA,26,7-0,273,Ohio State,USA,2007,1,1,3.0,0.0,0.3,0.3,-9.9,0.0,16.7,0.0,0.0,14.3,2014
Greivis Vasquez,TOR,27,6-6,211,Maryland,Venezuela,2010,1,28,7.0,10.1,3.7,5.1,12.1,1.7,12.0,18.9,52.2,33.6,2014
Harrison Barnes,GSW,22,6-8,210,North Carolina,USA,2012,1,7,7.0,7.9,4.0,1.1,0.6,4.3,12.4,15.3,50.0,7.3,2014
Hasheem Thabeet,OKC,27,7-3,263,Connecticut,Tanzania,2009,1,2,2.0,0.0,0.0,0.0,-76.5,0.0,0.0,0.0,0.0,0.0,2014
Hedo Turkoglu,LAC,35,6-10,220,None,Turkey,2000,1,16,5.0,3.2,1.0,0.2,3.8,0.0,10.9,15.1,61.5,4.5,2014
Hilton Armstrong,GSW,29,6-11,235,Connecticut,USA,2006,1,12,7.0,1.1,0.6,0.3,-44.4,11.5,5.0,24.1,45.0,20.0,2014
Ian Mahinmi,IND,27,6-11,250,None,France,2005,1,28,19.0,1.9,2.4,0.2,-7.6,9.6,10.2,8.8,53.0,2.0,2014
JJ Redick,LAC,30,6-4,190,Duke,USA,2006,1,11,13.0,13.3,1.7,1.5,8.0,1.1,5.6,18.6,59.9,8.0,2014
Jae Crowder,DAL,23,6-6,235,Marquette,USA,2012,2,34,7.0,2.7,1.7,0.3,5.0,4.9,12.5,11.2,52.8,3.2,2014
Jamaal Franklin,MEM,22,6-5,191,San Diego State,USA,2013,2,41,2.0,0.5,0.5,0.0,94.6,0.0,50.0,23.1,17.4,0.0,2014
Jamal Crawford,LAC,34,6-5,200,Michigan,USA,2000,1,8,13.0,15.5,1.5,2.0,0.9,1.5,4.4,27.6,53.1,13.8,2014
James Harden,HOU,24,6-5,220,Arizona State,USA,2009,1,3,6.0,26.8,4.7,5.8,1.5,1.8,9.0,28.2,51.9,20.8,2014
James Johnson,MEM,27,6-9,248,Wake Forest,USA,2009,1,16,3.0,6.3,2.0,0.0,-18.3,10.0,8.3,27.5,49.0,0.0,2014
James Jones,MIA,33,6-8,215,Miami,USA,2003,2,49,15.0,3.5,0.7,0.3,16.7,3.0,7.9,15.5,64.1,5.6,2014
Jannero Pargo,CHA,34,6-1,185,Arkansas,USA,Undrafted,Undrafted,Undrafted,1.0,0.0,1.0,1.0,40.0,0.0,20.0,20.0,0.0,100,2014
Jared Dudley,LAC,28,6-7,225,Boston College,USA,2007,1,22,7.0,1.3,0.9,0.3,-4.1,0.0,11.8,11.3,40.9,6.5,2014
Jeff Ayres,SAS,27,6-9,250,Arizona State,USA,2009,2,31,17.0,1.0,1.1,0.3,3.9,10.3,17.3,12.5,51.5,13.5,2014
Jeff Teague,ATL,26,6-2,181,Wake Forest,USA,2009,1,19,7.0,19.3,3.7,5.0,-5.1,2.0,9.1,29.0,52.1,34.7,2014
Jeremy Lamb,OKC,22,6-5,185,Connecticut,USA,2012,1,12,11.0,3.6,1.5,0.6,-6.6,3.9,11.9,20.7,45.7,12.7,2014
Jeremy Lin,HOU,25,6-3,200,Harvard,USA,Undrafted,Undrafted,Undrafted,6.0,11.3,3.7,4.3,-1.5,3.3,7.9,18.7,50.0,22.8,2014
Jermaine O'Neal,GSW,35,6-11,255,None,USA,1996,1,17,7.0,6.0,3.4,0.1,-34.5,13.3,14.6,19.4,59.1,2.7,2014
Jimmy Butler,CHI,24,6-7,220,Marquette,USA,2011,1,30,5.0,13.6,5.2,2.2,-6.1,2.8,9.3,15.4,50.7,8.5,2014
Joakim Noah,CHI,29,6-11,232,Florida,USA,2007,1,9,5.0,10.4,12.8,4.6,-5.8,7.4,23.4,15.6,53.6,19.3,2014
Joe Johnson,BKN,33,6-7,240,Arkansas,USA,2001,1,10,12.0,21.2,3.8,2.9,1.4,2.2,9.1,23.0,62.6,14.1,2014
Joel Freeland,POR,27,6-10,225,None,United Kingdom,2006,1,30,9.0,0.1,0.9,0.1,-9.2,14.3,12.5,15.1,12.9,10.0,2014
John Salmons,TOR,34,6-6,207,Miami,USA,2002,1,26,6.0,2.2,1.0,0.8,-28.9,0.0,8.5,11.0,37.3,11.4,2014
John Wall,WAS,23,6-4,195,Kentucky,USA,2010,1,1,11.0,16.3,4.0,7.1,4.2,1.2,9.3,25.2,46.2,32.4,2014
Jon Leuer,MEM,25,6-10,228,Wisconsin,USA,2011,2,40,3.0,3.0,2.7,0.7,4.7,6.9,42.9,14.5,57.1,16.7,2014
Jonas Valanciunas,TOR,22,6-11,231,None,Lithuania,2011,1,5,7.0,10.9,9.7,0.3,-13.2,10.4,27.7,17.9,64.8,2.0,2014
Jordan Crawford,GSW,25,6-4,195,Xavier,USA,2010,1,27,6.0,6.2,1.5,0.3,-7.4,5.4,8.1,28.2,47.2,6.1,2014
Jorge Gutierrez,BKN,25,6-3,195,California,Mexico,Undrafted,Undrafted,Undrafted,2.0,1.0,0.5,0.0,-67.9,14.3,0.0,20.0,56.8,0.0,2014
Jose Calderon,DAL,32,6-3,211,None,Spain,Undrafted,Undrafted,Undrafted,7.0,10.3,1.3,4.4,-0.4,1.0,4.3,16.4,55.0,23.3,2014
Josh McRoberts,CHA,27,6-10,240,Duke,USA,2007,2,37,4.0,11.5,6.8,3.8,-2.5,0.7,18.4,13.5,61.5,15.3,2014
Kawhi Leonard,SAS,23,6-7,230,San Diego State,USA,2011,1,15,23.0,14.3,6.7,1.7,12.4,4.7,16.9,18.7,60.6,7.7,2014
Kemba Walker,CHA,24,6-1,184,Connecticut,USA,2011,1,9,4.0,19.5,3.8,6.0,-12.8,0.7,10.7,23.6,62.0,29.3,2014
Kendrick Perkins,OKC,29,6-10,270,None,USA,2003,1,27,19.0,3.2,5.4,0.7,2.1,9.4,17.6,9.0,58.1,5.1,2014
Kevin Durant,OKC,25,6-9,240,Texas,USA,2007,1,2,19.0,29.6,8.9,3.9,0.1,3.3,17.0,31.0,57.0,17.9,2014
Kevin Garnett,BKN,38,6-11,253,None,USA,1995,1,5,12.0,6.9,6.3,1.3,1.0,8.4,26.6,16.6,56.8,10.3,2014
Kevin Seraphin,WAS,24,6-10,278,None,France,2010,1,17,4.0,0.0,0.5,0.0,-45.0,11.1,16.7,26.7,0.0,0.0,2014
Kirk Hinrich,CHI,33,6-4,190,Kansas,USA,2003,1,7,5.0,11.0,3.0,4.4,-8.8,0.6,8.6,19.5,47.6,24.2,2014
Klay Thompson,GSW,24,6-7,205,Washington State,USA,2011,1,11,7.0,16.4,3.4,3.6,-5.1,1.6,8.0,21.0,53.0,15.4,2014
Kosta Koufos,MEM,25,7-0,265,Ohio State,USA,2008,1,23,7.0,2.6,2.1,0.3,4.3,12.5,18.2,18.6,50.7,7.1,2014
Kyle Korver,ATL,33,6-7,212,Creighton,USA,2003,2,51,7.0,13.4,5.3,0.7,3.1,0.8,14.6,14.4,65.9,3.9,2014
Kyle Lowry,TOR,28,6-0,205,Villanova,USA,2006,1,24,7.0,21.1,4.7,4.7,-0.6,3.5,9.9,25.2,56.7,23.4,2014
LaMarcus Aldridge,POR,28,6-11,240,Texas-Austin,USA,2006,1,2,11.0,26.2,10.6,1.5,-1.8,6.6,19.1,29.9,50.9,6.7,2014
Lance Stephenson,IND,23,6-5,230,Cincinnati,USA,2010,2,40,19.0,13.6,6.9,4.2,1.2,3.7,16.0,19.5,53.6,20.1,2014
Landry Fields,TOR,26,6-7,215,Stanford,USA,2010,2,39,3.0,0.0,2.3,0.3,8.2,7.7,17.9,4.8,0.0,6.7,2014
Lavoy Allen,IND,25,6-9,255,Temple,USA,2011,2,50,4.0,1.0,1.3,0.3,1.8,8.3,33.3,11.8,50.0,8.3,2014
LeBron James,MIA,29,6-8,250,None,USA,2003,1,1,20.0,27.4,7.1,4.8,4.7,2.2,19.5,31.0,66.8,25.3,2014
Lou Williams,ATL,27,6-1,175,None,USA,2005,2,45,7.0,8.3,2.3,1.1,-3.4,0.0,12.7,24.6,50.8,11.8,2014
Luis Scola,IND,34,6-9,240,None,Argentina,2002,2,55,18.0,6.1,2.3,0.5,-16.3,4.5,14.1,23.7,48.0,8.4,2014
Luke Ridnour,CHA,33,6-2,175,Oregon,USA,2003,1,14,4.0,2.5,1.0,3.0,-11.5,0.0,11.1,21.8,38.5,54.5,2014
Manu Ginobili,SAS,36,6-6,205,None,Argentina,1999,2,57,23.0,14.3,3.3,4.1,16.7,1.7,11.0,25.3,59.3,24.3,2014
Marc Gasol,MEM,29,7-1,265,None,Spain,2007,2,48,7.0,17.3,7.7,4.4,-6.1,4.3,14.3,22.3,46.2,18.1,2014
Marcin Gortat,WAS,30,6-11,240,None,Poland,2005,2,57,11.0,13.0,9.9,1.5,5.3,9.4,19.5,19.2,52.6,7.1,2014
Marco Belinelli,SAS,28,6-5,210,None,Italy,2007,1,18,23.0,5.4,2.3,0.8,-8.5,1.1,14.0,15.1,57.5,8.3,2014
Marcus Thornton,BKN,27,6-4,205,Louisiana State,USA,2009,2,43,10.0,5.9,1.9,0.1,-13.9,5.3,12.2,23.4,47.6,1.4,2014
Mario Chalmers,MIA,28,6-2,190,Kansas,USA,2008,2,34,20.0,6.4,2.3,3.6,1.6,0.5,9.6,14.4,52.5,19.6,2014
Marreese Speights,GSW,26,6-10,255,Florida,USA,2008,1,16,7.0,6.3,3.1,0.4,-6.6,11.1,18.3,24.2,53.3,8.6,2014
Martell Webster,WAS,27,6-7,230,None,USA,2005,1,6,11.0,3.8,2.3,0.5,-5.4,2.0,11.4,11.5,46.7,4.1,2014
Mason Plumlee,BKN,24,6-11,235,Duke,USA,2013,1,22,10.0,2.2,2.3,0.2,-14.9,5.0,16.1,14.8,46.0,2.9,2014
Matt Barnes,LAC,34,6-7,226,UCLA,USA,2002,2,45,13.0,9.4,4.5,1.8,0.2,5.2,9.9,14.0,52.9,7.9,2014
Matt Bonner,SAS,34,6-10,235,Florida,USA,2003,2,45,22.0,1.2,0.6,0.5,17.2,1.6,8.1,8.4,59.3,11.8,2014
Meyers Leonard,POR,22,7-1,245,Illinois,USA,2012,1,11,4.0,0.0,0.5,0.0,4.9,0.0,22.2,9.5,0.0,0.0,2014
Michael Beasley,MIA,25,6-10,235,Kansas State,USA,2008,1,2,4.0,2.8,1.0,0.5,10.6,8.3,8.7,21.4,48.6,13.3,2014
Michael Kidd-Gilchrist,CHA,20,6-7,232,Kentucky,USA,2012,1,2,4.0,8.5,6.5,1.5,-2.3,8.7,21.7,20.0,54.1,11.1,2014
Mike Conley,MEM,26,6-1,185,Ohio State,USA,2007,1,4,7.0,15.9,4.6,7.9,-6.1,1.8,10.2,22.0,48.9,36.7,2014
Mike Dunleavy,CHI,33,6-9,230,Duke,USA,2002,1,3,5.0,13.2,3.6,2.4,-8.7,3.3,8.2,17.8,59.3,13.6,2014
Mike Miller,MEM,34,6-8,218,Florida,USA,2000,1,5,7.0,7.3,3.7,1.3,-8.4,1.1,14.0,13.0,55.5,8.8,2014
Mike Muscala,ATL,22,6-11,239,Bucknell,USA,2013,2,44,2.0,0.0,0.0,0.0,87.9,0.0,0.0,20.0,0.0,0.0,2014
Mike Scott,ATL,25,6-8,237,Virginia,USA,2012,2,43,7.0,9.4,2.6,0.4,2.1,2.0,10.6,22.2,47.7,4.0,2014
Mirza Teletovic,BKN,28,6-9,242,None,Bosnia and Herzegovina,Undrafted,Undrafted,Undrafted,12.0,8.3,3.3,0.3,-1.9,6.8,13.1,19.5,56.7,2.5,2014
Mo Williams,POR,31,6-1,195,Alabama,USA,2003,2,47,8.0,7.4,1.5,1.9,-12.5,1.0,5.0,17.8,46.2,12.1,2014
Monta Ellis,DAL,28,6-3,185,None,USA,2005,2,40,7.0,20.4,2.4,2.9,-10.7,2.2,5.0,27.7,50.8,14.1,2014
Nando De Colo,TOR,27,6-5,195,None,France,2009,2,53,1.0,0.0,1.0,0.0,57.1,0.0,12.5,0.0,0.0,0.0,2014
Nazr Mohammed,CHI,36,6-10,250,Kentucky,USA,1998,1,29,2.0,0.0,1.0,0.0,22.2,14.3,25.0,7.7,0.0,0.0,2014
Nemanja Nedovic,GSW,23,6-3,192,None,Serbia,2013,1,30,1.0,0.0,0.0,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,2014
Nene,WAS,31,6-11,250,None,Brazil,2002,1,7,10.0,13.7,5.3,2.6,-3.5,2.6,14.8,24.3,45.8,15.9,2014
Nick Collison,OKC,33,6-10,255,Kansas,USA,2003,1,12,17.0,1.9,2.2,0.8,-8.7,5.8,12.3,9.5,49.4,12.4,2014
Nicolas Batum,POR,25,6-8,200,None,France,2008,1,25,11.0,15.2,7.6,4.8,-3.5,2.1,15.5,16.6,56.2,18.0,2014
Norris Cole,MIA,25,6-2,175,Cleveland State,USA,2011,1,28,20.0,4.6,1.1,1.8,5.8,0.3,6.1,12.5,54.4,14.2,2014
Ognjen Kuzmic,GSW,24,7-0,251,None,Serbia,2012,2,52,3.0,0.0,1.3,0.0,-11.8,10.0,33.3,0.0,0.0,0.0,2014
Omer Asik,HOU,27,7-0,255,None,Turkey,2008,2,36,6.0,5.8,8.2,0.7,5.3,12.6,17.7,11.7,51.0,3.3,2014
Otto Porter Jr.,WAS,21,6-8,198,Georgetown,USA,2013,1,3,3.0,0.7,0.0,0.0,-41.0,0.0,0.0,18.8,33.3,0.0,2014
Patrick Beverley,HOU,25,6-1,185,Arkansas,USA,2009,2,42,6.0,8.7,4.2,1.8,-0.6,6.4,6.3,12.4,47.8,7.9,2014
Patrick Patterson,TOR,25,6-9,235,Kentucky,USA,2010,1,14,7.0,10.4,6.7,1.3,6.9,6.9,17.9,14.5,65.3,7.7,2014
Patty Mills,SAS,25,6-0,185,St. Mary's,Australia,2009,2,55,23.0,7.3,1.5,1.4,14.9,1.0,9.3,20.6,57.3,14.0,2014
Paul George,IND,24,6-9,220,Fresno State,USA,2010,1,10,19.0,22.6,7.6,3.8,1.0,1.8,17.4,25.6,57.8,17.8,2014
Paul Millsap,ATL,29,6-8,253,Louisiana Tech,USA,2006,2,47,7.0,19.4,10.9,2.9,-1.8,7.4,21.6,25.9,53.3,16.7,2014
Paul Pierce,BKN,36,6-7,235,Kansas,USA,1998,1,10,12.0,13.7,4.5,2.0,-0.1,1.3,16.0,21.3,57.3,11.4,2014
Pero Antic,ATL,31,6-11,260,None,Macedonia,Undrafted,Undrafted,Undrafted,7.0,3.1,3.9,0.7,8.9,5.4,10.9,14.3,24.2,4.9,2014
Perry Jones III,OKC,22,6-11,235,Baylor,USA,2012,1,28,11.0,1.5,0.8,0.1,-32.6,5.3,10.9,16.1,47.2,3.1,2014
Rashard Lewis,MIA,34,6-10,235,None,USA,1998,2,32,18.0,5.3,2.1,0.3,8.1,1.6,11.5,14.4,54.7,2.4,2014
Rasual Butler,IND,35,6-7,215,La Salle,USA,2002,2,52,11.0,1.7,0.5,0.1,-11.7,0.0,12.0,11.3,59.8,2.1,2014
Ray Allen,MIA,38,6-5,205,Connecticut,USA,1996,1,5,20.0,9.3,3.4,1.6,5.0,3.0,11.5,17.4,58.1,10.0,2014
Reggie Bullock,LAC,23,6-7,205,North Carolina,USA,2013,1,25,2.0,1.0,0.0,0.5,-123.6,0.0,0.0,7.7,100,100,2014
Reggie Jackson,OKC,24,6-3,208,Boston College,USA,2011,1,24,19.0,11.1,3.8,2.4,-2.3,2.6,10.2,18.4,58.2,14.7,2014
Robin Lopez,POR,26,7-0,255,Stanford,USA,2008,1,15,11.0,10.0,9.2,0.8,-9.4,12.1,14.6,13.6,53.0,3.6,2014
Roy Hibbert,IND,27,7-2,290,Georgetown,USA,2008,1,17,19.0,9.3,5.5,0.9,-3.0,8.8,11.8,17.8,51.1,5.6,2014
Russell Westbrook,OKC,25,6-3,200,UCLA,USA,2008,1,4,19.0,26.7,7.3,8.1,2.4,6.7,12.0,33.8,53.9,38.4,2014
Ryan Hollins,LAC,29,7-0,240,UCLA,USA,2006,2,50,5.0,0.6,0.6,0.0,-0.6,11.1,14.3,23.8,33.8,0.0,2014
Samuel Dalembert,DAL,34,6-11,250,Seton Hall,Haiti,2001,1,26,7.0,4.6,8.4,0.0,-12.1,15.0,30.3,11.7,52.3,0.0,2014
Serge Ibaka,OKC,24,6-10,245,None,Democratic Republic of the Congo,2008,1,24,17.0,12.1,6.8,0.7,4.6,5.8,13.6,14.2,63.3,3.3,2014
Shane Battier,MIA,35,6-8,220,Duke,USA,2001,1,6,16.0,2.3,0.6,0.3,3.4,0.6,5.7,8.2,65.6,3.6,2014
Shane Larkin,DAL,21,5-11,176,Miami,USA,2013,1,18,2.0,0.0,0.5,1.0,29.9,0.0,16.7,21.1,0.0,25.0,2014
