Date,Result,Opponent,Pts,FGM,FGA,FG%,PPS,AFG%,3PM,3PA,3P%,FTM,FTA,FT%,2FGM,2FGA,2FG%,OReb,DReb,Reb,Ast,Stl,Blk,TO,PF,Ast:TO,Stl:TO,Stl:PF,Blk:PF,Chr,Defl,TF,DD,TD
27-Nov,L 25-59,Eastside College Prep (CA),25,9,54,17,0.5,17,0,10,0,7,8,88,9,44,20,10,11,21,5,13,7,20,12,0.25,0.65,1.08,0.58,,0,,,
4-Dec,W 62-49,Crystal Springs Uplands (CA),62,24,60,40,1,44,5,20,25,9,15,60,19,40,48,12,22,34,11,17,5,17,12,0.65,1,1.42,0.42,,0,,1,
7-Dec,L 28-47,Palma (CA),28,9,26,35,1.1,42,4,12,33,6,12,50,5,14,36,1,17,18,7,12,4,29,6,0.24,0.41,2,0.67,,0,,,
8-Dec,W 42-41,Pacific Grove (CA),42,14,37,38,1.1,47,7,14,50,7,9,78,7,23,30,3,14,17,9,12,5,15,13,0.6,0.8,0.92,0.39,,0,,,
11-Dec,W 45-38,Oakwood (CA),45,15,48,31,0.9,41,9,28,32,6,13,46,6,20,30,5,25,30,12,12,5,9,10,1.33,1.33,1.2,0.5,,0,,1,
12-Dec,W 48-36,Woodside Priory (CA),48,19,49,39,1,44,5,17,29,5,7,71,14,32,44,5,19,24,13,15,4,12,11,1.08,1.25,1.36,0.36,,0,,,
18-Dec,W 77-29,Kehillah (CA),74,31,53,58,1.4,66,8,14,57,4,5,80,23,39,59,12,15,27,14,19,2,7,8,2,2.71,2.38,0.25,,0,,,
27-Dec,L 34-43,Head-Royce (CA),34,14,44,32,0.8,38,5,19,26,1,5,20,9,25,36,7,21,28,11,11,9,21,20,0.52,0.52,0.55,0.45,,0,,1,
28-Dec,W 43-24,Envision Academy (CA),43,20,51,39,0.8,40,1,8,13,2,5,40,19,43,44,18,26,44,11,4,5,19,12,0.58,0.21,0.33,0.42,,0,,1,
29-Dec,L 40-53,Pacific Ridge (CA),40,15,50,30,0.8,36,6,19,32,4,8,50,9,31,29,8,19,27,11,9,6,13,16,0.85,0.69,0.56,0.38,,0,,,
10-Jan,W 59-14,Design Tech (CA),59,24,62,39,1,44,7,24,29,4,6,67,17,38,45,18,23,41,14,24,2,13,8,1.08,1.85,3,0.25,,0,,,
11-Jan,W 58-17,Summit Preparatory (CA),58,22,61,36,1,43,9,28,32,5,9,56,13,33,39,19,30,49,14,17,2,13,10,1.08,1.31,1.7,0.2,,0,,,
15-Jan,W 81-6,San Francisco Christian (CA),81,36,61,59,1.3,60,1,7,14,8,15,53,35,54,65,18,23,41,17,27,0,14,6,1.21,1.93,4.5,0,,0,,,
17-Jan,W 60-52,Summit Shasta (CA),60,20,56,36,1.1,42,7,23,30,13,19,68,13,33,39,15,33,48,11,12,5,29,19,0.38,0.41,0.63,0.26,,0,,1,
22-Jan,W 59-40,Mid-Peninsula (CA),59,24,61,39,1,45,7,19,37,4,5,80,17,42,40,16,26,42,15,16,4,15,18,1,1.07,0.89,0.22,,0,,,
24-Jan,W 62-49,Pacific Bay Christian (CA),62,22,61,36,1,40,5,25,20,13,14,93,17,36,47,15,22,37,13,14,3,13,15,1,1.08,0.93,0.2,,0,,1,
28-Jan,W 43-27,Kehillah (CA),43,19,59,32,0.7,35,3,14,21,2,6,33,16,45,36,13,19,32,12,17,3,10,9,1.2,1.7,1.89,0.33,,0,,,
31-Jan,W 63-33,Design Tech (CA),63,23,47,49,1.3,54,5,12,42,12,16,75,18,35,51,11,19,30,13,17,5,9,11,1.44,1.89,1.55,0.46,,0,,,
1-Feb,W 81-47,Summit Preparatory (CA),81,35,72,49,1.1,51,3,14,21,8,16,50,32,58,55,17,25,42,11,20,1,10,12,1.1,2,1.67,0.08,,0,,1,
5-Feb,W 50-18,San Francisco Christian (CA),50,24,64,38,0.8,38,0,5,0,2,4,50,24,59,41,12,26,38,11,21,0,9,5,1.22,2.33,4.2,0,,0,,,
7-Feb,W 65-38,Summit Shasta (CA),65,27,59,46,1.1,51,6,19,32,5,14,36,21,40,53,11,27,38,17,17,3,13,15,1.31,1.31,1.13,0.2,,0,,,
11-Feb,W 60-39,Mid-Peninsula (CA),60,24,63,38,1,43,6,23,26,6,8,75,18,40,45,14,19,33,15,18,3,11,14,1.36,1.64,1.29,0.21,,0,,,
12-Feb,W 49-46,Pacific Bay Christian (CA),49,15,56,27,0.9,30,4,17,24,15,23,65,11,39,28,13,24,37,8,15,8,15,11,0.53,1,1.36,0.73,,0,,2,
19-Feb,W 48-42,Woodside Priory (CA),48,17,47,36,1,43,6,20,30,8,17,47,11,27,41,8,24,32,11,10,10,15,13,0.73,0.67,0.77,0.77,,0,,,
21-Feb,W 65-54,St. Francis (CA),65,25,49,51,1.3,58,7,16,44,8,11,73,18,33,55,6,20,26,17,8,6,10,10,1.7,0.8,0.8,0.6,,0,,1,
23-Feb,L 47-55,Eastside College Prep (CA),47,19,58,33,0.8,38,6,29,21,3,3,100,13,29,45,6,19,25,13,13,5,10,20,1.3,1.3,0.65,0.25,,0,,,
26-Feb,W 79-66,Liberty (CA),79,28,60,47,1.3,50,4,18,22,19,26,73,24,42,57,12,26,38,14,20,8,22,18,0.64,0.91,1.11,0.44,,0,,1,
28-Feb,L 51-54,Eastside College Prep (CA),51,20,58,34,0.9,39,5,16,31,6,6,100,15,42,36,10,25,35,12,8,6,17,13,0.71,0.47,0.62,0.46,,0,,1,
