,Player,FG-FGA,3P-3PA,FT-FTA,Off,Def,Tot,PF,TP,A,TO,Blk,Stl,Min,Date,Event
8,Yannick Smith,1-2,0-1,1-2,1,1,2,5,3,1,2,0,0,10,07/18/2022,16U Peach Jam
9,Tyree White,0-0,0-0,0-0,0,4,4,1,0,4,0,0,0,10,07/18/2022,16U Peach Jam
10,Derrick Eley,2-4,0-0,1-4,0,3,3,0,5,2,0,0,0,8,07/18/2022,16U Peach Jam
11,Jaylen Cross,1-3,0-1,0-0,0,1,1,0,2,2,0,1,0,12,07/18/2022,16U Peach Jam
12,Cameron Patterson,4-11,1-3,8-8,1,1,2,1,17,3,0,2,1,21,07/18/2022,16U Peach Jam
13,Jalen Shelley,9-11,4-5,2-2,0,6,6,2,24,1,2,1,1,31,07/18/2022,16U Peach Jam
14,William Fowler,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/18/2022,16U Peach Jam
15,Kalon Hargrove,0-1,0-0,1-4,0,1,1,1,1,2,1,0,1,12,07/18/2022,16U Peach Jam
16,Malakye Cunningham,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/18/2022,16U Peach Jam
17,Sargi Washington,2-5,2-4,0-0,1,1,2,4,6,4,2,0,0,24,07/18/2022,16U Peach Jam
18,Ethan Wilkerson,2-8,0-1,0-0,1,5,6,3,4,2,3,0,0,22,07/18/2022,16U Peach Jam
19,Cameron Jackson,4-5,0-0,0-0,2,1,3,2,8,0,2,2,1,21,07/18/2022,16U Peach Jam
20,Kellen Robinson,1-7,0-4,0-0,0,0,0,2,2,2,0,0,0,12,07/18/2022,16U Peach Jam
21,Jaylen Lawal,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/18/2022,16U Peach Jam
22,Jayden Ford,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/18/2022,16U Peach Jam
23,Adarius Borden,0-1,0-0,0-0,0,0,0,0,0,1,1,0,3,17,07/18/2022,16U Peach Jam
0,James Moore,5-7,1-1,0-0,4,2,6,2,11,0,1,3,0,22,07/24/2022,16U Peach Jam
1,Dwayne Pierce,1-1,0-0,2-2,0,3,3,5,4,1,1,0,2,22,07/24/2022,16U Peach Jam
2,Allyn Wright,0-1,0-0,0-1,0,0,0,2,0,0,1,0,0,8,07/24/2022,16U Peach Jam
3,Jaiden Glover,1-4,1-2,0-0,0,0,0,1,3,0,0,0,0,7,07/24/2022,16U Peach Jam
4,Qingfang Pang,3-8,2-4,0-0,0,3,3,1,8,0,1,0,0,16,07/24/2022,16U Peach Jam
5,Richard Brisco,1-1,0-0,0-0,1,1,2,0,2,0,0,0,0,9,07/24/2022,16U Peach Jam
6,Dylan Harper,9-17,1-2,5-9,0,3,3,4,24,3,3,0,2,31,07/24/2022,16U Peach Jam
7,Dante Green,1-1,0-0,0-0,1,0,1,1,2,2,0,0,0,12,07/24/2022,16U Peach Jam
8,Tyler Betsey,2-5,0-1,0-0,1,3,4,1,4,3,0,1,1,29,07/24/2022,16U Peach Jam
9,Nico Pena,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/24/2022,16U Peach Jam
10,Eric Ihekwaba,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,4,07/24/2022,16U Peach Jam
11,Daquan Davis,5-10,4-7,5-8,0,1,1,0,19,1,1,0,1,27,07/24/2022,16U Peach Jam
12,Nykolas Lewis,2-6,1-2,10-11,0,3,3,2,15,1,1,0,0,21,07/24/2022,16U Peach Jam
13,Nathan Guerengomba,1-6,0-3,1-2,0,4,4,0,3,4,0,0,1,23,07/24/2022,16U Peach Jam
14,Alfred Swinton,4-7,0-1,0-0,3,2,5,1,8,1,2,1,1,25,07/24/2022,16U Peach Jam
15,Mekai Johnson,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/24/2022,16U Peach Jam
16,Nijel Howard,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/24/2022,16U Peach Jam
17,Garrett Sundra,0-2,0-1,0-0,2,4,6,0,0,0,0,0,0,10,07/24/2022,16U Peach Jam
18,Daniel Holmes,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/24/2022,16U Peach Jam
19,Benjamin Hammond,2-3,0-1,1-2,0,0,0,3,5,2,1,0,0,13,07/24/2022,16U Peach Jam
20,Christian Gurdak,3-7,0-0,1-2,4,2,6,2,7,1,0,2,1,18,07/24/2022,16U Peach Jam
