LINEUPS,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
".S. Curry, .K. Thompson, .O. Porter Jr., .K. Looney, .J. Poole",GSW,1,5.4,10.0,4.0,9.0,44.4,2.0,6.0,33.3,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,-4.0
".A. Iguodala, .S. Curry, .O. Porter Jr., .G. Payton II, .J. Kuminga",GSW,1,5.3,13.0,5.0,9.0,55.6,1.0,5.0,20.0,2.0,2.0,100,1.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,-2.0
".N. Bjelica, .D. Lee, .C. Chiozza, .J. Kuminga, .M. Moody",GSW,1,5.3,12.0,4.0,9.0,44.4,3.0,5.0,60.0,1.0,2.0,50.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,-5.0
".A. Iguodala, .N. Bjelica, .O. Porter Jr., .D. Lee, .C. Chiozza",GSW,1,5.2,14.0,6.0,11.0,54.5,2.0,4.0,50.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,-1.0
".N. Bjelica, .K. Thompson, .D. Green, .O. Porter Jr., .J. Poole",GSW,1,5.1,12.0,5.0,9.0,55.6,1.0,4.0,25.0,1.0,1.0,100,0.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0
".S. Curry, .N. Bjelica, .D. Green, .O. Porter Jr., .M. Moody",GSW,1,5.1,22.0,7.0,8.0,87.5,5.0,6.0,83.3,3.0,5.0,60.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0
".N. Bjelica, .K. Looney, .D. Lee, .C. Chiozza, .J. Kuminga",GSW,1,4.9,15.0,6.0,9.0,66.7,2.0,5.0,40.0,1.0,2.0,50.0,0.0,3.0,3.0,6.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0
".A. Iguodala, .S. Curry, .A. Wiggins, .J. Toscano-Anderson, .J. Poole",GSW,1,4.8,7.0,3.0,12.0,25.0,1.0,9.0,11.1,0.0,0.0,0.0,2.0,3.0,5.0,3.0,1.0,0.0,0.0,1.0,3.0,1.0,-3.0
".G. Payton II, .C. Chiozza, .Q. Weatherspoon, .J. Kuminga, .M. Moody",GSW,1,4.8,17.0,7.0,10.0,70.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,2.0,0.0,1.0,3.0,0.0,7.0
".O. Porter Jr., .D. Lee, .J. Toscano-Anderson, .J. Poole, .M. Moody",GSW,1,4.8,7.0,3.0,9.0,33.3,1.0,6.0,16.7,0.0,0.0,0.0,0.0,5.0,5.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,-4.0
".S. Curry, .D. Green, .D. Lee, .C. Chiozza, .J. Toscano-Anderson",GSW,1,4.6,8.0,4.0,8.0,50.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
".A. Iguodala, .S. Curry, .N. Bjelica, .G. Payton II, .J. Poole",GSW,1,4.4,11.0,4.0,9.0,44.4,1.0,5.0,20.0,2.0,2.0,100,0.0,4.0,4.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,5.0
".S. Curry, .N. Bjelica, .D. Lee, .C. Chiozza, .J. Toscano-Anderson",GSW,1,4.4,15.0,5.0,7.0,71.4,2.0,3.0,66.7,3.0,3.0,100,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
".A. Iguodala, .S. Curry, .D. Lee, .J. Toscano-Anderson, .J. Poole",GSW,1,4.3,7.0,3.0,7.0,42.9,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,-4.0
".O. Porter Jr., .J. Toscano-Anderson, .J. Poole, .J. Kuminga, .M. Moody",GSW,1,4.3,12.0,5.0,8.0,62.5,0.0,2.0,0.0,2.0,2.0,100,0.0,3.0,3.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0
".D. Lee, .J. Toscano-Anderson, .J. Poole, .Q. Weatherspoon, .J. Kuminga",GSW,1,4.2,13.0,4.0,8.0,50.0,2.0,5.0,40.0,3.0,3.0,100,0.0,6.0,6.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0
".S. Curry, .D. Green, .O. Porter Jr., .A. Wiggins, .K. Looney",GSW,1,4.2,11.0,5.0,10.0,50.0,1.0,5.0,20.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
".A. Iguodala, .S. Curry, .G. Payton II, .D. Lee, .J. Toscano-Anderson",GSW,1,4.1,7.0,3.0,9.0,33.3,1.0,6.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,-3.0
".A. Iguodala, .S. Curry, .N. Bjelica, .O. Porter Jr., .C. Chiozza",GSW,1,4.1,9.0,3.0,8.0,37.5,2.0,7.0,28.6,1.0,2.0,50.0,2.0,4.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0
".K. Looney, .D. Lee, .C. Chiozza, .J. Poole, .J. Kuminga",GSW,1,4.1,13.0,5.0,10.0,50.0,2.0,3.0,66.7,1.0,1.0,100,4.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
".D. Green, .K. Looney, .G. Payton II, .D. Lee, .J. Poole",GSW,1,4.0,11.0,3.0,4.0,75.0,1.0,2.0,50.0,4.0,6.0,66.7,0.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,5.0,6.0
".K. Thompson, .K. Looney, .J. Poole, .J. Kuminga, .M. Moody",GSW,1,4.0,3.0,1.0,5.0,20.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,-2.0
".N. Bjelica, .C. Chiozza, .J. Toscano-Anderson, .J. Kuminga, .M. Moody",GSW,1,4.0,6.0,1.0,7.0,14.3,1.0,5.0,20.0,3.0,4.0,75.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,-5.0
".A. Iguodala, .O. Porter Jr., .A. Wiggins, .J. Poole, .J. Kuminga",GSW,1,3.9,7.0,3.0,6.0,50.0,0.0,1.0,0.0,1.0,1.0,100,1.0,2.0,3.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,4.0
".D. Green, .O. Porter Jr., .D. Lee, .J. Poole, .M. Moody",GSW,1,3.9,8.0,2.0,6.0,33.3,1.0,4.0,25.0,3.0,3.0,100,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,-2.0
".D. Lee, .C. Chiozza, .Q. Weatherspoon, .J. Kuminga, .M. Moody",GSW,1,3.9,8.0,2.0,5.0,40.0,2.0,3.0,66.7,2.0,2.0,100,1.0,5.0,6.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0
".S. Curry, .D. Green, .K. Looney, .G. Payton II, .J. Kuminga",GSW,1,3.9,13.0,3.0,8.0,37.5,3.0,6.0,50.0,4.0,4.0,100,2.0,3.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0
".S. Curry, .O. Porter Jr., .D. Lee, .C. Chiozza, .J. Toscano-Anderson",GSW,1,3.9,8.0,3.0,7.0,42.9,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,-2.0
".D. Green, .A. Wiggins, .G. Payton II, .D. Lee, .J. Poole",GSW,1,3.7,4.0,2.0,5.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,-10.0
".N. Bjelica, .K. Thompson, .D. Green, .C. Chiozza, .J. Kuminga",GSW,1,3.7,10.0,4.0,8.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0
".S. Curry, .N. Bjelica, .D. Green, .A. Wiggins, .M. Moody",GSW,1,3.7,5.0,2.0,9.0,22.2,0.0,1.0,0.0,1.0,1.0,100,3.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,-9.0
".A. Iguodala, .N. Bjelica, .D. Lee, .C. Chiozza, .M. Moody",GSW,1,3.5,6.0,3.0,7.0,42.9,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,-6.0
".N. Bjelica, .G. Payton II, .C. Chiozza, .J. Kuminga, .M. Moody",GSW,1,3.5,5.0,1.0,7.0,14.3,0.0,2.0,0.0,3.0,4.0,75.0,3.0,4.0,7.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,-5.0
".N. Bjelica, .G. Payton II, .D. Lee, .C. Chiozza, .J. Toscano-Anderson",GSW,1,3.5,6.0,3.0,5.0,60.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0
".S. Curry, .N. Bjelica, .C. Chiozza, .J. Toscano-Anderson, .J. Kuminga",GSW,1,3.5,3.0,1.0,6.0,16.7,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,-6.0
".S. Curry, .O. Porter Jr., .A. Wiggins, .C. Chiozza, .J. Toscano-Anderson",GSW,1,3.5,16.0,6.0,8.0,75.0,4.0,5.0,80.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
".K. Looney, .G. Payton II, .D. Lee, .J. Toscano-Anderson, .J. Dowtin",GSW,1,3.4,5.0,2.0,6.0,33.3,0.0,3.0,0.0,1.0,2.0,50.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-4.0
".N. Bjelica, .O. Porter Jr., .A. Wiggins, .J. Poole, .J. Kuminga",GSW,1,3.4,10.0,3.0,5.0,60.0,2.0,3.0,66.7,2.0,4.0,50.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,7.0
".A. Iguodala, .S. Curry, .K. Thompson, .A. Wiggins, .K. Looney",GSW,1,3.2,12.0,5.0,8.0,62.5,1.0,1.0,100,1.0,2.0,50.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0
".A. Iguodala, .S. Curry, .K. Thompson, .J. Poole, .J. Kuminga",GSW,1,3.2,8.0,3.0,6.0,50.0,0.0,2.0,0.0,2.0,2.0,100,0.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0
".N. Bjelica, .D. Lee, .J. Poole, .Q. Weatherspoon, .J. Kuminga",GSW,1,3.2,7.0,3.0,6.0,50.0,0.0,2.0,0.0,1.0,1.0,100,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,5.0,1.0,-1.0
".S. Curry, .D. Green, .O. Porter Jr., .A. Wiggins, .G. Payton II",GSW,1,3.2,13.0,5.0,6.0,83.3,3.0,4.0,75.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
".S. Curry, .N. Bjelica, .D. Green, .G. Payton II, .D. Lee",GSW,1,3.2,13.0,5.0,7.0,71.4,3.0,5.0,60.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,1.0,2.0,0.0,0.0,3.0,0.0,11.0
".A. Iguodala, .A. Wiggins, .J. Poole, .J. Kuminga, .M. Moody",GSW,1,3.1,4.0,2.0,6.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0
".A. Iguodala, .A. Wiggins, .K. Looney, .D. Lee, .J. Kuminga",GSW,1,3.1,3.0,1.0,4.0,25.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,-3.0
".A. Iguodala, .N. Bjelica, .O. Porter Jr., .C. Chiozza, .J. Kuminga",GSW,1,3.1,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.0
