Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
27,Ron Baker,SG,25,TOT,15,152,2.5,0.309,0.65,0.3,0.7,7.2,3.8,12.7,1.9,0.6,18.1,7.7,-0.2,0.1,-0.1,-0.033,-5.8,-0.7,-6.6,-0.2
27,Ron Baker,SG,25,NYK,11,107,4.4,0.376,0.563,0.375,0.9,6.1,3.4,15.9,2.2,0,13.9,8.6,0,0,0,0.004,-4.6,-1.3,-5.9,-0.1
27,Ron Baker,SG,25,WAS,4,45,-2,0,1,0,0,9.9,4.9,5.1,1,1.9,33.3,5.7,-0.1,0,-0.1,-0.121,-8.9,0.7,-8.2,-0.1
28,Wade Baldwin,PG,22,POR,16,94,1.4,0.396,0.273,0.333,2.3,14.4,8.5,16.8,0.5,1.7,27,23.3,-0.4,0.1,-0.3,-0.154,-9.4,-1.4,-10.8,-0.2
29,Lonzo Ball,PG,21,LAL,47,1423,11.8,0.487,0.5,0.105,4,14,9.1,23.7,2.3,1.1,17.8,16.9,-0.2,1.7,1.5,0.051,-0.9,1.3,0.4,0.9
30,Mohamed Bamba,C,20,ORL,47,766,15,0.539,0.288,0.259,8.8,24,16.3,7.5,0.8,7,13.7,17.9,0.3,1.4,1.6,0.103,-3.3,3.1,-0.2,0.3
31,J.J. Barea,PG,34,DAL,38,752,16.5,0.495,0.332,0.203,1.9,11.6,6.8,48.3,1.4,0.1,14.7,28,0.5,0.6,1.1,0.068,1.2,-2.2,-1,0.2
32,Harrison Barnes,PF-SF,26,TOT,60,1983,12.9,0.538,0.436,0.277,2.5,12.8,7.7,6.5,1.1,0.5,7.7,22,1.3,1.5,2.8,0.067,-0.9,-1.8,-2.6,-0.3
32,Harrison Barnes,PF,26,DAL,49,1584,13.2,0.538,0.434,0.276,2.5,11.5,7,6.4,1,0.6,7.8,23.6,1,1.1,2.1,0.063,-0.8,-2.1,-3,-0.4
32,Harrison Barnes,SF,26,SAC,11,399,11.6,0.538,0.447,0.285,2.8,18,10.3,6.9,1.4,0.2,7.4,15.4,0.3,0.4,0.7,0.083,-1,-0.3,-1.3,0.1
33,Will Barton,SG,28,DEN,26,724,12.8,0.52,0.411,0.181,3.4,16.1,9.7,16.4,0.7,1.9,11.7,20.5,0.5,0.7,1.2,0.077,-0.9,-0.5,-1.3,0.1
34,Keita Bates-Diop,SF,23,MIN,15,202,11.4,0.524,0.364,0.291,3.2,15,9,3.4,1.2,3.4,4.6,13.5,0.1,0.2,0.3,0.067,-2.7,-0.3,-3,0
35,Nicolas Batum,SF,30,CHO,66,2127,12.3,0.585,0.524,0.159,3.2,14.8,9,14.9,1.5,1.5,16.1,13.4,2,1.7,3.7,0.084,0.3,0.9,1.2,1.7
36,Jerryd Bayless,PG,30,MIN,22,434,7.5,0.412,0.5,0.08,1.7,7.7,4.7,23.7,1.2,0.2,10.9,16.8,-0.2,0.1,-0.1,-0.006,-2.4,-2.9,-5.3,-0.4
37,Aron Baynes,C,32,BOS,38,558,14.2,0.567,0.323,0.316,11.8,18.9,15.3,10.7,0.5,3.5,14.3,16.2,0.9,0.8,1.7,0.144,-0.8,1.1,0.3,0.3
38,Kent Bazemore,SG,29,ATL,54,1389,13,0.523,0.42,0.257,2.5,14.5,8.4,13.7,2.7,2.4,13.8,22.3,-0.2,1.3,1.1,0.037,-1.7,0.3,-1.3,0.2
39,Bradley Beal,SG,25,WAS,66,2480,20.5,0.581,0.367,0.27,3.3,12,7.6,23.8,1.8,1.7,11.4,28.3,4.6,1.4,6,0.117,3.6,-1,2.6,2.8
40,Malik Beasley,SG,22,DEN,65,1561,14.9,0.624,0.541,0.083,2,9.7,5.8,7.5,1.3,0.5,6.1,17.7,3.1,1.2,4.4,0.134,2.1,-1.9,0.2,0.9
41,Michael Beasley,PF,30,LAL,26,277,16,0.532,0.111,0.255,5,17.1,11.2,14.7,1.5,2.9,13.7,29.6,-0.1,0.3,0.2,0.038,-3.6,-0.6,-4.2,-0.2
42,Marco Belinelli,SG,32,SAS,65,1502,12.9,0.568,0.579,0.192,1,10.6,5.8,10.9,1,0.4,8.4,19.8,1.7,0.8,2.4,0.078,1.2,-2.6,-1.4,0.2
43,Jordan Bell,C,24,GSW,54,627,13.9,0.546,0.014,0.243,8.2,17.3,12.9,12.8,1.4,5.5,15.4,12.8,0.7,0.8,1.5,0.116,-2.3,2.9,0.6,0.4
44,DeAndre' Bembry,SG,24,ATL,68,1640,9.8,0.495,0.289,0.203,2.5,16.4,9.3,14.3,2.3,2,17.2,16.8,-1,1.4,0.4,0.012,-3.7,1,-2.6,-0.3
45,Dragan Bender,PF,21,PHO,32,422,7.9,0.492,0.571,0.257,4.9,20.7,12.7,8.5,0.8,1.2,14.6,13.9,-0.1,0.2,0,0.005,-3.8,-1.4,-5.2,-0.3
46,Dairis Bertans,G,29,NOP,1,6,-3.7,0,0,0,0,0,0,18.4,0,0,0,6.9,0,0,0,-0.107,-10.6,-6.5,-17.1,0
47,Davis Bertans,PF,26,SAS,61,1314,13.5,0.653,0.737,0.127,1.8,15.8,8.9,7.6,1.1,1.9,8.3,13.6,2.3,1.1,3.4,0.124,2,-0.3,1.7,1.2
48,Patrick Beverley,PG,30,LAC,67,1832,11.5,0.557,0.592,0.284,3.8,15.6,9.9,17.6,1.5,1.6,14.1,11.9,2.2,1.9,4.1,0.107,0.9,1.5,2.4,2
49,Khem Birch,C,26,ORL,36,428,18.6,0.674,0.012,0.512,11.6,19.3,15.4,8.3,1.4,4.3,11,12.1,1.2,0.7,1.9,0.211,-0.2,2.8,2.6,0.5
50,Bismack Biyombo,C,26,CHO,38,541,15.4,0.623,0,0.68,10.6,24.6,17.6,5.1,0.7,5.9,13.9,12,1,0.7,1.7,0.148,-2.4,2.2,-0.2,0.2
51,Nemanja Bjelica,PF,30,SAC,61,1412,15.5,0.59,0.453,0.152,6.9,18.6,12.7,11.4,1.5,3.1,12.9,16.7,1.9,1.7,3.6,0.122,0.8,1.6,2.4,1.6
52,Antonio Blakeney,SG,22,CHI,46,630,11.9,0.51,0.239,0.207,1,11.1,6.1,6.6,0.8,1.1,7.7,25.4,-0.4,0.2,-0.2,-0.014,-4.1,-4,-8.1,-1
53,Eric Bledsoe,PG,29,MIL,65,1897,19.4,0.581,0.392,0.227,3.9,12,8.2,27,2.2,1,13,22.6,4,3.1,7,0.178,2.7,0.8,3.5,2.6
54,Jaron Blossomgame,SF,25,CLE,27,439,10.2,0.51,0.368,0.123,6.3,19,12.4,4.3,0.8,1.6,9,12.2,0.2,0.1,0.3,0.031,-3.1,-1.4,-4.5,-0.3
55,Bogdan Bogdanovic,SG,26,SAC,53,1515,14,0.525,0.431,0.193,1.7,11.8,6.7,19.9,1.8,0.7,11.4,22.7,0.8,1.3,2.1,0.066,0.3,-0.9,-0.5,0.6
56,Bojan Bogdanovic,SF,29,IND,67,2131,15.9,0.615,0.371,0.285,1.6,12.4,7.1,8.7,1.3,0,10,21.9,3.3,2.4,5.7,0.129,1.3,-1.4,-0.1,1
57,Jonah Bolden,PF,23,PHI,36,477,12.4,0.601,0.568,0.178,7.6,20.4,14.2,8.4,1.3,5.4,19.6,13.9,0.2,0.8,1,0.101,-1.5,2.6,1.1,0.4
58,Isaac Bonga,PG,19,LAL,10,38,9.7,0.358,0.2,0.9,8.4,13.3,10.9,22.1,3.7,2.1,22.3,19.6,-0.1,0.1,0,-0.028,-6.1,2.3,-3.8,0
59,Devin Booker,SG,22,PHO,53,1853,19,0.576,0.336,0.34,1.9,11.3,6.5,33.3,1.3,0.5,15.6,31.7,2.2,0.3,2.6,0.067,3.2,-2.8,0.4,1.1
60,Chris Boucher,PF,26,TOR,21,108,25,0.552,0.527,0.236,13.2,19.7,16.5,0,1.3,15.2,3.2,24.8,0.2,0.3,0.5,0.23,-1.1,0.8,-0.3,0
61,Avery Bradley,SG,28,TOT,61,1852,7.7,0.495,0.398,0.084,2.4,7.5,5,11.7,1.1,0.7,12.5,16.1,-0.6,1.1,0.5,0.012,-1.8,-0.8,-2.5,-0.2
61,Avery Bradley,SG,28,LAC,49,1463,5.6,0.464,0.41,0.06,2.6,6.7,4.7,8.9,0.9,0.9,12.4,14.2,-1,0.7,-0.3,-0.008,-2.4,-0.6,-3,-0.4
61,Avery Bradley,SG,28,MEM,12,389,15.3,0.573,0.368,0.147,1.7,10.6,6.1,22.2,1.8,0,12.6,23,0.3,0.4,0.7,0.091,0.7,-1.5,-0.8,0.1
62,Tony Bradley,C,21,UTA,1,9,-10.4,0,0,0,24.3,11.9,18.1,0,0,0,25,19,-0.1,0,-0.1,-0.342,-17.4,-5.6,-22.9,0
63,Corey Brewer,SF,32,TOT,14,243,10.4,0.519,0.377,0.286,2.2,9,5.6,10.1,2.7,1.3,10.3,16.6,0.1,0.3,0.4,0.07,-2.1,0,-2.2,0
63,Corey Brewer,SF,32,PHI,7,140,10.8,0.484,0.286,0.265,3.1,9.6,6.5,10.1,4,1.1,12.8,18.8,-0.1,0.2,0.1,0.048,-3.2,1,-2.1,0
63,Corey Brewer,SF,32,SAC,7,103,9.9,0.579,0.536,0.321,1,8.1,4.5,10.2,0.9,1.7,5.9,13.6,0.2,0.1,0.2,0.099,-0.8,-1.5,-2.3,0
64,Mikal Bridges,SF,22,PHO,68,1897,11.5,0.571,0.584,0.209,2.7,10.1,6.3,9.8,2.7,1.5,10.3,12.3,1.7,1.1,2.8,0.071,-0.1,0.6,0.5,1.2
65,Miles Bridges,SF,20,CHO,64,1224,12.1,0.536,0.388,0.178,3.9,16.5,10.1,6.8,1.4,2.6,8.9,15.4,0.7,1.1,1.8,0.071,-1.9,0.2,-1.7,0.1
66,Isaiah Briscoe,PG,22,ORL,39,559,6.8,0.455,0.246,0.188,0.9,13.4,7.1,21.3,1,0.3,17.2,14.1,-0.3,0.5,0.2,0.02,-5,-0.6,-5.7,-0.5
67,Ryan Broekhoff,SG,28,DAL,30,253,8.9,0.555,0.753,0.027,1.3,11.8,6.6,8.8,0.6,1,8.7,13.7,0.2,0.2,0.3,0.06,-1.7,-1.6,-3.4,-0.1
68,Malcolm Brogdon,SG,26,MIL,62,1805,18,0.614,0.324,0.204,3.9,11.9,8.2,16.2,1.1,0.6,10,20.7,4.3,2.3,6.6,0.175,2,-0.3,1.7,1.7
69,Dillon Brooks,SF,23,MEM,18,330,7.7,0.499,0.328,0.246,3,7.6,5.3,7.7,1.5,1.2,12.3,21.1,-0.3,0.3,0,0.002,-4.2,-1.6,-5.8,-0.3
70,MarShon Brooks,SG,30,MEM,29,387,11.7,0.518,0.32,0.195,3.4,9.8,6.6,11.2,1.2,1,10.3,23.8,-0.2,0.4,0.2,0.024,-2.9,-2.4,-5.3,-0.3
71,Bruce Brown,SG,22,DET,57,1151,6.5,0.457,0.293,0.188,3.6,11.4,7.4,8.7,1.1,2.1,11.9,12.2,-0.3,1.2,0.9,0.039,-3.9,1.5,-2.4,-0.1
72,Jaylen Brown,SG,22,BOS,62,1600,12.9,0.531,0.347,0.238,3.8,14.3,9,7.7,1.8,1.6,10.3,22.3,0.2,2.2,2.3,0.07,-2,-0.3,-2.3,-0.1
73,Lorenzo Brown,PG,28,TOR,26,212,6.4,0.38,0.394,0.042,2.6,13.1,7.9,17.3,2.7,1.9,18.1,17.8,-0.4,0.3,-0.1,-0.027,-5.7,1.5,-4.2,-0.1
74,Sterling Brown,SG,23,MIL,48,769,10.3,0.563,0.521,0.117,3.4,13.9,8.9,10.1,1.2,0.5,12.5,14,0.6,1,1.6,0.099,-1.5,0,-1.4,0.1
75,Troy Brown,SF,19,WAS,36,303,12.7,0.463,0.269,0.231,5.3,18,11.5,20.2,1.7,0.6,8,17.4,0.2,0.2,0.4,0.059,-2.4,-1.1,-3.4,-0.1
76,Jalen Brunson,PG,22,DAL,58,1147,11.5,0.528,0.319,0.198,1.8,10.1,6,21.5,1.2,0.2,13.2,18.6,0.6,0.8,1.4,0.059,-1.7,-1.5,-3.2,-0.3
77,Thomas Bryant,C,21,WAS,56,1067,21.5,0.683,0.183,0.27,7.9,25.2,16.4,9.6,0.9,3.9,9.1,17.4,3.2,1,4.2,0.189,1.3,0.5,1.8,1
78,Reggie Bullock,SG,27,TOT,55,1679,10.4,0.561,0.662,0.144,1.3,8.8,5,10.7,0.9,0.5,9.7,15.8,1.5,1.3,2.7,0.078,0.2,-0.9,-0.6,0.6
78,Reggie Bullock,SG,27,DET,44,1355,11,0.569,0.667,0.145,1.6,8.6,5,11.9,0.9,0.3,10.3,16.6,1.4,1,2.4,0.087,0.8,-1,-0.2,0.6
78,Reggie Bullock,SG,27,LAL,11,324,7.8,0.521,0.635,0.141,0.3,9.7,5.1,5.5,1,1.5,6.2,12.3,0.1,0.2,0.3,0.045,-2.1,-0.4,-2.5,0
79,Trey Burke,PG,26,TOT,44,844,15.7,0.503,0.256,0.22,2.7,7.7,5.1,22.7,1.6,0.5,8,25.3,0.6,0.4,1,0.056,-0.1,-2.9,-3,-0.2
79,Trey Burke,PG,26,NYK,33,689,15.7,0.496,0.24,0.209,2.2,7.4,4.7,23.3,1.5,0.6,6.9,25.8,0.5,0.2,0.7,0.049,0,-3.2,-3.2,-0.2
79,Trey Burke,PG,26,DAL,11,155,15.5,0.542,0.344,0.281,4.9,8.9,6.9,19.9,2.2,0,13.3,22.9,0.1,0.1,0.3,0.086,-0.4,-1.5,-1.9,0
80,Alec Burks,SG,27,TOT,59,1337,12.7,0.523,0.355,0.3,2.3,17,9.4,13.8,1.2,1.3,10.6,19.3,0.7,0.7,1.4,0.051,-1.5,-0.8,-2.3,-0.1
80,Alec Burks,SG,27,UTA,17,269,12.6,0.547,0.377,0.333,0.8,10,5.4,11.4,1.1,1.2,10.3,23.1,0.2,0.3,0.4,0.08,-2.1,-1.7,-3.7,-0.1
80,Alec Burks,SG,27,CLE,34,979,13.2,0.517,0.35,0.288,2.8,18.9,10.6,15.2,1.3,1.4,10.7,19.2,0.6,0.3,0.9,0.044,-1.1,-0.7,-1.7,0.1
80,Alec Burks,SG,27,SAC,8,89,7.6,0.495,0.313,0.313,1.1,16.4,8.6,5.5,1.6,1,9.9,9.4,0,0.1,0.1,0.047,-4.5,0.5,-4,0
81,Deonte Burton,SG,25,OKC,23,200,7.9,0.511,0.318,0.121,1.5,10,5.7,4.7,1.2,3.3,11.5,15.9,-0.1,0.2,0.2,0.043,-5.1,-0.2,-5.3,-0.2
82,Jimmy Butler,SF-SG,29,TOT,55,1849,20.7,0.576,0.216,0.39,5.9,10.3,8.2,18.1,2.7,1.5,8.1,22.3,4.8,2.2,7,0.181,2.8,0.8,3.6,2.6
82,Jimmy Butler,SG,29,MIN,10,361,22.4,0.579,0.287,0.389,4.7,10.8,7.7,18.1,3.2,2.4,7.1,22.9,1,0.4,1.4,0.184,3.8,0.9,4.7,0.6
82,Jimmy Butler,SF,29,PHI,45,1488,20.3,0.575,0.198,0.39,6.2,10.2,8.3,18.1,2.6,1.3,8.4,22.2,3.8,1.8,5.6,0.181,2.6,0.7,3.3,2
83,Bruno Caboclo,SF,23,MEM,20,412,9.2,0.523,0.625,0.212,4.6,14.8,9.6,8.2,0.8,4.6,14.3,14.5,0,0.5,0.5,0.061,-2.9,1.6,-1.3,0.1
84,Jose Calderon,PG,37,DET,48,628,7.2,0.456,0.471,0.092,1.9,8.8,5.2,24.7,1.2,0.4,22,10.9,0.1,0.6,0.6,0.048,-3.8,-1,-4.7,-0.4
85,Kentavious Caldwell-Pope,SG,25,LAL,66,1512,11.5,0.562,0.575,0.221,2.4,9,5.8,6.2,1.7,0.5,7.7,16.4,1.4,1.2,2.6,0.081,-0.2,-1.1,-1.4,0.2
86,Isaiah Canaan,PG,27,TOT,30,629,8,0.518,0.585,0.146,1,9.3,5.1,18.2,1.1,0.3,16.7,14.2,0.1,0.1,0.1,0.011,-2.4,-2.6,-5,-0.5
86,Isaiah Canaan,PG,27,PHO,19,503,7.4,0.515,0.558,0.155,1.1,9.9,5.4,17,1.1,0,17.4,14.2,-0.1,0,0,-0.004,-2.6,-2.4,-5,-0.4
86,Isaiah Canaan,PG,27,MIN,7,95,12.4,0.536,0.655,0.138,0,5.7,2.8,26.8,1,0.9,11.5,15.3,0.1,0,0.2,0.085,-0.3,-4.6,-4.9,-0.1
86,Isaiah Canaan,PG,27,MIL,4,31,5.3,0.5,0.833,0,3.5,9.4,6.6,11.6,0,2.7,25,10.9,0,0,0,0.031,-4.1,-0.1,-4.2,0
87,Clint Capela,C,24,HOU,51,1741,23.3,0.643,0,0.352,14.8,26.4,20.4,6.8,1,4.2,10.4,18.4,5.6,2,7.6,0.208,1,1.2,2.3,1.9
88,DeMarre Carroll,SF,32,BRK,55,1395,12.5,0.549,0.532,0.455,4.3,17.9,11.1,7.6,0.9,0.5,9.8,18.8,1.4,1.3,2.6,0.091,-0.9,-0.9,-1.7,0.1
89,Jevon Carter,PG,23,MEM,28,409,4.7,0.368,0.525,0.136,1.4,9.5,5.4,16.1,2.7,2.3,16.7,16.5,-1,0.6,-0.4,-0.046,-6.1,1,-5.1,-0.3
90,Vince Carter,SF,42,ATL,63,1052,11.9,0.573,0.659,0.134,2.6,13.7,8,9.3,1.6,1.6,9.3,16.6,1,0.6,1.6,0.074,-0.1,-1.4,-1.6,0.1
91,Wendell Carter,C,19,CHI,44,1110,15.3,0.541,0.086,0.302,8.5,21.7,15.1,10.8,1.1,4.6,13.4,19.2,0.7,1.2,1.9,0.083,-2.3,1.9,-0.4,0.5
92,Michael Carter-Williams,PG,27,HOU,16,145,12.8,0.476,0.311,0.426,2.2,8,5,23,3.1,3.5,12.1,24.6,0,0.2,0.1,0.038,-3.2,-0.7,-3.8,-0.1
93,Alex Caruso,PG,24,LAL,9,85,12.5,0.674,0.278,0.444,2.5,8.3,5.5,10.9,0,2.8,4.4,11,0.2,0,0.3,0.146,-0.6,-1.1,-1.7,0
94,Omri Casspi,SF,30,MEM,36,520,15.9,0.606,0.267,0.36,3.6,21.6,12.5,8.2,1.9,1.7,11,18.2,0.6,0.8,1.4,0.127,-2,0.4,-1.5,0.1
95,Willie Cauley-Stein,C,25,SAC,65,1816,17.7,0.553,0.003,0.346,8.3,22.9,15.5,12.7,2,2.1,9.3,18.3,2.7,2.5,5.3,0.14,-0.4,2.3,1.9,1.8
96,Troy Caupain,PG,23,ORL,2,9,33,0.625,0.5,0,0,24.2,11.9,55.1,5.4,0,0,19.4,0.1,0,0.1,0.397,9.3,2.2,11.5,0
97,Tyler Cavanaugh,PF,24,UTA,8,19,5.5,0.436,0.5,0.333,5.8,17,11.4,0,0,0,12.7,17.7,0,0,0,-0.026,-8.1,-5.6,-13.7,-0.1
98,Tyson Chandler,C,36,TOT,53,846,11.4,0.625,0.01,0.856,11.5,25.1,18.4,5.4,1.2,2.1,22.6,8.5,1,1.1,2.1,0.117,-2.8,1.7,-1.1,0.2
98,Tyson Chandler,C,36,PHO,7,89,11.6,0.653,0,1.5,8.6,40.9,24.4,9.2,1.1,0.9,26,13,0.1,0.1,0.2,0.094,-5,0.1,-4.8,-0.1
98,Tyson Chandler,C,36,LAL,46,757,11.4,0.621,0.012,0.765,11.8,23.2,17.7,5,1.2,2.2,22,8,0.9,1,1.9,0.119,-2.6,1.9,-0.6,0.3
99,Wilson Chandler,PF,31,PHI,36,951,9.1,0.561,0.57,0.087,5.1,13.5,9.4,10,1.1,1.5,15.4,11.2,0.6,0.9,1.5,0.077,-0.7,0.8,0.1,0.5
100,Joe Chealey,PG,23,CHO,1,8,2,0.333,0,0,0,0,0,17.6,0,0,0,16.1,0,0,0,-0.075,-8.8,-8.1,-17,0
101,Marquese Chriss,PF,21,TOT,28,321,9.2,0.483,0.47,0.239,7.7,23.1,15.1,7.6,1.7,1.9,17.8,21.4,-0.4,0.2,-0.1,-0.022,-4.3,-1.4,-5.7,-0.3
101,Marquese Chriss,PF,21,HOU,16,104,3.5,0.391,0.441,0.206,7.3,23.3,15.1,8.3,0.9,3.3,24.4,20.5,-0.3,0.1,-0.2,-0.108,-9.2,-0.6,-9.7,-0.2
101,Marquese Chriss,PF,21,CLE,12,217,11.9,0.52,0.482,0.253,7.9,23,15.1,7.2,2.1,1.2,14.8,21.8,-0.1,0.1,0.1,0.019,-2,-1.8,-3.8,-0.1
102,Gary Clark,PF,24,HOU,41,583,9.1,0.492,0.901,0.058,3.7,16.5,9.9,4,1.4,3.7,3.9,9.6,0.3,0.5,0.9,0.071,-2.3,0.6,-1.7,0
103,Ian Clark,SG,27,NOP,47,631,7.3,0.514,0.5,0.083,1.5,8.3,5,11.8,0.9,0.5,15.5,17.3,-0.3,0.2,-0.1,-0.006,-2.8,-2.8,-5.5,-0.6
104,Jordan Clarkson,SG,26,CLE,65,1749,17.1,0.543,0.389,0.16,4,10.3,7.1,16,1.3,0.6,10,28.3,1.5,0,1.5,0.042,1.8,-3.5,-1.7,0.1
105,John Collins,PF,21,ATL,49,1463,22.3,0.641,0.185,0.332,12.4,22.6,17.4,10.8,0.5,1.4,11.6,23.8,4.3,0.7,5.1,0.167,2.9,-1.7,1.3,1.2
