PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Malik Beasley,LAL,LAL @ GSW,05/04/2023,L,12,2,1,4,25.0,0,3,0.0,0,0,-,0,1,1,0,1,0,0,1,3,6.2
Andrew Wiggins,GSW,GSW vs. LAL,05/04/2023,W,30,11,3,8,37.5,2,4,50.0,3,4,75.0,2,2,4,4,0,1,2,2,35,22.8
Draymond Green,GSW,GSW vs. LAL,05/04/2023,W,28,11,5,10,50.0,0,1,0.0,1,4,25.0,2,9,11,9,1,0,2,3,15,38.7
Tristan Thompson,LAL,LAL @ GSW,05/04/2023,L,12,5,2,4,50.0,0,0,-,1,4,25.0,1,3,4,2,0,0,0,1,3,12.8
Stephen Curry,GSW,GSW vs. LAL,05/04/2023,W,30,20,7,12,58.3,3,5,60.0,3,3,100,0,4,4,12,1,0,3,3,24,42.8
LeBron James,LAL,LAL @ GSW,05/04/2023,L,28,23,10,18,55.6,3,8,37.5,0,0,-,0,7,7,3,1,0,0,3,-27,38.9
Max Christie,LAL,LAL @ GSW,05/04/2023,L,9,2,0,1,0.0,0,1,0.0,2,4,50.0,0,1,1,0,0,0,0,0,3,3.2
Austin Reaves,LAL,LAL @ GSW,05/04/2023,L,25,7,3,11,27.3,1,5,20.0,0,0,-,0,4,4,2,0,0,2,1,-22,12.8
Anthony Lamb,GSW,GSW vs. LAL,05/04/2023,W,9,0,0,1,0.0,0,1,0.0,0,0,-,0,2,2,0,0,0,0,1,1,2.4
Jonathan Kuminga,GSW,GSW vs. LAL,05/04/2023,W,10,3,1,4,25.0,1,1,100,0,0,-,1,1,2,1,0,0,0,1,-5,6.9
Jordan Poole,GSW,GSW vs. LAL,05/04/2023,W,16,6,3,6,50.0,0,2,0.0,0,0,-,1,3,4,3,0,0,1,5,8,14.3
Wenyen Gabriel,LAL,LAL @ GSW,05/04/2023,L,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-8,0.0
Jarred Vanderbilt,LAL,LAL @ GSW,05/04/2023,L,20,6,2,7,28.6,1,2,50.0,1,2,50.0,4,2,6,1,0,0,1,0,-10,13.7
Troy Brown Jr.,LAL,LAL @ GSW,05/04/2023,L,8,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,3,0,0,0,0,-3,4.5
Shaquille Harrison,LAL,LAL @ GSW,05/04/2023,L,9,0,0,0,-,0,0,-,0,0,-,0,1,1,1,1,0,0,1,-1,5.7
Gary Payton II,GSW,GSW vs. LAL,05/04/2023,W,9,7,3,3,100,0,0,-,1,2,50.0,3,2,5,0,0,0,1,1,1,12.0
Kevon Looney,GSW,GSW vs. LAL,05/04/2023,W,12,6,3,6,50.0,0,0,-,0,0,-,3,5,8,0,0,0,0,0,11,15.6
D'Angelo Russell,LAL,LAL @ GSW,05/04/2023,L,28,10,5,12,41.7,0,3,0.0,0,0,-,1,0,1,8,1,0,0,1,-19,26.2
