,Pair,Name,Count,sort,Type
52,52,JaMychal Green,9,1,Scorer
58,58,Moses Moody,9,1,Scorer
151,151,Moses Moody,9,0,Assister
58,58,Draymond Green,9,0,Assister
15,15,Kevon Looney,8,1,Scorer
90,90,Jonathan Kuminga,8,0,Assister
185,185,Ty Jerome,8,0,Assister
21,21,Donte DiVincenzo,8,1,Scorer
90,90,JaMychal Green,8,1,Scorer
15,15,Andrew Wiggins,8,0,Assister
21,21,Anthony Lamb,8,0,Assister
150,150,Jonathan Kuminga,8,1,Scorer
150,150,Moses Moody,8,0,Assister
133,133,JaMychal Green,8,1,Scorer
179,179,Stephen Curry,8,0,Assister
47,47,Ty Jerome,8,1,Scorer
30,30,Moses Moody,8,1,Scorer
185,185,Draymond Green,8,1,Scorer
179,179,Moses Moody,8,1,Scorer
133,133,Klay Thompson,8,0,Assister
127,127,Kevon Looney,8,0,Assister
30,30,Anthony Lamb,8,0,Assister
127,127,Ty Jerome,8,1,Scorer
47,47,Donte DiVincenzo,8,0,Assister
11,11,JaMychal Green,7,1,Scorer
11,11,Andrew Wiggins,7,0,Assister
98,98,Stephen Curry,7,1,Scorer
98,98,Jonathan Kuminga,7,0,Assister
169,169,Anthony Lamb,7,1,Scorer
169,169,Stephen Curry,7,0,Assister
124,124,Moses Moody,6,1,Scorer
124,124,Kevon Looney,6,0,Assister
34,34,Ty Jerome,6,1,Scorer
9,9,Donte DiVincenzo,6,1,Scorer
140,140,Klay Thompson,6,0,Assister
9,9,Andrew Wiggins,6,0,Assister
89,89,Jonathan Kuminga,6,0,Assister
34,34,Anthony Lamb,6,0,Assister
31,31,Patrick Baldwin Jr.,6,1,Scorer
140,140,Ty Jerome,6,1,Scorer
23,23,Anthony Lamb,6,0,Assister
23,23,JaMychal Green,6,1,Scorer
83,83,Jordan Poole,6,1,Scorer
83,83,James Wiseman,6,0,Assister
31,31,Anthony Lamb,6,0,Assister
89,89,Draymond Green,6,1,Scorer
59,59,Patrick Baldwin Jr.,5,1,Scorer
148,148,JaMychal Green,5,1,Scorer
7,7,Stephen Curry,5,1,Scorer
148,148,Moses Moody,5,0,Assister
59,59,Draymond Green,5,0,Assister
172,172,Stephen Curry,5,0,Assister
7,7,Andre Iguodala,5,0,Assister
187,187,James Wiseman,5,1,Scorer
174,174,Stephen Curry,5,0,Assister
96,96,Patrick Baldwin Jr.,5,1,Scorer
172,172,Gary Payton II,5,1,Scorer
91,91,Jonathan Kuminga,5,0,Assister
91,91,James Wiseman,5,1,Scorer
187,187,Ty Jerome,5,0,Assister
73,73,JaMychal Green,5,0,Assister
96,96,Jonathan Kuminga,5,0,Assister
79,79,Stephen Curry,5,1,Scorer
174,174,James Wiseman,5,1,Scorer
79,79,JaMychal Green,5,0,Assister
76,76,JaMychal Green,5,0,Assister
73,73,Jonathan Kuminga,5,1,Scorer
76,76,Klay Thompson,5,1,Scorer
157,157,Moses Moody,4,0,Assister
157,157,Ty Jerome,4,1,Scorer
161,161,Moses Moody,4,1,Scorer
161,161,Patrick Baldwin Jr.,4,0,Assister
45,45,Moses Moody,4,1,Scorer
93,93,Jonathan Kuminga,4,0,Assister
61,61,Ty Jerome,4,1,Scorer
5,5,Klay Thompson,4,1,Scorer
5,5,Andre Iguodala,4,0,Assister
40,40,Donte DiVincenzo,4,0,Assister
40,40,James Wiseman,4,1,Scorer
93,93,Kevon Looney,4,1,Scorer
45,45,Donte DiVincenzo,4,0,Assister
61,61,Draymond Green,4,0,Assister
20,20,Andrew Wiggins,3,1,Scorer
27,27,Kevon Looney,3,1,Scorer
112,112,Jordan Poole,3,0,Assister
27,27,Anthony Lamb,3,0,Assister
22,22,Draymond Green,3,1,Scorer
134,134,James Wiseman,3,1,Scorer
22,22,Anthony Lamb,3,0,Assister
17,17,Andrew Wiggins,3,0,Assister
20,20,Anthony Lamb,3,0,Assister
17,17,Moses Moody,3,1,Scorer
145,145,Moses Moody,3,0,Assister
145,145,Donte DiVincenzo,3,1,Scorer
164,164,James Wiseman,3,1,Scorer
164,164,Ryan Rollins,3,0,Assister
154,154,Moses Moody,3,0,Assister
154,154,Patrick Baldwin Jr.,3,1,Scorer
194,194,Ty Jerome,3,0,Assister
158,158,Patrick Baldwin Jr.,3,0,Assister
158,158,Jonathan Kuminga,3,1,Scorer
134,134,Klay Thompson,3,0,Assister
112,112,Patrick Baldwin Jr.,3,1,Scorer
194,194,Stephen Curry,3,1,Scorer
85,85,James Wiseman,3,0,Assister
116,116,Kevon Looney,3,0,Assister
116,116,Anthony Lamb,3,1,Scorer
85,85,Moses Moody,3,1,Scorer
75,75,Kevon Looney,3,1,Scorer
75,75,JaMychal Green,3,0,Assister
125,125,Kevon Looney,3,0,Assister
125,125,Patrick Baldwin Jr.,3,1,Scorer
152,152,Moses Moody,2,0,Assister
84,84,Klay Thompson,2,1,Scorer
4,4,Kevon Looney,2,1,Scorer
4,4,Andre Iguodala,2,0,Assister
3,3,Jordan Poole,2,1,Scorer
3,3,Andre Iguodala,2,0,Assister
152,152,Kevon Looney,2,1,Scorer
66,66,Patrick Baldwin Jr.,2,1,Scorer
119,119,Gary Payton II,2,1,Scorer
119,119,Kevon Looney,2,0,Assister
100,100,Jordan Poole,2,0,Assister
162,162,Ty Jerome,2,1,Scorer
156,156,Moses Moody,2,0,Assister
156,156,Stephen Curry,2,1,Scorer
100,100,Andre Iguodala,2,1,Scorer
1,1,Anthony Lamb,2,1,Scorer
162,162,Patrick Baldwin Jr.,2,0,Assister
1,1,Andre Iguodala,2,0,Assister
167,167,Stephen Curry,2,0,Assister
67,67,Gary Payton II,2,0,Assister
69,69,Anthony Lamb,2,1,Scorer
71,71,Draymond Green,2,1,Scorer
66,66,Gary Payton II,2,0,Assister
67,67,Stephen Curry,2,1,Scorer
68,68,JaMychal Green,2,0,Assister
68,68,Andrew Wiggins,2,1,Scorer
69,69,JaMychal Green,2,0,Assister
53,53,James Wiseman,2,1,Scorer
53,53,Draymond Green,2,0,Assister
51,51,Gary Payton II,2,1,Scorer
51,51,Draymond Green,2,0,Assister
13,13,Andrew Wiggins,2,0,Assister
71,71,JaMychal Green,2,0,Assister
84,84,James Wiseman,2,0,Assister
72,72,JaMychal Green,2,0,Assister
72,72,James Wiseman,2,1,Scorer
13,13,Jonathan Kuminga,2,1,Scorer
167,167,Andre Iguodala,2,1,Scorer
180,180,Patrick Baldwin Jr.,1,1,Scorer
165,165,Ryan Rollins,1,0,Assister
163,163,Ryan Rollins,1,0,Assister
180,180,Stephen Curry,1,0,Assister
163,163,Anthony Lamb,1,1,Scorer
165,165,Moses Moody,1,1,Scorer
166,166,Ryan Rollins,1,0,Assister
166,166,Patrick Baldwin Jr.,1,1,Scorer
182,182,Andrew Wiggins,1,1,Scorer
182,182,Ty Jerome,1,0,Assister
181,181,Ty Jerome,1,1,Scorer
181,181,Stephen Curry,1,0,Assister
160,160,Klay Thompson,1,1,Scorer
0,0,Andre Iguodala,1,0,Assister
160,160,Patrick Baldwin Jr.,1,0,Assister
64,64,Kevon Looney,1,1,Scorer
38,38,Gary Payton II,1,1,Scorer
62,62,Gary Payton II,1,0,Assister
62,62,Draymond Green,1,1,Scorer
63,63,Gary Payton II,1,0,Assister
63,63,Jordan Poole,1,1,Scorer
64,64,Gary Payton II,1,0,Assister
65,65,Gary Payton II,1,0,Assister
159,159,Jordan Poole,1,1,Scorer
65,65,Moses Moody,1,1,Scorer
77,77,JaMychal Green,1,0,Assister
77,77,Moses Moody,1,1,Scorer
78,78,JaMychal Green,1,0,Assister
78,78,Patrick Baldwin Jr.,1,1,Scorer
80,80,JaMychal Green,1,0,Assister
38,38,Donte DiVincenzo,1,0,Assister
32,32,Ryan Rollins,1,1,Scorer
32,32,Anthony Lamb,1,0,Assister
29,29,Lester Quinones,1,1,Scorer
29,29,Anthony Lamb,1,0,Assister
24,24,James Wiseman,1,1,Scorer
24,24,Anthony Lamb,1,0,Assister
19,19,Ty Jerome,1,1,Scorer
19,19,Andrew Wiggins,1,0,Assister
12,12,James Wiseman,1,1,Scorer
12,12,Andrew Wiggins,1,0,Assister
8,8,Ty Jerome,1,1,Scorer
8,8,Andre Iguodala,1,0,Assister
6,6,Moses Moody,1,1,Scorer
6,6,Andre Iguodala,1,0,Assister
2,2,Draymond Green,1,1,Scorer
2,2,Andre Iguodala,1,0,Assister
80,80,Ty Jerome,1,1,Scorer
81,81,James Wiseman,1,0,Assister
81,81,Anthony Lamb,1,1,Scorer
142,142,Lester Quinones,1,0,Assister
159,159,Patrick Baldwin Jr.,1,0,Assister
155,155,Ryan Rollins,1,1,Scorer
155,155,Moses Moody,1,0,Assister
153,153,Klay Thompson,1,1,Scorer
153,153,Moses Moody,1,0,Assister
149,149,James Wiseman,1,1,Scorer
149,149,Moses Moody,1,0,Assister
147,147,Gary Payton II,1,1,Scorer
147,147,Moses Moody,1,0,Assister
146,146,Draymond Green,1,1,Scorer
146,146,Moses Moody,1,0,Assister
143,143,Andre Iguodala,1,1,Scorer
143,143,Moses Moody,1,0,Assister
142,142,Moses Moody,1,1,Scorer
141,141,Anthony Lamb,1,1,Scorer
82,82,James Wiseman,1,0,Assister
141,141,Lester Quinones,1,0,Assister
138,138,Moses Moody,1,1,Scorer
138,138,Klay Thompson,1,0,Assister
132,132,Gary Payton II,1,1,Scorer
132,132,Klay Thompson,1,0,Assister
120,120,JaMychal Green,1,1,Scorer
120,120,Kevon Looney,1,0,Assister
105,105,Gary Payton II,1,1,Scorer
105,105,Jordan Poole,1,0,Assister
0,0,Andrew Wiggins,1,1,Scorer
97,97,Jonathan Kuminga,1,0,Assister
86,86,Stephen Curry,1,1,Scorer
86,86,James Wiseman,1,0,Assister
82,82,Jonathan Kuminga,1,1,Scorer
97,97,Ryan Rollins,1,1,Scorer
