PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
TIANNA HAWKINS,WAS,32,25,12,13,22.1,7.9,3.1,6.3,49.7,0.5,1.8,26.7,1.2,1.6,75.0,1.5,3.7,5.2,1.5,1.2,0.8,0.3,2.3,17.2,2,0,-0.7
LAYSHIA CLARENDON,LAS,32,11,6,5,26.9,7.8,2.8,6.6,42.5,0.5,1.6,33.3,1.6,1.9,85.7,0.9,1.8,2.7,3.3,2.1,1.2,0.0,2.4,16.7,0,0,-1.6
MARINE JOHANNÈS,NYL,28,21,16,5,19.5,7.6,2.9,7.0,40.5,1.8,5.0,36.2,0.1,0.1,66.7,0.2,1.2,1.4,1.8,1.5,0.9,0.0,1.7,14.5,0,0,0.9
KARLIE SAMUELSON,LAS,28,22,8,14,24.8,7.2,2.2,4.6,47.5,1.3,3.0,43.9,1.5,1.6,91.7,0.3,2.1,2.4,2.0,1.0,0.7,0.0,2.5,14.4,0,0,-1.3
ALYSHA CLARK,LVA,36,25,23,2,21.7,7.0,2.5,5.2,48.5,1.4,3.2,42.5,0.6,0.8,84.2,0.6,2.4,3.0,1.0,0.7,0.6,0.1,2.4,13.8,0,0,5.4
KALANI BROWN,DAL,26,18,9,9,17.4,7.0,2.6,4.7,55.3,0.0,0.1,0.0,1.8,2.2,80.0,2.2,3.5,5.7,0.9,1.5,0.3,0.7,2.3,15.6,3,0,-3.1
REBEKAH GARDNER,CHI,33,3,2,1,19.8,7.0,2.0,4.7,42.9,1.0,1.7,60.0,2.0,2.0,100,0.3,3.3,3.7,2.3,1.7,2.0,0.3,2.7,18.7,0,0,5.7
NIA COFFEY,ATL,28,25,14,11,21.9,7.0,2.7,6.2,43.9,1.1,2.6,42.4,0.4,0.6,62.5,0.5,4.5,5.0,1.7,1.2,0.5,1.2,2.1,18.0,2,0,1.0
IVANA DOJKIĆ,SEA,25,22,6,16,20.8,6.8,2.2,5.4,40.3,1.0,2.5,41.8,1.4,2.0,72.1,0.2,1.6,1.8,3.0,1.6,0.8,0.2,2.0,14.6,0,0,-6.6
KRISTY WALLACE,IND,27,25,6,19,19.5,6.7,2.6,6.5,39.5,0.8,2.0,38.0,0.8,1.0,76.9,0.6,1.8,2.4,1.9,1.4,0.6,0.2,1.6,13.4,0,0,-2.4
NIKOLINA MILIC,MIN,29,25,13,12,13.7,6.3,2.5,5.4,46.3,0.2,0.7,29.4,1.2,1.3,87.9,0.7,2.0,2.7,1.0,1.1,0.1,0.2,1.7,10.8,0,0,-2.1
MEGAN GUSTAFSON,PHO,26,19,4,15,12.4,6.3,2.2,4.3,51.9,0.3,1.1,30.0,1.6,2.0,78.9,1.0,2.5,3.5,0.4,1.0,0.3,0.4,1.6,11.9,1,0,-2.2
SHATORI WALKER-KIMBROUGH,WAS,28,25,12,13,23.7,6.1,2.1,4.9,42.6,0.7,1.9,38.3,1.2,1.3,96.9,0.2,1.8,2.1,1.6,0.7,0.6,0.4,1.1,12.6,0,0,-2.2
DORKA JUHÁSZ,MIN,23,26,13,13,23.7,6.0,2.4,5.1,47.7,0.4,1.3,30.3,0.8,1.5,53.8,1.7,4.1,5.8,2.0,1.4,0.9,0.7,1.9,17.4,3,0,-4.7
ASIA (AD) DURR,ATL,26,25,14,11,12.8,5.9,2.0,5.5,37.2,0.7,2.0,33.3,1.2,1.4,80.6,0.1,1.2,1.4,0.9,0.9,0.3,0.1,0.9,9.6,0,0,-1.6
LINDSAY ALLEN,MIN,28,25,13,12,23.2,5.9,2.1,5.6,37.9,0.2,1.2,20.0,1.4,1.9,76.6,0.6,1.9,2.5,4.3,1.3,0.6,0.1,2.0,14.3,0,0,-1.4
AERIAL POWERS,MIN,29,10,3,7,10.3,5.9,2.4,6.2,38.7,0.2,1.2,16.7,0.9,1.0,90.0,0.5,1.7,2.2,0.6,0.8,0.2,0.2,0.3,9.7,0,0,-3.5
VICTORIA VIVIANS,IND,28,24,5,19,18.0,5.9,2.2,5.3,41.7,0.8,2.5,31.7,0.7,0.8,80.0,0.5,2.9,3.4,1.6,0.9,0.8,0.1,1.7,13.4,0,0,-2.6
KIA NURSE,SEA,27,25,6,19,20.8,5.7,2.0,6.1,32.7,1.3,3.9,33.0,0.4,0.4,100,0.3,1.9,2.2,1.6,0.7,0.8,0.0,2.0,12.4,0,0,-4.8
REBECCA ALLEN,CON,30,25,18,7,19.7,5.7,2.2,5.4,40.4,0.9,2.8,33.3,0.4,0.5,75.0,0.6,2.0,2.6,0.7,0.9,0.8,1.3,1.9,13.9,0,0,1.5
LEXIE HULL,IND,23,23,5,18,20.9,5.5,2.1,5.3,39.8,0.6,2.3,24.5,0.7,0.9,80.0,1.2,1.6,2.8,1.1,1.2,1.1,0.3,3.1,12.8,0,0,-4.3
RACHEL BANHAM,MIN,30,20,9,11,14.5,5.5,1.9,5.4,35.5,1.3,3.4,36.8,0.5,0.6,75.0,0.2,1.1,1.3,1.9,1.3,0.4,0.1,1.6,10.8,0,0,-0.5
SHEY PEDDY,PHO,34,15,2,13,15.7,5.5,1.8,4.6,39.1,1.0,2.7,36.6,0.9,1.1,76.5,0.4,1.3,1.7,1.8,0.5,0.7,0.0,1.5,11.3,0,0,-2.9
MYISHA HINES-ALLEN,WAS,27,20,9,11,15.4,5.4,2.0,6.2,31.7,0.6,1.8,34.3,0.9,1.3,69.2,1.0,2.5,3.5,1.3,1.1,0.7,0.2,2.0,12.5,0,0,-3.0
LI MENG,WAS,28,19,10,9,15.5,5.3,1.7,4.6,37.5,1.3,3.5,35.8,0.6,0.7,84.6,0.3,1.1,1.4,0.8,0.7,0.3,0.0,1.2,9.4,0,0,1.2
EMMA CANNON,IND,34,16,2,14,9.8,5.2,2.0,4.1,48.5,0.4,1.1,41.2,0.8,0.9,80.0,0.5,2.6,3.1,0.4,0.9,0.1,0.0,1.3,9.3,0,0,-1.1
DANIELLE ROBINSON,ATL,34,17,10,7,18.6,5.0,2.1,4.4,48.6,0.4,0.7,50.0,0.4,0.6,63.6,0.2,2.0,2.2,3.1,1.4,0.5,0.2,2.4,12.1,0,0,2.2
DESTANNI HENDERSON,LAS,24,10,2,8,16.9,5.0,1.7,4.7,36.2,0.2,1.9,10.5,1.4,1.9,73.7,0.2,0.6,0.8,2.5,1.3,0.7,0.1,1.4,10.1,0,0,-1.0
KAYLA THORNTON,NYL,30,25,19,6,17.4,4.9,1.7,3.9,43.9,0.6,1.9,34.0,0.8,1.0,80.8,1.1,2.4,3.4,0.6,0.5,0.7,0.3,1.8,11.7,0,0,2.3
MONIQUE BILLINGS,ATL,27,24,14,10,14.7,4.8,1.7,4.0,41.7,0.0,0.0,0.0,1.5,1.7,87.8,1.3,2.8,4.1,0.6,0.9,0.4,0.4,1.9,11.1,0,0,0.1
MORGAN BERTSCH,CHI,26,16,7,9,16.3,4.8,1.9,4.4,42.9,0.6,1.5,37.5,0.4,0.6,70.0,0.4,1.6,1.9,0.9,1.5,0.4,0.4,2.1,9.8,0,0,-6.2
MERCEDES RUSSELL,SEA,28,22,6,16,16.7,4.6,1.9,3.7,51.9,0.0,0.0,0.0,0.8,1.2,65.4,1.0,2.5,3.6,1.2,0.9,0.3,0.4,1.0,10.6,1,0,-5.7
RUTHY HEBARD,CHI,25,6,2,4,9.1,4.5,1.7,2.5,66.7,0.0,0.0,0.0,1.2,2.0,58.3,1.3,0.8,2.2,0.5,0.2,0.2,0.3,1.0,8.2,0,0,-2.0
TYASHA HARRIS,CON,25,25,18,7,14.3,4.5,1.7,4.3,39.8,0.7,1.6,43.6,0.4,0.6,64.3,0.1,0.8,0.9,1.4,1.1,0.6,0.1,0.9,9.0,0,0,0.6
KRISTI TOLIVER,WAS,36,8,5,3,11.1,4.4,1.4,4.6,29.7,1.1,3.4,33.3,0.5,0.6,80.0,0.0,0.6,0.6,0.9,0.6,0.4,0.0,1.0,7.8,0,0,-3.3
ZIA COOKE,LAS,22,25,9,16,13.4,4.1,1.5,5.9,25.9,0.4,1.8,21.7,0.7,0.9,73.9,0.2,0.8,1.0,0.8,0.8,0.4,0.3,0.7,7.8,0,0,-4.5
DULCY FANKAM MENDJIADEU,SEA,24,19,6,13,13.3,4.1,1.7,3.4,51.6,0.0,0.1,0.0,0.6,1.2,47.8,1.4,2.4,3.8,0.2,0.9,0.4,0.3,2.4,9.4,2,0,-0.9
HALEY JONES,ATL,22,25,14,11,16.8,4.0,1.5,4.6,33.0,0.2,0.8,20.0,0.8,1.1,71.4,0.3,2.2,2.5,2.7,1.6,0.5,0.4,2.2,11.2,0,0,0.4
QUEEN EGBO,WAS,23,25,8,17,11.7,3.8,1.6,3.4,47.6,0.0,0.0,0.0,0.6,1.1,59.3,1.2,3.1,4.3,0.3,1.0,0.2,0.7,2.2,10.3,0,0,-0.8
BRIDGET CARLETON,MIN,26,24,12,12,15.1,3.8,1.3,3.5,35.3,1.0,2.8,34.3,0.4,0.5,69.2,0.5,1.8,2.3,0.8,0.5,0.3,0.1,1.3,8.5,0,0,-0.8
NAZ HILLMON,ATL,23,25,14,11,12.8,3.7,1.4,2.6,51.5,0.0,0.0,0.0,1.0,1.2,80.6,1.0,2.0,3.0,0.8,1.0,0.3,0.1,1.4,8.3,0,0,-1.3
CYESHA GOREE,WAS,29,6,1,5,11.9,3.7,1.7,3.5,47.6,0.2,1.3,12.5,0.2,0.3,50.0,0.7,0.5,1.2,0.2,0.5,0.3,0.2,1.5,6.2,0,0,-7.2
OLIVIA NELSON-ODODA,CON,22,25,18,7,12.4,3.6,1.2,2.2,55.4,0.0,0.0,0.0,1.1,1.6,69.2,1.0,1.8,2.8,0.6,0.8,0.6,0.8,1.8,9.8,0,0,-0.1
KIERSTAN BELL,LVA,23,22,21,1,10.6,3.4,1.4,3.9,36.5,0.5,1.9,26.2,0.0,0.2,25.0,0.3,1.0,1.3,0.4,0.4,0.5,0.2,1.1,6.9,0,0,0.0
STEFANIE DOLSON,NYL,31,11,8,3,12.5,3.4,1.3,2.4,53.8,0.1,0.6,14.3,0.7,0.9,80.0,0.5,1.5,2.0,1.5,1.4,0.0,0.5,2.5,8.0,0,0,3.2
BRIANNA TURNER,PHO,27,24,6,18,26.1,3.3,1.5,2.3,67.3,0.0,0.0,0.0,0.3,0.4,66.7,1.3,4.7,6.0,1.4,1.8,1.0,1.3,2.5,15.3,0,0,-7.5
GRACE BERGER,IND,24,21,5,16,11.0,3.3,1.2,2.8,43.1,0.3,0.7,42.9,0.6,0.8,81.3,0.1,1.1,1.2,1.6,0.9,0.3,0.1,1.0,7.1,0,0,-0.5
JOYNER HOLMES,SEA,25,21,7,14,11.3,3.3,1.2,3.5,34.2,0.4,1.4,26.7,0.5,0.6,84.6,0.7,1.8,2.5,0.9,0.6,0.2,0.3,1.3,8.2,0,0,-3.8
LAETICIA AMIHERE,ATL,22,13,7,6,8.1,3.2,0.9,2.2,42.9,0.0,0.1,0.0,1.4,2.5,56.3,0.2,0.9,1.1,0.2,0.7,0.2,0.6,1.2,6.1,0,0,-2.8
ROBYN PARKS,CHI,31,22,8,14,12.0,3.2,1.2,3.1,38.2,0.8,1.9,41.5,0.1,0.1,100,0.5,1.0,1.5,0.5,0.5,0.3,0.2,0.8,6.9,0,0,-0.5
RAE BURRELL,LAS,23,15,4,11,10.5,3.2,1.1,3.2,33.3,0.4,1.3,30.0,0.7,0.9,76.9,0.3,1.1,1.4,0.5,0.6,0.5,0.1,1.1,6.7,0,0,0.5
SIKA KONÉ,CHI,21,13,5,8,7.9,3.2,1.0,2.0,50.0,0.0,0.2,0.0,1.2,1.4,83.3,0.9,1.5,2.4,0.3,0.9,0.2,0.0,1.4,6.3,0,0,-2.2
MADDY SIEGRIST,DAL,23,24,14,10,7.3,3.1,1.2,2.7,45.3,0.1,0.4,20.0,0.6,0.6,93.3,0.9,0.5,1.4,0.1,0.2,0.2,0.2,0.8,5.4,0,0,0.3
JADE MELBOURNE,SEA,20,18,5,13,11.8,3.0,1.1,2.8,38.0,0.2,0.8,20.0,0.7,1.0,72.2,0.3,1.0,1.3,1.3,0.8,0.6,0.1,1.7,7.1,0,0,-0.9
NYARA SABALLY,NYL,23,23,18,5,9.6,3.0,1.0,2.2,43.1,0.1,0.3,25.0,1.0,1.2,78.6,0.7,1.9,2.6,0.3,0.7,0.1,0.3,1.6,6.6,0,0,0.3
ODYSSEY SIMS,DAL,31,14,9,5,14.8,2.9,1.1,3.1,34.9,0.1,0.8,18.2,0.6,1.1,50.0,0.4,1.4,1.7,3.5,0.8,0.4,0.0,1.3,9.1,0,0,0.9
TAYLOR MIKESELL,ATL,23,6,1,5,4.9,2.8,0.8,1.7,50.0,0.5,1.2,42.9,0.7,0.7,100,0.0,0.3,0.3,0.3,0.2,0.0,0.0,0.0,4.0,0,0,-0.2
KIAH STOKES,LVA,30,25,23,2,19.5,2.7,1.1,2.2,51.9,0.1,0.6,18.8,0.3,0.6,53.3,1.1,4.6,5.7,0.6,0.4,0.5,1.1,1.7,12.3,0,0,7.3
JASMINE THOMAS,LAS,33,18,5,13,13.5,2.7,0.9,3.8,25.0,0.5,2.2,23.1,0.3,0.3,100,0.2,1.1,1.3,1.3,0.7,0.3,0.2,0.8,6.8,0,0,-3.7
ILIANA RUPERT,ATL,22,7,4,3,10.6,2.4,0.9,2.0,42.9,0.4,1.1,37.5,0.3,0.6,50.0,0.6,2.4,3.0,0.7,0.9,0.7,0.6,1.4,9.1,0,0,-2.0
YVONNE TURNER,SEA,35,14,4,10,11.2,2.4,0.9,2.1,43.3,0.1,0.2,33.3,0.5,0.7,70.0,0.1,1.2,1.3,1.0,0.6,0.4,0.1,0.7,5.9,0,0,-3.7
