Timestamp,Co-Leads [Elliot Chin],Co-Leads [Willow Taylor Chiang Yang],Co-Leads [Andrew Chu],Athletics Representative [Emma Leschly],Athletics Representative [Luke Martinez],Athletics Representative [Callisto Lodwick],Athletics Representative [Noah Van Horne],Spirit and Social Representative [Mira Deb],Spirit and Social Representative [Tyler Huang],Spirit and Social Representative [Nicole Kleinknecht],Community Service Learning Representative [Cole Bregman],Community Service Learning Representative [Valerie Braylovskiy],Community Service Learning Representative [Adrienne Park],Student Life Representative [Avery Chen],Do you have any comments or suggestions on the election process (overall or specifically for speeches and voting)?
5/26/2020 12:36:30,3rd,2nd,1st,2nd,1st,3rd,4th,,,,,,,1st,
5/26/2020 12:36:30,3rd,1st,2nd,4th,2nd,3rd,1st,2nd,1st,3rd,3rd,2nd,1st,1st,
5/26/2020 12:36:32,3rd,2nd,1st,3rd,4th,1st,2nd,2nd,3rd,1st,2nd,3rd,1st,1st,
5/26/2020 12:36:33,1st,2nd,,1st,2nd,3rd,4th,1st,3rd,2nd,2nd,1st,,,
5/26/2020 12:36:35,3rd,1st,2nd,2nd,1st,4th,3rd,1st,2nd,3rd,1st,3rd,2nd,1st,
5/26/2020 12:36:37,3rd,2nd,1st,3rd,2nd,1st,4th,1st,3rd,2nd,2nd,3rd,1st,1st,
5/26/2020 12:36:39,3rd,1st,2nd,1st,3rd,2nd,4th,1st,3rd,2nd,2nd,3rd,1st,1st,
5/26/2020 12:36:40,3rd,2nd,1st,4th,2nd,3rd,1st,2nd,3rd,1st,2nd,3rd,1st,1st,
5/26/2020 12:36:40,3rd,1st,2nd,1st,4th,2nd,3rd,2nd,3rd,1st,3rd,1st,2nd,1st,
5/26/2020 12:36:42,1st,3rd,2nd,1st,2nd,4th,3rd,1st,,,,,1st,1st,
5/26/2020 12:36:43,2nd,3rd,1st,2nd,1st,3rd,4th,1st,3rd,2nd,2nd,3rd,1st,1st,
5/26/2020 12:36:44,3rd,1st,2nd,1st,3rd,4th,2nd,3rd,2nd,1st,1st,3rd,2nd,1st,
5/26/2020 12:36:46,3rd,1st,2nd,1st,2nd,3rd,4th,1st,3rd,2nd,3rd,1st,2nd,1st,
5/26/2020 12:36:47,3rd,1st,2nd,4th,1st,2nd,3rd,2nd,3rd,1st,1st,3rd,2nd,1st,
5/26/2020 12:36:49,3rd,2nd,1st,2nd,1st,3rd,4th,2nd,3rd,1st,2nd,3rd,1st,,
5/26/2020 12:36:52,3rd,1st,2nd,2nd,4th,1st,3rd,2nd,3rd,1st,2nd,3rd,1st,1st,
5/26/2020 12:36:56,3rd,1st,2nd,1st,,2nd,,1st,,2nd,,1st,2nd,1st,
5/26/2020 12:36:57,1st,2nd,3rd,4th,2nd,3rd,1st,1st,2nd,3rd,1st,2nd,3rd,1st,
5/26/2020 12:36:59,3rd,2nd,1st,1st,2nd,4th,3rd,3rd,1st,2nd,3rd,2nd,1st,1st,
5/26/2020 12:37:01,3rd,2nd,1st,1st,3rd,2nd,4th,1st,,,2nd,,1st,1st,
5/26/2020 12:37:08,1st,3rd,2nd,,,,,1st,3rd,2nd,3rd,1st,2nd,1st,
5/26/2020 12:37:14,2nd,1st,3rd,3rd,2nd,1st,4th,3rd,1st,2nd,3rd,1st,2nd,1st,
5/26/2020 12:37:14,3rd,2nd,1st,2nd,1st,4th,3rd,2nd,1st,3rd,1st,3rd,2nd,1st,
5/26/2020 12:37:15,3rd,2nd,1st,1st,3rd,4th,2nd,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:37:19,1st,2nd,3rd,1st,3rd,4th,2nd,1st,3rd,2nd,1st,2nd,3rd,1st,"No, thank you."
5/26/2020 12:37:24,1st,2nd,3rd,3rd,1st,4th,2nd,1st,2nd,3rd,3rd,2nd,1st,1st,
5/26/2020 12:37:28,3rd,1st,2nd,2nd,4th,1st,3rd,3rd,1st,2nd,2nd,3rd,1st,1st,
5/26/2020 12:37:31,3rd,2nd,1st,1st,2nd,3rd,4th,1st,2nd,3rd,3rd,2nd,1st,1st,
5/26/2020 12:37:32,2nd,1st,3rd,1st,3rd,4th,2nd,3rd,1st,2nd,3rd,2nd,1st,1st,
5/26/2020 12:37:37,2nd,1st,3rd,2nd,3rd,,1st,3rd,1st,2nd,1st,2nd,3rd,1st,
5/26/2020 12:37:44,1st,3rd,2nd,3rd,2nd,1st,4th,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:37:50,2nd,3rd,1st,4th,1st,2nd,3rd,2nd,1st,3rd,2nd,3rd,1st,1st,
5/26/2020 12:37:56,1st,3rd,2nd,4th,2nd,3rd,1st,3rd,1st,2nd,3rd,1st,2nd,1st,
5/26/2020 12:37:57,3rd,1st,2nd,1st,3rd,2nd,4th,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:38:00,2nd,1st,3rd,2nd,3rd,1st,4th,2nd,3rd,1st,3rd,1st,2nd,1st,
5/26/2020 12:38:05,,1st,3rd,1st,2nd,4th,3rd,3rd,1st,2nd,3rd,2nd,1st,1st,
5/26/2020 12:38:09,1st,2nd,3rd,1st,2nd,4th,3rd,3rd,1st,2nd,1st,3rd,2nd,1st,
5/26/2020 12:38:09,3rd,1st,2nd,1st,2nd,4th,3rd,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:38:10,1st,3rd,2nd,1st,3rd,2nd,4th,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:38:13,,1st,2nd,4th,3rd,2nd,1st,2nd,3rd,1st,3rd,1st,2nd,1st,
5/26/2020 12:38:14,2nd,1st,3rd,2nd,1st,4th,3rd,2nd,1st,3rd,2nd,1st,3rd,1st,
5/26/2020 12:38:16,,,,,,,,2nd,1st,3rd,1st,2nd,3rd,1st,Elections are pointless because they provide an illusion of choice despite there not being any
5/26/2020 12:38:17,2nd,1st,3rd,1st,2nd,4th,3rd,1st,3rd,2nd,1st,2nd,3rd,1st,
