PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PM,OFFRTG,DEFRTG,NETRTG,ASTP,ASTTOR,ASTRATIO,OREBP,DREBP,REBP,TORATIO,EFGP,TSP,USGP,PACE,PIE,PTS OFF TO,2ND PTS,FBPS,PITP,OPP PTS OFF TO,OPP 2ND PTS,OPP FBPS,OPP PITP,BLK,BLKA,PF,PFD,PFGA 2PT,PFGA 3PT,PPTS 2PT,PPTS 2PT MR,PPTS 3PT,PPTS FBPS,PPTSFT,PPTS OFFTO,PPTS PITP,2FGM PAST,2FGM PUAST,3FGM PAST,3FGM PUAST,FGM PAST,FGM PUAST,USGP,PFGM,PFGA,P3PM,P3PA,PFTM,PFTA,POREB,PDREB,PREB,PAST,PTOV,PSTL,PBLK,PBLKA,PPF,PPFD,PPTS,DEF RTG,DREB,DREBP,PDREB,STL,STLP,BLK,PBLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
BRITTNEY SYKES,ATL,25,29,21,8,20.7,9.7,3.3,8.1,41.1,0.8,2.8,26.8,2.2,3.4,66.3,0.6,2.9,3.5,2.3,1.1,0.3,0.6,1.8,19.3,0,0,2.2,101.2,96,5.2,18.7,2.19,17.8,2.8,13.5,8,8.1,45.8,50.3,21.9,98.38,11.2,1.1,0.8,1.5,3.2,5.6,5.8,4,16.3,0.6,0.4,1.8,3.1,65.3,34.7,53.4,20.6,23.5,15.3,23.1,11.7,32.7,37.3,62.7,100,0,51.5,48.5,21.9,21.1,22.2,22.7,28.6,28.5,30.4,11.9,21.9,19.1,25.2,17,8.6,22.8,19,18.5,30.5,22.6,96,2.9,13.5,21.9,0.3,8.6,0.6,22.8,5.6,5.8,4,16.3,0.121
CAMILLE LITTLE,PHO,34,33,19,14,16.3,3,1,3,33,0.2,0.9,25.8,0.7,0.9,77.4,0.5,1.3,1.8,1.2,0.9,0.5,0.3,2.2,8.6,0,0,-1.2,97.2,100.1,-2.9,12.2,1.38,21.9,3.1,8.1,5.6,15.8,37,43.1,11.6,98.86,2.5,0.5,0.4,0.1,1.3,6.9,4.1,3.2,13.7,0.3,0.4,2.2,0.9,69,31,51,8.2,24.5,3.1,24.5,15.3,42.9,92,8,100,0,93.9,6.1,11.6,9.2,11.6,6.9,9.1,10.3,11,18.4,13.4,14.5,15.7,14.5,20.5,16.1,27.3,26.2,10,9.2,100.1,1.3,8.1,13.4,0.5,20.5,0.3,16.1,6.9,4.1,3.2,13.7,0.072
CANDACE PARKER,LAS,33,31,17,14,30.6,17.9,6.4,13.5,47.1,1.3,3.8,34.5,3.8,4.7,80.8,1.6,6.5,8.2,4.7,3,1.2,1.1,2.1,38.7,13,0,2.7,101.9,97.4,4.6,27.8,1.59,20.4,5.7,22.4,14,12.9,52,57.3,27.2,93.9,18.3,3.3,1.9,1.2,8.4,11.5,7.8,8.5,25.5,1.1,0.5,2.1,4,71.7,28.3,56.6,9.7,22.2,6.8,21.3,18.2,46.8,42,58,68.3,31.7,47.5,52.5,27.2,27.3,26.5,28.9,28.7,38.9,39,27.9,34.6,33,32.8,31.7,20,50,23.8,18.3,31.5,29.3,97.4,6.5,22.4,34.6,1.2,20,1.1,50,11.5,7.8,8.5,25.5,0.164
CANDICE DUPREE,IND,34,32,6,26,31.4,14.2,6.2,12.7,48.8,0,0,0,1.8,2.3,81.9,1.2,5.3,6.4,1.7,1.6,0.9,0.3,1.7,26.7,2,0,-7.3,95.9,107.2,-11.3,10.1,1.06,10,3.6,17.9,10.5,9.5,48.8,52,21.9,94.59,12.1,2.7,1.6,1.1,5.9,9.9,9.4,6.9,29,0.3,0.5,1.7,2.1,99.8,0.2,87,45.3,0,7.9,13,18.7,41.8,63.1,36.9,0,0,63.1,36.9,21.9,27,23.5,0,0.3,19.6,19.4,19.6,28,26,13.4,18.1,18.2,18.3,16.9,12.3,16.5,24,107.2,5.3,17.9,28,0.9,18.2,0.3,18.3,9.9,9.4,6.9,29,0.05
CAPPIE PONDEXTER,IND,36,30,15,15,18.2,7.3,2.8,7.4,38.1,0.4,1,36.7,1.3,1.5,86.7,0.2,1.6,1.8,1.8,0.9,0.5,0,1.5,12.8,0,0,-5,94.7,108.8,-14,17.2,2,16.7,1.3,9.1,5.1,8.3,40.6,45.3,22.6,93.47,6.9,1.1,0.8,0.4,2.2,6.2,6.2,4.2,16.5,0,0.4,1.5,1.1,86.5,13.5,67.3,37.3,15,5.5,17.7,14.5,30,31.1,68.9,81.8,18.2,37.6,62.4,22.6,21.3,23.9,19,17.4,26.4,24.6,6.4,14.7,12.6,22.6,18.1,18.5,0,26.1,18.3,16.3,21.9,108.8,1.6,9.1,14.7,0.5,18.5,0,0,6.2,6.2,4.2,16.5,0.018
CAROLYN SWORDS,LVA,29,26,10,16,14.4,3.9,1.7,3,55.7,0,0,0,0.5,0.6,87.5,1.7,3,4.7,0.9,0.8,0.2,0.7,2.1,12.6,2,0,1.2,106.1,102.4,3.7,8.7,1.1,17.7,11.1,18.8,15,16.2,55.7,59.3,11.7,100.98,9,0.6,1.6,0,2.3,4.4,3.4,3.4,9.8,0.7,0.2,2.1,0.9,100,0,86.3,27.5,0,0,13.7,15.7,58.8,56.8,43.2,0,0,56.8,43.2,11.7,14.3,11.4,0,0,7.7,7,45,27.8,32.4,12.7,19.8,8.8,37.8,12.8,38.2,11.7,12.2,102.4,3,18.8,27.8,0.2,8.8,0.7,37.8,4.4,3.4,3.4,9.8,0.05
CAYLA GEORGE,DAL,30,23,9,14,10.7,3.6,1.5,3.4,43.6,0.5,1.7,30.8,0.1,0.3,50,0.7,2.1,2.8,0.7,0.6,0.1,0.2,1.3,8.3,0,0,0.7,105.8,102.6,3.2,10.6,1.14,14.4,5.9,19.4,12.6,12.6,51.3,51.5,16.2,96.88,8.5,0.6,0.6,0.1,1,3.4,3.1,2.1,9.2,0.2,0.1,1.3,0.3,50,50,53,24.1,43.4,2.4,3.6,15.7,28.9,81.8,18.2,100,0,88.2,11.8,16.2,18.4,18.3,27.9,25,2.7,4.3,23.8,30.8,28.8,15,20,5,21.7,8.7,26.5,5.7,15.8,102.6,2.1,19.4,30.8,0.1,5,0.2,21.7,3.4,3.1,2.1,9.2,0.035
CECILIA ZANDALASINI,MIN,23,29,16,13,16.5,5.7,2.1,5.1,40.9,0.8,2.1,38.3,0.7,0.9,84,0.2,1.7,1.9,1.1,1.1,0.3,0,1.8,9.5,0,0,-0.4,98.6,99.7,-1,10.5,1.03,14.3,1.3,11,5.9,13.9,48.7,51.9,17.3,96.15,5.4,1.2,0.7,0.4,0.8,6.1,3.6,3,11.5,0,0.3,1.8,1,59.7,40.3,45.8,31.3,41.6,7.8,12.7,20.5,14.5,60.5,39.5,100,0,75.4,24.6,17.3,16.6,18.2,31.9,29,15.2,14.2,5.6,16.8,13.7,13.3,18.6,9.2,3.6,19.6,22.7,15.3,17.6,99.7,1.7,11,16.8,0.3,9.2,0,3.6,6.1,3.6,3,11.5,0.075
CHELSEA GRAY,LAS,26,34,19,15,32.7,14.9,5.7,11.7,48.4,1.1,2.9,39.2,2.4,2.9,83.5,0.5,2.9,3.4,5.1,2.3,1.4,0.2,1.9,29.1,0,0,1.9,100.7,98.2,2.5,27,2.22,25.2,1.6,9.5,5.5,11.4,53.1,57.2,21.3,94.16,13,3.3,1.1,0.8,5.4,11.9,9,8.5,28.1,0.2,0.3,1.9,3,75.7,24.3,61.4,25,22.6,5.5,16,22.2,36.4,26.5,73.5,89.5,10.5,38.9,61.1,21.3,22.9,21.5,23.6,20.7,22.9,22.4,8.4,14.8,13.3,34.5,23.7,20.7,7.5,13.8,14.5,22.6,23,98.2,2.9,9.5,14.8,1.4,20.7,0.2,7.5,11.9,9,8.5,28.1,0.165
CHELSEA HOPKINS,CHI,28,4,2,2,14.5,1.8,0.8,1.5,50,0,0,0,0.3,0.3,100,0,3.3,3.3,2,1.8,0.5,0,0.5,8.4,0,0,-2,88,94.9,-6.8,19.5,1.14,38.1,0,22,11.5,33.3,50,54.3,10.1,97.14,8.2,0.8,0,0.8,1.5,6,3.8,2.8,12.5,0,0,0.5,0.3,100,0,85.7,0,0,42.9,14.3,42.9,85.7,100,0,0,0,100,0,10.1,6.8,6.1,0,0,9.1,9.1,0,31,25.5,26.7,31.8,18.2,0,0,18.2,8.3,6.8,94.9,3.3,22,31,0.5,18.2,0,0,6,3.8,2.8,12.5,0.091
CHEYENNE PARKER,CHI,26,34,13,21,19.7,10,3.8,7.1,53.1,0.2,0.6,31.6,2.3,3.2,71.3,1.8,4,5.8,0.7,1.4,0.6,1.1,2.8,21.3,3,0,-2.8,100.3,108.9,-8.6,6,0.48,6.3,9.3,19.2,14.5,13.2,54.4,58.7,21.4,99,11.8,0.7,1.9,0.2,5.9,10.1,6.8,5.4,19.1,1.1,0.9,2.8,3.2,92.1,7.9,72,12.4,5.3,2.1,22.7,7.1,59.6,70.5,29.5,83.3,16.7,71.1,28.9,21.4,25,21.5,5,5.9,30.6,32.4,41.4,32.2,34.5,6.9,18.5,19.2,48.6,40.8,30.5,33.3,24.2,108.9,4,19.2,32.2,0.6,19.2,1.1,48.6,10.1,6.8,5.4,19.1,0.019
CHINEY OGWUMIKE,CON,27,31,19,12,25.5,14.4,5.7,9.4,60.3,0,0.1,50,3,3.8,79.7,2.7,4.6,7.3,1,1.6,1.2,0.6,3.4,28.4,7,0,2.1,108.6,103.5,5.1,6.5,0.63,7.5,10.8,19.5,15,11.9,60.4,65,21,97.69,15,2.5,3.5,0.5,10.7,9.6,5.9,5.6,21.5,0.6,1.1,3.4,3.7,99.3,0.7,78.3,4,0.7,3.1,21,17,74.3,67.4,32.6,100,0,67.6,32.4,21,26.3,20.6,0.8,0.5,35.6,33.5,38.6,28.9,31.9,8.5,18.7,24.2,37.3,43.2,26.8,32.5,25.7,103.5,4.6,19.5,28.9,1.2,24.2,0.6,37.3,9.6,5.9,5.6,21.5,0.077
COURTNEY PARIS,SEA,31,34,26,8,10.6,2.1,0.9,1.8,53.3,0,0,0,0.3,0.5,52.9,1.1,2.8,3.9,0.6,0.4,0.2,0.3,1.6,8.9,0,0,0.5,98.2,94.8,3.4,9.5,1.57,21.4,11.5,25.6,18.8,13.6,53.3,54.1,9.7,97.49,10.1,0.3,0.6,0,1.8,3.4,1.8,2.1,8.5,0.3,0.3,1.6,0.4,98.3,1.7,87.7,2.7,0,0,12.3,12.3,84.9,78.1,21.9,0,0,78.1,21.9,9.7,12.2,10.1,0,0.5,7.8,12,48.1,37.2,39.8,13.5,11.1,13.6,42.9,25.6,33.7,8.8,10.2,94.8,2.8,25.6,37.2,0.2,13.6,0.3,42.9,3.4,1.8,2.1,8.5,0.068
COURTNEY VANDERSLOOT,CHI,30,30,11,19,31.8,12.5,4.5,9.3,48.9,1.5,3.8,39.8,1.9,2.3,82.6,0.5,3.2,3.7,8.6,3.5,1.3,0.6,2.1,32.1,9,1,-5,102.4,110.6,-8.1,41.6,2.48,38.6,1.6,10.1,6,15.6,57,60.6,18.4,98.62,12.9,2,0.8,2,4.7,15.9,10.7,8.2,31.3,0.6,0.6,2.1,2.3,59.4,40.6,48.7,10.7,36.1,16.3,15.2,16,38,45.1,54.9,66.7,33.3,52.2,47.8,18.4,18,17,24.5,23.2,17.9,16.9,7.8,16.7,14.5,49.3,28.4,24.2,17.3,14.3,13.8,16.9,18.6,110.6,3.2,10.1,16.7,1.3,24.2,0.6,17.3,15.9,10.7,8.2,31.3,0.01
COURTNEY WILLIAMS,CON,25,30,20,10,27.1,12.6,5.7,12.5,45.6,0.7,1.8,37.7,0.6,0.8,68,1.5,4.4,5.9,3,1.8,0.8,0.1,1.6,25,3,0,4,109.9,101.8,8.1,16.9,1.67,17,5.6,16.7,11,10.2,48.3,49.1,22.8,97.35,11.7,2.5,2.1,2.4,3.7,8.8,6.1,5.2,22.5,0.1,0.4,1.6,1.1,85.9,14.1,79.7,50.7,15.8,18.7,4.5,19.5,29,40.4,59.6,85,15,45.6,54.4,22.8,24.3,25.2,13.3,13.5,7,7.7,19.5,24.7,23.1,23,20.5,17.2,3.3,15.3,12.3,10.2,21,101.8,4.4,16.7,24.7,0.8,17.2,0.1,3.3,8.8,6.1,5.2,22.5,0.099
CRYSTAL LANGHORNE,SEA,32,26,20,6,13.9,4.6,2,4,50,0,0.2,0,0.6,0.7,88.9,0.7,2.3,3,0.3,0.9,0.3,0.2,0.8,9.2,0,0,-0.5,93.3,96.4,-3.1,4.5,0.39,6.3,4.6,16.7,10.5,16,50,53.6,16.4,95.65,9.2,0.7,0.7,0,3.2,4.3,3.1,2.6,11.8,0.2,0.3,0.8,0.7,96.2,3.8,86.7,16.7,0,0.8,13.3,15,70,53.8,46.2,0,0,53.8,46.2,16.4,20.5,17.1,0,1.9,16.5,15.1,25.8,24,24.4,5.9,18.4,13.6,16,25.7,16.7,14.4,17.7,96.4,2.3,16.7,24,0.3,13.6,0.2,16,4.3,3.1,2.6,11.8,0.079
DAMIRIS DANTAS,ATL,26,19,10,9,13.4,5.4,2.2,5.1,43.3,0.3,1.1,23.8,0.7,0.9,72.2,0.9,1.5,2.4,0.8,0.5,0.4,0,1.7,10.2,0,0,-2.4,88.7,98.9,-10.2,12.2,1.6,12.2,5.6,11.3,8.2,7.6,45.9,48.6,18,100.58,8.8,1.2,0.7,0.4,2.2,5.3,3.7,3.4,11.6,0,0.3,1.7,0.8,78.4,21.6,72.5,31.4,14.7,6.9,12.7,22.5,41.2,83.8,16.2,100,0,85.7,14.3,18,24.3,21.2,15.2,16.4,13.1,12.8,23,18.4,19.9,15,11.5,20,0,20.7,23.4,11.5,21.3,98.9,1.5,11.3,18.4,0.4,20,0,0,5.3,3.7,3.4,11.6,0.065
DANIELLE ROBINSON,MIN,30,28,16,12,18.6,6.5,2.5,5.5,44.5,0.1,0.7,15.8,1.5,1.7,85.4,0.3,1.5,1.8,3.3,1.8,0.9,0,1.4,14.7,1,0,0.2,97.9,97,0.9,27.9,1.88,28.8,1.6,8.6,5,15.4,45.5,51.7,18.6,98.3,10.1,1.8,0.9,1.4,2.4,7.9,3.5,3.6,13.4,0,0.3,1.4,1.5,87.7,12.3,72.5,35.2,4.9,20.9,22.5,26.9,37.4,43.9,56.1,100,0,46.4,53.6,18.6,17.3,17.5,4.4,9.5,23.2,21.2,7,12.2,10.9,37.6,25.3,24.5,2.7,18.9,15.4,18.1,17.4,97,1.5,8.6,12.2,0.9,24.5,0,2.7,7.9,3.5,3.6,13.4,0.106
DEWANNA BONNER,PHO,31,34,20,14,32.9,17.3,6.1,13.5,45.2,1.6,5.2,31.3,3.4,4,86.7,1.4,5.9,7.2,3.2,1.6,1.3,0.4,1.8,34.2,7,0,3.3,109.3,103.7,5.6,16.8,1.96,15.9,4.6,16.6,11.1,8.1,51.2,56.6,22.7,96.63,15.1,2.4,2.3,1.7,6.7,13.3,9,6.4,24.7,0.4,0.7,1.8,3.9,61.7,38.3,52,13.3,28.1,10,19.9,13.6,38.8,51,49,85.5,14.5,60.1,39.9,22.7,24.4,25,23.3,27.4,22.5,22.3,22.7,27.3,26.3,18.7,14.9,26.5,11.1,25.3,12.5,22,23.9,103.7,5.9,16.6,27.3,1.3,26.5,0.4,11.1,13.3,9,6.4,24.7,0.097
DEARICA HAMBY,LVA,25,33,14,19,14.4,7.4,2.8,5.3,52.6,0.4,1.4,28.9,1.4,1.9,74.2,1.1,2.5,3.6,1.2,1.1,0.7,0.3,2,15.4,0,0,-0.1,101.1,101.1,0,14.6,1.11,14.6,7.6,16.9,12.3,13.2,56.3,60.1,20.7,101.24,13.4,1.2,1.4,1.2,3.7,5.2,3.4,2,9.2,0.3,0.5,2,1.8,74.3,25.7,65,14.8,16,16.5,18.9,16,50.2,72.2,27.8,100,0,76.1,23.9,20.7,24.7,21.1,25.5,29.6,21.5,21.8,32.5,26.2,27.9,16.7,23.6,32.9,23.7,23.2,28.3,24.8,24,101.1,2.5,16.9,26.2,0.7,32.9,0.3,23.7,5.2,3.4,2,9.2,0.058
DEVEREAUX PETERS,PHO,29,5,4,1,7.6,1.6,0.8,2.4,33.3,0,0.4,0,0,0,0,0.4,1.2,1.6,0.4,0.4,0,0,1,3.7,0,0,-2.4,92.5,103.6,-11.1,8.3,1,12.5,5.1,13.6,9.6,12.5,33.3,33.3,15.9,102.74,1.5,0,0.4,0,1.2,3.6,1.2,2,7.2,0,0.2,1,0,83.3,16.7,100,25,0,0,0,0,75,75,25,0,0,75,25,15.9,14.3,18.5,0,7.4,0,0,28.6,21.4,22.9,11.8,15.4,0,0,25,33.3,0,10.8,103.6,1.2,13.6,21.4,0,0,0,0,3.6,1.2,2,7.2,0.024
DIAMOND DESHIELDS,CHI,24,34,13,21,28.5,14.4,4.9,11.5,42.5,1.2,3.6,32.8,3.4,4.1,83.6,1.1,3.8,4.9,2.2,2.1,1.1,0.3,2.2,25.6,1,0,-2.7,102.1,107.5,-5.4,12.3,1.06,12.3,4,12.8,8.6,11.7,47.6,54,23.1,98.98,10,3.5,1.6,2.4,5.6,12.5,10.2,6.1,27.3,0.3,0.7,2.2,3.8,68.8,31.2,51.5,12.7,24.5,16.6,23.9,24.1,38.9,53.2,46.8,95,5,63.3,36.7,23.1,21.7,23.5,23.3,26,34.2,32.8,19,21,20.5,13.9,19.8,22.2,10,21.2,17.2,31.7,23.9,107.5,3.8,12.8,21,1.1,22.2,0.3,10,12.5,10.2,6.1,27.3,0.042
DIANA TAURASI,PHO,37,33,20,13,30,20.7,6.1,13.7,44.6,3.2,8.4,38.3,5.2,5.6,92.5,0.1,3.4,3.5,5.3,2.6,0.9,0.2,3,33.7,2,0,6,111.1,101.3,9.8,30.7,2.07,22.4,0.5,10.4,5.9,10.8,56.3,63.8,27.5,96.87,16.3,2.8,1.2,2.5,3.5,11.1,7.9,6,22.8,0.2,0.5,3,5.5,38.9,61.1,28.2,11.4,46.6,12.2,25.2,13.5,16.7,38.5,61.5,55.7,44.3,47.5,52.5,27.5,26,27.8,49.1,47.8,38.2,35.8,2.2,17.1,13.9,32.8,26.8,20.3,6.3,22.1,21.2,34.1,30.7,101.3,3.4,10.4,17.1,0.9,20.3,0.2,6.3,11.1,7.9,6,22.8,0.116
ELENA DELLE DONNE,WAS,29,29,20,9,32.2,20.7,7.6,15.6,48.8,1.7,4.2,40.5,3.8,4.3,88.7,1.5,5.8,7.2,2.3,0.9,0.9,1.4,1.7,38.7,8,0,5.3,110.8,101.9,8.9,13,2.58,11.3,4.8,18.3,11.6,4.4,54.2,59.2,25.3,94.74,17.5,3.1,2.8,1.9,7,10.3,9.8,6.4,28.5,1.4,0.6,1.7,3.8,73.2,26.8,57.1,23,24.5,9,18.4,15.2,34.1,46.2,53.8,89.8,10.2,55.9,44.1,25.3,29.9,28.1,22.9,21,31.5,31,22.4,28.8,27.2,14.9,9.8,15.6,40,32.1,12.3,27.8,29.4,101.9,5.8,18.3,28.8,0.9,15.6,1.4,40,10.3,9.8,6.4,28.5,0.117
ELIZABETH WILLIAMS,ATL,26,33,23,10,26.8,9.1,3.7,6.7,54.8,0,0,0,1.8,3.1,56.3,2.2,3.6,5.8,1.4,1.2,0.8,1.8,2.7,24.6,0,0,3.5,103.9,96.6,7.3,8.1,1.12,12.9,7.9,12.6,10.3,11.5,54.8,56.3,15,98.79,9.6,1.6,2.1,0.5,6.7,8.3,7.2,6.3,21.7,1.8,1,2.7,2.5,100,0,80.7,7.3,0,6,19.3,17.7,73.3,76,24,0,0,76,24,15,17.6,14.4,0,0,15.6,20.7,36.4,20,24,11,14.5,15.8,45.7,39.5,23.3,18.4,15.9,96.6,3.6,12.6,20,0.8,15.8,1.8,45.7,8.3,7.2,6.3,21.7,0.153
ENDY MIYEM,MIN,31,20,12,8,5.1,1.4,0.6,1.9,32.4,0.1,0.5,20,0.1,0.1,100,0.3,0.4,0.6,0.3,0.2,0.1,0.1,0.7,3,0,0,-0.6,100,105.5,-5.5,10.5,2,13,5.2,7.7,6.4,6.5,35.1,36.1,17.9,94.47,1.3,0.3,0.3,0.1,0.4,2.4,1.1,1.4,3.4,0.1,0.1,0.7,0.2,73,27,74.1,44.4,22.2,7.4,3.7,22.2,29.6,80,20,100,0,83.3,16.7,17.9,17.4,23,13.3,21.3,2.2,1.9,25,12.7,16,12,11.1,15.4,22.2,20,31.7,6,13.6,105.5,0.4,7.7,12.7,0.1,15.4,0.1,22.2,2.4,1.1,1.4,3.4,0.011
EPIPHANNY PRINCE,NYL,31,16,3,13,19.1,8.4,3,7.6,39.3,1.1,2.7,41.9,1.3,1.5,87.5,0.4,1.1,1.6,1.7,1.1,0.9,0,1.9,14.4,0,0,-6.1,96.6,112.3,-15.7,15.7,1.59,15.4,2.3,6.4,4.3,9.7,46.7,50.9,22,94.02,6.9,1.2,0.8,0.4,2,6.9,5.9,3.8,16.6,0,0.3,1.9,1.1,64.8,35.2,44.4,20.7,40,4.4,15.6,14.1,23.7,36.7,63.3,77.8,22.2,52.1,47.9,22,21.8,24,38.3,31.2,23.6,20.5,11.1,10,10.3,18.5,16.3,28,0,12.9,20.9,13.4,23.4,112.3,1.1,6.4,10,0.9,28,0,0,6.9,5.9,3.8,16.6,-0.007
ERICA MCCALL,IND,23,34,6,28,12.3,2.9,1.2,3.2,38.5,0,0.2,12.5,0.4,0.6,68.4,1.4,1.4,2.7,0.4,0.4,0.4,0.5,1.6,8.9,0,0,-2,94.1,102,-7.9,5.3,1.08,9.2,9.6,11.9,10.6,8.5,39,41.8,12.4,97.07,5.2,0.3,0.9,0.3,1.8,4.4,3.3,2,9.7,0.5,0.4,1.6,0.9,92.7,7.3,83.7,20.4,3.1,10.2,13.3,11.2,63.3,68.3,31.7,100,0,69,31,12.4,14.7,14.4,1.5,3.7,8.2,9.5,37,18.6,24.9,8.1,8.6,21.1,45.7,23.5,27,15.3,12.3,102,1.4,11.9,18.6,0.4,21.1,0.5,45.7,4.4,3.3,2,9.7,0.045
ERICA WHEELER,IND,28,34,6,28,21.7,7.8,2.9,8.3,35.1,0.6,2.2,27.6,1.4,1.7,79.7,0.6,2.4,2.9,4.1,1.4,0.8,0.2,2.3,19.2,0,0,-3.3,95.8,102.3,-6.5,31.8,2.94,28.4,2.6,11.7,6.8,9.7,38.8,43.2,21.3,95.26,8.9,1.9,0.6,0.8,2.5,6.2,6.6,4.4,19.1,0.2,0.4,2.3,2.3,73,27,58.6,26.3,23.7,10.2,17.7,24.8,32.3,11.5,88.5,76.2,23.8,25.3,74.7,21.3,18.3,21.7,25.3,29.7,20.8,20.9,12.3,19.2,17.2,44.8,24,22.2,14.6,17.6,23.3,26.4,19.1,102.3,2.4,11.7,19.2,0.8,22.2,0.2,14.6,6.2,6.6,4.4,19.1,0.076
ERLANA LARKINS,MIN,33,13,6,7,12.9,2.1,0.9,2.1,44.4,0,0,0,0.2,0.2,100,1,1.7,2.7,1.3,0.7,0.7,0.2,1.6,9.1,0,0,-0.4,95,96,-1,15.7,1.89,31.5,8,14.1,11,16.7,44.4,47.7,9.7,91.79,7.8,1,0.5,0,1.4,5.5,2.8,2.2,9.5,0.2,0.2,1.6,0.4,100,0,88.9,22.2,0,0,11.1,48.1,66.7,83.3,16.7,0,0,83.3,16.7,9.7,10,9.7,0,0,8.8,6.4,30.2,21.8,24.3,23.6,14.3,30,15.4,15,29.6,9.1,8.9,96,1.7,14.1,21.8,0.7,30,0.2,15.4,5.5,2.8,2.2,9.5,0.074
ESSENCE CARSON,LAS,32,34,19,15,23.1,7.5,3,6.8,43.5,1.1,3.2,36.1,0.4,0.5,93.8,0.3,2.4,2.6,0.9,0.6,0.9,0.4,1.5,15.1,0,0,-0.3,99.2,100.5,-1.3,6.3,1.48,10.7,1.4,11.4,6.2,7.2,51.9,53.5,15,94.69,7.7,1.7,0.9,0.2,1.2,8.9,5.7,6,19.7,0.4,0.1,1.5,0.9,53.4,46.6,48.4,32.8,45.7,2.7,5.9,22.3,15.6,71,29,92.3,7.7,79.2,20.8,15,17.1,17.8,30.5,30,6.5,5.8,7.6,17.5,15.3,8.7,8.7,19.2,20,10.2,15.9,9.3,16.6,100.5,2.4,11.4,17.5,0.9,19.2,0.4,20,8.9,5.7,6,19.7,0.096
GABBY WILLIAMS,CHI,22,34,13,21,23,7.3,3,6.9,43.2,0.2,0.8,26.9,1.1,1.4,78.3,1.2,3.1,4.3,1.6,1.1,1.6,0.2,1.9,19.4,0,0,-6.2,97.3,110.4,-13,11.4,1.47,16,5.5,13.8,9.6,10.9,44.7,48.2,16.2,99.12,8.2,1.7,1.1,1.4,4.4,10.3,8,6,23.4,0.2,0.7,1.9,1.3,89,11,76.9,16.2,8.5,19,14.6,23.1,60.7,71.6,28.4,100,0,73.5,26.5,16.2,17.2,17.7,5.5,6.9,14,14.6,30.4,22.8,24.5,13.7,13.1,35.9,13.1,25,18.3,13.8,15.7,110.4,3.1,13.8,22.8,1.6,35.9,0.2,13.1,10.3,8,6,23.4,0.009
GLORY JOHNSON,DAL,28,29,12,17,22.5,8,2.9,7,41.7,0.6,1.9,31.5,1.6,2,78,1.6,4.3,6,1.3,1.3,1,0.5,2.1,20.3,2,0,0.8,105.1,104,1.2,9.2,1,12.6,7,19,12.9,12.6,45.8,50.7,17.1,98.5,9.9,1.2,1.6,0.8,3.4,8.3,5.2,7.8,20.3,0.5,0.6,2.1,1.7,73.5,26.5,58.4,15.5,21.9,10.3,19.7,14.6,42.9,66.2,33.8,88.2,11.8,70.6,29.4,17.1,16.8,17.8,16.7,15.1,15.6,15.9,26.1,28.8,28,13.3,17.6,25.9,23.3,21.9,21.6,15.6,16.5,104,4.3,19,28.8,1,25.9,0.5,23.3,8.3,5.2,7.8,20.3,0.064
HIND BEN ABDELKADER,IND,23,14,1,13,10.2,2.1,0.6,3.1,18.6,0.4,2.1,20.7,0.5,0.6,87.5,0.1,0.9,1,0.8,0.9,0.3,0.1,0.7,4.6,0,0,0,93.2,94.1,-1,12.4,0.85,15.5,0.7,9.8,5,18.3,25.6,31.2,17.7,98.08,-0.3,0.6,0,0,0.3,3.6,2.4,2.2,8.1,0.1,0.2,0.7,0.9,32.6,67.4,13.8,0,62.1,0,24.1,31,13.8,50,50,83.3,16.7,75,25,17.7,8.2,18.1,23.1,35.4,13.5,12.1,3.6,14.3,11.8,19.6,23.6,20,12.5,30,16.1,18.8,10.7,94.1,0.9,9.8,14.3,0.3,20,0.1,12.5,3.6,2.4,2.2,8.1,0.069
IMANI MCGEE-STAFFORD,ATL,24,29,18,11,10.5,2.9,1.3,3,45.3,0,0,0,0.2,0.5,46.7,1.3,2.1,3.4,0.6,0.8,0.4,0.4,1.5,9.6,0,0,-0.9,90.2,93.5,-3.4,10.3,0.78,13.4,11.2,19.9,15.2,17.2,45.3,45.9,15.4,99.49,9.5,0.6,1.2,0.1,1.7,4.1,2.8,2.7,7.6,0.4,0.2,1.5,0.4,100,0,91.8,32.9,0,4.7,8.2,18.8,58.8,71.8,28.2,0,0,71.8,28.2,15.4,18.3,15.9,0,0,7.1,10.4,43.8,33,36.5,13.3,19,21,36.7,17.9,30.3,8.3,14.9,93.5,2.1,19.9,33,0.4,21,0.4,36.7,4.1,2.8,2.7,7.6,0.073
IMANI WRIGHT,PHO,24,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,150,-150,0,0,0,0,0,0,0,0,0,50,96.81,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,-0.015
