PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PM,OFFRTG,DEFRTG,NETRTG,ASTP,ASTTOR,ASTRATIO,OREBP,DREBP,REBP,TORATIO,EFGP,TSP,USGP,PACE,PIE,PTS OFF TO,2ND PTS,FBPS,PITP,OPP PTS OFF TO,OPP 2ND PTS,OPP FBPS,OPP PITP,BLK,BLKA,PF,PFD,PFGA 2PT,PFGA 3PT,PPTS 2PT,PPTS 2PT MR,PPTS 3PT,PPTS FBPS,PPTSFT,PPTS OFFTO,PPTS PITP,2FGM PAST,2FGM PUAST,3FGM PAST,3FGM PUAST,FGM PAST,FGM PUAST,USGP,PFGM,PFGA,P3PM,P3PA,PFTM,PFTA,POREB,PDREB,PREB,PAST,PTOV,PSTL,PBLK,PBLKA,PPF,PPFD,PPTS,DEF RTG,DREB,DREBP,PDREB,STL,STLP,BLK,PBLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
ALLISHA GRAY,DAL,24,34,15,19,26.7,9.2,2.9,7.3,40.3,0.9,3.3,27,2.4,2.8,86.3,1.2,2.2,3.4,2.4,1.4,1.3,0.2,2.2,20.1,2,0,0,105.7,106,-0.3,13.8,1.74,19.6,4.3,8.3,6.3,11.2,46.4,53.8,15.4,98.77,7.9,1.9,1.2,1.9,3.5,10.1,6.7,9.2,23.9,0.2,0.4,2.2,2.2,55.2,44.8,44.9,6.4,28.8,20.2,26.3,20.2,38.5,45.7,54.3,93.3,6.7,60,40,15.4,14.4,15.7,19.6,22.2,19,17.7,16.9,12.9,14,19.7,15,27.2,8.2,12.9,18.6,16.7,15.8,106,2.2,8.3,12.9,1.3,27.2,0.2,8.2,10.1,6.7,9.2,23.9,0.055
ALYSHA CLARK,SEA,31,31,24,7,26.2,7.4,2.7,5.6,48,0.9,2.4,39.2,1.1,1.3,84.6,1,2.5,3.5,1.9,1.2,1,0.1,2.3,16.6,0,0,6.8,112.7,99.9,12.8,9.7,1.61,20.5,4,9.6,6.9,12.7,56.4,59.9,12,96.9,6.9,1.4,0.9,1.4,3.2,8.8,6.5,3.3,22.5,0.1,0.1,2.3,1.8,57.2,42.8,47.4,3.5,38.2,18.9,14.5,18.9,43.9,63,37,100,0,75.9,24.1,12,12.2,12.3,15.4,15.2,10.9,10.5,17.1,14.8,15.4,12.5,13.6,18.8,4.3,6.9,21.4,16.3,12.3,99.9,2.5,9.6,14.8,1,18.8,0.1,4.3,8.8,6.5,3.3,22.5,0.116
ALYSSA THOMAS,CON,27,24,18,6,30.6,10.3,4.1,8.8,46.4,0,0,0,2.2,4,54.7,2,6.2,8.1,4.2,2,1.2,0.4,2.9,29.1,6,0,8.8,110.6,96.6,14,18.6,2.1,25.1,6.3,20.8,13.4,11.9,46.4,49.1,17.1,97.98,11.1,2.1,1.4,1.1,7.6,9.9,5.4,6.1,26,0.4,0.8,2.9,3.8,99.5,0.5,79,5.6,0,10.9,21,20.6,73.4,62.2,37.8,0,0,62.2,37.8,17.1,15.3,15.7,0,0.3,21.8,28.8,23.4,29.7,27.9,26.9,20.3,20,19.2,24.3,20.3,27.9,15,96.6,6.2,20.8,29.7,1.2,20,0.4,19.2,9.9,5.4,6.1,26,0.174
AMANDA ZAHUI B,NYL,25,29,7,22,15.9,7.7,3.1,6.2,50,0.7,2.1,34.4,0.8,1.3,60.5,1.3,1.7,3,0.7,1.5,0.4,0.4,2.8,13.3,1,0,-3.5,96.2,106.1,-9.8,8.7,0.48,8,8.3,10.8,9.5,16.9,55.8,56.9,22.4,97.36,7.2,1.6,1.5,0.6,3.9,7.9,5.3,1.8,11,0.4,0.5,2.8,1.5,66.1,33.9,61.6,10.7,28.1,7.1,10.3,21,50.9,63.8,36.2,100,0,72.2,27.8,22.4,27.1,23.8,24.1,23.6,16.1,19,33.6,18.7,23.1,9.4,22.6,15.7,38.7,34.1,31.6,21.2,25.1,106.1,1.7,10.8,18.7,0.4,15.7,0.4,38.7,7.9,5.3,1.8,11,0.033
AMBER HARRIS,CHI,31,1,0,1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,120,120,0,0,0,0,0,0,0,0,0,0,0,108.27,-25,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,120,0,0,0,0,0,0,0,0,2,0,4,-0.008
ANGEL MCCOUGHTRY,ATL,32,29,19,10,27.5,16.5,5.9,14,42,0.7,2.6,27.6,4,4.8,83.6,1.6,4.4,6,3,2.6,1.3,0.6,2.6,31.1,3,0,2.5,99,95,4.1,20,1.13,13.7,5.4,15.1,10.2,12.1,44.6,51.2,28.3,99.53,14.3,3.2,2.5,1.7,6.7,8.9,7.2,6.5,21.2,0.6,0.7,2.6,4.3,81.2,18.8,62.3,21.8,13.2,10,24.5,19.2,40.6,46.3,53.7,90.5,9.5,51.8,48.2,28.3,28.3,28.7,20.6,22.3,34.5,31.5,22.4,23.1,22.9,22.9,27.4,24.5,14.2,25,19.7,31.3,29.1,95,4.4,15.1,23.1,1.3,24.5,0.6,14.2,8.9,7.2,6.5,21.2,0.174
ANGEL ROBINSON,PHO,32,24,13,11,9.9,2.3,0.8,1.8,45.2,0,0,0,0.7,0.8,85,1,2,3,0.5,0.9,0.2,0.3,1.3,7.2,0,0,-0.9,100,103,-3,8.7,0.62,15.5,10.3,20.2,15.5,25,45.2,54.1,12.7,98.8,8.1,0.3,0.6,0,1.5,5.3,2.8,2.5,8.2,0.3,0.3,1.3,0.8,97.6,2.4,69.1,3.6,0,0,30.9,10.9,65.5,84.2,15.8,0,0,84.2,15.8,12.7,11.3,11,0,0.7,17.3,16.9,40.4,35,36.5,12,21.2,17.9,26.1,26.1,24.4,16.2,11.3,103,2,20.2,35,0.2,17.9,0.3,26.1,5.3,2.8,2.5,8.2,0.032
ARIEL ATKINS,WAS,22,29,18,11,22.5,11.3,4.1,9.6,43.2,1.6,4.3,35.7,1.4,1.8,82.4,1,1.4,2.4,2.1,1.3,1.3,0.3,2.5,21,0,0,6.6,115.3,99.6,15.7,13.4,1.58,15.1,4.6,6.5,5.5,9.5,51.3,54.4,22.8,95.99,8.7,2.1,1.2,2,3,6.9,6.6,3.9,19.2,0.3,0.2,2.5,2.3,54.7,45.3,45.9,19.6,41.3,17.4,12.8,18.7,26.3,52,48,88.9,11.1,65.8,34.2,22.8,21.2,24,27.6,30.6,21,21,19.6,10.7,13.1,18,20.8,27.7,15.4,19.4,27,23.9,21.8,99.6,1.4,6.5,10.7,1.3,27.7,0.3,15.4,6.9,6.6,3.9,19.2,0.103
ASIA TAYLOR,IND,27,14,1,13,8.3,1.9,0.6,2.1,31,0.1,0.4,20,0.5,0.6,77.8,0.6,1.1,1.8,0.4,0.8,0.2,0,0.9,4.5,0,0,-0.9,90.8,95.7,-4.9,9.2,0.55,12,7.3,15,10.9,22,32.8,39.4,15.7,94.42,3.4,0.1,0.4,0,1,3.3,2.4,1.6,6,0,0.4,0.9,0.9,82.8,17.2,61.5,7.7,11.5,0,26.9,7.7,53.8,25,75,100,0,33.3,66.7,15.7,12.2,14.9,6.7,12.5,15.9,17.6,26.5,27.1,26.9,16.2,22.4,13,0,31.3,26.1,26.5,12.6,95.7,1.1,15,27.1,0.2,13,0,0,3.3,2.4,1.6,6,0.05
ASTOU NDOUR,CHI,24,22,7,15,11.6,4.6,1.7,3.5,47.4,0.3,1,31.8,0.9,1.2,76.9,1,1.4,2.5,0.3,0.5,0.2,0.5,1.5,9.6,0,0,-3,97.7,111.2,-13.5,4.9,0.64,6.4,9.2,13.1,11.1,10.1,51.9,56.5,17,97.64,7.9,0.8,1,0.8,1.8,5.7,4,3,10.9,0.5,0.3,1.5,1,71.8,28.2,59.4,19.8,20.8,16.8,19.8,16.8,39.6,80,20,100,0,83.8,16.2,17,20.6,18.6,14,15.8,20.2,21,39.7,22.6,27.7,5.9,11.6,15.6,47.6,18.8,28.3,18.3,19.8,111.2,1.4,13.1,22.6,0.2,15.6,0.5,47.6,5.7,4,3,10.9,0.001
