PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
JaMychal Green,GSW,32,1,1,0,0.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Jaden Springer,PHI,20,1,1,0,2.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3
Jalen McDaniels,PHI,25,3,3,0,22.4,0,0,1,0.0,0,0,0.0,0,0,0.0,0,5,5,2,0,0,0,1,9,0,0,8
Jason Preston,LAC,23,1,0,1,1.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2
Jeff Green,DEN,36,3,3,0,17.6,0,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,0,1,1,0,2,4,0,0,6
Jevon Carter,MIL,27,3,1,2,14.1,0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,1,0,0,4,0,0,-14
Jock Landale,PHX,27,1,0,1,2.1,0,0,0,0.0,0,0,0.0,0,0,0.0,2,0,2,1,0,0,0,0,4,0,0,-2
Joe Harris,BKN,31,3,0,3,5.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,1,0,3,2,0,0,-3
Joe Ingles,MIL,35,4,1,3,15.7,0,0,2,0.0,0,2,0.0,0,0,0.0,1,0,1,3,2,0,0,1,4,0,0,-10
John Konchar,MEM,27,3,1,2,6.7,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,1,3,0,0,-2
Jordan McLaughlin,MIN,27,1,0,1,6.6,0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,4,0,0,-4
Josh Minott,MIN,20,1,0,1,6.3,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,2,1,1,8,0,0,-4
Kenneth Lofton Jr.,MEM,20,2,1,1,0.9,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Kessler Edwards,SAC,22,1,0,1,3.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4
Kevin Love,MIA,34,2,2,0,4.9,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3
Lonnie Walker IV,LAL,24,2,1,1,1.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Kennard,MEM,26,4,1,3,17.3,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,2,0,2,0,1,11,0,0,14
Luke Kornet,BOS,27,1,1,0,0.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-5
Malik Beasley,LAL,26,2,1,1,5.8,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,1,0,0,0,-6
Max Christie,LAL,20,2,1,1,1.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Meyers Leonard,MIL,31,2,1,1,5.2,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,0
Miles McBride,NYK,22,2,1,1,6.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,-3
