Timestamp,What grade will you be in next fall?,10th Grade Representative  [Luca Lit],10th Grade Representative  [Elianna Kondylis],10th Grade Representative  [Lucie Lin],10th Grade Representative  [Colin Cham],11th Grade Representative [Cate Rose],11th Grade Representative [Yash Narayan],12th Grade Representative [Bayan Shimizu],12th Grade Representative [Alex Chen],12th Grade Representative [Alexander Rubenstein],12th Grade Representative [Amanda Wang],Arts Representative [Eli Smirin],Arts Representative [Matthew Sakiyama],Arts Representative [Tomo Greenberg],Arts Representative [Alyssa Liao],Campus Steward [Anahita Asudani],Campus Steward [Stephanie Liu],Campus Steward [Caroline Phipps],Campus Steward [Maya Avida],Equity and Inclusion Representative  [Fiona Tan],Equity and Inclusion Representative  [Maya Bodnick]
5/21/2020 12:35:00,10th,1st,2nd,3rd,4th,,,,,,,4th,3rd,1st,2nd,2nd,3rd,4th,1st,2nd,1st
5/21/2020 12:35:00,12th,,,,,,,4th,2nd,3rd,1st,4th,3rd,1st,2nd,2nd,4th,1st,3rd,1st,2nd
5/21/2020 12:35:01,12th,,,,,,,1st,4th,2nd,3rd,4th,3rd,1st,2nd,4th,1st,2nd,3rd,2nd,1st
5/21/2020 12:35:01,12th,,,,,,,4th,2nd,3rd,1st,2nd,4th,1st,3rd,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:35:02,10th,1st,4th,3rd,2nd,,,,,,,2nd,4th,1st,3rd,3rd,4th,2nd,1st,2nd,1st
5/21/2020 12:35:02,12th,,,,,,,4th,3rd,2nd,1st,3rd,2nd,1st,4th,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:35:04,10th,2nd,,1st,3rd,,,,,,,3rd,2nd,,1st,,3rd,2nd,1st,2nd,1st
5/21/2020 12:35:09,12th,,,,,,,4th,2nd,1st,3rd,1st,4th,2nd,3rd,3rd,4th,1st,2nd,1st,2nd
5/21/2020 12:35:10,10th,,1st,,,,,,,,,4th,2nd,1st,3rd,1st,4th,2nd,3rd,2nd,1st
5/21/2020 12:35:11,12th,,,,,,,4th,2nd,3rd,1st,4th,3rd,1st,2nd,3rd,1st,2nd,4th,,
5/21/2020 12:35:12,10th,1st,4th,3rd,2nd,,,,,,,1st,2nd,4th,3rd,4th,2nd,3rd,1st,1st,2nd
5/21/2020 12:35:14,12th,,,,,,,4th,1st,2nd,3rd,4th,2nd,1st,3rd,2nd,4th,1st,3rd,1st,2nd
5/21/2020 12:35:14,12th,,,,,,,4th,1st,2nd,3rd,3rd,1st,2nd,4th,4th,2nd,1st,3rd,1st,2nd
5/21/2020 12:35:15,12th,,,,,,,3rd,4th,1st,2nd,4th,1st,2nd,3rd,4th,3rd,2nd,1st,1st,2nd
5/21/2020 12:35:16,12th,,,,,,,2nd,4th,1st,3rd,1st,4th,2nd,3rd,1st,2nd,3rd,4th,1st,
5/21/2020 12:35:17,10th,2nd,4th,3rd,1st,,,,,,,,2nd,1st,3rd,,2nd,1st,,1st,2nd
5/21/2020 12:35:18,10th,3rd,2nd,4th,1st,,,,,,,4th,2nd,1st,3rd,2nd,3rd,4th,1st,1st,2nd
5/21/2020 12:35:19,12th,,,,,,,2nd,3rd,1st,4th,4th,2nd,1st,3rd,2nd,1st,4th,3rd,1st,2nd
5/21/2020 12:35:21,10th,1st,4th,3rd,2nd,,,,,,,4th,3rd,1st,2nd,4th,1st,3rd,2nd,2nd,1st
5/21/2020 12:35:21,11th,,,,,1st,2nd,,,,,1st,2nd,4th,3rd,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:35:23,12th,,,,,,,4th,2nd,1st,3rd,3rd,2nd,1st,4th,3rd,4th,1st,2nd,1st,2nd
5/21/2020 12:35:25,10th,1st,2nd,4th,3rd,,,,,,,4th,3rd,1st,2nd,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:35:31,12th,,,,,,,3rd,4th,2nd,1st,3rd,2nd,1st,4th,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:35:36,12th,,,,,,,4th,1st,2nd,3rd,4th,2nd,1st,3rd,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:35:39,12th,,,,,,,1st,4th,3rd,2nd,4th,3rd,1st,2nd,1st,3rd,2nd,4th,1st,
5/21/2020 12:35:42,10th,1st,4th,3rd,2nd,,,,,,,3rd,2nd,1st,4th,4th,3rd,2nd,1st,1st,2nd
5/21/2020 12:35:44,11th,,,,,1st,2nd,,,,,4th,2nd,1st,3rd,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:35:45,12th,,,,,,,4th,3rd,2nd,1st,4th,3rd,1st,2nd,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:35:46,11th,,,,,1st,2nd,,,,,2nd,4th,1st,3rd,4th,3rd,1st,2nd,2nd,1st
5/21/2020 12:35:47,12th,,,,,,,4th,2nd,1st,3rd,1st,3rd,2nd,4th,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:35:47,12th,,,,,,,2nd,3rd,4th,1st,2nd,4th,3rd,1st,,,,,1st,2nd
5/21/2020 12:35:51,10th,1st,4th,3rd,2nd,,,,,,,2nd,3rd,1st,4th,2nd,4th,3rd,1st,1st,2nd
5/21/2020 12:35:52,10th,3rd,2nd,4th,1st,,,,,,,3rd,1st,2nd,4th,4th,1st,2nd,3rd,1st,2nd
5/21/2020 12:35:53,12th,,,,,,,4th,1st,3rd,2nd,3rd,2nd,1st,4th,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:36:00,10th,1st,4th,2nd,3rd,,,,,,,2nd,3rd,1st,4th,3rd,4th,2nd,1st,1st,2nd
5/21/2020 12:36:01,12th,,,,,,,4th,2nd,3rd,1st,2nd,3rd,1st,4th,1st,4th,2nd,3rd,1st,
5/21/2020 12:36:04,12th,,,,,,,4th,2nd,3rd,1st,3rd,1st,2nd,4th,1st,2nd,3rd,4th,1st,2nd
5/21/2020 12:36:14,10th,2nd,4th,3rd,,,,,,,,4th,3rd,1st,2nd,2nd,4th,1st,3rd,2nd,1st
5/21/2020 12:36:18,12th,,,,,,,1st,2nd,3rd,4th,3rd,4th,1st,2nd,4th,3rd,2nd,1st,1st,
5/21/2020 12:36:20,12th,,,,,,,1st,3rd,2nd,4th,2nd,3rd,4th,1st,1st,2nd,,,,
5/21/2020 12:36:20,10th,1st,4th,2nd,3rd,,,,,,,2nd,4th,1st,3rd,3rd,2nd,4th,1st,1st,2nd
5/21/2020 12:36:22,11th,,,,,1st,2nd,,,,,2nd,4th,1st,3rd,2nd,4th,3rd,1st,2nd,1st
5/21/2020 12:36:22,11th,,,,,1st,2nd,,,,,2nd,4th,1st,3rd,2nd,4th,1st,3rd,1st,2nd
5/21/2020 12:36:27,12th,,,,,,,4th,1st,3rd,2nd,4th,2nd,1st,3rd,1st,3rd,2nd,4th,1st,2nd
5/21/2020 12:36:27,11th,,,,,2nd,1st,,,,,1st,2nd,4th,3rd,1st,4th,2nd,3rd,2nd,1st
5/21/2020 12:36:32,11th,,,,,2nd,1st,,,,,1st,3rd,2nd,4th,1st,2nd,3rd,4th,1st,2nd
5/21/2020 12:36:33,11th,,,,,2nd,1st,,,,,4th,2nd,1st,3rd,1st,4th,3rd,2nd,2nd,1st
5/21/2020 12:36:37,11th,,,,,,,,,,,,,,,2nd,4th,1st,3rd,2nd,1st
5/21/2020 12:36:38,12th,,,,,,,4th,2nd,3rd,1st,3rd,2nd,1st,4th,4th,3rd,1st,2nd,2nd,1st
5/21/2020 12:36:38,11th,,,,,2nd,1st,,,,,4th,2nd,1st,3rd,1st,2nd,3rd,4th,1st,2nd
5/21/2020 12:36:50,11th,,,,,1st,2nd,,,,,1st,3rd,2nd,4th,3rd,4th,2nd,1st,1st,2nd
5/21/2020 12:36:52,10th,3rd,4th,2nd,1st,,,,,,,1st,2nd,4th,3rd,3rd,2nd,1st,4th,1st,2nd
5/21/2020 12:36:55,12th,,,,,,,1st,3rd,2nd,4th,4th,3rd,2nd,1st,4th,3rd,2nd,1st,1st,
5/21/2020 12:36:58,12th,,,,,,,3rd,4th,2nd,1st,3rd,4th,2nd,1st,1st,4th,3rd,2nd,1st,2nd
5/21/2020 12:37:15,12th,,,,,,,4th,1st,2nd,3rd,4th,2nd,1st,3rd,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:37:19,12th,,,,,,,1st,4th,2nd,3rd,3rd,4th,2nd,1st,1st,3rd,2nd,4th,1st,
5/21/2020 12:37:19,11th,,,,,2nd,1st,,,,,1st,3rd,4th,2nd,4th,3rd,2nd,1st,1st,2nd
5/21/2020 12:37:19,12th,,,,,,,4th,2nd,1st,3rd,4th,2nd,1st,3rd,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:37:30,11th,,,,,1st,2nd,,,,,4th,2nd,1st,3rd,3rd,4th,2nd,1st,2nd,1st
5/21/2020 12:37:35,10th,1st,3rd,4th,2nd,,,,,,,1st,4th,2nd,3rd,1st,2nd,3rd,4th,2nd,1st
5/21/2020 12:37:43,10th,2nd,4th,1st,3rd,,,,,,,1st,2nd,3rd,4th,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:37:45,10th,1st,2nd,4th,3rd,,,,,,,4th,3rd,1st,2nd,4th,3rd,2nd,1st,2nd,1st
5/21/2020 12:37:47,10th,1st,4th,3rd,2nd,,,,,,,4th,2nd,1st,3rd,3rd,1st,2nd,4th,2nd,1st
5/21/2020 12:37:49,11th,,,,,1st,2nd,,,,,4th,3rd,1st,2nd,4th,3rd,2nd,1st,2nd,1st
5/21/2020 12:37:58,10th,1st,4th,3rd,2nd,,,,,,,3rd,2nd,1st,4th,1st,2nd,4th,3rd,1st,2nd
5/21/2020 12:38:05,10th,1st,4th,2nd,3rd,,,,,,,3rd,4th,1st,2nd,4th,3rd,1st,2nd,2nd,1st
5/21/2020 12:38:09,10th,3rd,4th,1st,2nd,,,,,,,3rd,2nd,1st,4th,3rd,4th,2nd,1st,1st,2nd
5/21/2020 12:38:19,12th,,,,,,,2nd,4th,3rd,1st,4th,2nd,1st,3rd,3rd,2nd,1st,4th,1st,
5/21/2020 12:38:32,10th,1st,4th,2nd,3rd,,,,,,,4th,2nd,1st,3rd,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:38:36,11th,,,,,1st,2nd,,,,,2nd,4th,1st,3rd,4th,3rd,1st,2nd,2nd,1st
5/21/2020 12:39:04,12th,,,,,,,1st,4th,3rd,2nd,4th,3rd,2nd,1st,3rd,2nd,4th,1st,1st,
5/21/2020 12:39:08,10th,1st,4th,3rd,2nd,,,,,,,2nd,4th,1st,3rd,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:39:09,12th,,,,,,,4th,3rd,1st,2nd,4th,3rd,1st,2nd,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:39:11,12th,,,,,,,1st,4th,2nd,3rd,4th,3rd,1st,2nd,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:39:11,12th,,,,,,,4th,2nd,3rd,1st,4th,2nd,1st,3rd,3rd,2nd,1st,4th,1st,2nd
5/21/2020 12:39:12,10th,1st,2nd,4th,3rd,,,,,,,2nd,3rd,1st,4th,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:39:27,11th,,,,,1st,2nd,,,,,3rd,2nd,1st,4th,3rd,4th,2nd,1st,1st,2nd
5/21/2020 12:39:28,12th,,,,,,,3rd,4th,2nd,1st,4th,2nd,1st,3rd,4th,1st,2nd,3rd,2nd,1st
5/21/2020 12:39:33,12th,,,,,,,1st,4th,2nd,3rd,3rd,4th,2nd,1st,2nd,3rd,4th,1st,1st,
5/21/2020 12:39:38,10th,2nd,4th,3rd,1st,,,,,,,,,,,4th,2nd,1st,3rd,,
5/21/2020 12:39:38,10th,3rd,4th,1st,2nd,,,,,,,2nd,4th,3rd,1st,1st,3rd,2nd,4th,1st,2nd
5/21/2020 12:39:45,11th,,,,,1st,2nd,,,,,1st,3rd,2nd,4th,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:39:47,10th,2nd,3rd,1st,4th,,,,,,,1st,3rd,4th,2nd,1st,2nd,3rd,4th,2nd,1st
5/21/2020 12:39:49,12th,,,,,,,1st,2nd,3rd,4th,4th,1st,3rd,2nd,1st,3rd,2nd,4th,1st,
5/21/2020 12:39:53,10th,2nd,3rd,1st,4th,,,,,,,2nd,4th,1st,3rd,1st,2nd,4th,3rd,1st,2nd
5/21/2020 12:39:55,12th,,,,,,,1st,3rd,4th,2nd,4th,3rd,1st,2nd,3rd,4th,1st,2nd,1st,
5/21/2020 12:39:55,10th,1st,4th,2nd,3rd,,,,,,,4th,2nd,1st,3rd,1st,3rd,2nd,4th,1st,2nd
5/21/2020 12:40:03,10th,4th,1st,3rd,2nd,,,,,,,2nd,4th,1st,3rd,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:40:03,12th,,,,,,,4th,2nd,1st,3rd,1st,2nd,3rd,4th,3rd,2nd,1st,4th,1st,2nd
5/21/2020 12:40:05,12th,,,,,,,2nd,1st,4th,3rd,4th,2nd,1st,3rd,4th,3rd,2nd,1st,1st,
5/21/2020 12:40:09,11th,,,,,2nd,1st,,,,,2nd,3rd,1st,4th,2nd,4th,1st,3rd,2nd,1st
5/21/2020 12:40:09,10th,3rd,4th,2nd,1st,,,,,,,2nd,3rd,1st,4th,1st,2nd,4th,3rd,1st,2nd
5/21/2020 12:40:15,10th,2nd,4th,3rd,1st,,,,,,,2nd,3rd,1st,4th,4th,3rd,2nd,1st,2nd,1st
5/21/2020 12:40:26,10th,1st,3rd,2nd,4th,,,,,,,2nd,1st,3rd,4th,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:40:46,10th,2nd,4th,1st,3rd,,,,,,,3rd,4th,1st,2nd,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:41:04,10th,3rd,4th,2nd,1st,,,,,,,3rd,2nd,1st,4th,1st,4th,2nd,3rd,1st,2nd
5/21/2020 12:42:19,10th,4th,3rd,1st,2nd,,,,,,,4th,3rd,1st,2nd,2nd,4th,1st,3rd,2nd,1st
5/21/2020 12:42:25,10th,3rd,4th,1st,2nd,,,,,,,2nd,4th,1st,3rd,2nd,4th,3rd,1st,2nd,1st
5/21/2020 12:42:36,10th,1st,4th,2nd,3rd,,,,,,,2nd,4th,3rd,1st,4th,2nd,1st,3rd,1st,2nd
5/21/2020 12:42:43,11th,,,,,1st,2nd,,,,,2nd,3rd,1st,4th,2nd,3rd,1st,4th,2nd,1st
5/21/2020 12:43:02,10th,3rd,2nd,1st,4th,,,,,,,3rd,2nd,4th,1st,2nd,1st,3rd,4th,2nd,1st
5/21/2020 12:43:04,11th,,,,,1st,2nd,,,,,2nd,4th,1st,3rd,1st,4th,2nd,3rd,2nd,1st
5/21/2020 12:43:05,10th,1st,4th,2nd,3rd,,,,,,,1st,2nd,4th,3rd,3rd,4th,1st,2nd,1st,2nd
5/21/2020 12:43:10,12th,,,,,,,3rd,4th,2nd,1st,3rd,2nd,1st,4th,3rd,4th,1st,2nd,,1st
5/21/2020 12:43:28,10th,3rd,4th,2nd,1st,,,,,,,4th,2nd,3rd,1st,2nd,1st,4th,3rd,2nd,1st
5/21/2020 12:43:32,11th,,,,,1st,2nd,,,,,2nd,4th,1st,3rd,4th,1st,2nd,3rd,2nd,1st
5/21/2020 12:43:44,11th,,,,,1st,2nd,,,,,2nd,4th,1st,3rd,2nd,1st,3rd,4th,1st,2nd
5/21/2020 12:43:46,11th,,,,,1st,2nd,,,,,3rd,2nd,1st,4th,3rd,4th,2nd,1st,2nd,1st
5/21/2020 12:43:54,11th,,,,,1st,2nd,,,,,2nd,4th,3rd,1st,3rd,2nd,1st,4th,1st,2nd
5/21/2020 12:44:04,10th,3rd,2nd,4th,1st,,,,,,,1st,3rd,2nd,4th,1st,2nd,3rd,4th,,
5/21/2020 12:44:17,11th,,,,,1st,2nd,,,,,2nd,4th,3rd,1st,1st,3rd,2nd,4th,2nd,1st
5/21/2020 12:44:21,11th,,,,,2nd,1st,,,,,1st,4th,3rd,2nd,3rd,2nd,1st,4th,2nd,1st
5/21/2020 12:44:41,10th,1st,4th,2nd,3rd,,,,,,,3rd,2nd,1st,4th,2nd,3rd,1st,4th,2nd,1st
5/21/2020 12:44:53,11th,,,,,1st,2nd,,,,,4th,3rd,2nd,1st,2nd,1st,4th,3rd,2nd,1st
5/21/2020 12:46:00,10th,,,,,,,,,,,,,,1st,4th,3rd,1st,2nd,2nd,1st
5/21/2020 12:47:37,10th,1st,4th,3rd,2nd,,,,,,,2nd,1st,3rd,4th,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:48:16,12th,,,,,,,4th,3rd,1st,2nd,3rd,2nd,1st,4th,4th,2nd,1st,3rd,1st,2nd
5/21/2020 12:50:37,11th,,,,,1st,2nd,,,,,2nd,4th,1st,3rd,,,2nd,1st,2nd,1st
5/21/2020 12:55:58,10th,2nd,3rd,4th,1st,,,,,,,1st,4th,3rd,2nd,1st,4th,3rd,2nd,1st,2nd
5/21/2020 13:08:49,11th,,,,,1st,2nd,,,,,2nd,3rd,1st,4th,2nd,3rd,1st,4th,2nd,1st
5/21/2020 14:03:10,11th,,,,,1st,2nd,,,,,2nd,4th,1st,3rd,4th,3rd,1st,2nd,2nd,1st
5/22/2020 15:56:56,11th,,,,,1st,2nd,,,,,3rd,4th,1st,2nd,4th,2nd,1st,3rd,1st,2nd
5/23/2020 12:35:06,12th,,,,,,,4th,2nd,3rd,1st,4th,1st,2nd,3rd,3rd,4th,1st,2nd,1st,
