Timestamp,What grade will you be in next fall?,10th Grade Representative  [Luca Lit],10th Grade Representative  [Elianna Kondylis],10th Grade Representative  [Lucie Lin],10th Grade Representative  [Colin Cham],11th Grade Representative [Cate Rose],11th Grade Representative [Yash Narayan],12th Grade Representative [Bayan Shimizu],12th Grade Representative [Alex Chen],12th Grade Representative [Alexander Rubenstein],12th Grade Representative [Amanda Wang],Arts Representative [Eli Smirin],Arts Representative [Matthew Sakiyama],Arts Representative [Tomo Greenberg],Arts Representative [Alyssa Liao],Campus Steward [Anahita Asudani],Campus Steward [Stephanie Liu],Campus Steward [Caroline Phipps],Campus Steward [Maya Avida],Equity and Inclusion Representative  [Fiona Tan],Equity and Inclusion Representative  [Maya Bodnick]
5/21/2020 12:29:29,11th,,,,,1st,2nd,,,,,4th,3rd,1st,2nd,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:29:40,11th,,,,,1st,2nd,,,,,2nd,4th,1st,3rd,2nd,4th,1st,3rd,1st,2nd
5/21/2020 12:29:45,11th,,,,,1st,2nd,,,,,4th,2nd,1st,3rd,2nd,3rd,1st,4th,2nd,1st
5/21/2020 12:29:45,11th,,,,,,1st,,,,,2nd,1st,3rd,4th,,,1st,2nd,,1st
5/21/2020 12:29:50,11th,,,,,2nd,1st,,,,,2nd,3rd,1st,4th,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:29:52,11th,,,,,1st,2nd,,,,,1st,3rd,2nd,4th,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:29:56,11th,,,,,2nd,1st,,,,,3rd,2nd,1st,4th,4th,3rd,2nd,1st,2nd,1st
5/21/2020 12:30:00,11th,,,,,1st,2nd,,,,,2nd,4th,1st,3rd,2nd,4th,1st,3rd,2nd,1st
5/21/2020 12:30:10,11th,,,,,1st,2nd,,,,,4th,3rd,2nd,1st,2nd,3rd,4th,1st,2nd,1st
5/21/2020 12:30:10,11th,,,,,2nd,1st,,,,,3rd,2nd,1st,4th,3rd,4th,2nd,1st,1st,2nd
5/21/2020 12:30:24,11th,,,,,1st,2nd,,,,,1st,3rd,2nd,4th,2nd,4th,1st,3rd,1st,2nd
5/21/2020 12:30:35,11th,,,,,1st,2nd,,,,,2nd,1st,3rd,4th,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:30:40,11th,,,,,2nd,1st,,,,,3rd,2nd,1st,4th,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:30:54,11th,,,,,1st,2nd,,,,,2nd,4th,3rd,1st,1st,3rd,2nd,4th,2nd,1st
5/21/2020 12:31:06,11th,,,,,1st,2nd,,,,,2nd,3rd,1st,4th,1st,4th,2nd,3rd,2nd,1st
5/21/2020 12:31:08,11th,,,,,1st,2nd,,,,,2nd,4th,1st,3rd,4th,3rd,2nd,1st,2nd,1st
5/21/2020 12:31:10,11th,,,,,1st,2nd,,,,,4th,2nd,1st,3rd,3rd,4th,2nd,1st,2nd,1st
5/21/2020 12:31:15,10th,1st,4th,2nd,3rd,,,,,,,2nd,3rd,1st,4th,1st,4th,2nd,3rd,1st,2nd
5/21/2020 12:31:19,10th,2nd,3rd,4th,1st,,,,,,,,,,,2nd,1st,4th,3rd,,
5/21/2020 12:31:19,11th,,,,,1st,,,,,,2nd,1st,3rd,4th,3rd,1st,2nd,4th,1st,2nd
5/21/2020 12:31:19,11th,,,,,1st,2nd,,,,,2nd,4th,1st,3rd,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:31:21,10th,3rd,1st,4th,2nd,,,,,,,2nd,1st,4th,3rd,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:31:23,11th,,,,,2nd,1st,,,,,2nd,3rd,1st,4th,3rd,2nd,1st,4th,1st,2nd
