,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,"
            FP
          ",DD2,TD3,+/-
258,Nassir Little,POR,22,42,19,23,1088,410,145,315,46.0,51,154,33.1,69,94,73.4,58,178,236,54,40,25,36,82,917.2,3,0,-23
258,Nic Claxton,BKN,23,47,24,23,974,410,178,264,67.4,0,0,0.0,54,93,58.1,91,173,264,43,38,24,51,110,978.3,4,0,-29
262,Austin Rivers,DEN,29,67,41,26,1480,403,146,350,41.7,79,231,34.2,32,44,72.7,19,95,114,90,54,51,6,121,791.8,0,0,53
263,Aaron Holiday,PHX,25,63,34,29,1021,400,151,338,44.7,39,103,37.9,59,68,86.8,24,98,122,153,67,42,9,92,861.9,0,0,-39
264,Avery Bradley,LAL,31,62,27,35,1406,394,148,350,42.3,82,210,39.0,16,18,88.9,31,105,136,47,38,53,9,118,775.7,0,0,-181
265,Onyeka Okongwu,ATL,21,48,26,22,992,392,156,226,69.0,0,0,0.0,80,110,72.7,115,168,283,53,44,31,60,149,1040.1,1,0,110
266,Daniel Theis,BOS,30,47,20,27,977,384,151,291,51.9,33,107,30.8,49,72,68.1,59,169,228,41,46,20,31,111,826.1,3,0,-88
266,Lance Stephenson,IND,31,46,11,35,814,384,147,323,45.5,27,90,30.0,63,80,78.8,12,115,127,165,72,24,4,96,795.9,3,0,-113
268,Lamar Stevens,CLE,24,63,35,28,1015,383,156,319,48.9,18,65,27.7,53,75,70.7,47,117,164,44,41,31,18,106,751.8,0,0,-40
269,Donte DiVincenzo,SAC,25,42,21,21,1005,380,118,336,35.1,74,218,33.9,70,83,84.3,40,130,170,118,72,48,8,69,857.0,0,0,-75
270,Matisse Thybulle,PHI,25,66,43,23,1685,379,150,300,50.0,45,144,31.3,34,43,79.1,42,109,151,75,39,115,71,158,1191.7,0,0,87
271,Dwight Howard,LAL,36,60,21,39,971,372,134,219,61.2,8,15,53.3,96,146,65.8,118,238,356,35,47,34,36,115,1014.7,5,0,-128
272,Danny Green,PHI,34,62,37,25,1353,366,126,320,39.4,103,271,38.0,11,14,78.6,32,125,157,64,45,60,37,105,896.4,0,0,80
272,Jeremiah Robinson-Earl,OKC,21,49,15,34,1087,366,134,324,41.4,58,165,35.2,40,54,74.1,75,199,274,49,39,29,15,75,861.3,3,0,-238
274,Kelly Olynyk,DET,31,40,13,27,764,365,128,286,44.8,40,119,33.6,69,89,77.5,54,123,177,111,58,31,19,100,835.9,1,0,-70
274,Serge Ibaka,MIL,32,54,30,24,878,365,148,296,50.0,37,99,37.4,32,44,72.7,62,188,250,49,43,11,33,102,827.5,3,0,-54
276,Trendon Watford,POR,21,48,16,32,869,364,142,267,53.2,9,38,23.7,71,94,75.5,57,142,199,81,44,25,28,116,839.3,2,0,-350
277,Kenrich Williams,OKC,27,49,17,32,1072,363,146,317,46.1,41,121,33.9,30,55,54.5,75,145,220,108,46,44,10,81,905.0,0,0,25
278,Theo Maledon,OKC,20,51,14,37,908,361,119,317,37.5,44,150,29.3,79,100,79.0,20,111,131,111,65,31,11,67,745.7,1,0,-199
279,Blake Griffin,BKN,33,56,29,27,958,359,133,313,42.5,38,145,26.2,55,76,72.4,60,168,228,105,31,27,14,95,882.1,1,0,-94
280,Lou Williams,ATL,35,56,33,23,799,354,125,320,39.1,37,102,36.3,67,78,85.9,16,71,87,105,43,28,3,48,665.9,0,0,15
281,Goga Bitadze,IND,22,50,17,33,729,349,131,252,52.0,23,80,28.8,64,94,68.1,79,98,177,55,46,21,42,107,786.9,2,0,-32
281,John Konchar,MEM,26,72,48,24,1292,349,135,262,51.5,52,126,41.3,27,49,55.1,87,242,329,109,29,45,22,90,1079.3,3,1,92
283,Draymond Green,GSW,32,46,34,12,1329,346,135,257,52.5,16,54,29.6,60,91,65.9,45,291,336,320,139,61,50,136,1423.2,4,1,191
284,Mike Muscala,OKC,30,43,15,28,593,344,113,248,45.6,70,163,42.9,48,57,84.2,21,108,129,22,14,18,26,58,649.8,0,0,23
284,Tristan Thompson,CHI,31,57,20,37,896,344,141,267,52.8,1,3,33.3,61,116,52.6,120,168,288,34,45,23,21,98,827.6,1,0,-65
