Timestamp,Please indicate your age range.,Please indicate your gender.,Please indicate your race.,How many years have you been working in education?,Which option best describes your role in your school?,In what division do you work?,In what state is your school located?,How would you describe your school?,How much autonomy do you have in your job?,Know Yourself,Understand Emotions,Tell Empowering Stories,Build Community,Be Here Now,Take Care of Yourself,Focus on the Bright Spots,Cultivate Compassion,Be a Learner,Play and Create,Ride the Waves of Change,Celebrate and Appreciate,Purposefulness,Acceptance,Optimism,Empathy,Humor,Positive Self-Perception ,Empowerment ,Perspective,Curiosity,Courage,Perseverance ,Trust 
9/6/2019 15:52:48,40 - 44,Female,White,10 - 14 years,Administrator,Upper School,AZ,3,4,5,5,5,4,3,3,4,5,5,5,4,4,5,4,4,5,5,5,5,5,5,4,5,4
9/6/2019 17:28:44,30 - 34,Female,White,5 - 9 years,Administrator,Upper School,AZ,4,3,4,4,3,3,4,5,4,4,3,5,4,3,4,4,4,4,4,3,4,4,3,3,3,4
9/6/2019 18:26:54,45 - 49,Female,Prefer not to answer,20 - 24 years,Teacher,Upper School,AZ,4,5,4,4,5,5,4,5,3,5,5,4,5,5,4,5,4,5,5,3,3,5,5,4,4,5
9/6/2019 19:58:31,35 - 39,Female,White,15 - 19 years,Teacher,Lower School,AZ,3,3,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5
9/6/2019 20:20:08,60 - 64,Female,White,30 or more years,Teacher,Lower School,AZ,5,4,5,4,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,4
9/7/2019 16:34:07,60 - 64,Female,White,30 or more years,Teacher,Upper School,AZ,4,4,4,4,4,4,5,5,4,4,4,3,4,5,5,4,5,5,5,4,4,4,4,4,4,4
9/7/2019 16:41:33,55 - 59,Female,White,30 or more years,Teacher,Lower School,AZ,4,4,4,4,4,5,4,4,4,5,5,4,4,4,5,5,5,5,4,5,4,4,4,4,5,5
9/7/2019 21:16:14,50 - 54,Female,Prefer not to answer,20 - 24 years,Teacher,Middle School,AZ,4,5,5,4,5,4,5,5,4,3,5,5,4,5,4,5,5,4,4,4,4,4,4,4,4,5
9/8/2019 16:11:17,35 - 39,Female,White,15 - 19 years,Teacher,Middle School,MA,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,2,3,4,4,3,5,3
9/8/2019 23:47:29,35 - 39,Female,White,15 - 19 years,Teacher,Lower School,AZ,4,4,4,5,4,5,5,5,4,4,4,4,4,5,4,,4,4,4,4,4,3,4,4,3,5
9/9/2019 10:55:55,55 - 59,Female,White,30 or more years,Administrator,,AZ,5,4,4,5,4,3,3,3,3,3,4,2,2,4,4,4,5,4,5,3,3,4,4,4,5,4
9/9/2019 11:50:11,55 - 59,Female,White,20 - 24 years,,Middle School,AZ,5,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,5,4,3,4,4,4,4,4,4
