PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
De'Aaron Fox,SAC,25,1,1,0,12.0,15,5,9,55.6,3,3,100,2,4,50.0,0,0,0,3,1,0,0,1,19,0,0,2
Austin Reaves,LAL,24,1,1,0,8.6,14,5,5,100,2,2,100,2,2,100,0,1,1,2,0,0,0,0,18,0,0,17
Donovan Mitchell,CLE,26,1,0,1,12.0,14,5,12,41.7,2,6,33.3,2,2,100,0,0,0,3,0,1,1,1,25,0,0,4
Kawhi Leonard,LAC,31,1,1,0,9.8,13,5,9,55.6,2,3,66.7,1,1,100,0,0,0,1,1,0,0,2,14,0,0,4
Khris Middleton,MIL,31,1,0,1,11.6,13,4,7,57.1,1,4,25.0,4,6,66.7,0,3,3,2,2,0,0,0,18,0,0,1
Malik Monk,SAC,25,1,1,0,12.0,13,2,5,40.0,1,2,50.0,8,8,100,1,2,3,0,1,0,0,0,16,0,0,2
Stephen Curry,GSW,35,1,0,1,9.3,13,5,8,62.5,3,6,50.0,0,0,0.0,0,0,0,0,0,0,0,1,13,0,0,1
Jamal Murray,DEN,26,1,1,0,7.5,10,4,5,80.0,2,3,66.7,0,0,0.0,0,1,1,1,1,0,0,0,12,0,0,0
Jaren Jackson Jr.,MEM,23,1,0,1,10.1,10,4,6,66.7,1,2,50.0,1,1,100,0,0,0,1,1,1,0,2,14,0,0,-7
Kevin Durant,PHX,34,1,0,1,12.0,10,3,5,60.0,2,4,50.0,2,2,100,1,1,2,2,0,0,1,1,18,1,0,-5
Bogdan Bogdanovic,ATL,30,1,0,1,12.0,9,3,6,50.0,2,4,50.0,1,1,100,1,2,3,1,1,1,1,2,19,0,0,6
Gabe Vincent,MIA,26,1,1,0,12.0,9,3,4,75.0,3,4,75.0,0,0,0.0,0,0,0,3,1,0,0,1,13,0,0,-1
Jalen Brunson,NYK,26,1,1,0,9.1,9,4,9,44.4,1,2,50.0,0,0,0.0,1,0,1,0,1,0,0,0,9,0,0,-6
Rui Hachimura,LAL,25,1,1,0,10.1,9,4,5,80.0,1,1,100,0,0,0.0,0,2,2,1,0,0,0,0,13,0,0,12
Dejounte Murray,ATL,26,1,0,1,8.2,8,3,8,37.5,0,2,0.0,2,2,100,0,2,2,2,0,0,0,0,13,0,0,5
Jaylen Brown,BOS,26,1,1,0,9.6,7,3,6,50.0,1,2,50.0,0,0,0.0,1,3,4,1,1,0,0,0,12,1,0,1
Josh Hart,NYK,28,1,1,0,12.0,7,3,5,60.0,1,1,100,0,0,0.0,2,2,4,1,0,0,0,1,13,1,0,-4
Karl-Anthony Towns,MIN,27,1,0,1,5.4,7,3,4,75.0,1,1,100,0,0,0.0,0,1,1,1,0,0,0,0,10,1,0,4
Paul Reed,PHI,23,1,1,0,5.9,7,3,4,75.0,0,0,0.0,1,1,100,2,2,4,0,1,0,0,2,11,0,0,2
Anthony Davis,LAL,30,1,1,0,8.6,6,2,3,66.7,0,0,0.0,2,2,100,0,3,3,0,1,1,2,0,18,1,0,17
Bam Adebayo,MIA,25,1,1,0,10.0,6,3,5,60.0,0,0,0.0,0,0,0.0,0,4,4,1,2,1,0,2,13,0,0,2
Deandre Ayton,PHX,24,1,0,1,7.7,6,3,6,50.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,7,0,0,-2
