PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,CONFERENCE
Dwyane Wade,MIA,37,72,35,37,26.2,15,5.8,13.3,43.3,1.2,3.6,33,2.3,3.2,70.8,1,3,4,4.2,2.3,0.8,0.5,1.6,27.8,4,1,-0.9,EAST
Serge Ibaka,TOR,29,74,53,21,27.2,15,6.3,11.9,52.9,0.7,2.3,29,1.8,2.4,76.3,2.1,6,8.1,1.3,1.5,0.4,1.4,2.9,30.6,22,0,3.5,EAST
Emmanuel Mudiay,NYK,23,59,13,46,27.2,14.8,5.6,12.5,44.6,1.2,3.6,32.9,2.4,3.2,77.4,0.6,2.8,3.3,3.9,2.4,0.7,0.3,1.7,25.4,1,0,-6.1,EAST
Dennis Smith Jr.,NYK,21,21,5,16,28.6,14.7,5.8,14,41.3,1.1,4,28.9,2,3.5,56.8,0.7,2.1,2.8,5.4,2.6,1.3,0.4,2.2,28.7,1,0,-4.7,EAST
Jabari Parker,WAS,24,64,18,46,26.9,14.5,5.8,11.7,49.3,1,3,31.3,2,2.9,71.2,1.2,5.3,6.6,2.4,2.4,0.7,0.5,2.3,27.2,8,0,-3.2,EAST
Walter Lemon Jr.,CHI,26,6,1,5,27.9,14.3,6.3,14.5,43.7,0.3,0.8,40,1.3,1.8,72.7,0.7,3.8,4.5,5,1.7,1.8,0.2,2.3,31.6,0,0,-3.8,EAST
Kyle Lowry,TOR,33,65,47,18,34.1,14.2,4.7,11.4,41.1,2.4,7,34.7,2.5,3,83,0.6,4.2,4.8,8.7,2.8,1.4,0.5,2.6,35.9,20,2,8.2,EAST
Bobby Portis,WAS,24,50,14,36,26,14.2,5.6,12.6,44.4,1.5,3.8,39.3,1.5,1.9,79.4,2.2,5.9,8.1,1.4,1.5,0.7,0.4,2.9,27.9,14,0,-2.2,EAST
Domantas Sabonis,IND,23,74,43,31,24.8,14.1,5.6,9.5,59,0.1,0.2,52.9,2.8,3.9,71.5,2.5,6.8,9.3,2.9,2.2,0.6,0.4,3.2,30.6,30,0,2.6,EAST
Trevor Ariza,WAS,33,43,18,25,34.1,14.1,4.8,11.8,40.9,2.2,6.9,32.2,2.2,2.8,77.7,0.8,4.5,5.3,3.8,1.6,1.2,0.3,2,29.2,4,0,-1.3,EAST
Enes Kanter,POR,27,44,10,34,25.6,14,5.7,10.6,53.6,0.2,0.5,31.8,2.4,2.9,81.4,3.9,6.6,10.5,1.9,1.8,0.4,0.4,2.4,30,25,0,-4.9,EAST
Marcus Morris,BOS,29,75,44,31,27.9,13.9,5,11.3,44.7,1.9,5.2,37.5,1.9,2.3,84.4,1,5.1,6.1,1.5,1.2,0.6,0.3,2.4,24.9,5,0,1,EAST
Otto Porter Jr.,CHI,26,56,25,31,30.1,13.9,5.3,11.5,46.5,1.9,4.6,40.6,1.4,1.7,81.3,1,4.6,5.6,2.1,1.2,1.5,0.6,1.9,28.8,6,0,-0.4,EAST
Goran Dragic,MIA,33,36,16,20,27.5,13.7,5,12,41.3,1.6,4.6,34.8,2.2,2.8,78.2,0.6,2.5,3.1,4.8,2,0.8,0.1,2.3,25.6,4,1,1.2,EAST
Joe Harris,BKN,27,76,41,35,30.2,13.7,4.9,9.8,50,2.4,5.1,47.4,1.4,1.8,82.7,0.7,3.1,3.8,2.4,1.6,0.5,0.2,2.4,22.4,0,0,-1,EAST
Caris LeVert,BKN,24,40,19,21,26.6,13.7,5.2,12.1,42.9,1.2,3.9,31.2,2.1,3.1,69.1,0.9,2.9,3.8,3.9,1.7,1.1,0.4,1.9,26.5,0,0,-0.3,EAST
Al Horford,BOS,33,68,41,27,29,13.6,5.7,10.6,53.5,1.1,3,36,1.1,1.4,82.1,1.8,5,6.7,4.2,1.5,0.9,1.3,1.9,32.8,10,1,3.8,EAST
Taurean Prince,ATL,25,55,19,36,28.2,13.5,4.8,10.8,44.1,2.2,5.7,39,1.7,2.1,81.9,0.4,3.2,3.6,2.1,1.8,1,0.3,2.6,23.2,0,0,-4.4,EAST
Myles Turner,IND,23,74,43,31,28.6,13.3,5.1,10.5,48.7,1,2.6,38.8,2,2.7,73.6,1.4,5.8,7.2,1.6,1.4,0.8,2.7,2.6,33.4,17,0,1.6,EAST
Cedi Osman,CLE,24,76,17,59,32.2,13,4.7,11.1,42.7,1.7,4.9,34.8,1.9,2.4,77.9,0.6,4.1,4.7,2.6,1.5,0.8,0.1,2.6,23.8,3,0,-8.4,EAST
Jaylen Brown,BOS,22,74,41,33,25.9,13,5,10.7,46.5,1.3,3.7,34.4,1.8,2.7,65.8,0.9,3.4,4.2,1.4,1.3,0.9,0.4,2.5,22.9,2,0,0.9,EAST
Kelly Oubre Jr.,PHX,23,29,11,18,26,12.9,4.6,10.5,43.3,1.4,4.6,31.1,2.3,2.9,80,0.8,3.6,4.4,0.7,1,0.9,0.7,2.4,23.1,0,0,-4.5,EAST
Kevin Knox,NYK,19,75,15,60,28.8,12.8,4.5,12.2,37,1.7,4.9,34.3,2.2,3,71.7,0.8,3.7,4.5,1.1,1.5,0.6,0.3,2.3,21,3,0,-8.5,EAST
Jonas Valanciunas,MEM,27,30,23,7,18.8,12.8,5,8.6,57.5,0.3,1,30,2.6,3.1,81.9,1.8,5.4,7.2,1,1.3,0.4,0.8,2.7,25.2,5,0,2.3,EAST
Dwight Howard,WAS,33,9,4,5,25.5,12.8,4.8,7.7,62.3,0,0,0,3.2,5.3,60.4,2.7,6.6,9.2,0.4,1.8,0.8,0.4,3.8,26.4,3,0,-5.6,EAST
Thaddeus Young,IND,31,81,47,34,30.7,12.6,5.5,10.4,52.7,0.6,1.8,34.9,1.1,1.7,64.4,2.4,4.1,6.5,2.5,1.5,1.5,0.4,2.4,28.5,10,0,1.7,EAST
Justise Winslow,MIA,23,66,30,36,29.7,12.6,4.9,11.3,43.3,1.5,3.9,37.5,1.3,2.1,62.8,1,4.4,5.4,4.3,2.2,1.1,0.3,2.7,27.4,6,0,1.8,EAST
Brook Lopez,MIL,31,81,60,21,28.7,12.5,4.4,9.7,45.2,2.3,6.3,36.5,1.4,1.6,84.2,0.4,4.5,4.9,1.2,1,0.6,2.2,2.3,27.6,2,0,7.2,EAST
Hassan Whiteside,MIA,30,72,33,39,23.3,12.3,5.4,9.4,57.1,0,0.2,12.5,1.5,3.4,44.9,3.6,7.8,11.3,0.8,1.3,0.6,1.9,2.7,33.3,36,0,0.3,EAST
Jeff Green,WAS,32,77,29,48,27.2,12.3,4.2,8.9,47.5,1.4,4.2,34.7,2.4,2.7,88.8,0.7,3.3,4,1.8,1.3,0.6,0.5,2.1,21.7,2,0,-1.2,EAST
Rodney Hood,POR,26,45,10,35,27.4,12.2,4.3,10.1,42.7,1.2,3.4,36.2,2.3,2.5,91.2,0.4,2.1,2.5,2,0.8,0.8,0.1,2.2,20.3,0,0,-6.7,EAST
Reggie Bullock,LAL,28,44,23,21,30.8,12.1,4.1,10,41.3,2.6,6.7,38.8,1.3,1.5,87.5,0.5,2.3,2.8,2.5,1.2,0.5,0.1,1.8,20,0,0,0.3,EAST
Dion Waiters,MIA,27,44,20,24,25.9,12,4.5,10.9,41.4,2.5,6.6,37.7,0.5,1,50,0.2,2.5,2.6,2.8,1.5,0.7,0.2,1.6,20.4,0,0,-0.9,EAST
Trey Burke,DAL,26,33,8,25,20.9,11.8,4.5,10.8,41.3,0.9,2.6,34.9,1.9,2.3,82.7,0.5,1.4,1.9,2.8,0.9,0.6,0.2,1,19.8,1,0,-2.7,EAST
D.J. Augustin,ORL,31,81,42,39,28,11.7,3.9,8.4,47,1.6,3.8,42.1,2.2,2.6,86.6,0.5,2,2.5,5.3,1.6,0.6,0,1.4,23.1,4,0,2.1,EAST
Alec Burks,SAC,27,34,7,27,28.8,11.6,4,10,40,1.3,3.5,37.8,2.3,2.9,80.6,0.8,4.7,5.5,2.9,1.4,0.7,0.5,1.8,24.8,1,0,-7.6,EAST
Nikola Mirotic,MIL,28,14,10,4,22.9,11.6,4,9.6,41.5,2.2,6.2,35.6,1.4,1.6,87,1,4.4,5.4,1.4,0.8,0.7,0.6,1.5,23.5,0,0,6.1,EAST
Kent Bazemore,ATL,29,67,24,43,24.5,11.6,4.1,10.3,40.2,1.4,4.5,32,1.9,2.6,72.6,0.6,3.3,3.9,2.3,1.8,1.3,0.6,2.5,23.8,0,0,-4.4,EAST
Justin Holiday,MEM,30,38,10,28,34.9,11.6,4,10.4,38.3,2.6,7.1,35.9,1.1,1.2,89.1,0.5,3.9,4.4,2.2,1.2,1.8,0.6,2.1,26,3,0,-8.2,EAST
Markieff Morris,OKC,29,34,13,21,26,11.5,4.2,9.6,43.6,1.4,4.2,33.3,1.7,2.1,78.1,1.2,3.9,5.1,1.8,1.4,0.7,0.6,3.4,22.9,1,0,-4.7,EAST
Gordon Hayward,BOS,29,72,44,28,25.9,11.5,4.1,8.8,46.6,1.1,3.2,33.3,2.2,2.6,83.4,0.7,3.8,4.5,3.4,1.5,0.9,0.3,1.4,24,2,0,3,EAST
Robert Covington,MIN,28,13,8,5,33.8,11.3,3.8,9,42.7,2.3,5.9,39,1.3,1.8,73.9,0.5,4.6,5.2,1.1,1.7,1.8,1.8,3.5,28.3,1,0,1.4,EAST
Kris Dunn,CHI,25,46,14,32,30.2,11.3,4.7,11,42.5,0.7,2.1,35.4,1.2,1.5,79.7,0.4,3.7,4.1,6,2.3,1.5,0.5,3.6,28.7,2,0,-4.8,EAST
Darren Collison,IND,31,76,45,31,28.2,11.2,4.1,8.7,46.7,1,2.6,40.7,2.1,2.5,83.2,0.5,2.6,3.1,6,1.6,1.4,0.1,1.8,27,6,0,1.6,EAST
DeMarre Carroll,BKN,32,67,36,31,25.4,11.1,3.4,8.6,39.5,1.6,4.6,34.2,2.7,3.6,76,1,4.2,5.2,1.3,1.1,0.5,0.1,1.7,20,3,0,0.7,EAST
Alex Len,ATL,26,77,28,49,20.1,11.1,4.2,8.4,49.4,1,2.6,36.3,1.8,2.8,64.8,2.1,3.5,5.5,1.1,1.3,0.4,0.9,2.6,21.9,9,0,-2.1,EAST
Dario Saric,MIN,25,13,8,5,30.5,11.1,3.7,10.2,36.4,1.6,5.4,30,2.1,2.3,90,1.6,5,6.6,2,1.9,0.3,0.2,3,21.7,1,0,-2,EAST
Fred VanVleet,TOR,25,64,46,18,27.5,11,3.8,9.4,41,1.8,4.6,37.8,1.5,1.8,84.3,0.3,2.3,2.6,4.8,1.3,0.9,0.3,1.7,23.6,1,0,4.7,EAST
Tristan Thompson,CLE,28,43,8,35,27.9,10.9,4.7,8.8,52.9,0,0,0,1.6,2.5,64.2,4,6.2,10.2,2,1.4,0.7,0.4,2.1,27.9,19,0,-7,EAST
Jarrett Allen,BKN,21,80,42,38,26.2,10.9,4.2,7.1,59,0.1,0.6,13.3,2.5,3.5,70.9,2.4,6,8.4,1.4,1.3,0.5,1.5,2.3,27.9,24,0,-1.5,EAST
DeAndre Jordan,NYK,30,19,2,17,26,10.9,4.1,6.5,63.4,0,0,0,2.7,3.5,77.3,3.4,8,11.4,3,2.2,0.5,1.1,2.2,31.4,12,0,-10.4,EAST
Allonzo Trier,NYK,23,64,13,51,22.8,10.9,3.6,8.1,44.8,0.8,2.1,39.4,2.8,3.5,80.3,0.5,2.6,3.1,1.9,1.8,0.4,0.2,1.8,17.5,2,0,-3.2,EAST
Dewayne Dedmon,ATL,29,64,24,40,25.1,10.8,4,8.2,49.2,1.3,3.4,38.2,1.4,1.8,81.4,1.6,5.9,7.5,1.4,1.3,1.1,1.1,3.3,27.2,11,0,-2.7,EAST
Tyler Johnson,PHX,27,44,21,23,25.5,10.8,3.9,9.1,42.6,1.6,4.6,35.3,1.4,2,69.3,0.4,2.3,2.8,2.5,1.4,0.9,0.5,1.6,20.6,0,0,-1.4,EAST
Damyean Dotson,NYK,25,73,12,61,27.4,10.7,4,9.6,41.5,1.7,4.7,36.8,1,1.3,74.5,0.5,3.1,3.6,1.8,1,0.8,0.1,1.8,19.6,1,0,-4.5,EAST
Wesley Matthews,IND,32,25,8,17,31.2,10.6,3.4,9.2,37.1,2,5.6,35.7,1.8,2.1,84.9,0.5,2.2,2.7,2.4,1.3,0.8,0.2,2.3,19.3,0,0,-2,EAST
Thomas Bryant,WAS,21,72,29,43,20.8,10.5,4.3,7,61.6,0.5,1.4,33.3,1.5,1.9,78.1,1.6,4.7,6.3,1.3,0.8,0.3,0.9,1.8,23,14,0,-1.5,EAST
Wendell Carter Jr.,CHI,20,44,10,34,25.2,10.3,4.1,8.4,48.5,0.1,0.7,18.8,2,2.5,79.5,2,5,7,1.8,1.5,0.6,1.3,3.5,25.6,7,0,-6.6,EAST
Wayne Ellington,DET,31,53,26,27,24.5,10.3,3.5,8.6,40.3,2.6,7,37.1,0.7,0.9,79.6,0.3,1.8,2,1.4,0.8,1,0.1,1.7,17.4,0,0,-0.2,EAST
Danny Green,TOR,32,80,56,24,27.7,10.3,3.7,7.9,46.5,2.5,5.4,45.5,0.5,0.6,84.1,0.8,3.2,4,1.6,0.9,0.9,0.7,2.1,21.2,1,0,8,EAST
Tyreke Evans,IND,29,69,41,28,20.3,10.2,3.7,9.6,38.9,1.1,3.1,35.6,1.7,2.3,71.9,0.5,2.4,2.9,2.4,1.7,0.8,0.3,1.7,18.9,1,0,0.9,EAST
Cody Zeller,CHA,26,49,22,27,25.4,10.1,3.9,7,55.1,0.1,0.4,27.3,2.3,2.9,78.7,2.2,4.6,6.8,2.1,1.3,0.8,0.8,3.3,25,4,0,0.9,EAST
Marvin Williams,CHA,33,75,35,40,28.4,10.1,3.7,8.7,42.2,1.9,5.1,36.6,0.9,1.1,76.7,1,4.4,5.4,1.2,0.6,0.9,0.8,2.1,23.1,5,0,-0.1,EAST
Kelly Olynyk,MIA,28,79,39,40,22.9,10,3.3,7.1,46.3,1.4,4,35.4,1.9,2.3,82.2,0.9,3.8,4.7,1.8,1.4,0.7,0.5,2.3,20.3,4,0,1.3,EAST
Kadeem Allen,NYK,26,19,3,16,21.9,9.9,3.4,7.4,46.1,0.9,1.9,47.2,2.2,2.8,77.8,0.4,2.3,2.7,4,1.4,0.8,0.2,2.4,21,0,0,-1.9,EAST
Luke Kennard,DET,23,63,30,33,22.8,9.7,3.6,8.3,43.8,1.7,4.3,39.4,0.8,1,83.6,0.2,2.7,2.9,1.8,0.9,0.4,0.2,1.5,16.7,0,0,0.8,EAST
Kevin Huerter,ATL,20,75,27,48,27.3,9.7,3.7,8.8,41.9,1.8,4.7,38.5,0.5,0.7,73.2,0.8,2.5,3.3,2.9,1.5,0.9,0.3,2.1,20,1,0,-1.6,EAST
Allen Crabbe,BKN,27,43,19,24,26.4,9.6,3.2,8.7,36.7,2.3,6,37.8,1,1.3,73.2,0.4,3.1,3.4,1.1,1.1,0.5,0.3,2.4,16.8,1,0,0.1,EAST
Jonathan Isaac,ORL,21,75,37,38,26.6,9.6,3.5,8.1,42.9,1.1,3.5,32.3,1.5,1.8,81.5,1.3,4.2,5.5,1.1,1,0.8,1.3,1.9,23.1,3,0,0.1,EAST
Jeremy Lin,TOR,30,74,31,43,19.4,9.6,3.2,7.3,44,0.7,2.5,29.4,2.4,2.8,83.8,0.3,2.1,2.4,3.1,1.7,0.6,0.2,1.9,17.9,1,0,-2.5,EAST
Robin Lopez,CHI,31,74,20,54,21.7,9.5,4.1,7.2,56.8,0.1,0.4,22.6,1.2,1.7,72.4,1.9,2,3.9,1.2,1.3,0.1,1.1,1.7,18.3,2,0,-1.9,EAST
Tony Parker,CHA,37,56,30,26,17.9,9.5,3.8,8.3,46,0.2,0.9,25.5,1.6,2.2,73.4,0.3,1.2,1.5,3.7,1.3,0.4,0.1,0.9,16.9,1,0,0.3,EAST
Shabazz Napier,BKN,27,56,26,30,17.6,9.4,3,7.8,38.9,1.4,4.1,33.3,2.1,2.5,83.3,0.3,1.5,1.8,2.6,1.2,0.7,0.3,1.2,17.3,1,0,0.3,EAST
Larry Nance Jr.,CLE,26,67,16,51,26.8,9.4,3.7,7.1,52,0.5,1.5,33.7,1.4,2,71.6,2.5,5.7,8.2,3.2,1.4,1.5,0.6,2.9,28.9,18,0,-4.8,EAST
Nicolas Batum,CHA,30,75,35,40,31.4,9.3,3.4,7.5,45,1.5,4,38.9,1,1.2,86.5,0.9,4.3,5.2,3.3,1.6,0.9,0.6,1.9,23.5,0,0,-0.3,EAST
Marc Gasol,TOR,34,26,18,8,24.9,9.1,3.3,7.2,46.5,0.9,2,44.2,1.5,2,76.9,0.9,5.7,6.6,3.9,1.4,0.9,0.9,2.7,26.9,1,0,8,EAST
Terry Rozier,BOS,25,79,47,32,22.7,9,3.3,8.4,38.7,1.5,4.3,35.3,0.9,1.2,78.5,0.4,3.5,3.9,2.9,0.9,0.9,0.3,1.3,20.5,1,0,-0.5,EAST
Ish Smith,DET,30,56,33,23,22.3,8.9,3.7,8.7,41.9,0.8,2.4,32.6,0.8,1.1,75.8,0.4,2.2,2.6,3.6,1.1,0.5,0.2,1.9,18.5,0,0,1.5,EAST
Malik Monk,CHA,21,73,34,39,17.2,8.9,3.1,8,38.7,1.5,4.5,33,1.2,1.4,88.2,0.2,1.7,1.9,1.6,1.2,0.5,0.3,1.5,14.7,0,0,-0.6,EAST
Rondae Hollis-Jefferson,BKN,24,59,27,32,20.9,8.9,3.4,8.3,41.1,0.2,0.8,18.4,2,3.1,64.5,1.4,3.8,5.3,1.6,1.2,0.7,0.5,1.8,20.1,4,0,-0.2,EAST
Bam Adebayo,MIA,21,82,39,43,23.3,8.9,3.4,5.9,57.6,0,0.2,20,2,2.8,73.5,2,5.3,7.3,2.2,1.5,0.9,0.8,2.5,24.5,11,0,0.3,EAST
Tomas Satoransky,WAS,27,80,32,48,27,8.9,3.2,6.6,48.5,0.8,2,39.5,1.6,2,81.9,1,2.5,3.5,5,1.5,1,0.2,2.2,22.6,7,1,-0.7,EAST
Marcus Smart,BOS,25,80,48,32,27.5,8.9,3,7.1,42.2,1.6,4.3,36.4,1.3,1.6,80.6,0.7,2.2,2.9,4,1.5,1.8,0.4,2.5,23.3,1,0,2.1,EAST
Mario Hezonja,NYK,24,58,12,46,20.8,8.8,3.3,8,41.2,0.7,2.6,27.6,1.5,2,76.3,0.5,3.6,4.1,1.5,1.5,1,0.1,1.9,17.9,1,1,-4.5,EAST
Frank Kaminsky,CHA,26,47,22,25,16.1,8.6,2.9,6.3,46.3,1.1,3,36,1.7,2.3,73.8,0.8,2.6,3.5,1.3,0.9,0.3,0.3,1.4,15.4,2,0,0.9,EAST
Norman Powell,TOR,26,60,45,15,18.8,8.6,3.2,6.7,48.3,1.1,2.8,40,1,1.3,82.7,0.3,2.1,2.3,1.5,1.1,0.7,0.2,1.6,15.2,0,0,0.3,EAST
Brandon Knight,CLE,27,27,8,19,22.9,8.5,3.3,7.9,41.3,1.3,3.6,37.1,0.7,0.9,78.3,0.3,1.5,1.9,2.3,0.9,0.7,0.1,1.8,15.6,0,0,-6.4,EAST
Rodions Kurucs,BKN,21,63,36,27,20.5,8.5,3.2,7.1,45,0.9,2.9,31.5,1.1,1.5,78.3,0.9,3,3.9,0.8,1.2,0.7,0.4,2.3,16.3,2,0,0,EAST
Langston Galloway,DET,27,80,41,39,21.8,8.4,2.9,7.3,38.8,1.7,4.8,35.5,1,1.2,84.4,0.6,1.5,2.1,1.1,0.3,0.5,0.1,1.7,13.9,0,0,0.5,EAST
Noah Vonleh,NYK,23,68,13,55,25.3,8.4,3,6.5,47,0.7,2,33.6,1.6,2.3,71.2,1.7,6.1,7.8,1.9,1.3,0.7,0.8,2.6,23.5,18,0,-4.3,EAST
DeAndre' Bembry,ATL,24,82,29,53,23.6,8.4,3.4,7.5,44.6,0.6,2.1,28.9,1.1,1.7,64,0.7,3.7,4.4,2.5,1.7,1.3,0.5,2.3,20.9,3,0,-2.8,EAST
Landry Shamet,LAC,22,54,34,20,20.5,8.3,2.8,6.4,44.1,1.8,4.5,40.4,0.8,1,81.5,0.3,1.2,1.4,1.1,0.5,0.4,0.1,2,13,0,0,-0.6,EAST
Boban Marjanovic,PHI,30,22,14,8,13.9,8.2,3.4,5.5,62.5,0.2,0.4,50,1.2,1.6,72.2,1.5,3.7,5.1,1.5,1,0.2,0.5,1.5,17.6,2,0,0.5,EAST
Markelle Fultz,ORL,21,19,12,7,22.5,8.2,3.4,8.2,41.9,0.2,0.7,28.6,1.1,1.9,56.8,1.4,2.3,3.7,3.1,1.3,0.9,0.3,2.7,19.4,0,0,-0.4,EAST
Wayne Selden,CHI,24,43,12,31,22.9,8,3,7.5,40.7,0.8,2.6,31.5,1,1.5,71.4,0.5,2.7,3.2,1.7,1.3,0.5,0.2,1.9,15.1,1,0,-5.4,EAST
Mike Scott,PHI,30,27,17,10,24,7.8,2.8,7,40,1.8,4.4,41.2,0.4,0.6,66.7,0.7,3.1,3.8,0.8,0.6,0.3,0.2,2.5,14.5,0,0,0.3,EAST
James Johnson,MIA,32,55,27,28,21.2,7.8,3,6.9,43.3,0.9,2.7,33.6,0.9,1.3,71.4,0.4,2.8,3.2,2.5,1.3,0.6,0.5,2.1,17.3,0,0,-1.9,EAST
Ante Zizic,CLE,22,59,13,46,18.3,7.8,3.1,5.6,55.3,0,0,0,1.6,2.2,70.5,1.8,3.6,5.4,0.9,1,0.2,0.4,1.9,16.4,4,0,-1.4,EAST
George Hill,MIL,33,60,39,21,21.7,7.6,2.8,6.3,45.2,0.8,2.6,31.4,1.2,1.4,82.4,0.7,1.8,2.5,2.3,0.9,0.9,0.1,1.7,16.1,0,0,2.4,EAST
Rodney McGruder,LAC,27,66,31,35,23.5,7.6,2.8,7,40.3,1.2,3.4,35.1,0.8,1.1,72.2,0.9,2.7,3.6,1.7,1,0.5,0.2,1.7,15.7,2,0,-0.6,EAST
Corey Brewer,SAC,33,7,5,2,19.9,7.6,2.9,7,40.8,0.6,2,28.6,1.3,1.9,69.2,0.6,1.9,2.4,1.4,1.1,1.7,0.3,2.3,17.5,0,0,-0.6,EAST
Miles Bridges,CHA,21,80,38,42,21.2,7.5,3,6.4,46.4,0.8,2.5,32.5,0.7,1,75.3,0.8,3.2,4,1.2,0.6,0.7,0.6,1.4,17.4,1,0,-1.6,EAST
Stanley Johnson,NOP,23,48,23,25,20,7.5,2.8,7.3,38.1,1.1,3.8,28.2,0.9,1.1,80.4,0.5,3.1,3.6,1.3,1.1,1,0.3,1.9,16.4,0,0,-2.5,EAST
Mike Muscala,LAL,27,47,30,17,22.2,7.4,2.3,5.9,39.2,1.4,4.2,34.2,1.3,1.6,81.8,1.1,3.2,4.3,1.3,0.9,0.4,0.6,2.4,16.5,1,0,1.3,EAST
Vince Carter,ATL,42,76,25,51,17.5,7.4,2.6,6.2,41.9,1.6,4.2,38.9,0.6,0.9,71.2,0.4,2.1,2.6,1.1,0.6,0.6,0.4,1.9,14.3,0,0,-2.4,EAST
Dwayne Bacon,CHA,23,43,20,23,17.6,7.3,2.8,6,47.5,0.9,2,43.7,0.8,1.1,73.9,0.2,1.9,2.1,1.1,0.4,0.3,0.1,1.7,12.2,0,0,-0.5,EAST
Mitchell Robinson,NYK,21,66,16,50,20.6,7.3,3.1,4.4,69.4,0,0,0,1.2,2,60,2.7,3.7,6.4,0.6,0.5,0.8,2.4,3.3,25,11,0,-3.1,EAST
Antonio Blakeney,CHI,22,57,14,43,14.5,7.3,2.9,6.9,41.9,0.6,1.6,39.6,0.9,1.3,65.8,0.1,1.7,1.9,0.7,0.6,0.2,0.2,0.7,11.2,0,0,-2.6,EAST
Doug McDermott,IND,27,77,43,34,17.4,7.3,2.7,5.5,49.1,1.1,2.7,40.8,0.9,1,83.5,0.2,1.2,1.4,0.9,0.5,0.2,0.1,1.4,10.8,0,0,1.7,EAST
Willy Hernangomez,CHA,25,58,31,27,14,7.3,2.6,5.1,51.9,0.3,0.7,38.5,1.7,2.5,69.4,2,3.3,5.4,1,1,0.3,0.3,1.7,16.1,4,0,-1.6,EAST
Austin Rivers,HOU,26,29,11,18,23.5,7.2,2.6,6.7,39.2,1.1,3.7,31.1,0.9,1.6,54.3,0.3,2.1,2.4,2,1.2,0.6,0.3,2.5,14.8,0,0,-0.9,EAST
Derrick Jones Jr.,MIA,22,60,31,29,19.2,7,2.7,5.4,49.4,0.5,1.5,30.8,1.2,2,60.7,1.6,2.4,4,0.6,0.7,0.8,0.7,2.1,16.4,0,0,-0.4,EAST
Luke Kornet,NYK,23,46,9,37,17,7,2.3,6.2,37.8,1.5,4.2,36.3,0.8,1,82.6,0.6,2.3,2.9,1.2,0.5,0.6,0.9,0.9,16.2,1,0,-1.2,EAST
OG Anunoby,TOR,21,67,46,21,20.2,7,2.7,6,45.3,1,3,33.2,0.5,0.9,58.1,0.9,2.1,2.9,0.7,0.8,0.7,0.3,2.1,13.8,0,0,-0.7,EAST
Pat Connaughton,MIL,26,61,43,18,20.7,6.9,2.7,5.7,46.6,1.1,3.3,33,0.5,0.7,72.5,1,3.2,4.2,2,0.5,0.5,0.4,1.3,17.3,1,0,1.9,EAST
Delon Wright,MEM,27,49,34,15,18.3,6.9,2.6,6,43.3,0.6,1.8,33.3,1.1,1.2,86.9,0.8,1.8,2.6,2.2,0.8,0.9,0.3,1.1,16.3,0,0,-0.8,EAST
Ersan Ilyasova,MIL,32,67,49,18,18.4,6.8,2.5,5.7,43.8,0.9,2.4,36.3,0.9,1.1,82.4,1.4,3.1,4.5,0.8,0.7,0.5,0.3,2.6,14.9,3,0,3.6,EAST
Timothe Luwawu-Cabarrot,CHI,24,29,10,19,18.8,6.8,2.4,6,39.4,1.1,3.2,33,0.9,1.2,77.1,0.2,2.5,2.7,0.8,0.6,0.5,0.2,2,12.9,1,0,-5.7,EAST
Kyle Korver,UTA,38,16,3,13,15.7,6.8,2.2,4.8,46.1,1.6,3.4,46.3,0.8,1,81.3,0,1.8,1.8,1.1,1.1,0.2,0.1,1.4,10.4,0,0,-2.5,EAST
JR Smith,CLE,33,11,1,10,20.2,6.7,2.5,7.2,34.2,1.1,3.5,30.8,0.7,0.9,80,0,1.6,1.6,1.9,1,1,0.3,1.7,14.4,0,0,-1.3,EAST
Ryan Arcidiacono,CHI,25,81,22,59,24.2,6.7,2.3,5.2,44.7,1,2.7,37.3,1.1,1.3,87.3,0.3,2.4,2.7,3.3,0.8,0.8,0,2.1,16.7,0,0,-3.1,EAST
Devin Robinson,WAS,24,7,1,6,13.5,6.7,2.7,4.6,59.4,0,0.3,0,1.3,2,64.3,0.9,2,2.9,0.9,0.3,0.6,0.9,1.6,15.4,0,0,-1.3,EAST
Wilson Chandler,LAC,32,36,25,11,26.4,6.7,2.5,5.8,44,1.3,3.3,39,0.4,0.5,72.2,1.2,3.4,4.7,2,1.1,0.6,0.5,2.6,17.5,0,0,4.1,EAST
Michael Kidd-Gilchrist,CHA,25,64,29,35,18.4,6.7,2.5,5.2,47.6,0.3,0.7,34,1.5,1.9,77.2,1.4,2.5,3.8,1,0.7,0.5,0.6,2.4,15.4,1,0,-0.8,EAST
Zhaire Smith,PHI,20,6,2,4,18.4,6.7,2.3,5.7,41.2,1,2.7,37.5,1,1.3,75,0.5,1.7,2.2,1.7,1,0.3,0.3,1.3,12.8,0,0,2.3,EAST
David Nwaba,CLE,26,51,14,37,19.3,6.5,2.5,5.1,48.1,0.5,1.5,32,1.1,1.7,68.2,0.8,2.4,3.2,1.1,0.6,0.7,0.3,2.1,14.5,0,0,-1.5,EAST
Cory Joseph,IND,27,82,48,34,25.2,6.5,2.8,6.7,41.2,0.7,2.1,32.2,0.4,0.5,69.8,0.5,2.9,3.4,3.9,1,1.1,0.3,1.6,19.8,1,0,2.6,EAST
