PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,CONFERENCE
Channing Frye,CLE,36,36,7,29,9.5,3.6,1.2,3.3,36.8,0.9,2.2,40.5,0.3,0.4,78.6,0.1,1.3,1.4,0.6,0.4,0.2,0.1,1.2,6.7,0,0,-4.1,EAST
BJ Johnson,SAC,23,6,2,4,7.2,3.5,1.3,2.7,50,0.5,1,50,0.3,0.3,100,0.3,1,1.3,0,0.3,0.3,0,0.5,5.8,0,0,-2.3,EAST
Malcolm Miller,TOR,26,10,9,1,6.7,3.5,1.1,2.6,42.3,1,2.1,47.6,0.3,0.4,75,0.1,0.4,0.5,0.1,0.1,0.1,0.1,0.5,4.8,0,0,-0.8,EAST
Isaiah Briscoe,ORL,23,39,17,22,14.3,3.5,1.4,3.5,39.9,0.3,0.9,32.4,0.4,0.7,57.7,0.1,1.8,1.9,2.2,0.8,0.3,0.1,1.7,9.3,0,0,0.5,EAST
Kyle O'Quinn,IND,29,45,27,18,8.2,3.5,1.5,3,50.7,0,0.3,8.3,0.4,0.5,81,0.6,2,2.6,1.2,0.7,0.2,0.6,1.5,10.1,1,0,0.1,EAST
Duncan Robinson,MIA,25,15,7,8,10.7,3.3,1.2,3.1,39.1,0.7,2.3,28.6,0.3,0.4,66.7,0.1,1.1,1.3,0.3,0.3,0.3,0,0.7,6.1,0,0,-2.2,EAST
Tyler Dorsey,MEM,23,27,3,24,9.3,3.3,1.2,3.3,36,0.4,1.4,25.6,0.6,1,61.5,0.3,1.3,1.6,0.6,0.4,0.3,0,0.7,6.7,0,0,0.3,EAST
Chris Boucher,TOR,26,28,21,7,5.8,3.3,1.2,2.7,44.7,0.4,1.3,32.4,0.5,0.5,86.7,0.6,1.4,2,0.1,0.3,0.2,0.9,1.1,8.8,1,0,-0.5,EAST
Semi Ojeleye,BOS,24,56,39,17,10.6,3.3,1.2,2.8,42.4,0.5,1.6,31.5,0.4,0.7,61.5,0.4,1.1,1.5,0.4,0.3,0.2,0.1,0.8,6.2,0,0,1.3,EAST
Jaylen Adams,ATL,23,34,13,21,12.6,3.2,1.1,3.2,34.5,0.7,2.2,33.8,0.2,0.3,77.8,0.3,1.4,1.8,1.9,0.8,0.4,0.1,1.3,9,0,0,-1.7,EAST
