PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,SEASON
Aaron Brooks,CHI,31,6-0,161,Oregon,USA,2007,1,26,69,491,101,180,0,1.8,6.8,22.5,49.4,26.5,2016
Aaron Gordon,ORL,20,6-9,220,Arizona,USA,2014,1,4,78,719,507,128,-1,8.0,18.9,16.9,54.1,10.3,2016
Aaron Harrison,CHA,21,6-6,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,21,18,15,2,-3,4.5,11.2,13.2,37.1,3.3,2016
Adreian Payne,MIN,25,6-10,237,Michigan State,USA,2014,1,15,52,132,111,29,-12,4.4,19.8,17.5,42.2,9.3,2016
Al Horford,ATL,30,6-10,245,Florida,Dominican Republic,2007,1,3,82,1249,596,263,4,5.6,15.8,20.2,56.5,16.5,2016
Al Jefferson,CHA,31,6-10,289,None,USA,2004,1,15,47,562,301,70,3,5.0,21.6,24.0,50.7,11.4,2016
Al-Farouq Aminu,POR,25,6-9,215,Wake Forest,USA,2010,1,8,82,839,499,138,2,4.1,16.8,16.6,53.3,8.7,2016
Alan Anderson,WAS,33,6-6,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,13,65,27,14,8,0.5,13.1,15.1,49.5,11.2,2016
Alan Williams,PHX,23,6-8,260,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,10,29,38,5,-1,16.5,34.8,19.4,48.1,9.6,2016
Alec Burks,UTA,24,6-6,214,Colorado,USA,2011,1,12,31,412,109,63,1,1.9,12.1,24.6,52.0,14.0,2016
Alex Len,PHX,23,7-1,260,Maryland,Ukraine,2013,1,5,78,703,594,97,-8,9.1,22.3,20.2,48.2,8.7,2016
Alex Stepheson,MEM,28,6-10,270,Southern California,USA,Undrafted,Undrafted,Undrafted,8,22,28,2,-2,17.6,10.8,16.6,34.1,5.3,2016
Alexis Ajinca,NOP,28,7-2,248,None,France,2008,1,20,59,352,269,31,-3,8.5,22.7,20.1,51.4,5.9,2016
Allen Crabbe,POR,24,6-6,210,California,USA,2013,2,31,81,832,216,99,1,1.2,8.6,15.9,57.2,7.2,2016
Alonzo Gee,NOP,29,6-6,225,Alabama,USA,Undrafted,Undrafted,Undrafted,73,325,245,72,-4,3.5,11.1,9.1,57.2,6.3,2016
Amar'e Stoudemire,MIA,33,6-10,245,None,USA,2002,1,9,52,300,222,27,0,9.2,20.6,17.6,59.9,5.4,2016
Amir Johnson,BOS,29,6-9,240,No College,USA,2005,2,56,79,577,505,138,5,9.2,17.3,13.6,60.2,11.0,2016
Anderson Varejao,GSW,33,6-11,273,None,Brazil,2004,2,30,53,138,141,35,3,6.8,20.4,14.3,47.3,10.2,2016
Andre Drummond,DET,22,6-11,279,Connecticut,USA,2012,1,9,81,1314,1198,67,2,13.5,30.9,23.9,49.9,4.2,2016
Andre Iguodala,GSW,32,6-6,215,Arizona,USA,2004,1,9,65,457,263,219,13,3.1,11.0,11.7,56.5,16.5,2016
Andre Miller,SAS,40,6-3,200,Utah,USA,1999,1,8,39,144,51,87,3,3.1,8.7,15.6,60.0,27.6,2016
Andre Roberson,OKC,24,6-7,210,Colorado,USA,2013,1,26,70,337,251,47,9,5.3,10.2,9.2,56.6,3.9,2016
Andrea Bargnani,BKN,30,7-0,245,None,Italy,2006,1,1,46,304,97,18,-15,4.2,11.7,22.7,50.0,5.1,2016
Andrew Bogut,GSW,31,7-0,260,Utah,Australia,2005,1,1,70,375,492,162,14,8.6,22.9,11.5,62.3,14.5,2016
Andrew Goudelock,HOU,27,6-3,200,College of Charleston,USA,2011,2,46,8,22,2,4,8,2.1,1.3,23.4,50.6,11.8,2016
Andrew Nicholson,ORL,26,6-9,250,St. Bonaventure,Canada,2012,1,19,56,384,201,25,3,4.1,19.1,20.5,56.7,5.0,2016
Andrew Wiggins,MIN,21,6-8,199,Kansas,Canada,2014,1,1,81,1675,291,164,-1,3.9,6.6,26.7,54.3,9.8,2016
Anthony Bennett,TOR,23,6-8,245,UNLV,Canada,2013,1,1,19,28,23,0,-19,5.9,26.2,16.6,44.6,0.0,2016
Anthony Brown,LAL,23,6-7,210,Stanford,USA,2015,2,34,29,115,70,19,-2,1.4,10.1,10.9,42.7,4.8,2016
Anthony Davis,NOP,23,6-10,253,Kentucky,USA,2012,1,1,61,1481,627,116,-4,5.9,23.4,29.0,55.9,10.0,2016
Anthony Morrow,OKC,30,6-5,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,68,380,62,24,5,1.1,5.4,16.7,54.3,3.7,2016
Anthony Tolliver,DET,31,6-8,240,Creighton,USA,Undrafted,Undrafted,Undrafted,72,383,229,52,0,2.6,14.3,12.2,54.3,5.8,2016
Archie Goodwin,PHX,21,6-5,200,Kentucky,USA,2013,1,29,57,505,142,118,-9,2.3,10.4,22.7,49.8,17.4,2016
Aron Baynes,DET,29,6-10,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,81,514,384,51,-3,10.6,20.2,18.4,56.3,7.0,2016
Arron Afflalo,NYK,30,6-5,210,UCLA,USA,2007,1,27,71,909,266,144,-3,1.0,9.8,17.8,53.1,9.7,2016
Austin Rivers,LAC,23,6-4,200,Duke,USA,2012,1,10,67,593,130,99,-4,1.5,7.0,18.8,52.3,11.6,2016
Avery Bradley,BOS,25,6-2,180,Texas-Austin,USA,2010,1,19,76,1155,220,158,5,1.8,6.5,19.7,53.8,9.5,2016
Axel Toupane,DEN,23,6-7,210,None,France,Undrafted,Undrafted,Undrafted,21,76,31,15,-2,2.8,7.6,12.2,49.0,6.8,2016
Ben McLemore,SAC,23,6-5,195,Kansas,USA,2013,1,7,68,531,148,79,1,2.3,7.6,17.2,53.1,7.6,2016
Beno Udrih,MEM,33,6-3,205,None,Slovenia,2004,1,28,44,205,72,116,-2,1.2,9.1,16.7,49.6,25.6,2016
Bismack Biyombo,TOR,23,6-9,245,None,DRC,2011,1,7,82,454,655,29,3,10.0,24.9,11.4,58.6,2.5,2016
Blake Griffin,LAC,27,6-10,251,Oklahoma,USA,2009,1,1,35,749,294,170,7,4.4,19.6,28.9,54.4,25.8,2016
Boban Marjanovic,SAS,27,7-3,290,None,Serbia,Undrafted,Undrafted,Undrafted,54,297,194,21,5,15.4,24.6,22.0,66.2,7.2,2016
Bobby Portis,CHI,21,6-11,230,Arkansas,USA,2015,1,22,62,436,337,52,-8,10.1,18.6,20.3,46.9,7.6,2016
Bojan Bogdanovic,BKN,27,6-8,216,None,Croatia,2011,2,31,79,887,255,99,-9,1.7,10.5,19.0,55.0,7.3,2016
Boris Diaw,SAS,34,6-8,250,None,France,2003,1,21,76,485,233,176,10,4.5,12.4,16.4,58.2,18.2,2016
Bradley Beal,WAS,23,6-5,207,Florida,USA,2012,1,3,55,958,188,162,0,2.4,8.8,24.5,54.7,15.3,2016
Brandan Wright,MEM,28,6-10,210,North Carolina,USA,2007,1,8,12,83,43,6,-11,6.6,13.4,15.2,66.3,5.0,2016
Branden Dawson,LAC,23,6-6,225,Michigan State,USA,2015,2,56,6,5,4,0,-30,9.1,6.3,7.8,46.0,0.0,2016
Brandon Bass,LAL,31,6-8,250,Louisiana State,USA,2005,2,33,66,473,285,74,-1,7.4,13.6,13.6,61.9,8.8,2016
Brandon Jennings,ORL,26,6-1,169,None,USA,2009,1,10,48,332,96,170,0,1.7,9.2,19.2,49.1,29.8,2016
Brandon Knight,PHX,24,6-3,189,Kentucky,USA,2011,1,8,52,1018,202,263,-6,1.8,9.0,25.8,52.2,23.4,2016
Brandon Rush,GSW,30,6-6,220,Kansas,USA,2008,1,13,72,305,181,57,-1,2.1,14.0,12.5,56.0,7.2,2016
Brian Roberts,POR,30,6-1,173,Dayton,USA,Undrafted,Undrafted,Undrafted,51,205,41,54,-7,1.2,7.5,18.8,55.2,20.5,2016
Briante Weber,MIA,23,6-2,165,Virginia Commonwealth,USA,Undrafted,Undrafted,Undrafted,7,31,25,21,-21,3.7,11.5,11.7,38.0,17.5,2016
Brook Lopez,BKN,28,7-0,275,Stanford,USA,2008,1,10,73,1501,573,146,-2,8.6,15.3,27.2,56.2,10.6,2016
Bruno Caboclo,TOR,20,6-9,205,None,Brazil,2014,1,20,6,3,2,1,-13,2.0,2.1,15.2,12.5,3.3,2016
Bryce Cotton,MEM,23,6-1,165,Providence,USA,Undrafted,Undrafted,Undrafted,8,8,0,3,-30,0.0,0.0,17.0,40.0,13.6,2016
Bryce Dejean-Jones,NOP,23,6-6,203,Iowa State,USA,Undrafted,Undrafted,Undrafted,14,79,48,15,-7,2.5,15.7,14.0,50.5,7.6,2016
C.J. Watson,ORL,32,6-2,175,Tennessee,USA,Undrafted,Undrafted,Undrafted,33,142,66,88,-4,1.5,8.4,11.7,46.1,18.0,2016
C.J. Wilcox,LAC,25,6-5,195,Washington,USA,2014,1,28,23,70,12,10,6,0.6,5.7,19.0,49.1,9.0,2016
CJ McCollum,POR,24,6-4,200,Lehigh,USA,2013,1,10,80,1666,259,341,3,1.6,7.5,26.6,54.4,21.1,2016
CJ Miles,IND,29,6-6,231,No College,USA,2005,2,34,64,753,175,63,0,1.7,9.9,22.1,54.7,6.9,2016
Cameron Bairstow,DET,25,6-9,250,New Mexico,Australia,2014,2,49,18,34,28,6,-2,3.4,20.3,19.6,39.1,9.1,2016
Cameron Payne,OKC,21,6-3,185,Murray State,USA,2015,1,14,57,283,85,108,-2,1.2,10.8,19.9,49.0,24.1,2016
Carl Landry,PHI,32,6-9,248,Purdue,USA,2007,2,31,36,351,146,32,-9,8.1,17.8,23.6,60.5,10.2,2016
