 ,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Anthony Edwards,MIN,21,1,0,1,10.7,14,4,6,66.7,2,4,50.0,4,4,100,0,0,0,0,0,1,0,1,17,0,0,-5
1,Derrick White,BOS,28,1,1,0,12.0,14,5,7,71.4,2,3,66.7,2,2,100,0,5,5,2,2,0,0,1,21,0,0,4
1,Duncan Robinson,MIA,29,1,0,1,12.0,14,5,7,71.4,4,5,80.0,0,0,0.0,0,4,4,2,1,0,0,0,21,0,0,17
4,Michael Porter Jr.,DEN,24,1,1,0,12.0,13,4,6,66.7,2,3,66.7,3,3,100,0,2,2,0,0,1,0,1,18,0,0,11
4,Stephen Curry,GSW,35,1,0,1,12.0,13,5,10,50.0,0,5,0.0,3,3,100,0,1,1,3,0,0,0,0,19,0,0,0
6,De'Aaron Fox,SAC,25,1,1,0,12.0,11,5,9,55.6,1,2,50.0,0,0,0.0,0,3,3,3,0,1,0,0,22,0,0,0
7,Immanuel Quickley,NYK,23,1,0,1,12.0,10,3,5,60.0,1,3,33.3,3,4,75.0,0,0,0,0,0,2,0,2,16,0,0,5
7,Jamal Murray,DEN,26,1,1,0,8.3,10,3,4,75.0,2,3,66.7,2,3,66.7,0,1,1,1,2,0,0,2,11,0,0,7
7,Tyrese Maxey,PHI,22,1,1,0,9.6,10,4,8,50.0,2,6,33.3,0,0,0.0,0,3,3,0,0,0,1,1,17,0,0,9
10,Caleb Martin,MIA,27,1,0,1,12.0,9,3,3,100,2,2,100,1,1,100,0,0,0,5,0,0,0,0,17,0,0,17
10,Kawhi Leonard,LAC,31,1,0,1,8.8,9,3,5,60.0,1,1,100,2,2,100,1,1,2,1,1,1,0,0,15,0,0,-1
10,Klay Thompson,GSW,33,1,0,1,12.0,9,3,5,60.0,3,4,75.0,0,0,0.0,0,2,2,0,0,0,0,1,11,0,0,0
10,Pat Connaughton,MIL,30,1,1,0,10.7,9,3,6,50.0,3,6,50.0,0,0,0.0,1,1,2,0,0,0,0,1,11,0,0,-13
14,Chris Paul,PHX,37,1,1,0,11.3,8,4,5,80.0,0,0,0.0,0,0,0.0,0,1,1,2,0,1,0,1,15,0,0,7
14,Harrison Barnes,SAC,30,1,1,0,10.1,8,3,4,75.0,0,0,0.0,2,2,100,0,2,2,0,0,0,0,0,10,0,0,2
14,Joel Embiid,PHI,29,1,1,0,6.7,8,2,2,100,0,0,0.0,4,4,100,0,2,2,1,2,0,1,1,13,1,0,7
