May-July 2019,,,,,,,,,
,,,,,,,,,
ADDRESS,BD,BA,1/2BA,Yr Built,Sq Ft Apx,DOM,List Price,Sold Price,VIEWS
6012 Thornhill Drive,3,2,,1941,1908,13,"$991,000","$1,280,000",
6086 Valley View Rd,4,3,0,1990,2983,12,"$1,095,000","$1,262,000","Hills, Wooded"
6137 Valley View Rd,2,1,0,1936,1248,25,"$849,000","$850,000",
6201 Valley View Rd,3,2,0,1937,1201,14,"$875,000","$1,000,000",Wooded
6001 Westover Dr.,4,3,0,1953,2728,12,"$1,150,000","$1,425,000","Bay, Canyon, Park, Water"
7211 Wild Currant,3,2,,1958,1933,13,"$879,000","$960,000","Canyon, Forest, Wooded"
6215 Wood Drive,4,3,1,1961,2734,34,"$1,488,000","$1,475,000","Bay, San Francisco"
1880 Woodhaven,5,4,0,1954,2954,53,"$1,160,000","$1,130,000",Forest
,,,,,,,,,
,,,,,,,,,
Data Source:,,,,,,,,,
Laural Strand,,,,,,,,,
http://www.laurelstrand.com/Laurels-2019-MONTCLAIR-Market-Report,,,,,,,,,
