,Assister,Scorer,PTS
676,Kevon Looney,Klay Thompson,3
677,Draymond Green,Jordan Poole,2
678,Klay Thompson,Jordan Poole,3
679,Klay Thompson,Jordan Poole,3
680,Donte DiVincenzo,Jordan Poole,3
681,Draymond Green,Anthony Lamb,3
682,Jordan Poole,Draymond Green,2
683,Stephen Curry,Klay Thompson,3
684,Kevon Looney,Draymond Green,3
685,Draymond Green,Klay Thompson,2
686,Jordan Poole,Kevon Looney,2
687,Jordan Poole,Draymond Green,3
688,Stephen Curry,Andrew Wiggins,2
689,Stephen Curry,Andrew Wiggins,3
690,Andrew Wiggins,Kevon Looney,2
691,Draymond Green,Stephen Curry,2
692,Stephen Curry,Jordan Poole,2
693,Jordan Poole,Stephen Curry,3
694,Donte DiVincenzo,Stephen Curry,3
695,Donte DiVincenzo,Stephen Curry,3
696,Stephen Curry,JaMychal Green,2
697,Stephen Curry,Moses Moody,3
698,Moses Moody,JaMychal Green,2
699,Jordan Poole,Andrew Wiggins,3
700,Draymond Green,Andrew Wiggins,2
701,Jordan Poole,Jonathan Kuminga,2
702,Stephen Curry,Andrew Wiggins,3
703,Draymond Green,Andrew Wiggins,2
704,Stephen Curry,Jordan Poole,2
705,Stephen Curry,Jordan Poole,2
706,Draymond Green,Andrew Wiggins,3
707,Andrew Wiggins,Jordan Poole,3
708,Draymond Green,Andrew Wiggins,2
709,Donte DiVincenzo,Andrew Wiggins,3
710,Donte DiVincenzo,Andrew Wiggins,3
711,Donte DiVincenzo,Andrew Wiggins,3
712,Stephen Curry,Andrew Wiggins,3
713,Draymond Green,Jordan Poole,3
714,Jonathan Kuminga,Moses Moody,3
715,Kevon Looney,Stephen Curry,3
716,Kevon Looney,Moses Moody,3
717,Stephen Curry,Andrew Wiggins,2
718,Anthony Lamb,Moses Moody,2
719,Ty Jerome,Anthony Lamb,2
720,Stephen Curry,Klay Thompson,3
721,Stephen Curry,Klay Thompson,3
722,Moses Moody,Anthony Lamb,2
723,Anthony Lamb,JaMychal Green,2
724,Draymond Green,Jordan Poole,3
725,Draymond Green,Jordan Poole,2
726,Draymond Green,Jordan Poole,2
727,Klay Thompson,Jonathan Kuminga,2
728,Draymond Green,Klay Thompson,3
729,Anthony Lamb,Klay Thompson,3
730,Stephen Curry,Klay Thompson,3
731,Jonathan Kuminga,Anthony Lamb,2
732,Stephen Curry,Kevon Looney,2
733,Klay Thompson,Draymond Green,2
734,Stephen Curry,Jordan Poole,2
735,Stephen Curry,Klay Thompson,3
736,Jordan Poole,Stephen Curry,3
737,Klay Thompson,Jordan Poole,3
738,JaMychal Green,Stephen Curry,3
739,Jonathan Kuminga,JaMychal Green,2
740,Jordan Poole,Donte DiVincenzo,2
741,Jordan Poole,Klay Thompson,3
742,Draymond Green,Klay Thompson,3
743,Klay Thompson,Donte DiVincenzo,3
744,Jordan Poole,Jonathan Kuminga,2
745,Anthony Lamb,Jordan Poole,2
746,Jordan Poole,JaMychal Green,3
747,Klay Thompson,Kevon Looney,2
748,Ty Jerome,JaMychal Green,2
749,JaMychal Green,Jordan Poole,2
750,Jordan Poole,Klay Thompson,3
751,Jordan Poole,Jonathan Kuminga,2
752,Donte DiVincenzo,Jordan Poole,3
753,Jordan Poole,Anthony Lamb,3
754,Klay Thompson,James Wiseman,2
755,Donte DiVincenzo,Anthony Lamb,2
756,Donte DiVincenzo,Ty Jerome,2
757,Jordan Poole,Jonathan Kuminga,2
758,Donte DiVincenzo,Klay Thompson,3
759,Donte DiVincenzo,Kevon Looney,2
760,Kevon Looney,Klay Thompson,2
761,Ty Jerome,Klay Thompson,2
762,Jordan Poole,Klay Thompson,2
763,Jonathan Kuminga,Donte DiVincenzo,3
764,Donte DiVincenzo,Klay Thompson,3
765,Jordan Poole,Jonathan Kuminga,3
766,Donte DiVincenzo,Jonathan Kuminga,2
767,Jonathan Kuminga,Moses Moody,3
768,Klay Thompson,Jordan Poole,2
769,Jordan Poole,Jonathan Kuminga,2
770,Draymond Green,Klay Thompson,2
771,Klay Thompson,Kevon Looney,2
772,Jordan Poole,Klay Thompson,2
773,Jordan Poole,Draymond Green,2
774,Jonathan Kuminga,Stephen Curry,3
775,Jonathan Kuminga,Jordan Poole,2
776,JaMychal Green,Jonathan Kuminga,3
777,Stephen Curry,Klay Thompson,3
778,Stephen Curry,Klay Thompson,2
779,Klay Thompson,Draymond Green,2
780,Stephen Curry,Klay Thompson,3
781,Kevon Looney,Klay Thompson,2
782,Anthony Lamb,Klay Thompson,2
783,Kevon Looney,Klay Thompson,3
784,Jordan Poole,Draymond Green,2
785,Stephen Curry,Klay Thompson,2
786,Stephen Curry,Jordan Poole,2
787,Stephen Curry,Klay Thompson,3
788,Jonathan Kuminga,Donte DiVincenzo,3
789,Donte DiVincenzo,Jonathan Kuminga,2
790,Donte DiVincenzo,Jonathan Kuminga,2
791,Donte DiVincenzo,Jonathan Kuminga,2
792,Jordan Poole,Draymond Green,2
793,Kevon Looney,Draymond Green,2
794,Draymond Green,Stephen Curry,3
795,Stephen Curry,Klay Thompson,2
796,Draymond Green,Jordan Poole,3
797,Draymond Green,Klay Thompson,2
798,Jordan Poole,Draymond Green,2
799,Draymond Green,Jordan Poole,2
800,Jordan Poole,Klay Thompson,3
801,Klay Thompson,Jonathan Kuminga,2
802,Moses Moody,Jonathan Kuminga,3
803,Jordan Poole,Anthony Lamb,3
804,Jonathan Kuminga,Donte DiVincenzo,3
805,Draymond Green,Anthony Lamb,3
806,Draymond Green,Donte DiVincenzo,3
807,Anthony Lamb,Stephen Curry,2
808,Stephen Curry,Kevon Looney,2
809,Kevon Looney,Jordan Poole,2
810,Draymond Green,Stephen Curry,2
811,Draymond Green,Stephen Curry,3
812,Anthony Lamb,Stephen Curry,2
813,Klay Thompson,JaMychal Green,3
814,Donte DiVincenzo,Klay Thompson,2
815,Donte DiVincenzo,Jordan Poole,3
816,Jonathan Kuminga,Patrick Baldwin Jr.,3
817,Anthony Lamb,Jonathan Kuminga,3
818,Moses Moody,Patrick Baldwin Jr.,3
819,Jonathan Kuminga,Donte DiVincenzo,3
820,Moses Moody,Jonathan Kuminga,3
821,Jordan Poole,Stephen Curry,2
822,Kevon Looney,Donte DiVincenzo,3
823,Kevon Looney,Stephen Curry,3
824,Draymond Green,Jordan Poole,2
825,Stephen Curry,Jordan Poole,2
826,Jordan Poole,Stephen Curry,3
827,Ty Jerome,Stephen Curry,2
828,Jonathan Kuminga,Ty Jerome,2
829,Donte DiVincenzo,Jonathan Kuminga,2
830,Stephen Curry,Moses Moody,3
831,Stephen Curry,Kevon Looney,2
832,Donte DiVincenzo,Moses Moody,2
833,Kevon Looney,Stephen Curry,2
834,Draymond Green,Stephen Curry,3
835,Stephen Curry,Jordan Poole,2
836,Stephen Curry,Jonathan Kuminga,2
837,Stephen Curry,Jordan Poole,2
838,Stephen Curry,Moses Moody,2
839,Moses Moody,Jordan Poole,3
840,Draymond Green,Moses Moody,3
841,Jordan Poole,JaMychal Green,3
842,Jordan Poole,JaMychal Green,3
843,Donte DiVincenzo,JaMychal Green,3
844,Jordan Poole,Moses Moody,2
845,Moses Moody,Jordan Poole,2
846,Moses Moody,Donte DiVincenzo,3
847,JaMychal Green,Donte DiVincenzo,3
848,Kevon Looney,Jonathan Kuminga,2
849,Donte DiVincenzo,Klay Thompson,3
850,Jordan Poole,Kevon Looney,2
851,Kevon Looney,Donte DiVincenzo,3
852,Jonathan Kuminga,Kevon Looney,2
853,Jordan Poole,Donte DiVincenzo,3
854,Kevon Looney,Jordan Poole,2
855,Jonathan Kuminga,Donte DiVincenzo,3
856,Kevon Looney,Jonathan Kuminga,3
857,Ty Jerome,Anthony Lamb,3
858,Moses Moody,Anthony Lamb,3
859,Moses Moody,Ty Jerome,2
860,JaMychal Green,Donte DiVincenzo,3
861,Ty Jerome,Moses Moody,3
862,Jordan Poole,James Wiseman,2
863,Kevon Looney,Jonathan Kuminga,2
864,Kevon Looney,Jordan Poole,3
865,Donte DiVincenzo,Kevon Looney,2
866,Kevon Looney,Jordan Poole,3
867,Donte DiVincenzo,Jordan Poole,3
868,JaMychal Green,Jordan Poole,2
869,Jordan Poole,Ty Jerome,3
870,Ty Jerome,James Wiseman,2
871,Anthony Lamb,Klay Thompson,3
872,Donte DiVincenzo,Ty Jerome,2
873,Donte DiVincenzo,James Wiseman,2
874,Ty Jerome,Klay Thompson,3
875,Donte DiVincenzo,Jordan Poole,2
876,Kevon Looney,Jordan Poole,2
877,Kevon Looney,Klay Thompson,2
878,Jonathan Kuminga,Kevon Looney,2
879,Klay Thompson,Draymond Green,3
880,Jordan Poole,Draymond Green,3
881,Donte DiVincenzo,Draymond Green,3
882,Jordan Poole,Kevon Looney,2
883,Draymond Green,Jordan Poole,3
884,Klay Thompson,Draymond Green,2
885,Jordan Poole,Draymond Green,2
886,Draymond Green,Klay Thompson,3
887,Klay Thompson,JaMychal Green,2
888,Ty Jerome,JaMychal Green,3
889,Jonathan Kuminga,Ty Jerome,3
890,Draymond Green,Anthony Lamb,3
891,Draymond Green,Jordan Poole,2
892,Jordan Poole,Draymond Green,2
893,Kevon Looney,Jonathan Kuminga,2
894,Donte DiVincenzo,Jordan Poole,3
895,Donte DiVincenzo,Jordan Poole,2
896,Kevon Looney,Klay Thompson,3
897,Jordan Poole,Klay Thompson,3
898,Jordan Poole,Donte DiVincenzo,3
899,Donte DiVincenzo,Klay Thompson,2
900,JaMychal Green,Klay Thompson,2
901,Ty Jerome,Klay Thompson,2
902,Ty Jerome,JaMychal Green,3
903,Anthony Lamb,JaMychal Green,2
904,Ty Jerome,Anthony Lamb,3
905,Draymond Green,JaMychal Green,2
906,Donte DiVincenzo,Jordan Poole,3
907,Klay Thompson,Kevon Looney,2
908,Donte DiVincenzo,Draymond Green,2
909,Patrick Baldwin Jr.,Ty Jerome,3
910,Draymond Green,Klay Thompson,2
911,Draymond Green,Moses Moody,3
912,Kevon Looney,Jordan Poole,2
913,Kevon Looney,Jordan Poole,3
914,Klay Thompson,Jordan Poole,2
915,Jordan Poole,Jonathan Kuminga,2
916,Draymond Green,Anthony Lamb,3
917,Draymond Green,Anthony Lamb,3
918,Jonathan Kuminga,Moses Moody,3
919,Ty Jerome,Draymond Green,3
920,Kevon Looney,Klay Thompson,3
921,Ty Jerome,Kevon Looney,2
922,Draymond Green,Jordan Poole,3
923,Kevon Looney,Klay Thompson,2
924,Klay Thompson,Draymond Green,2
925,Draymond Green,Jordan Poole,2
926,Jonathan Kuminga,Ty Jerome,2
927,Jonathan Kuminga,James Wiseman,2
928,Moses Moody,Jonathan Kuminga,2
929,Ty Jerome,Moses Moody,2
930,Anthony Lamb,Moses Moody,3
931,Patrick Baldwin Jr.,Jonathan Kuminga,3
932,Jonathan Kuminga,Patrick Baldwin Jr.,3
933,Jonathan Kuminga,Draymond Green,2
934,Draymond Green,Kevon Looney,2
935,Draymond Green,Jordan Poole,2
936,Draymond Green,Moses Moody,2
937,Ty Jerome,Anthony Lamb,2
938,James Wiseman,Anthony Lamb,3
939,Draymond Green,James Wiseman,2
940,Draymond Green,James Wiseman,2
941,Draymond Green,Jordan Poole,2
942,Anthony Lamb,James Wiseman,2
943,Kevon Looney,Patrick Baldwin Jr.,2
944,Jonathan Kuminga,Moses Moody,3
945,Ty Jerome,Moses Moody,2
946,Moses Moody,Patrick Baldwin Jr.,3
947,Jordan Poole,James Wiseman,2
948,Jordan Poole,James Wiseman,3
949,Jonathan Kuminga,Jordan Poole,3
950,Jonathan Kuminga,Moses Moody,3
951,Moses Moody,Jonathan Kuminga,2
952,Ty Jerome,Patrick Baldwin Jr.,3
953,Ty Jerome,Patrick Baldwin Jr.,3
954,Anthony Lamb,Ty Jerome,3
955,Anthony Lamb,Ty Jerome,2
956,Anthony Lamb,Patrick Baldwin Jr.,3
957,Ty Jerome,Patrick Baldwin Jr.,3
958,Ty Jerome,Moses Moody,3
959,Ty Jerome,James Wiseman,2
960,James Wiseman,Moses Moody,2
961,Ryan Rollins,Moses Moody,2
962,Moses Moody,James Wiseman,2
963,Ryan Rollins,James Wiseman,2
964,Ryan Rollins,James Wiseman,2
965,Kevon Looney,Donte DiVincenzo,3
966,Donte DiVincenzo,Jordan Poole,2
967,Jordan Poole,Klay Thompson,3
968,Draymond Green,Donte DiVincenzo,3
969,Draymond Green,Jordan Poole,3
970,Klay Thompson,Anthony Lamb,3
971,Jonathan Kuminga,Anthony Lamb,3
972,Jonathan Kuminga,Draymond Green,3
973,Klay Thompson,Anthony Lamb,3
974,Kevon Looney,Donte DiVincenzo,2
975,Kevon Looney,Jordan Poole,2
976,Draymond Green,Donte DiVincenzo,3
977,Anthony Lamb,Donte DiVincenzo,2
978,Draymond Green,Klay Thompson,3
979,Draymond Green,Jordan Poole,2
980,Kevon Looney,Klay Thompson,3
981,Donte DiVincenzo,Klay Thompson,2
982,Jordan Poole,Donte DiVincenzo,3
983,Draymond Green,Jordan Poole,2
984,Draymond Green,Ty Jerome,3
985,Draymond Green,Ty Jerome,2
986,Klay Thompson,Ty Jerome,3
987,Jonathan Kuminga,Moses Moody,2
988,Draymond Green,Jonathan Kuminga,2
989,Draymond Green,Moses Moody,3
990,Draymond Green,Anthony Lamb,2
991,Klay Thompson,Kevon Looney,2
992,Draymond Green,Klay Thompson,2
993,Draymond Green,Klay Thompson,2
994,Ty Jerome,Donte DiVincenzo,3
995,Donte DiVincenzo,Klay Thompson,2
996,Donte DiVincenzo,Jordan Poole,2
997,Donte DiVincenzo,Klay Thompson,3
998,Draymond Green,Klay Thompson,3
999,Draymond Green,Klay Thompson,3
1000,Donte DiVincenzo,Draymond Green,2
1001,Jordan Poole,Anthony Lamb,3
1002,Donte DiVincenzo,Klay Thompson,3
1003,Klay Thompson,Ty Jerome,3
1004,Jonathan Kuminga,James Wiseman,2
1005,Ty Jerome,James Wiseman,2
1006,Ty Jerome,Klay Thompson,2
1007,Draymond Green,Jordan Poole,2
1008,Jordan Poole,Jonathan Kuminga,2
1009,Klay Thompson,Moses Moody,2
1010,Jordan Poole,Klay Thompson,2
1011,Jordan Poole,Kevon Looney,2
1012,Anthony Lamb,Klay Thompson,2
1013,Klay Thompson,Kevon Looney,2
1014,Donte DiVincenzo,Jordan Poole,2
1015,Draymond Green,Kevon Looney,2
1016,Kevon Looney,Draymond Green,2
1017,Donte DiVincenzo,Draymond Green,2
1018,Ty Jerome,Klay Thompson,2
1019,Klay Thompson,James Wiseman,2
1020,James Wiseman,Klay Thompson,3
1021,Ty Jerome,Jordan Poole,3
1022,Jonathan Kuminga,James Wiseman,2
1023,Donte DiVincenzo,Klay Thompson,2
1024,Jordan Poole,Jonathan Kuminga,2
1025,Draymond Green,Jonathan Kuminga,2
1026,Jordan Poole,Jonathan Kuminga,2
1027,Donte DiVincenzo,Kevon Looney,2
1028,Draymond Green,Donte DiVincenzo,3
1029,Kevon Looney,Donte DiVincenzo,3
1030,Donte DiVincenzo,Jonathan Kuminga,2
1031,Jonathan Kuminga,James Wiseman,2
1032,Jonathan Kuminga,Moses Moody,3
1033,Moses Moody,Ty Jerome,3
1034,Draymond Green,Jonathan Kuminga,2
1035,Anthony Lamb,Donte DiVincenzo,3
1036,Draymond Green,Patrick Baldwin Jr.,3
1037,Kevon Looney,Patrick Baldwin Jr.,3
1038,Kevon Looney,Draymond Green,3
1039,Kevon Looney,Donte DiVincenzo,3
1040,Draymond Green,Jordan Poole,3
1041,Ty Jerome,Anthony Lamb,3
1042,Anthony Lamb,Kevon Looney,2
1043,Jonathan Kuminga,Ty Jerome,2
1044,Ty Jerome,Patrick Baldwin Jr.,3
1045,Draymond Green,Jordan Poole,3
1046,Jordan Poole,Draymond Green,3
1047,Anthony Lamb,Ty Jerome,2
1048,Kevon Looney,Donte DiVincenzo,3
1049,Jordan Poole,Klay Thompson,2
1050,Draymond Green,Jordan Poole,2
1051,Donte DiVincenzo,Klay Thompson,3
1052,Kevon Looney,Klay Thompson,3
1053,Draymond Green,Jordan Poole,2
1054,Draymond Green,Jordan Poole,3
1055,Donte DiVincenzo,Klay Thompson,3
1056,Jonathan Kuminga,Ty Jerome,2
1057,Ty Jerome,Klay Thompson,2
1058,Jonathan Kuminga,Anthony Lamb,3
1059,Ty Jerome,Donte DiVincenzo,2
1060,Jordan Poole,Jonathan Kuminga,2
1061,Jordan Poole,Donte DiVincenzo,2
1062,Jordan Poole,Klay Thompson,3
1063,Klay Thompson,Kevon Looney,2
1064,Klay Thompson,Draymond Green,2
1065,Jonathan Kuminga,Draymond Green,3
1066,Jonathan Kuminga,Jordan Poole,2
1067,Draymond Green,Jordan Poole,2
1068,Ty Jerome,Klay Thompson,3
1069,Anthony Lamb,Klay Thompson,3
1070,Ty Jerome,Draymond Green,3
1071,Jordan Poole,Draymond Green,2
1072,Kevon Looney,Jonathan Kuminga,2
1073,Donte DiVincenzo,Jonathan Kuminga,2
1074,Donte DiVincenzo,Jonathan Kuminga,2
1075,Jonathan Kuminga,Klay Thompson,3
1076,Jordan Poole,Donte DiVincenzo,3
1077,Draymond Green,Klay Thompson,2
1078,Kevon Looney,Jordan Poole,2
1079,Donte DiVincenzo,Jordan Poole,3
1080,Jordan Poole,Klay Thompson,3
1081,Draymond Green,Klay Thompson,3
1082,Draymond Green,Jordan Poole,2
1083,Klay Thompson,Anthony Lamb,3
1084,Donte DiVincenzo,Anthony Lamb,3
1085,Klay Thompson,Anthony Lamb,2
1086,Kevon Looney,Klay Thompson,2
1087,Draymond Green,Patrick Baldwin Jr.,3
1088,Draymond Green,Patrick Baldwin Jr.,2
1089,Jordan Poole,Patrick Baldwin Jr.,3
1090,Ty Jerome,Kevon Looney,2
1091,Kevon Looney,Donte DiVincenzo,3
1092,Draymond Green,Anthony Lamb,2
1093,Jordan Poole,Klay Thompson,2
1094,Draymond Green,Klay Thompson,2
1095,Jordan Poole,Anthony Lamb,2
1096,Anthony Lamb,Klay Thompson,2
1097,Draymond Green,Klay Thompson,3
1098,Draymond Green,Klay Thompson,2
1099,Draymond Green,Klay Thompson,3
1100,Anthony Lamb,Klay Thompson,2
1101,Kevon Looney,Donte DiVincenzo,2
1102,Donte DiVincenzo,Kevon Looney,2
1103,Anthony Lamb,Draymond Green,2
1104,Ty Jerome,Anthony Lamb,2
1105,Donte DiVincenzo,Klay Thompson,3
1106,Jordan Poole,Klay Thompson,3
1107,Draymond Green,Klay Thompson,3
1108,Donte DiVincenzo,Jordan Poole,3
1109,Kevon Looney,Klay Thompson,2
1110,Klay Thompson,Anthony Lamb,2
1111,Anthony Lamb,Draymond Green,3
1112,Draymond Green,Klay Thompson,2
1113,Draymond Green,Kevon Looney,2
1114,Kevon Looney,Donte DiVincenzo,2
1115,Donte DiVincenzo,Jordan Poole,3
1116,Draymond Green,Anthony Lamb,3
1117,Draymond Green,Anthony Lamb,3
1118,Klay Thompson,Ty Jerome,3
1119,Ty Jerome,Klay Thompson,2
1120,Moses Moody,Anthony Lamb,3
1121,Jordan Poole,Moses Moody,2
1122,Moses Moody,Jordan Poole,2
1123,Ty Jerome,Jordan Poole,3
1124,Jordan Poole,Moses Moody,3
1125,Jordan Poole,Ty Jerome,3
1126,Moses Moody,Jordan Poole,2
1127,Klay Thompson,Ty Jerome,2
1128,Ty Jerome,Donte DiVincenzo,3
1129,Jordan Poole,Anthony Lamb,2
1130,Draymond Green,Klay Thompson,2
1131,Donte DiVincenzo,Draymond Green,2
1132,Klay Thompson,Kevon Looney,2
1133,Kevon Looney,Draymond Green,2
1134,Anthony Lamb,Ty Jerome,3
1135,Draymond Green,Moses Moody,2
1136,Moses Moody,Klay Thompson,2
1137,Patrick Baldwin Jr.,Ty Jerome,2
1138,Draymond Green,Patrick Baldwin Jr.,3
1139,Donte DiVincenzo,Klay Thompson,2
1140,Jordan Poole,Klay Thompson,3
1141,Jordan Poole,Klay Thompson,3
1142,Anthony Lamb,Klay Thompson,3
1143,Andrew Wiggins,Draymond Green,3
1144,Draymond Green,Andrew Wiggins,3
1145,Jordan Poole,Donte DiVincenzo,3
1146,Jordan Poole,Anthony Lamb,3
1147,Draymond Green,Jordan Poole,2
1148,Andre Iguodala,Anthony Lamb,3
1149,Draymond Green,Anthony Lamb,3
1150,Draymond Green,Anthony Lamb,3
1151,Jordan Poole,Anthony Lamb,2
1152,Anthony Lamb,Patrick Baldwin Jr.,3
1153,Kevon Looney,Andrew Wiggins,2
1154,Kevon Looney,Ty Jerome,2
1155,Moses Moody,Jordan Poole,3
1156,Jordan Poole,Donte DiVincenzo,3
1157,Donte DiVincenzo,Anthony Lamb,3
1158,Donte DiVincenzo,Ty Jerome,2
1159,Jordan Poole,Donte DiVincenzo,3
1160,Draymond Green,Anthony Lamb,2
1161,Donte DiVincenzo,Jordan Poole,2
1162,Jordan Poole,Andrew Wiggins,3
1163,Andrew Wiggins,Jordan Poole,3
1164,Anthony Lamb,Kevon Looney,2
1165,Ty Jerome,Patrick Baldwin Jr.,3
1166,Anthony Lamb,Patrick Baldwin Jr.,3
1167,Draymond Green,Andrew Wiggins,2
1168,Anthony Lamb,Donte DiVincenzo,3
1169,Andrew Wiggins,Klay Thompson,3
1170,Draymond Green,Stephen Curry,2
1171,Andre Iguodala,Klay Thompson,3
1172,Jordan Poole,Klay Thompson,3
1173,Jordan Poole,Donte DiVincenzo,3
1174,Donte DiVincenzo,Klay Thompson,3
1175,Draymond Green,Anthony Lamb,3
1176,Jordan Poole,Draymond Green,3
1177,Jordan Poole,Ty Jerome,2
1178,Draymond Green,Klay Thompson,3
1179,Draymond Green,Andrew Wiggins,2
1180,Stephen Curry,Andrew Wiggins,2
1181,Jordan Poole,Stephen Curry,3
1182,Jordan Poole,Klay Thompson,3
1183,Donte DiVincenzo,Klay Thompson,2
1184,Ty Jerome,Jordan Poole,3
1185,Anthony Lamb,Jordan Poole,3
1186,Andre Iguodala,Andrew Wiggins,2
1187,Draymond Green,Jordan Poole,3
1188,Andre Iguodala,Stephen Curry,2
1189,Stephen Curry,Klay Thompson,2
1190,Draymond Green,Jordan Poole,2
1191,Stephen Curry,Jordan Poole,3
1192,Andrew Wiggins,Jordan Poole,2
1193,Kevon Looney,Klay Thompson,3
1194,Klay Thompson,Kevon Looney,2
1195,Klay Thompson,Kevon Looney,2
1196,Draymond Green,Stephen Curry,2
1197,Andrew Wiggins,Stephen Curry,3
1198,Andre Iguodala,Stephen Curry,2
1199,Moses Moody,Andre Iguodala,3
1200,Donte DiVincenzo,Jordan Poole,2
1201,Jordan Poole,Anthony Lamb,3
1202,Jordan Poole,Moses Moody,3
1203,Moses Moody,Kevon Looney,2
1204,Jordan Poole,Andrew Wiggins,3
1205,Anthony Lamb,Donte DiVincenzo,3
1206,Andrew Wiggins,Donte DiVincenzo,2
1207,Donte DiVincenzo,Kevon Looney,2
1208,Donte DiVincenzo,Anthony Lamb,3
1209,Donte DiVincenzo,Anthony Lamb,2
1210,Draymond Green,Klay Thompson,2
1211,Stephen Curry,Draymond Green,2
1212,Kevon Looney,Andrew Wiggins,2
1213,Draymond Green,Klay Thompson,2
1214,Kevon Looney,Klay Thompson,3
1215,Stephen Curry,Andrew Wiggins,3
1216,Klay Thompson,Draymond Green,2
1217,Stephen Curry,Draymond Green,2
1218,Draymond Green,Stephen Curry,2
1219,Anthony Lamb,Jordan Poole,3
1220,Klay Thompson,Donte DiVincenzo,3
1221,Moses Moody,Donte DiVincenzo,3
1222,Jordan Poole,Anthony Lamb,3
1223,Donte DiVincenzo,Kevon Looney,2
1224,Jordan Poole,Andre Iguodala,2
1225,Jordan Poole,Kevon Looney,2
1226,Andrew Wiggins,Klay Thompson,3
1227,Klay Thompson,Kevon Looney,2
1228,Draymond Green,Stephen Curry,3
1229,Moses Moody,Jordan Poole,2
1230,Anthony Lamb,Stephen Curry,2
1231,Stephen Curry,Anthony Lamb,3
1232,Ty Jerome,Anthony Lamb,3
1233,Ty Jerome,Kevon Looney,2
1234,Draymond Green,Andrew Wiggins,3
1235,Jordan Poole,Draymond Green,2
1236,Andrew Wiggins,Jordan Poole,2
1237,Draymond Green,Donte DiVincenzo,3
1238,Draymond Green,Anthony Lamb,2
1239,Donte DiVincenzo,Klay Thompson,3
1240,Andrew Wiggins,Klay Thompson,3
1241,Klay Thompson,Stephen Curry,3
1242,Jordan Poole,Klay Thompson,3
1243,Draymond Green,Jordan Poole,2
1244,Stephen Curry,Klay Thompson,3
1245,Klay Thompson,Stephen Curry,3
1246,Draymond Green,Andrew Wiggins,2
1247,Draymond Green,Klay Thompson,3
1248,Klay Thompson,Stephen Curry,2
1249,Stephen Curry,Klay Thompson,3
1250,Anthony Lamb,Kevon Looney,2
1251,Donte DiVincenzo,Jordan Poole,3
1252,Kevon Looney,Donte DiVincenzo,3
1253,Donte DiVincenzo,Jordan Poole,2
1254,Donte DiVincenzo,Andrew Wiggins,3
1255,Stephen Curry,Kevon Looney,2
1256,Jordan Poole,Klay Thompson,3
1257,Donte DiVincenzo,Draymond Green,2
1258,Ty Jerome,Moses Moody,3
1259,Ty Jerome,Patrick Baldwin Jr.,3
1260,Ty Jerome,Donte DiVincenzo,3
1261,Kevon Looney,Andrew Wiggins,3
1262,Andrew Wiggins,Jordan Poole,3
1263,Draymond Green,Andrew Wiggins,2
1264,Donte DiVincenzo,Anthony Lamb,3
1265,Anthony Lamb,Donte DiVincenzo,2
1266,Draymond Green,Jordan Poole,2
1267,Draymond Green,Donte DiVincenzo,2
1268,Kevon Looney,Jordan Poole,2
1269,Draymond Green,Andrew Wiggins,2
1270,Stephen Curry,Jordan Poole,2
1271,Jordan Poole,Stephen Curry,2
1272,Draymond Green,Stephen Curry,2
1273,Draymond Green,Jordan Poole,3
1274,Donte DiVincenzo,Draymond Green,2
1275,Kevon Looney,Donte DiVincenzo,2
1276,Ty Jerome,Donte DiVincenzo,2
1277,Ty Jerome,Stephen Curry,3
1278,Donte DiVincenzo,Anthony Lamb,2
1279,Andrew Wiggins,Draymond Green,3
1280,Draymond Green,Andrew Wiggins,2
1281,Andrew Wiggins,Donte DiVincenzo,2
1282,Andrew Wiggins,Draymond Green,3
1283,Draymond Green,Anthony Lamb,2
1284,Stephen Curry,Draymond Green,2
1285,Jordan Poole,Stephen Curry,3
1286,Jordan Poole,Draymond Green,2
1287,Draymond Green,Jordan Poole,3
1288,Draymond Green,Andrew Wiggins,2
1289,Andrew Wiggins,Jordan Poole,3
1290,Jordan Poole,Andrew Wiggins,3
1291,Jordan Poole,Klay Thompson,3
1292,Stephen Curry,Klay Thompson,3
1293,Stephen Curry,Jordan Poole,2
1294,Stephen Curry,Klay Thompson,2
1295,Anthony Lamb,Stephen Curry,3
1296,Andrew Wiggins,Draymond Green,2
1297,Kevon Looney,Jordan Poole,2
1298,Stephen Curry,Klay Thompson,3
1299,Kevon Looney,Andrew Wiggins,2
1300,Stephen Curry,Klay Thompson,3
1301,Draymond Green,Stephen Curry,3
1302,Draymond Green,Stephen Curry,2
1303,Draymond Green,Jordan Poole,2
1304,Klay Thompson,Jordan Poole,2
1305,Stephen Curry,Andrew Wiggins,2
1306,Stephen Curry,Klay Thompson,2
1307,Draymond Green,Andrew Wiggins,3
1308,Draymond Green,Andrew Wiggins,3
1309,Draymond Green,Stephen Curry,3
1310,Jordan Poole,Anthony Lamb,2
1311,Draymond Green,Donte DiVincenzo,3
1312,Kevon Looney,Andrew Wiggins,2
1313,Andrew Wiggins,Draymond Green,3
1314,Draymond Green,Klay Thompson,2
1315,Draymond Green,Stephen Curry,3
1316,Jordan Poole,Donte DiVincenzo,3
1317,Kevon Looney,Jordan Poole,3
1318,Jonathan Kuminga,Jordan Poole,3
1319,Jonathan Kuminga,Ty Jerome,2
1320,Donte DiVincenzo,JaMychal Green,3
1321,Jordan Poole,Moses Moody,3
1322,Moses Moody,JaMychal Green,3
