PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Stephen Curry,GSW,35,1,0,1,7.9,11,4,8,50.0,2,4,50.0,1,2,50.0,0,1,1,0,0,0,1,1,15,0,0,-9
Malik Beasley,LAL,26,1,1,0,9.2,9,2,6,33.3,1,4,25.0,4,4,100,1,1,2,2,0,0,0,1,14,0,0,8
Lonnie Walker IV,LAL,24,1,1,0,9.2,8,3,6,50.0,2,5,40.0,0,0,0.0,0,1,1,1,0,0,0,0,11,0,0,8
Malik Monk,SAC,25,1,1,0,11.5,8,2,3,66.7,0,1,0.0,4,4,100,0,1,1,0,0,0,0,1,9,0,0,9
De'Aaron Fox,SAC,25,1,1,0,8.6,7,2,4,50.0,1,2,50.0,2,2,100,0,1,1,3,1,1,0,0,15,1,0,7
Jaylen Brown,BOS,26,1,1,0,12.0,7,3,6,50.0,1,1,100,0,0,0.0,0,0,0,2,0,0,1,1,13,0,0,10
John Collins,ATL,25,1,0,1,10.7,7,3,4,75.0,1,1,100,0,0,0.0,1,2,3,0,2,0,1,2,12,0,0,-11
Marcus Smart,BOS,29,1,1,0,6.3,7,2,4,50.0,1,3,33.3,2,2,100,0,0,0,1,2,0,0,0,7,0,0,6
Kevin Huerter,SAC,24,1,1,0,7.8,6,2,3,66.7,2,3,66.7,0,0,0.0,0,1,1,0,0,0,1,2,10,0,0,11
Al Horford,BOS,36,1,1,0,8.7,5,2,3,66.7,1,2,50.0,0,0,0.0,1,6,7,0,0,1,1,1,19,1,0,6
Dejounte Murray,ATL,26,1,0,1,10.4,5,2,4,50.0,1,1,100,0,0,0.0,0,2,2,1,0,0,0,0,9,1,0,-8
Jayson Tatum,BOS,25,1,1,0,8.8,5,2,2,100,1,1,100,0,0,0.0,1,3,4,1,0,1,1,0,17,1,0,8
Kenneth Lofton Jr.,MEM,20,1,0,1,9.6,5,2,6,33.3,0,2,0.0,1,2,50.0,1,2,3,1,0,0,0,0,10,0,0,-8
Max Christie,LAL,20,1,1,0,9.2,5,2,3,66.7,1,1,100,0,0,0.0,0,3,3,0,0,0,1,0,12,0,0,8
Ziaire Williams,MEM,21,1,0,1,9.7,5,2,7,28.6,1,3,33.3,0,0,0.0,0,2,2,1,0,0,0,1,9,0,0,-8
Malcolm Brogdon,BOS,30,1,1,0,7.5,4,2,4,50.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,6,0,0,2
Moses Moody,GSW,20,1,0,1,8.8,4,1,4,25.0,0,1,0.0,2,2,100,0,0,0,1,0,0,0,1,6,0,0,-2
Santi Aldama,MEM,22,1,0,1,9.7,4,2,3,66.7,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,6,0,0,-8
Andrew Wiggins,GSW,28,1,0,1,6.9,3,1,1,100,0,0,0.0,1,4,25.0,0,0,0,0,0,0,0,1,3,0,0,-5
D'Angelo Russell,LAL,27,1,1,0,2.8,3,1,1,100,1,1,100,0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,-1
De'Andre Hunter,ATL,25,1,0,1,8.8,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,1,1,1,1,8,0,0,-8
Trey Lyles,SAC,27,1,1,0,8.6,3,1,2,50.0,1,2,50.0,0,0,0.0,0,2,2,0,1,1,0,1,7,0,0,4
Clint Capela,ATL,28,1,0,1,6.1,2,1,1,100,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,5,1,0,-8
Davion Mitchell,SAC,24,1,1,0,3.4,2,1,4,25.0,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,0,6,0,0,2
