PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,SEASON
Greivis Vasquez,TOR,28,6-6,200,Maryland,Venezuela,2010,1,28,4.0,7.5,1.8,3.0,-23.1,0.0,7.1,15.0,49.5,20.0,2015
Harrison Barnes,GSW,23,6-8,225,North Carolina,USA,2012,1,7,21.0,10.6,5.2,1.5,7.9,6.4,8.7,15.2,51.9,7.2,2015
Hedo Turkoglu,LAC,36,6-10,220,None,Turkey,2000,1,16,11.0,0.9,0.6,0.4,-28.1,1.6,10.9,16.0,29.4,13.8,2015
Iman Shumpert,CLE,25,6-5,220,Georgia Tech,USA,2011,1,17,20.0,9.1,4.9,1.2,4.9,3.2,10.3,12.5,49.8,5.3,2015
Isaiah Thomas,BOS,26,5-9,185,Washington,USA,2011,2,60,4.0,17.5,3.0,7.0,-0.3,0.8,8.9,29.1,51.4,38.4,2015
J.J. Barea,DAL,31,6-0,185,Northeastern,Puerto Rico,Undrafted,Undrafted,Undrafted,5.0,11.8,4.8,7.4,9.5,3.0,10.6,19.7,49.5,34.6,2015
JJ Redick,LAC,31,6-4,190,Duke,USA,2006,1,11,14.0,14.9,2.1,1.7,2.6,0.0,5.0,15.7,59.0,6.4,2015
JR Smith,CLE,29,6-6,225,No College,USA,2004,1,18,18.0,12.8,4.7,1.2,3.8,1.5,13.2,18.2,53.8,6.9,2015
JaMychal Green,MEM,25,6-8,230,Alabama,USA,Undrafted,Undrafted,Undrafted,5.0,0.4,0.6,0.0,31.6,0.0,37.5,14.3,34.7,0.0,2015
Jae Crowder,BOS,24,6-6,235,Marquette,USA,2012,2,34,4.0,10.8,5.0,2.0,-12.8,7.8,11.9,16.9,61.9,13.8,2015
Jamal Crawford,LAC,35,6-5,200,Michigan,USA,2000,1,8,14.0,12.7,2.1,1.9,-3.7,1.5,5.9,23.6,44.7,10.6,2015
James Harden,HOU,25,6-5,225,Arizona State,USA,2009,1,3,17.0,27.2,5.7,7.5,-1.1,1.7,12.4,28.9,62.0,33.8,2015
James Johnson,TOR,28,6-9,250,Wake Forest,USA,2009,1,16,2.0,2.0,1.0,0.5,-34.2,0.0,25.0,31.0,23.1,12.5,2015
James Jones,CLE,34,6-8,215,Miami,USA,2003,2,49,20.0,4.4,1.5,0.5,1.4,0.3,8.8,11.9,53.6,4.9,2015
James Michael McAdoo,GSW,22,6-9,230,North Carolina,USA,Undrafted,Undrafted,Undrafted,5.0,0.8,0.8,0.0,-19.0,8.3,25.0,15.4,66.7,0.0,2015
Jared Dudley,MIL,29,6-7,225,Boston College,USA,2007,1,22,6.0,6.7,1.8,1.3,0.9,2.4,6.5,15.3,60.5,14.3,2015
Jared Sullinger,BOS,23,6-9,260,Ohio State,USA,2012,1,21,4.0,12.3,7.0,0.3,-2.4,9.4,23.8,24.0,59.6,2.7,2015
Jarrett Jack,BKN,31,6-3,200,Georgia Tech,USA,2005,1,22,6.0,12.3,4.2,4.5,17.0,1.4,13.2,22.8,62.0,27.0,2015
Jason Terry,HOU,37,6-2,185,Arizona,USA,1999,1,10,17.0,9.2,2.2,2.8,-1.4,1.1,6.3,13.4,55.3,14.5,2015
