PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,SEASON
Aaron Brooks,MIN,33,6-0,161,Oregon,USA,2007,1,26,32,75,17,20,-17,3.6,5.7,19.2,50.8,16.1,2019
Aaron Gordon,ORL,22,6-9,220,Arizona,USA,2014,1,4,58,1022,457,136,-2,4.4,19.1,23.8,53.0,11.1,2019
Aaron Harrison,DAL,23,6-6,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,9,60,24,11,-14,1.5,9.1,14.7,39.2,7.2,2019
Aaron Jackson,HOU,32,6-3,183,Duquesne,USA,Undrafted,Undrafted,Undrafted,1,8,3,1,-20,5.6,3.1,14.9,40.5,5.3,2019
Abdel Nader,BOS,24,6-6,230,Iowa State,Egypt,2016,2,58,48,146,71,26,-10,2.4,11.1,16.2,43.9,7.8,2019
Adreian Payne,ORL,27,6-10,237,Michigan State,USA,2014,1,15,5,21,9,0,-12,4.4,22.6,15.5,83.1,0.0,2019
Al Horford,BOS,32,6-10,245,Florida,Dominican Republic,2007,1,3,72,927,531,339,7,4.7,17.8,18.3,57.5,22.5,2019
Al Jefferson,IND,33,6-10,280,None,USA,2004,1,15,36,252,143,30,-2,6.1,22.7,21.8,56.3,9.8,2019
Al-Farouq Aminu,POR,27,6-9,220,Wake Forest,USA,2010,1,8,69,644,525,84,5,4.5,19.8,14.5,52.2,5.6,2019
Alan Williams,PHX,25,6-8,265,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,5,20,22,8,0,3.9,26.0,18.4,45.5,19.5,2019
Alec Burks,UTA,26,6-6,214,Colorado,USA,2011,1,12,64,494,192,67,-1,1.9,16.8,22.1,52.7,10.4,2019
Alec Peters,PHX,23,6-9,235,Valparaiso,USA,2017,2,54,20,82,37,12,7,3.2,12.0,15.1,52.3,7.3,2019
Alex Abrines,OKC,24,6-6,190,None,Spain,2013,2,32,75,353,114,28,1,2.1,7.9,12.6,56.7,3.6,2019
Alex Caruso,LAL,24,6-5,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,37,134,65,75,0,2.6,8.6,12.8,51.9,18.5,2019
Alex Len,PHX,25,7-1,250,Maryland,Ukraine,2013,1,5,69,587,518,82,-9,11.6,22.8,16.4,61.2,9.3,2019
Alex Poythress,IND,24,6-9,235,Kentucky,USA,Undrafted,Undrafted,Undrafted,25,26,17,2,-13,6.1,10.2,11.2,50.0,2.6,2019
Alfonzo McKinnie,TOR,25,6-8,215,Wisconsin-Green Bay,USA,Undrafted,Undrafted,Undrafted,14,21,7,1,-12,2.2,9.8,15.8,64.3,2.7,2019
Allen Crabbe,BKN,26,6-6,215,California,USA,2013,2,31,75,990,324,117,-2,1.2,13.0,18.3,55.8,8.2,2019
Amir Johnson,PHI,31,6-9,240,No College,USA,2005,2,56,74,342,330,118,2,10.2,16.9,12.5,57.5,13.7,2019
Andre Drummond,DET,24,6-11,279,Connecticut,USA,2012,1,9,78,1171,1247,237,-1,14.5,32.9,20.7,55.5,14.0,2019
Andre Iguodala,GSW,34,6-6,215,Arizona,USA,2004,1,9,64,384,246,210,8,3.3,10.9,11.2,53.6,16.9,2019
Andre Ingram,LAL,32,6-3,190,American University,USA,Undrafted,Undrafted,Undrafted,2,24,6,7,14,1.6,7.2,13.6,65.5,14.9,2019
Andre Roberson,OKC,26,6-7,210,Colorado,USA,2013,1,26,39,194,185,46,9,6.8,10.9,8.5,54.3,5.9,2019
Andrew Bogut,LAL,33,7-0,260,Utah,Australia,2005,1,1,24,36,78,15,-5,10.4,22.3,8.5,69.6,9.9,2019
Andrew Harrison,MEM,23,6-6,213,Kentucky,USA,2015,2,44,56,533,131,177,-7,1.7,8.5,19.5,53.4,22.2,2019
Andrew White III,ATL,25,6-7,210,Syracuse,USA,2017,,,15,69,34,6,-19,1.6,13.3,16.0,46.1,5.0,2019
Andrew Wiggins,MIN,23,6-8,202,Kansas,Canada,2014,1,1,82,1452,358,160,4,2.8,9.4,22.8,50.5,8.0,2019
Ante Zizic,CLE,21,6-11,250,None,Croatia,2016,1,23,32,119,60,5,-9,11.2,17.9,17.1,74.6,3.9,2019
Anthony Brown,MIN,25,6-7,224,Stanford,USA,2015,2,34,1,3,0,1,30,0.0,0.0,10.0,150.0,33.3,2019
Anthony Davis,NOP,25,6-10,253,Kentucky,USA,2012,1,1,75,2110,831,174,5,7.0,21.3,29.1,61.2,10.4,2019
Anthony Tolliver,DET,33,6-8,240,Creighton,USA,Undrafted,Undrafted,Undrafted,79,703,241,90,1,2.7,10.9,14.4,66.3,7.6,2019
Antonio Blakeney,CHI,21,6-4,197,Louisiana State,USA,Undrafted,Undrafted,Undrafted,19,151,33,20,-1,1.1,8.9,22.7,47.1,9.6,2019
Antonius Cleveland,ATL,24,6-6,195,S.E. Missouri,USA,Undrafted,Undrafted,Undrafted,17,23,14,2,-14,2.2,8.5,10.7,48.6,2.5,2019
Aron Baynes,BOS,31,6-10,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,81,482,434,93,7,8.6,19.6,16.6,50.2,9.5,2019
Arron Afflalo,ORL,32,6-5,210,UCLA,USA,2007,1,27,53,179,66,30,-7,0.6,8.2,12.7,51.6,6.6,2019
Austin Rivers,LAC,25,6-4,200,Duke,USA,2012,1,10,61,920,145,242,-2,1.3,5.8,20.6,52.6,17.9,2019
Avery Bradley,LAC,27,6-2,180,Texas-Austin,USA,2010,1,19,46,656,116,94,-4,1.4,6.8,22.9,49.6,10.5,2019
Bam Adebayo,MIA,20,6-10,255,Kentucky,USA,2017,1,14,69,477,381,101,-1,8.6,19.4,15.7,57.0,11.5,2019
Ben McLemore,MEM,25,6-5,195,Kansas,USA,2013,1,7,56,422,139,51,-14,3.0,10.1,18.2,52.6,7.8,2019
Ben Moore,IND,23,6-8,220,Southern Methodist,USA,Undrafted,Undrafted,Undrafted,2,0,1,1,-80,0.0,16.7,0.0,0.0,11.1,2019
Ben Simmons,PHI,21,6-10,230,Louisiana State,Australia,2016,1,1,81,1279,659,661,7,5.3,17.1,21.9,55.7,36.2,2019
Bismack Biyombo,ORL,25,6-9,255,None,DRC,2011,1,7,82,468,468,66,-14,9.1,20.9,14.6,55.6,7.0,2019
Blake Griffin,DET,29,6-10,251,Oklahoma,USA,2009,1,1,58,1242,428,334,2,3.6,17.5,28.5,54.4,28.6,2019
Boban Marjanovic,LAC,29,7-3,290,None,Serbia,Undrafted,Undrafted,Undrafted,39,235,144,22,6,15.1,27.4,27.6,61.6,10.0,2019
Bobby Brown,HOU,33,6-2,175,Cal State-Fullerton,USA,Undrafted,Undrafted,Undrafted,20,50,7,11,-25,0.0,6.1,25.2,42.5,19.0,2019
Bobby Portis,CHI,23,6-11,248,Arkansas,USA,2015,1,22,73,964,498,123,-2,8.9,20.7,25.0,54.8,12.6,2019
Bogdan Bogdanovic,SAC,25,6-6,205,None,Serbia,2014,1,27,78,917,223,258,-9,1.4,9.4,19.2,55.6,18.3,2019
Bojan Bogdanovic,IND,29,6-8,230,None,Croatia,2011,2,31,80,1141,270,119,2,1.2,9.7,18.5,60.5,7.1,2019
Bradley Beal,WAS,25,6-5,207,Florida,USA,2012,1,3,82,1857,363,373,2,2.1,10.1,26.8,56.4,20.6,2019
Brandan Wright,HOU,30,6-10,235,North Carolina,USA,2007,1,8,28,139,95,13,5,8.6,16.1,14.0,59.6,5.6,2019
Brandon Ingram,LAL,20,6-9,190,Duke,USA,2016,1,2,59,949,314,230,-3,2.7,12.1,21.8,53.6,17.7,2019
Brandon Jennings,MIL,28,6-1,170,None,USA,2009,1,10,14,73,31,44,-13,2.2,13.1,19.1,47.8,33.1,2019
Brandon Paul,SAS,27,6-4,200,Illinois,USA,Undrafted,Undrafted,Undrafted,64,147,68,37,0,1.1,10.9,13.1,50.4,9.6,2019
Briante Weber,MEM,25,6-2,165,Virginia Commonwealth,USA,Undrafted,Undrafted,Undrafted,18,50,35,22,-22,3.0,13.0,11.1,52.7,13.9,2019
Brice Johnson,MEM,24,6-10,230,North Carolina,USA,2016,1,25,18,43,31,2,-2,8.0,22.7,19.3,48.6,3.0,2019
Brook Lopez,LAL,30,7-0,268,Stanford,USA,2008,1,10,74,961,294,126,-2,4.1,12.0,23.0,55.7,11.3,2019
Bruno Caboclo,SAC,22,6-9,205,None,Brazil,2014,1,20,12,26,22,4,2,6.2,14.6,15.2,38.6,5.6,2019
Bryn Forbes,SAS,24,6-3,190,Michigan State,USA,Undrafted,Undrafted,Undrafted,80,555,110,80,4,0.8,6.5,15.9,52.5,7.7,2019
Buddy Hield,SAC,25,6-4,214,Oklahoma,Bahamas,2016,1,6,80,1079,307,155,-4,2.7,12.9,23.6,55.7,12.7,2019
C.J. Williams,LAC,28,6-5,230,North Carolina State,USA,2012,0,0,38,209,56,43,-1,1.7,5.8,13.4,51.2,8.6,2019
CJ McCollum,POR,26,6-3,190,Lehigh,USA,2013,1,10,81,1732,321,272,2,1.7,8.9,25.9,53.6,15.6,2019
CJ Miles,TOR,31,6-6,225,No College,USA,2005,2,34,70,699,152,55,8,1.3,9.7,21.4,54.5,6.1,2019
Caleb Swanigan,POR,21,6-8,250,Purdue,USA,2017,1,26,27,61,54,14,-3,7.5,20.7,18.9,44.9,12.4,2019
Cameron Payne,CHI,23,6-3,185,Murray State,USA,2015,1,14,25,221,69,113,-8,2.7,8.9,18.3,49.8,29.4,2019
Caris LeVert,BKN,23,6-7,203,Michigan,USA,2016,1,20,71,858,260,299,-6,2.6,10.4,21.6,52.5,26.5,2019
Carmelo Anthony,OKC,34,6-8,240,Syracuse,USA,2003,1,3,78,1261,453,103,5,2.5,15.8,22.3,50.3,6.1,2019
Cedi Osman,CLE,23,6-8,215,None,Turkey,2015,2,31,61,238,120,41,4,2.8,14.9,15.1,57.7,8.4,2019
Chandler Parsons,MEM,29,6-10,230,Florida,USA,2011,2,38,36,284,90,69,-6,2.1,11.7,18.0,57.8,15.8,2019
Channing Frye,LAL,35,6-11,255,Arizona,USA,2005,1,8,53,264,135,38,8,1.9,16.4,15.1,59.9,7.7,2019
Charles Cooke,NOP,23,6-5,196,Dayton,USA,Undrafted,Undrafted,Undrafted,13,6,2,1,-16,0.0,4.9,16.3,20.2,3.8,2019
Cheick Diallo,NOP,21,6-9,220,Kansas,Mali,2016,2,33,52,254,211,19,-7,7.9,26.2,16.8,61.9,4.8,2019
Chinanu Onuaku,HOU,21,6-10,245,Louisville,USA,2016,2,37,1,4,4,1,-18,4.5,13.6,18.2,40.0,10.0,2019
Chris Boucher,GSW,25,6-10,200,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,1,0,1,0,-100,0.0,100,33.3,0.0,0.0,2019
Chris McCullough,WAS,23,6-9,215,Syracuse,USA,2015,1,29,19,46,25,4,-12,7.0,18.8,21.9,47.8,8.2,2019
Chris Paul,HOU,33,6-0,175,Wake Forest,USA,2005,1,4,58,1081,313,457,13,2.0,15.1,24.1,60.4,38.9,2019
Clint Capela,HOU,24,6-10,240,None,Switzerland,2014,1,25,74,1026,802,68,9,11.9,27.8,19.0,65.0,5.5,2019
Cody Zeller,CHA,25,7-0,240,Indiana,USA,2013,1,4,33,233,177,31,2,9.7,18.4,15.2,60.2,7.5,2019
