PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,SEASON
Cole Aldrich,MIN,29,6-11,253,Kansas,USA,2010,1,11,21,12,15,3,-2,5.7,28.6,15.1,34.0,8.1,2019
Corey Brewer,OKC,32,6-9,186,Florida,USA,2007,1,7,72,380,154,65,-2,3.3,8.9,13.6,53.4,7.3,2019
Cory Joseph,IND,26,6-3,190,Texas,Canada,2011,1,29,82,649,263,260,-1,1.7,10.1,14.3,50.3,16.4,2019
Courtney Lee,NYK,32,6-5,200,Western Kentucky,USA,2008,1,22,76,913,224,180,-6,1.3,8.2,16.5,56.4,11.3,2019
Cristiano Felicio,CHI,25,6-9,280,None,Brazil,Undrafted,Undrafted,Undrafted,55,308,233,55,-16,7.6,15.8,13.3,61.4,9.3,2019
D'Angelo Russell,BKN,22,6-5,195,Ohio State,USA,2015,1,2,48,743,189,249,-7,2.3,12.2,29.5,50.9,34.8,2019
D.J. Augustin,ORL,30,6-0,183,Texas-Austin,USA,2008,1,9,75,766,160,287,-4,1.6,7.2,18.2,61.5,25.1,2019
D.J. Wilson,MIL,22,6-10,236,Michigan,USA,2017,1,17,22,21,10,3,-31,2.9,15.7,12.7,62.2,7.5,2019
Dakari Johnson,OKC,22,7-0,255,Kentucky,USA,2015,2,48,31,55,34,8,11,9.9,11.1,13.9,57.5,8.3,2019
Damian Jones,GSW,23,7-0,245,Vanderbilt,USA,2016,1,30,15,25,14,2,1,6.0,9.3,14.3,51.7,3.7,2019
Damian Lillard,POR,27,6-3,195,Weber State,USA,2012,1,6,73,1962,325,481,6,2.2,9.4,29.5,59.4,30.1,2019
Damien Wilkins,IND,38,6-6,217,Georgia,USA,Undrafted,Undrafted,Undrafted,19,33,16,9,7,3.1,7.2,12.5,40.5,7.5,2019
Damion Lee,ATL,25,6-6,210,Drexel,USA,Undrafted,Undrafted,Undrafted,15,161,71,29,-4,2.4,13.8,18.2,48.9,10.9,2019
Damyean Dotson,NYK,24,6-5,210,Houston,USA,2017,2,44,44,182,84,31,-3,1.8,14.2,16.9,53.2,9.8,2019
Daniel Hamilton,OKC,22,6-7,195,UCONN,USA,2016,2,56,6,12,5,8,-23,0.0,16.7,20.0,54.5,61.5,2019
Daniel Theis,BOS,26,6-9,243,None,Germany,Undrafted,Undrafted,Undrafted,63,331,274,56,1,9.2,18.9,15.0,61.6,9.9,2019
Danilo Gallinari,LAC,29,6-10,225,None,Italy,2008,1,6,21,321,101,41,0,1.3,13.3,20.5,54.5,9.7,2019
Danny Green,SAS,31,6-6,215,North Carolina,USA,2009,2,46,70,600,249,110,2,2.2,11.5,16.3,50.9,8.9,2019
Dante Cunningham,BKN,31,6-8,230,Villanova,USA,2009,2,33,73,417,298,48,-1,4.9,13.3,11.4,53.9,4.2,2019
Dante Exum,UTA,22,6-6,190,None,Australia,2014,1,5,14,114,26,43,8,1.8,8.3,22.3,56.6,27.0,2019
Danuel House Jr.,PHX,25,6-7,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted,23,152,76,25,3,3.2,14.0,16.0,53.3,9.2,2019
Dario Saric,PHI,24,6-10,223,None,Croatia,2014,1,12,78,1141,520,202,6,6.7,14.7,20.4,58.2,12.9,2019
Darius Miller,NOP,28,6-8,225,Kentucky,USA,2012,2,46,82,637,164,111,-1,0.9,7.0,12.4,61.7,7.6,2019
Darrell Arthur,DEN,30,6-9,235,Kansas,USA,2008,1,27,19,54,15,9,-11,2.1,8.7,18.8,55.9,10.1,2019
Darren Collison,IND,30,6-2,185,UCLA,USA,2009,1,21,69,855,178,368,3,1.9,7.2,17.0,61.0,25.7,2019
Darrun Hilliard,SAS,25,6-6,220,Villanova,USA,2015,2,38,14,16,7,11,6,0.0,8.0,11.9,36.2,14.7,2019
David Nwaba,CHI,25,6-4,209,Cal Poly,USA,Undrafted,Undrafted,Undrafted,70,555,326,104,-6,5.0,14.2,15.3,54.2,9.4,2019
David Stockton,UTA,27,5-11,165,Gonzaga,USA,2014,0,0,3,10,0,0,-46,0.0,0.0,25.0,105.0,0.0,2019
David West,GSW,37,6-9,250,Xavier,USA,2003,1,18,73,495,238,138,2,7.2,16.3,22.3,60.0,22.0,2019
Davis Bertans,SAS,25,6-10,210,None,Latvia,2011,2,42,77,456,153,74,4,1.7,12.2,16.8,58.8,10.2,2019
Davon Reed,PHX,23,6-6,210,Miami,USA,2017,2,32,21,63,39,13,-14,0.7,14.9,15.8,38.8,8.7,2019
De'Aaron Fox,SAC,20,6-3,175,Kentucky,USA,2017,1,5,73,844,204,320,-10,1.6,8.7,22.7,47.8,24.0,2019
DeAndre Jordan,LAC,29,6-11,265,Texas A&M,USA,2008,2,35,77,927,1171,117,-2,13.2,33.9,15.1,64.8,7.4,2019
DeAndre Liggins,NOP,30,6-6,209,Kentucky,USA,2011,2,53,58,101,75,48,-13,1.0,10.0,7.9,46.7,9.1,2019
DeAndre' Bembry,ATL,23,6-6,210,St. Joseph's (PA),USA,2016,1,21,26,136,72,49,-8,1.7,14.2,17.9,47.7,16.6,2019
DeMar DeRozan,TOR,28,6-7,220,Southern California,USA,2009,1,9,80,1840,315,417,8,2.1,9.1,28.6,55.5,24.5,2019
DeMarcus Cousins,NOP,27,6-11,270,Kentucky,USA,2010,1,5,48,1210,617,257,2,6.5,29.2,31.8,58.3,24.1,2019
DeMarre Carroll,BKN,31,6-8,215,Missouri,USA,2009,1,27,73,983,479,147,-1,4.5,16.5,19.4,55.0,10.6,2019
Dejounte Murray,SAS,21,6-5,170,Washington,USA,2016,1,29,81,654,459,231,4,6.1,19.6,20.1,48.5,20.2,2019
Delon Wright,TOR,26,6-5,190,Utah,USA,2015,1,20,69,555,198,200,7,3.1,10.7,16.9,57.4,20.2,2019
Demetrius Jackson,PHI,23,6-1,201,Notre Dame,USA,2016,2,45,15,16,12,9,-24,6.0,8.6,15.6,42.4,18.8,2019
Dennis Schroder,ATL,24,6-1,172,None,Germany,2013,1,17,67,1301,208,417,-7,2.1,8.1,29.9,51.5,35.2,2019
Dennis Smith Jr.,DAL,20,6-3,195,North Carolina State,USA,2017,1,9,69,1048,260,358,-8,2.3,10.6,28.0,47.3,30.1,2019
Denzel Valentine,CHI,24,6-6,214,Michigan State,USA,2016,1,14,77,783,393,244,-7,2.1,16.8,17.0,52.7,17.8,2019
Derrick Favors,UTA,26,6-10,265,Georgia Tech,USA,2010,1,3,77,944,552,102,4,9.7,16.7,18.1,59.3,7.5,2019
Derrick Jones Jr.,MIA,21,6-7,200,UNLV,USA,Undrafted,Undrafted,Undrafted,20,61,38,9,-7,7.7,6.6,12.4,48.0,5.6,2019
Derrick Rose,MIN,29,6-3,190,Memphis,USA,2008,1,1,25,209,35,37,-6,3.3,5.3,24.5,50.7,13.6,2019
Derrick Walton Jr.,MIA,23,6-1,185,Michigan,USA,Undrafted,Undrafted,Undrafted,16,29,16,16,-11,1.4,9.5,9.2,52.5,17.0,2019
Derrick White,SAS,23,6-4,190,Colorado,USA,2017,1,29,17,54,26,9,14,3.4,12.8,14.6,64.6,9.8,2019
Derrick Williams,LAL,27,6-8,240,Arizona,USA,2011,1,2,2,2,1,0,-19,0.0,14.3,16.7,25.0,0.0,2019
Devin Booker,PHX,21,6-6,210,Kentucky,USA,2015,1,13,54,1346,244,253,-9,1.3,11.2,30.1,56.1,23.3,2019
Devin Harris,DEN,35,6-3,185,Wisconsin,USA,2004,1,5,71,595,127,152,4,0.9,8.5,19.4,56.3,16.5,2019
Devin Robinson,WAS,23,6-8,200,Florida,USA,2017,,,1,2,5,0,29,9.5,25.0,8.3,33.3,0.0,2019
Dewayne Dedmon,ATL,28,7-0,245,Southern California,USA,Undrafted,Undrafted,Undrafted,62,617,489,90,-5,6.5,24.9,16.6,59.9,9.0,2019
Deyonta Davis,MEM,21,6-11,237,Michigan State,USA,2016,2,31,62,360,250,40,-8,7.8,18.2,14.4,62.1,6.8,2019
Dillon Brooks,MEM,22,6-6,220,Oregon,Canada,2017,2,45,82,898,257,135,-5,2.1,9.2,18.4,53.1,9.2,2019
Dion Waiters,MIA,26,6-4,215,Syracuse,USA,2012,1,4,30,429,77,113,-5,0.9,7.8,25.0,48.7,21.0,2019
Dirk Nowitzki,DAL,40,7-0,245,None,Germany,1998,1,9,77,927,438,120,-2,1.2,22.7,19.9,57.5,9.8,2019
Domantas Sabonis,IND,22,6-10,252,Gonzaga,Lithuania,2016,1,11,74,861,572,151,1,9.3,22.7,21.4,56.7,12.7,2019
Donovan Mitchell,UTA,21,6-3,215,Louisville,USA,2017,1,13,79,1616,296,291,7,2.0,9.3,28.3,54.1,18.9,2019
Dorian Finney-Smith,DAL,25,6-8,220,Florida,USA,Undrafted,Undrafted,Undrafted,21,123,75,26,-3,4.3,12.1,14.4,48.2,8.6,2019
Doug McDermott,DAL,26,6-8,219,Creighton,USA,2014,1,11,81,630,200,79,-1,2.2,8.7,14.4,57.9,6.5,2019
Dragan Bender,PHX,20,7-1,225,None,Croatia,2016,1,4,82,531,361,130,-10,1.8,14.9,12.5,52.4,8.9,2019
Draymond Green,GSW,28,6-7,230,Michigan State,USA,2012,2,35,70,773,535,508,7,3.6,18.3,16.8,55.6,28.6,2019
Dwayne Bacon,CHA,22,6-7,221,Florida State,USA,2017,2,40,53,175,124,38,0,0.5,15.8,13.0,43.1,7.7,2019
Dwight Buycks,DET,29,6-3,190,Marquette,USA,Undrafted,Undrafted,Undrafted,29,215,41,59,1,2.8,6.7,26.6,49.8,24.0,2019
Dwight Howard,CHA,32,6-11,265,None,USA,2004,1,1,81,1347,1012,105,1,10.1,29.5,23.8,57.7,6.9,2019
Dwight Powell,DAL,26,6-11,240,Stanford,Canada,2014,2,45,79,671,444,91,1,8.0,19.0,15.1,65.6,8.5,2019
Dwyane Wade,MIA,36,6-4,220,Marquette,USA,2003,1,5,67,765,252,228,1,3.2,12.4,25.1,50.0,24.5,2019
E'Twaun Moore,NOP,29,6-4,191,Purdue,USA,2011,2,55,82,1022,238,187,3,2.3,6.5,15.8,59.3,9.9,2019
Ed Davis,POR,29,6-10,245,North Carolina,USA,2010,1,13,78,414,575,40,4,12.1,25.4,12.0,60.7,3.9,2019
Edmond Sumner,IND,22,6-5,188,Xavier,USA,2017,2,52,1,2,1,0,-120,0.0,50.0,20.0,100,0.0,2019
Ekpe Udoh,UTA,31,6-10,245,Baylor,USA,2010,1,6,63,162,150,53,3,8.6,10.5,8.9,56.0,9.3,2019
Elfrid Payton,PHX,24,6-4,185,Louisana-Lafayette,USA,2014,1,10,63,797,274,393,-12,3.3,11.7,21.1,53.8,32.8,2019
Emeka Okafor,NOP,35,6-10,255,Connecticut,USA,2004,1,2,26,114,120,8,0,12.0,17.5,13.3,54.5,2.8,2019
Emmanuel Mudiay,NYK,22,6-5,200,None,DRC,2015,1,7,64,553,152,206,-10,1.9,9.9,23.1,47.4,25.4,2019
Enes Freedom,NYK,26,6-11,245,None,Turkey,2011,1,3,71,1000,780,105,-5,14.6,27.9,21.2,63.0,9.1,2019
Eric Bledsoe,MIL,28,6-1,205,Kentucky,USA,2010,1,18,74,1313,284,370,3,2.3,10.0,25.4,58.2,24.6,2019
Eric Gordon,HOU,29,6-4,215,Indiana,USA,2008,1,7,69,1243,170,154,13,1.1,6.5,23.8,57.8,11.3,2019
Eric Moreland,DET,26,6-10,238,Oregon State,USA,Undrafted,Undrafted,Undrafted,67,143,278,78,1,9.6,24.3,9.7,53.1,14.1,2019
Erik McCree,UTA,24,6-8,225,Louisiana Tech,USA,Undrafted,Undrafted,Undrafted,4,0,1,0,-45,0.0,20.0,15.8,0.0,0.0,2019
Ersan Ilyasova,PHI,31,6-10,235,None,Turkey,2005,2,36,69,750,405,90,1,6.7,16.1,18.3,55.8,7.8,2019
Evan Fournier,ORL,25,6-7,205,None,France,2012,1,20,57,1013,180,165,-3,1.2,8.4,22.6,57.7,13.8,2019
Evan Turner,POR,29,6-7,220,Ohio State,USA,2010,1,2,79,649,244,173,-1,1.4,10.0,15.3,52.0,12.8,2019
Frank Kaminsky,CHA,25,7-0,242,Wisconsin,USA,2015,1,9,79,873,288,129,-2,2.3,13.9,20.2,54.5,11.3,2019
Frank Mason III,SAC,24,5-11,190,Kansas,USA,2017,2,34,52,413,130,147,-2,3.0,10.7,22.6,48.0,23.3,2019
Frank Ntilikina,NYK,19,6-5,190,None,France,2017,1,8,78,463,177,250,-2,2.1,7.9,16.6,43.7,21.0,2019
Fred VanVleet,TOR,24,6-0,195,Wichita State,USA,Undrafted,Undrafted,Undrafted,76,656,184,243,11,1.6,10.2,18.8,55.6,23.1,2019
Furkan Korkmaz,PHI,20,6-7,190,None,Turkey,2016,1,26,14,23,11,4,-29,2.0,12.3,15.9,38.6,7.7,2019
Garrett Temple,SAC,32,6-6,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,65,547,152,124,-7,1.3,8.4,16.0,53.6,11.5,2019
Gary Harris,DEN,23,6-4,210,Michigan State,USA,2014,1,19,67,1170,176,194,4,1.6,6.1,20.4,59.7,12.8,2019
Gary Payton II,LAL,25,6-3,190,Oregon State,USA,Undrafted,Undrafted,Undrafted,23,69,44,21,5,5.6,14.4,16.2,44.3,13.0,2019
George Hill,CLE,32,6-3,188,Indiana-Purdue Indianapolis,USA,2008,1,26,67,667,181,186,-3,2.3,8.1,16.1,58.0,14.5,2019
Georges Niang,UTA,25,6-6,231,Iowa State,USA,2016,2,50,9,9,9,3,-18,10.3,18.2,19.0,37.9,16.7,2019
Georgios Papagiannis,POR,20,7-1,240,None,Greece,2016,1,13,17,36,37,9,-4,10.0,21.6,17.0,42.9,9.7,2019
Gerald Green,HOU,32,6-7,205,No College,USA,2005,1,18,41,497,133,25,5,1.6,12.4,21.9,56.6,4.5,2019
Gian Clavell,DAL,24,6-4,185,Colorado State,Puerto Rico,Undrafted,Undrafted,Undrafted,7,20,7,3,15,1.6,10.2,14.7,53.0,7.1,2019
Giannis Antetokounmpo,MIL,23,6-11,222,None,Greece,2013,1,15,75,2014,753,361,3,6.0,21.8,30.7,59.8,23.7,2019
Glenn Robinson III,IND,24,6-7,215,Michigan,USA,2014,2,40,23,95,37,17,-1,3.0,7.8,11.9,52.9,6.8,2019
Goran Dragic,MIA,32,6-3,190,None,Slovenia,2008,2,45,75,1296,306,359,0,2.3,10.5,25.0,54.3,24.5,2019
Gordon Hayward,BOS,28,6-8,226,Butler,USA,2010,1,9,1,2,1,0,27,0.0,20.0,15.4,50.0,0.0,2019
Gorgui Dieng,MIN,28,6-11,251,Louisville,Senegal,2013,1,21,79,470,360,71,-7,7.8,20.1,15.9,54.3,8.0,2019
Greg Monroe,BOS,28,6-11,265,Georgetown,USA,2010,1,7,51,524,350,114,-10,10.4,24.4,21.8,59.8,18.9,2019
Guerschon Yabusele,BOS,22,6-8,260,None,France,2016,1,16,33,79,52,16,-1,6.5,15.2,14.6,55.9,10.7,2019
Harrison Barnes,DAL,26,6-8,225,North Carolina,USA,2012,1,7,77,1452,468,152,-6,2.8,15.4,24.7,53.9,10.1,2019
Hassan Whiteside,MIA,29,7-0,265,Marshall,USA,2010,2,33,54,754,618,54,-3,12.1,31.7,23.5,57.3,6.8,2019
Henry Ellenson,DET,21,6-11,245,Marquette,USA,2016,1,18,38,151,81,20,1,2.9,20.8,23.3,47.6,9.8,2019
Ian Clark,NOP,27,6-3,175,Belmont,USA,Undrafted,Undrafted,Undrafted,74,551,127,110,1,0.7,7.4,16.8,52.9,10.7,2019
Ian Mahinmi,WAS,31,6-11,262,None,France,2005,1,28,77,366,312,53,1,11.8,15.6,15.0,60.1,6.8,2019
Ike Anigbogu,IND,19,6-10,262,UCLA,USA,2017,2,47,11,13,9,0,-26,15.2,13.8,17.9,55.8,0.0,2019
Iman Shumpert,SAC,28,6-5,220,Georgia Tech,USA,2011,1,17,14,62,41,17,5,2.6,11.3,12.5,48.0,8.4,2019
Isaiah Canaan,PHX,27,6-0,201,Murray State,USA,2013,2,34,20,172,45,76,1,1.4,9.4,19.3,53.9,27.6,2019
Isaiah Hicks,NYK,23,6-9,242,North Carolina,USA,Undrafted,Undrafted,Undrafted,18,80,41,16,-8,4.1,11.8,17.5,50.1,9.8,2019
