,Assister,Scorer,PTS
146,Keegan Murray,Kevin Huerter,3
147,Domantas Sabonis,Davion Mitchell,2
148,Kevin Huerter,Keegan Murray,3
149,Kevin Huerter,Domantas Sabonis,2
150,Harrison Barnes,Kevin Huerter,3
151,Domantas Sabonis,Davion Mitchell,3
152,Domantas Sabonis,Keegan Murray,2
153,Matthew Dellavedova,Kevin Huerter,3
154,Keegan Murray,Matthew Dellavedova,3
155,Matthew Dellavedova,Kevin Huerter,2
156,Matthew Dellavedova,Kevin Huerter,2
157,Trey Lyles,Harrison Barnes,2
158,Domantas Sabonis,Trey Lyles,3
159,Malik Monk,Domantas Sabonis,2
160,Domantas Sabonis,Kevin Huerter,3
161,Domantas Sabonis,Kevin Huerter,3
162,Kevin Huerter,Keegan Murray,3
163,Harrison Barnes,Davion Mitchell,2
164,Davion Mitchell,Kevin Huerter,3
165,Domantas Sabonis,Kevin Huerter,2
166,Davion Mitchell,Harrison Barnes,3
167,Kevin Huerter,Harrison Barnes,2
168,Malik Monk,Domantas Sabonis,2
169,Malik Monk,Domantas Sabonis,2
170,Trey Lyles,Malik Monk,2
171,Malik Monk,Trey Lyles,3
172,Matthew Dellavedova,Keegan Murray,2
173,Kevin Huerter,Malik Monk,2
174,Malik Monk,Matthew Dellavedova,3
175,Domantas Sabonis,Kevin Huerter,2
176,Domantas Sabonis,Kevin Huerter,3
177,Keegan Murray,Kevin Huerter,3
178,Davion Mitchell,Harrison Barnes,3
179,Keegan Murray,Domantas Sabonis,2
180,Davion Mitchell,Keegan Murray,3
181,Domantas Sabonis,Kevin Huerter,2
182,Keegan Murray,Davion Mitchell,3
183,Domantas Sabonis,Malik Monk,2
184,Malik Monk,Domantas Sabonis,3
185,Malik Monk,Richaun Holmes,2
186,Terence Davis,Kevin Huerter,2
187,Terence Davis,Domantas Sabonis,2
188,Domantas Sabonis,Harrison Barnes,2
189,Domantas Sabonis,Kevin Huerter,2
190,Domantas Sabonis,Malik Monk,2
191,Malik Monk,Kevin Huerter,3
192,Domantas Sabonis,De'Aaron Fox,2
193,Malik Monk,Trey Lyles,3
194,Davion Mitchell,Domantas Sabonis,2
195,Malik Monk,Keegan Murray,3
196,Terence Davis,Richaun Holmes,2
197,De'Aaron Fox,Malik Monk,3
198,De'Aaron Fox,Terence Davis,2
199,Terence Davis,Domantas Sabonis,2
200,Domantas Sabonis,Kevin Huerter,3
201,Domantas Sabonis,Kevin Huerter,3
202,Kevin Huerter,Domantas Sabonis,2
203,Kevin Huerter,Domantas Sabonis,2
204,Domantas Sabonis,Kevin Huerter,3
205,Malik Monk,De'Aaron Fox,2
206,Terence Davis,Chimezie Metu,2
207,Malik Monk,Trey Lyles,3
208,Trey Lyles,Terence Davis,3
209,Malik Monk,Trey Lyles,3
210,Domantas Sabonis,Trey Lyles,3
211,Chimezie Metu,Malik Monk,2
212,Harrison Barnes,Chimezie Metu,2
213,Domantas Sabonis,De'Aaron Fox,2
214,De'Aaron Fox,Harrison Barnes,3
215,Trey Lyles,Malik Monk,3
216,De'Aaron Fox,Domantas Sabonis,2
217,Domantas Sabonis,De'Aaron Fox,3
218,Kevin Huerter,Domantas Sabonis,2
219,Keegan Murray,Davion Mitchell,3
220,Chimezie Metu,Trey Lyles,2
221,De'Aaron Fox,Malik Monk,3
222,Malik Monk,De'Aaron Fox,3
223,De'Aaron Fox,Malik Monk,3
224,Chimezie Metu,Keegan Murray,3
225,Domantas Sabonis,De'Aaron Fox,2
226,Davion Mitchell,Kevin Huerter,3
227,Domantas Sabonis,Terence Davis,3
228,De'Aaron Fox,Domantas Sabonis,2
229,Malik Monk,Domantas Sabonis,2
230,Domantas Sabonis,Kevin Huerter,3
231,Domantas Sabonis,Keegan Murray,2
232,De'Aaron Fox,Domantas Sabonis,2
233,Malik Monk,Kevin Huerter,2
234,Domantas Sabonis,Terence Davis,3
235,Malik Monk,Chimezie Metu,2
236,Keegan Murray,Terence Davis,3
237,Chimezie Metu,Davion Mitchell,3
238,De'Aaron Fox,Kevin Huerter,3
239,Terence Davis,Malik Monk,2
240,Domantas Sabonis,Keegan Murray,2
241,Harrison Barnes,Domantas Sabonis,2
242,Kevin Huerter,Harrison Barnes,3
243,Domantas Sabonis,Harrison Barnes,2
244,Harrison Barnes,Kevin Huerter,3
245,Harrison Barnes,Davion Mitchell,3
246,Davion Mitchell,Chimezie Metu,2
247,Davion Mitchell,Malik Monk,3
248,Trey Lyles,Chimezie Metu,2
249,Malik Monk,De'Aaron Fox,2
250,De'Aaron Fox,Trey Lyles,3
251,Chimezie Metu,Trey Lyles,3
252,Keegan Murray,Malik Monk,3
253,Domantas Sabonis,De'Aaron Fox,3
254,De'Aaron Fox,Keegan Murray,3
255,De'Aaron Fox,Harrison Barnes,2
256,De'Aaron Fox,Keegan Murray,3
257,De'Aaron Fox,Domantas Sabonis,2
258,De'Aaron Fox,Harrison Barnes,3
259,Domantas Sabonis,Trey Lyles,2
260,Davion Mitchell,Trey Lyles,3
261,Malik Monk,Keegan Murray,3
262,De'Aaron Fox,Trey Lyles,3
263,De'Aaron Fox,Chimezie Metu,2
264,Domantas Sabonis,Malik Monk,2
265,Domantas Sabonis,Harrison Barnes,2
266,Kevin Huerter,Malik Monk,3
267,Malik Monk,Domantas Sabonis,2
268,Malik Monk,Domantas Sabonis,2
269,Malik Monk,Kevin Huerter,3
270,Kevin Huerter,Harrison Barnes,3
271,De'Aaron Fox,Domantas Sabonis,2
272,De'Aaron Fox,Domantas Sabonis,2
273,De'Aaron Fox,Harrison Barnes,2
274,Harrison Barnes,Domantas Sabonis,2
275,Domantas Sabonis,Davion Mitchell,3
276,Trey Lyles,Domantas Sabonis,2
277,Terence Davis,Malik Monk,2
278,De'Aaron Fox,Chimezie Metu,3
279,Domantas Sabonis,Davion Mitchell,3
280,Kevin Huerter,Domantas Sabonis,2
281,Domantas Sabonis,Kevin Huerter,3
282,De'Aaron Fox,Kevin Huerter,3
283,Harrison Barnes,De'Aaron Fox,3
284,De'Aaron Fox,Domantas Sabonis,2
285,Domantas Sabonis,Kevin Huerter,3
286,De'Aaron Fox,Kevin Huerter,3
287,Malik Monk,Chimezie Metu,2
288,Malik Monk,De'Aaron Fox,3
289,De'Aaron Fox,Terence Davis,3
290,De'Aaron Fox,Malik Monk,2
291,De'Aaron Fox,Keegan Murray,2
292,Malik Monk,Chimezie Metu,2
293,De'Aaron Fox,Terence Davis,3
294,De'Aaron Fox,Terence Davis,2
295,Domantas Sabonis,Terence Davis,2
296,Domantas Sabonis,Kevin Huerter,2
297,Kevin Huerter,Domantas Sabonis,2
298,Domantas Sabonis,Keegan Murray,3
299,Domantas Sabonis,De'Aaron Fox,3
300,Domantas Sabonis,Keegan Murray,3
301,Domantas Sabonis,Kevin Huerter,2
302,Harrison Barnes,Kevin Huerter,3
303,Malik Monk,Chimezie Metu,2
304,De'Aaron Fox,Keegan Murray,3
