District_Name,County_Name,District_Type,Enrollment_District,AmericanIndian_AlaskaNative,Asian,Black_AfricanAmerican,Filipino,Hispanic_Latino,NativeHawaiian_PacIslander,Two_orMoreRaces,NoneReported,White,Nonwhite,CAASPP-Math,CAASPP-ELA,FederalRevenue,StateRevenue,LocalRevenue,LCFF
Pomona Unified (Los Angeles),Los Angeles,Unified School District,23741,0.2,3.4,4.5,1.2,85.7,0.1,1.1,0.2,3.6,96.4,25.73,39.92,1212,1516,471,10776
Pond Union Elementary (Kern),Kern,Elementary School District,193,0,2.1,0,0,91.7,0,0.5,0,5.7,94.3,31.82,48.48,1026,1175,685,11428
Pope Valley Union Elementary (Napa),Napa,Elementary School District,57,1.8,0,0,0,64.9,0,3.5,1.8,28.1,71.9,16.28,20.93,297,1882,793,20736
Porterville Unified (Tulare),Tulare,Unified School District,14429,2.1,1.6,0.5,1,81.1,0.4,1,0.8,11.5,88.5,27.1,43.74,884,1422,339,10682
Portola Valley Elementary (San Mateo),San Mateo,Elementary School District,609,0,5.4,1,0,14.6,0.5,11,0.3,67.2,32.8,84.56,83.84,191,1391,4978,20440
Potter Valley Community Unified (Mendocino),Mendocino,Unified School District,255,3.5,0,0.8,0,37.3,0,3.1,0,55.3,44.7,22.46,36.5,763,1784,1383,11767
Poway Unified (San Diego),San Diego,Unified School District,36519,0.2,21.3,2.1,6.4,15,0.4,7.5,1.4,45.8,54.2,67.32,74.29,263,1354,441,8301
Princeton Joint Unified (Glenn),Glenn,Unified School District,165,0.6,0,0,0,63.6,0,0.6,3,32.1,67.9,20,37.5,389,2294,628,13013
Raisin City Elementary (Fresno),Fresno,Elementary School District,546,1.5,1.6,6.2,0,81,0,0.5,1.1,8.1,91.9,9.25,11.3,1388,1512,1677,11058
Ramona City Unified (San Diego),San Diego,Unified School District,5529,0.6,0.5,0.7,0.3,37.5,0.1,4.7,0,55.5,44.5,37.11,50.84,540,936,1106,8816
Rancho Santa Fe Elementary (San Diego),San Diego,Elementary School District,639,0.3,6.7,0.9,0.9,12.8,0,6.9,0,71.4,28.6,81.56,85,149,1217,2714,15061
Ravendale-Termo Elementary (Lassen),Lassen,Elementary School District,346,4.3,0.6,0.9,0.3,16.8,0,6.1,0,71.1,28.9,redacted,redacted,2101,958,9506,40346
Ravenswood City Elementary (San Mateo),San Mateo,Elementary School District,3632,0.2,0.5,6,0.2,83.4,8.1,0.9,0.2,0.5,99.5,14.55,23.73,1066,1495,3313,13085
Raymond-Knowles Union Elementary (Madera),Madera,Elementary School District,81,6.2,1.2,0,0,28.4,0,6.2,0,58,42,38.18,40,1185,1001,815,10566
Red Bluff Joint Union High (Tehama),Tehama,High School District,1650,3.3,1.3,1.2,0.4,30.2,0.2,2.8,0.1,60.6,39.4,26.36,42.41,777,1355,1047,10222
Red Bluff Union Elementary (Tehama),Tehama,Elementary School District,2035,3.2,0.7,1.3,0.2,35.2,0.3,3.8,0,55.3,44.7,32.86,38.97,872,820,646,9636
Redding Elementary (Shasta),Shasta,Elementary School District,3292,3.5,2.9,2.2,0.2,15.2,0.4,6.6,0.6,68.4,31.6,39.41,46.92,682,1180,1082,8710
Redlands Unified (San Bernardino),San Bernardino,Unified School District,21261,0.3,8.6,6,2.5,49.4,0.4,4.5,0.2,28.2,71.8,45.3,59.31,494,1128,821,9091
Redondo Beach Unified (Los Angeles),Los Angeles,Unified School District,9937,0.3,9.5,3.8,1.9,23.3,0.4,15,0,45.9,54.1,69.02,73.92,311,972,361,8283
Redwood City Elementary (San Mateo),San Mateo,Elementary School District,8803,0.1,3,1.1,0.8,70.4,1.2,3.2,0.2,20,80,44.53,52.16,667,1346,1074,10208
Reed Union Elementary (Marin),Marin,Elementary School District,1444,0.3,7.3,0.6,0.3,4.8,0.1,2.9,0.2,83.4,16.6,79.03,80.59,206,1062,3884,11282
Reeds Creek Elementary (Tehama),Tehama,Elementary School District,160,4.4,0.6,0.6,0,15,0,0,5,74.4,25.6,25.24,37.86,433,1933,397,8418
Reef-Sunset Unified (Kings),Kings,Unified School District,2664,0.1,0.3,0,0,96.9,0,0,0,2.6,97.4,14.53,23.92,891,1276,487,10804
Rescue Union Elementary (El Dorado),El Dorado,Elementary School District,3629,0.3,5.3,0.9,1,15.3,0.2,4.4,0,72.6,27.4,65.95,73.92,207,886,797,8038
Rialto Unified (San Bernardino),San Bernardino,Unified School District,25480,0.3,0.8,9.5,0.5,84.2,0.5,0.9,0,3.3,96.7,20.13,33.43,732,1141,521,10406
Richfield Elementary (Tehama),Tehama,Elementary School District,248,0.4,2,0.4,0,45.6,0,3.6,0,48,52,30.13,42.04,344,1137,687,8581
Richgrove Elementary (Tulare),Tulare,Elementary School District,633,0.5,0.8,0,0.9,97,0,0,0,0.8,99.2,11.46,20.49,1202,1234,454,14199
Richland Union Elementary (Kern),Kern,Elementary School District,3475,0,1.4,0.3,0,93,0.1,0,0,5.2,94.8,24.08,31.89,687,771,907,10532
Richmond Elementary (Lassen),Lassen,Elementary School District,212,1.4,0,0,0,8,0.5,6.1,0,84,16,45,55,389,1125,157,7754
Rim of the World Unified (San Bernardino),San Bernardino,Unified School District,3348,0.4,0.6,0.7,0.2,36.8,0.1,5,0.1,56.1,43.9,24.37,37.76,666,913,650,9644
Rincon Valley Union Elementary (Sonoma),Sonoma,Elementary School District,3442,1.4,5.3,2.9,1.2,28.2,1.7,2.8,0.7,55.7,44.3,49.43,61.17,426,935,2340,9831
Rio Bravo-Greeley Union Elementary (Kern),Kern,Elementary School District,1029,1.5,1.3,1,0.4,41.1,0.4,0.3,0,54.1,45.9,38.9,48.69,429,542,1021,8187
Rio Dell Elementary (Humboldt),Humboldt,Elementary School District,333,2.7,0,0.6,0,21,0,7.5,0,68.2,31.8,17.56,23.9,606,1478,553,9560
Rio Elementary (Ventura),Ventura,Elementary School District,5090,0.3,1.3,0.9,3.1,87.7,0.2,1.3,0,5.3,94.7,25.04,34.8,457,748,754,9807
Ripon Unified (San Joaquin),San Joaquin,Unified School District,4334,0.4,4.2,1.9,1.5,33.4,0.5,8,0,50.3,49.7,50.98,61.85,363,890,564,8529
River Delta Joint Unified (Sacramento),Sacramento,Unified School District,2322,0.9,0.6,1.3,1,52.5,0.4,3,1.8,38.5,61.5,29.94,42.59,587,1321,915,9765
Riverbank Unified (Stanislaus),Stanislaus,Unified School District,2988,0.4,0.7,1.1,0.3,80.9,0.3,0.4,1.1,14.9,85.1,22.06,35.76,1363,1174,869,10741
Riverdale Joint Unified (Fresno),Fresno,Unified School District,1622,0.4,0.4,0.6,0.3,84.6,0.1,0.1,0.1,13.5,86.5,30.19,39.4,841,1026,629,11012
Riverside County Office of Education (Riverside),Riverside,County Office of Education (COE),9384,0.7,1.4,6.2,1.1,48.8,0.3,5.3,0.1,36.2,63.8,1.02,8.66,N/A,N/A,N/A,N/A
Riverside Unified (Riverside),Riverside,Unified School District,42428,0.4,3.4,6.7,1.1,63,0.4,1.9,1.3,21.8,78.2,34.94,49.31,714,1667,247,9447
Roberts Ferry Union Elementary (Stanislaus),Stanislaus,Elementary School District,144,0,0,0,0,38.9,0,9.7,0.7,50.7,49.3,28.72,44.79,507,369,1264,10159
Robla Elementary (Sacramento),Sacramento,Elementary School District,2345,1.3,18,16.7,1.5,44.1,2.6,2.4,0.6,12.9,87.1,27.61,35.07,668,1200,1259,10495
Rockford Elementary (Tulare),Tulare,Elementary School District,357,0.6,0.3,0,2.8,52.7,0,2.8,0.3,40.6,59.4,28.86,41.46,594,1414,195,8552
Rocklin Unified (Placer),Placer,Unified School District,13566,0.4,8.6,1.6,3.3,14.6,0.4,7.3,0.6,63.1,36.9,63.45,70.2,277,901,758,8250
Romoland Elementary (Riverside),Riverside,Elementary School District,3912,0.3,1.8,5.1,1.6,68.3,0.6,0.7,0.4,21.3,78.7,33.31,42.89,657,980,N/A,9295
Rosedale Union Elementary (Kern),Kern,Elementary School District,5799,0.8,3.6,2.8,2.3,33.5,0.2,2.5,1.3,53,47,54.11,61.11,300,535,555,7944
Roseland (Sonoma),Sonoma,Elementary School District,2874,1.4,1.1,0.6,0.2,92.5,0,1.4,0,2.7,97.3,32.8,34.11,708,1673,9971,11425
