District_Name,County_Name,District_Type,Enrollment_District,AmericanIndian_AlaskaNative,Asian,Black_AfricanAmerican,Filipino,Hispanic_Latino,NativeHawaiian_PacIslander,Two_orMoreRaces,NoneReported,White,Nonwhite,CAASPP-Math,CAASPP-ELA,FederalRevenue,StateRevenue,LocalRevenue,LCFF
Santa Rita Union Elementary (Monterey),Monterey,Elementary School District,3568,0.1,1.4,0.7,0.8,87.3,0.2,0.2,0.4,8.7,91.3,21.64,37.38,363,911,578,9360
Santa Rosa City Schools (Sonoma),Sonoma,Common Administration District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,597,1125,1076,9905
Santa Rosa Elementary (Sonoma),Sonoma,Elementary School District,5246,0.7,3.8,1.8,0.8,61.6,0.3,3.6,0.5,26.9,73.1,redacted,redacted,N/A,N/A,N/A,N/A
Santa Rosa High (Sonoma),Sonoma,High School District,11186,0.9,5.6,2.2,1.1,48.4,0.5,4.8,1.3,35.2,64.8,redacted,redacted,N/A,N/A,N/A,N/A
Santa Ynez Valley Union High (Santa Barbara),Santa Barbara,High School District,944,1.1,0.6,0.4,0.2,43.6,0,4.1,0,49.9,50.1,44.84,72.89,89,658,755,13207
Santee (San Diego),San Diego,Elementary School District,6788,0.4,2.2,1.7,1.1,28.1,0.3,9.4,1.8,54.9,45.1,49.1,56.55,442,909,784,8149
Saratoga Union Elementary (Santa Clara),Santa Clara,Elementary School District,1817,0.1,57.5,0.1,0.6,4.2,0.1,6.7,3.9,26.9,73.1,91.09,89.64,251,1179,956,15247
Saucelito Elementary (Tulare),Tulare,Elementary School District,86,3.5,0,0,0,66.3,0,0,0,30.2,69.8,52.46,37.7,65,753,162,10797
Saugus Union (Los Angeles),Los Angeles,Elementary School District,9960,0.3,8.9,3.8,4.9,29.3,1.1,2.5,0.7,48.6,51.4,53.28,64.7,357,854,941,7908
Sausalito Marin City (Marin),Marin,Elementary School District,538,0,8.7,19.5,1.3,27.3,0,10.4,0,32.7,67.3,26.56,19.7,2725,3234,6210,38751
Savanna Elementary (Orange),Orange,Elementary School District,2272,0.2,14.2,3.3,4.9,59.8,0.6,4.2,0.8,12.1,87.9,42.82,48.12,659,1607,203,9787
SBC - High Tech High (San Diego),San Diego,Statewide Benefit Charter,2501,0.6,2.2,2.6,5.9,61.7,0.3,4.5,0.1,22.1,77.9,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Academia Avance Charter (Los Angeles),Los Angeles,State Board of Education Charter,389,0,0,0.3,0,93.8,0,0,5.4,0.5,99.5,20.18,32.41,N/A,N/A,N/A,N/A
SBE - Anahuacalmecac International University Preparatory of North America (Los Angeles),Los Angeles,State Board of Education Charter,363,1.4,0,1.1,0,94.2,0,0.8,1.9,0.6,99.4,28.13,32.1,N/A,N/A,N/A,N/A
SBE - Audeo Charter II (San Diego),San Diego,State Board of Education Charter,317,0.3,0.3,2.2,0.6,60.6,0.3,6,0.6,29,71,23.81,45.19,N/A,N/A,N/A,N/A
SBE - Barack Obama Charter (Los Angeles),Los Angeles,State Board of Education Charter,438,0.2,0,61.6,0.2,35.8,0.2,1.4,0,0.5,99.5,18.82,22.99,N/A,N/A,N/A,N/A
SBE - Baypoint Preparatory Academy (Riverside),Riverside,State Board of Education Charter,445,0,1.1,7,1.6,53,0.2,3.8,0.2,33,67,29.7,38.31,N/A,N/A,N/A,N/A
SBE - Celerity Himalia (Los Angeles),Los Angeles,State Board of Education Charter,615,0,0,0.5,0.3,99.2,0,0,0,0,100,41.83,51.17,N/A,N/A,N/A,N/A
SBE - Celerity Rolas (Los Angeles),Los Angeles,State Board of Education Charter,309,0.6,0.6,1.6,8.7,78.3,0,1.9,6.8,1.3,98.7,56.59,62.64,N/A,N/A,N/A,N/A
SBE - Grossmont Secondary (San Diego),San Diego,State Board of Education Charter,257,0.4,0,12.5,1.2,64.2,0.4,5.4,0,16,84,9.52,41.27,N/A,N/A,N/A,N/A
SBE - Magnolia Science Academy Santa Ana (Orange),Orange,State Board of Education Charter,736,0.7,2.2,1.1,0.3,86.7,0.4,1.1,0,7.6,92.4,26.4,41.78,N/A,N/A,N/A,N/A
SBE - New West Charter (Los Angeles),Los Angeles,State Board of Education Charter,825,0.6,5.6,5.6,1.2,28,0.2,7.9,0.2,50.7,49.3,58.28,75.83,N/A,N/A,N/A,N/A
SBE - Olive Grove Charter (Santa Barbara),Santa Barbara,State Board of Education Charter,521,0.8,0.6,1.3,1,54.9,0.4,3.1,0.4,37.6,62.4,9.38,30.15,N/A,N/A,N/A,N/A
SBE - OnePurpose (San Francisco),San Francisco,State Board of Education Charter,158,0,0,53.8,0.6,38.6,4.4,2.5,0,0,100,10,15,N/A,N/A,N/A,N/A
SBE - Paramount Collegiate Academy (Sacramento),Sacramento,State Board of Education Charter,76,0,2.6,9.2,0,25,0,0,19.7,43.4,56.6,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Prepa Tec Los Angeles High (Los Angeles),Los Angeles,State Board of Education Charter,224,0.4,0,0,0,99.1,0,0,0,0.4,99.6,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Ridgecrest Charter (Kern),Kern,State Board of Education Charter,515,1.2,2.9,1.6,1.2,29.3,0.2,7.6,0.6,55.5,44.5,25,29.33,N/A,N/A,N/A,N/A
SBE - Rocketship Futuro Academy (Contra Costa),Contra Costa,State Board of Education Charter,290,0,2.8,4.5,0,85.9,1,1,3.1,1.7,98.3,42.86,34.48,N/A,N/A,N/A,N/A
SBE - Ross Valley Elementary (Marin),Marin,State Board of Education Charter,127,2.4,7.9,2.4,0.8,20.5,0,0,0.8,65.4,34.6,64.29,70.24,N/A,N/A,N/A,N/A
SBE - Sweetwater Secondary (San Diego),San Diego,State Board of Education Charter,228,0.4,0.9,3.1,4.4,80.7,0.4,4.4,0.9,4.8,95.2,7.25,44.29,N/A,N/A,N/A,N/A
SBE - The New School of San Francisco (San Francisco),San Francisco,State Board of Education Charter,184,0,7.6,3.3,2.2,19,0,17.9,1.1,48.9,51.1,58.54,73.17,N/A,N/A,N/A,N/A
SBE - The School of Arts and Enterprise (Los Angeles),Los Angeles,State Board of Education Charter,769,1.2,0.9,4.4,1.8,79.5,0.3,2.2,0,9.8,90.2,18.97,36.52,N/A,N/A,N/A,N/A
SBE - Thrive Public (San Diego),San Diego,State Board of Education Charter,651,0.8,3.5,17.7,0.8,39.2,1.1,7.7,0.5,28.9,71.1,18.73,30.6,N/A,N/A,N/A,N/A
SBE - Wei Yu International Charter (Santa Clara),Santa Clara,State Board of Education Charter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scotia Union Elementary (Humboldt),Humboldt,Elementary School District,192,2.6,0.5,0,0,14.1,0.5,12,0,70.3,29.7,33.58,40.15,425,2370,568,9336
Scott Valley Unified (Siskiyou),Siskiyou,Unified School District,684,11,1.8,0.7,0,12.3,0.1,12.4,0.6,61.1,38.9,47.65,48.24,556,929,1388,10939
Scotts Valley Unified (Santa Cruz),Santa Cruz,Unified School District,2470,1.2,7.4,1.3,0.9,13.8,0.2,4,1,70.2,29.8,66.88,74.24,340,855,915,8437
Sebastopol Union Elementary (Sonoma),Sonoma,Elementary School District,905,0.9,0.9,0.8,0.1,26.7,0.2,10.4,0,60,40,27.45,45.45,736,883,2977,9703
Seeley Union Elementary (Imperial),Imperial,Elementary School District,366,0.8,0,1.9,0.5,87.7,0.5,1.9,0,6.6,93.4,23.71,33.19,934,1679,216,10236
Seiad Elementary (Siskiyou),Siskiyou,Elementary School District,17,29.4,0,0,0,23.5,5.9,17.6,0,23.5,76.5,46.67,40,1381,(1065),3283,17794
Selma Unified (Fresno),Fresno,Unified School District,6451,0.2,4.1,0.3,0.1,90.3,0.1,0.2,0,4.7,95.3,23.49,44.01,923,1250,470,10345
Semitropic Elementary (Kern),Kern,Elementary School District,215,0.5,0,1.9,0,94.4,0,0,0.5,2.8,97.2,7.43,23.65,200,760,797,11371
Sequoia Union Elementary (Tulare),Tulare,Elementary School District,333,0.6,0.6,0,0,33,0.3,2.4,0.3,62.8,37.2,45.79,60.75,163,884,128,8858
Sequoia Union High (San Mateo),San Mateo,High School District,10021,0.3,7.6,2.4,1.5,46.3,2.3,3.6,0.5,35.5,64.5,47.7,62.54,369,727,2404,15955
Shaffer Union Elementary (Lassen),Lassen,Elementary School District,166,4.8,3,0.6,0,31.9,0,3,0,56.6,43.4,35.9,44.35,659,2277,1653,10100
Shandon Joint Unified (San Luis Obispo),San Luis Obispo,Unified School District,321,0.3,0.3,0.6,0.3,75.4,0.6,0.9,1.2,20.2,79.8,21.05,35.53,575,1440,1877,12340
Shasta County Office of Education (Shasta),Shasta,County Office of Education (COE),604,2.6,0.8,0.5,0,10.9,0.2,8.6,1,75.3,24.7,6.1,15.29,N/A,N/A,N/A,N/A
Shasta Union Elementary (Shasta),Shasta,Elementary School District,156,4.5,0.6,2.6,0,12.2,1.3,0,0,78.8,21.2,27.94,42.03,488,1041,731,8380
Shasta Union High (Shasta),Shasta,High School District,5605,3.1,5.1,1.6,0.6,12.9,0.4,4.9,1.8,69.8,30.2,35.76,55.67,542,1037,1762,9774
Shiloh Elementary (Stanislaus),Stanislaus,Elementary School District,163,0,0.6,0,0,62,0,0.6,6.7,30.1,69.9,45.37,46.3,416,349,1355,10443
Shoreline Unified (Marin),Marin,Unified School District,510,1.2,1.4,0,0,58.4,0.8,0.8,2.2,35.3,64.7,32.61,46.3,4108,2309,3633,20120
Sierra County Office of Education (Sierra),Sierra,County Office of Education (COE),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sierra Sands Unified (Kern),Kern,Unified School District,5085,1.4,2.4,5.4,1.9,27.5,0.9,3,0,57.5,42.5,32.46,47.84,1070,1218,453,8723
Sierra Unified (Fresno),Fresno,Unified School District,1292,17.9,0.6,0.8,1.1,13.8,0,0.5,0,65.3,34.7,37.27,48.45,840,1087,656,11012
Sierra-Plumas Joint Unified (Sierra),Sierra,Unified School District,407,1.2,0.2,0.5,0,14.5,0.2,0.7,5.4,77.1,22.9,35.47,43.63,1235,1244,867,12856
Silver Fork Elementary (El Dorado),El Dorado,Elementary School District,6,0,0,0,0,16.7,0,16.7,0,66.7,33.3,redacted,redacted,2575,2090,4224,53458
Silver Valley Unified (San Bernardino),San Bernardino,Unified School District,2104,0.9,1.3,9.1,1.9,34.8,2.5,8.8,0.4,40.4,59.6,39,53.11,4499,1139,787,8719
Simi Valley Unified (Ventura),Ventura,Unified School District,16801,0.2,8.1,1,2,36.3,0.1,4.4,0.1,47.7,52.3,43.22,54.78,365,965,910,8744
Siskiyou County Office of Education (Siskiyou),Siskiyou,County Office of Education (COE),595,4.5,0.7,0.5,0,14.6,0,12.1,0.7,66.9,33.1,redacted,redacted,N/A,N/A,N/A,N/A
Siskiyou Union High (Siskiyou),Siskiyou,High School District,542,5.7,2,2.6,0.4,19.4,0.4,9.8,0,59.8,40.2,24.11,49.65,343,1145,2501,12818
Snelling-Merced Falls Union Elementary (Merced),Merced,Elementary School District,82,1.2,0,0,0,40.2,0,1.2,1.2,56.1,43.9,26.42,41.51,792,1203,592,11181
Snowline Joint Unified (San Bernardino),San Bernardino,Unified School District,7556,0.6,1.6,5.4,0.4,47.8,0.3,1,6.4,36.6,63.4,33.47,43.79,517,1004,389,9432
Solana Beach Elementary (San Diego),San Diego,Elementary School District,2916,0.1,24.4,0.3,0.8,14,0,7.1,1.2,52.1,47.9,81.03,85.41,274,1117,954,13632
Solano County Office of Education (Solano),Solano,County Office of Education (COE),398,0.8,3.3,16.3,6.5,38.4,0.8,5.8,1.5,26.6,73.4,0,4.35,N/A,N/A,N/A,N/A
Soledad Unified (Monterey),Monterey,Unified School District,4882,0.1,0.7,0.6,1.2,94.7,0.1,0.2,0.1,2.3,97.7,18.76,30.36,618,1127,639,10588
Solvang Elementary (Santa Barbara),Santa Barbara,Elementary School District,600,0.5,0.2,1.2,0.7,52.5,0,1.8,1.8,41.3,58.7,62.47,67.15,463,708,621,8640
Somis Union (Ventura),Ventura,Elementary School District,261,0,0.4,0,1.1,67,0,4.6,0,26.8,73.2,37.66,37.66,611,1691,1702,9341
Sonoma County Office of Education (Sonoma),Sonoma,County Office of Education (COE),575,2.6,1.7,4.5,0.3,50.3,0.3,1.6,0,38.6,61.4,1.18,4.44,N/A,N/A,N/A,N/A
Sonoma Valley Unified (Sonoma),Sonoma,Unified School District,4451,0.4,1.6,0.5,0.4,57.4,0.1,1.5,1.8,36.4,63.6,27.95,41.28,565,1269,1196,10616
Sonora Elementary (Tuolumne),Tuolumne,Elementary School District,748,1.3,2.7,0.1,1.9,16.3,0.3,4,0.1,73.3,26.7,45.56,54.53,702,806,174,8349
Sonora Union High (Tuolumne),Tuolumne,High School District,1079,1.2,1.2,0.9,0.7,18.7,0.1,4.4,1.1,71.5,28.5,31.6,65.06,412,1038,1550,10778
Soquel Union Elementary (Santa Cruz),Santa Cruz,Elementary School District,1964,0.4,1.4,0.5,0.6,31.6,0.1,0,6.8,58.7,41.3,48.8,61.63,449,988,716,8164
Soulsbyville Elementary (Tuolumne),Tuolumne,Elementary School District,530,0.8,0,0.6,0.2,14.5,0,7,0,77,23,35.07,43.27,236,976,255,8182
South Bay Union (San Diego),San Diego,Elementary School District,7379,0.2,0.5,2.6,3.2,83.4,0.4,2.8,0.2,6.8,93.2,28.58,36.45,907,997,2311,10082
South Bay Union Elementary (Humboldt),Humboldt,Elementary School District,913,4.7,1.9,0.4,0.7,18.6,0.2,10.6,0,62.9,37.1,28.42,41.75,1329,1354,1058,9182
South Fork Union (Kern),Kern,Elementary School District,245,3.7,0,0,0,15.1,0,4.5,1.2,75.5,24.5,21.83,38.19,1074,1859,867,9804
South Monterey County Joint Union High (Monterey),Monterey,High School District,2364,0.3,0.3,0.4,0.5,93.4,0,0.5,0,4.7,95.3,13.06,47.66,646,991,1011,11081
South Pasadena Unified (Los Angeles),Los Angeles,Unified School District,4794,0.2,32.2,1.7,2.3,24,0.1,10.3,1.2,28,72,78.99,84.4,282,590,1450,8196
South San Francisco Unified (San Mateo),San Mateo,Unified School District,8707,0.2,11.9,1.4,24.2,47.9,2.2,5.9,0,6.4,93.6,43.41,49.89,442,909,727,10326
South Whittier Elementary (Los Angeles),Los Angeles,Elementary School District,2781,0.1,0.4,0.7,1,94.6,0.1,0.1,0,2.9,97.1,24.4,36.11,764,1343,715,10735
Southern Humboldt Joint Unified (Humboldt),Humboldt,Unified School District,789,1.4,0.5,1,0,16.1,0.6,3.8,1.4,75.2,24.8,27.23,38.96,581,1056,968,11046
Southern Kern Unified (Kern),Kern,Unified School District,3560,0.7,0.9,11.4,0.9,53.7,0.3,2.5,0.4,29.2,70.8,14.47,29.05,649,891,694,9920
Southern Trinity Joint Unified (Trinity),Trinity,Unified School District,83,1.2,0,0,0,9.6,0,12,1.2,75.9,24.1,41.82,33.33,2354,2978,3209,25597
Southside Elementary (San Benito),San Benito,Elementary School District,229,0,0.4,0,0.4,56.3,0,0,29.3,13.5,86.5,47.45,70,709,732,476,8547
Spencer Valley Elementary (San Diego),San Diego,Elementary School District,2354,1.4,3,11.4,1.7,21.2,1.5,6.5,3.4,49.9,50.1,60,65,11104,4666,42493,46763
Spreckels Union Elementary (Monterey),Monterey,Elementary School District,987,0.2,2.9,0.4,3,33.7,0.2,7.7,0.1,51.7,48.3,50.32,60.61,227,957,813,7928
Springville Union Elementary (Tulare),Tulare,Elementary School District,331,3.6,1.2,0,1.2,23.3,0,1.5,0,69.2,30.8,39.71,50.98,630,1590,68,8690
Standard Elementary (Kern),Kern,Elementary School District,3115,1.2,0.7,1.4,0.4,30.3,0.1,2.4,0,63.6,36.4,15.99,30.19,685,897,643,9548
Stanislaus County Office of Education (Stanislaus),Stanislaus,County Office of Education (COE),2449,1.1,2.7,3.7,0.5,52.3,0.4,2.9,1.5,34.8,65.2,2.33,6.64,N/A,N/A,N/A,N/A
Stanislaus Union Elementary (Stanislaus),Stanislaus,Elementary School District,3523,0.9,11.1,5.8,0.7,50.9,1.1,0.6,5.9,23,77,38.13,48.03,482,565,797,9205
Stockton Unified (San Joaquin),San Joaquin,Unified School District,40840,1.6,9,10.5,3.8,66.1,0.5,2.9,0.1,5.6,94.4,19.77,26.56,987,1859,269,10393
Stone Corral Elementary (Tulare),Tulare,Elementary School District,619,0.6,2.4,2.3,0,77.4,0,2.3,0.2,14.9,85.1,2.7,10.81,983,1154,2787,12244
Stony Creek Joint Unified (Glenn),Glenn,Unified School District,85,45.9,0,0,0,5.9,0,5.9,0,42.4,57.6,22.86,11.11,4430,1480,1065,20771
Strathmore Union Elementary (Tulare),Tulare,Elementary School District,797,1.4,0,0,0,89.6,0.1,0.6,0,8.3,91.7,22.6,32.46,915,1127,264,10758
Sulphur Springs Union (Los Angeles),Los Angeles,Elementary School District,5395,0.2,4.6,5.7,4.8,55.1,0.1,4.2,0.2,25.1,74.9,50.1,61.39,492,945,1135,8407
Summerville Elementary (Tuolumne),Tuolumne,Elementary School District,394,9.1,0,0.3,0,18,0,8.6,0.5,63.5,36.5,30.65,42.28,727,1440,450,8481
Summerville Union High (Tuolumne),Tuolumne,High School District,1122,3.7,0.6,1.1,0.1,15,0.1,3.3,1.1,75.1,24.9,32.52,61.59,373,1800,1404,14521
Sundale Union Elementary (Tulare),Tulare,Elementary School District,827,0.5,0.6,0.4,0.1,48.6,0.1,0.4,0.1,49.2,50.8,53.15,54.17,426,848,405,8152
Sunnyside Union Elementary (Tulare),Tulare,Elementary School District,350,0,0.3,0,0,91.1,0,0,0,8.6,91.4,10.59,20.59,1119,1165,411,10464
Sunnyvale (Santa Clara),Santa Clara,Elementary School District,6575,2.2,29.2,1.3,5.6,28.3,1,7.6,1.9,23,77,54.92,58.93,375,1014,1260,11185
Sunol Glen Unified (Alameda),Alameda,Unified School District,293,0.3,19.8,1,0.7,18.4,1.7,10.9,0,47.1,52.9,85.64,79.78,293,1083,2423,8737
Surprise Valley Joint Unified (Modoc),Modoc,Unified School District,108,16.7,0,0,0,15.7,0,5.6,0,62,38,39.34,59.02,1213,2863,627,15213
Susanville Elementary (Lassen),Lassen,Elementary School District,1116,4.4,1.1,1.2,1,22.8,4.6,7.2,0.1,57.8,42.2,34.52,40,520,766,597,8557
Sutter County Office of Education (Sutter),Sutter,County Office of Education (COE),413,1.5,7.3,3.4,0.2,44.6,0.2,2.4,5.8,34.6,65.4,5,6.56,N/A,N/A,N/A,N/A
Sutter Union High (Sutter),Sutter,High School District,789,2.3,2.8,0.3,0.3,27.4,0,4.6,0,62.5,37.5,29.1,59.47,242,909,216,9537
Sweetwater Union High (San Diego),San Diego,High School District,40737,0.2,1.4,2.6,8.3,75.8,0.3,4.7,0.2,6.5,93.5,32.49,52.79,656,1065,768,9836
Sylvan Union Elementary (Stanislaus),Stanislaus,Elementary School District,8332,0.4,5.7,4,3.3,42.3,1.1,4,2.7,36.6,63.4,42.35,52.68,606,472,631,8549
Taft City (Kern),Kern,Elementary School District,2327,0.3,0.5,0.8,0.3,56.6,0.3,0.3,3.9,37,63,26.12,36.66,790,1381,689,9853
Taft Union High (Kern),Kern,High School District,1023,1.7,0.9,0.6,0,45.1,0.9,2.5,0.1,48.3,51.7,13.96,37.61,291,808,978,27249
Tahoe-Truckee Unified (Placer),Placer,Unified School District,4133,0.4,0.6,0.2,0.1,36.7,0,2.3,0.3,59.3,40.7,53.09,58.92,381,1916,2858,13117
Tamalpais Union High (Marin),Marin,High School District,4828,0.3,5.7,2.2,1,12.2,0.5,1.3,4.8,72,28,55.69,71.69,198,1182,3401,13346
Tehachapi Unified (Kern),Kern,Unified School District,4454,0.7,1.1,1.4,0.4,32.6,0.2,1.3,0.1,62.3,37.7,30.45,47.5,458,1172,830,8677
Tehama County Department of Education (Tehama),Tehama,County Office of Education (COE),244,2,0.4,1.2,0,21.7,0,6.6,1.2,66.8,33.2,18.55,32.52,N/A,N/A,N/A,N/A
Temecula Valley Unified (Riverside),Riverside,Unified School District,29983,0.7,4,3.4,4.8,33.6,0.3,10.1,0,43.2,56.8,54.04,68.08,317,1484,436,8273
Temple City Unified (Los Angeles),Los Angeles,Unified School District,5831,0.1,64.8,0.5,1.5,21.4,0.2,3.3,0.2,8,92,67.19,67.92,395,507,1158,8654
Templeton Unified (San Luis Obispo),San Luis Obispo,Unified School District,2370,0.3,1.5,0.3,0.5,21.1,0.3,4.3,1.2,70.6,29.4,48.56,62.99,288,1637,508,8703
Terra Bella Union Elementary (Tulare),Tulare,Elementary School District,920,0.1,0.3,0.2,0.5,95.9,0,0,0.2,2.7,97.3,26.92,29.64,1012,1064,287,10574
Thermalito Union Elementary (Butte),Butte,Elementary School District,1550,3.9,27.3,2.3,0.8,13.2,0.5,7.7,0.8,43.5,56.5,22.85,34.99,1236,1399,212,10224
Three Rivers Union Elementary (Tulare),Tulare,Elementary School District,146,0.7,1.4,0,2.1,23.3,0,6.2,1.4,65.1,34.9,45.16,51.61,457,2343,100,8264
Tipton Elementary (Tulare),Tulare,Elementary School District,589,0.2,0.7,0.7,0,90,0,0.2,5.4,2.9,97.1,26.81,38.17,480,1194,358,10560
Torrance Unified (Los Angeles),Los Angeles,Unified School District,23496,0.2,29.2,3.9,5,30.2,0.5,7.8,1.4,21.8,78.2,60.82,67.54,455,1031,294,8761
Tracy Joint Unified (San Joaquin),San Joaquin,Unified School District,16237,0.3,11.2,5.9,5.5,51.4,1,3.6,0,21.1,78.9,29.93,41.98,508,914,634,8999
Traver Joint Elementary (Tulare),Tulare,Elementary School District,216,0,2.3,0,0,94,0,0,0,3.7,96.3,15.33,29.33,679,1399,631,10605
Travis Unified (Solano),Solano,Unified School District,5474,0.6,3.8,11.8,10.8,23.7,1,10.9,0.9,36.5,63.5,41.97,57.16,1047,927,362,8626
Tres Pinos Union Elementary (San Benito),San Benito,Elementary School District,125,0.8,0,0,0,29.6,0,1.6,1.6,66.4,33.6,29.67,31.87,347,789,599,8000
Trinidad Union Elementary (Humboldt),Humboldt,Elementary School District,211,6.2,0.5,0,0,11.4,0,12.3,0,69.7,30.3,41.8,52.46,558,1430,579,8762
Trinity Alps Unified (Trinity),Trinity,Unified School District,757,6.3,1.2,0.4,0.1,9.4,0.1,5.9,4.5,72,28,33.05,42.69,1416,1526,1389,9773
Trinity Center Elementary (Trinity),Trinity,Elementary School District,12,0,0,0,0,0,0,0,0,100,0,redacted,redacted,2187,879,1847,19881
Trinity County Office of Education (Trinity),Trinity,County Office of Education (COE),93,6.5,0,4.3,0,22.6,0,8.6,0,58.1,41.9,N/A,N/A,N/A,N/A,N/A,N/A
Trona Joint Unified (San Bernardino),San Bernardino,Unified School District,1206,1.6,2,10.7,0.7,32.6,0.5,4.2,3.1,44.7,55.3,22.9,37.59,17717,2294,6904,13513
Tulare City (Tulare),Tulare,Elementary School District,9494,0.3,1.7,2.6,0.4,78.5,0.1,1.1,0,15.4,84.6,22.09,33.31,716,889,509,9643
Tulare County Office of Education (Tulare),Tulare,County Office of Education (COE),3194,0.8,1.8,1.5,0.5,56.6,0.3,3.1,0.1,35.2,64.8,16.46,26.69,N/A,N/A,N/A,N/A
Tulare Joint Union High (Tulare),Tulare,High School District,5544,0.6,1.2,2.9,0.5,74.4,0.1,0.3,0.9,19.1,80.9,26.75,54.09,621,1012,551,11036
Tulelake Basin Joint Unified (Modoc),Modoc,Unified School District,404,0.2,0.2,0.5,0,77,0,2.2,1.7,18.1,81.9,17.48,34.78,859,2324,693,12972
Tuolumne County Superintendent of Schools (Tuolumne),Tuolumne,County Office of Education (COE),226,1.3,0.4,0.4,2.2,18.1,0,4.9,1.8,70.8,29.2,3.33,10,N/A,N/A,N/A,N/A
Turlock Unified (Stanislaus),Stanislaus,Unified School District,14241,0.7,4.9,2,0.2,57.4,0.6,1.2,1,32,68,29.6,44.92,559,1185,852,9540
Tustin Unified (Orange),Orange,Unified School District,24015,0.2,18.9,1.7,2.1,46.6,0.3,3.7,0.3,26.2,73.8,52.72,62.64,375,1634,587,8484
Twain Harte (Tuolumne),Tuolumne,Elementary School District,266,0.4,0.4,0.4,0,20.3,1.5,2.6,0,74.4,25.6,44.68,54.79,260,1259,296,13798
Twin Hills Union Elementary (Sonoma),Sonoma,Elementary School District,1206,0.5,1.3,0.5,0.2,17.1,0.2,7.8,0.9,71.6,28.4,51.48,68.8,448,918,1345,9541
Twin Ridges Elementary (Nevada),Nevada,Elementary School District,97,0,0,0,0,13.4,0,17.5,0,69.1,30.9,18.75,39.29,1540,907,2136,14445
Twin Rivers Unified (Sacramento),Sacramento,Unified School District,32538,0.8,8.3,13.4,0.9,41.1,1.4,4.2,2.4,27.4,72.6,26.83,35.05,910,1108,824,10669
Two Rock Union (Sonoma),Sonoma,Elementary School District,154,0,0,0,0,46.8,1.9,5.8,0,45.5,54.5,48.65,62.67,4231,1365,1857,8543
Ukiah Unified (Mendocino),Mendocino,Unified School District,6613,5,0.9,0.8,0.5,50.4,0.2,3.3,0.2,38.7,61.3,22.38,33.63,843,1285,1080,9889
Union Elementary (Santa Clara),Santa Clara,Elementary School District,5793,0.2,25.9,1.1,1,16.3,0.3,9,1.3,44.9,55.1,75.06,79.28,253,935,439,7902
Union Hill Elementary (Nevada),Nevada,Elementary School District,706,1,1.1,0.4,0.1,8.5,0.6,3.7,4,80.6,19.4,42.26,45.61,349,956,661,8517
Upland Unified (San Bernardino),San Bernardino,Unified School District,10913,0.4,5.2,8,1.8,56.3,0.4,1.8,1.1,24.9,75.1,38.52,52.92,481,1210,788,8981
Upper Lake Unified (Lake),Lake,Unified School District,838,9.7,0.4,1.4,0.2,30.8,0,4.8,0,52.7,47.3,20.79,27.91,809,1368,703,10310
Vacaville Unified (Solano),Solano,Unified School District,13163,0.6,2.5,5.7,3.3,36.2,0.7,7.7,1.3,41.9,58.1,38.1,50.49,393,939,527,8591
Val Verde Unified (Riverside),Riverside,Unified School District,20244,0.4,1.5,13.7,1.4,75.6,0.4,1.9,0.4,4.9,95.1,27.4,42.01,685,1059,1602,10188
Valle Lindo Elementary (Los Angeles),Los Angeles,Elementary School District,1049,0,5.2,0,0.6,93.2,0,0.1,0,0.9,99.1,41.53,57.61,412,972,907,10477
Vallecito Union (Calaveras),Calaveras,Elementary School District,567,1.2,0.2,0,0.2,16.9,0,6.2,2.5,72.8,27.2,50.53,55.2,588,854,317,11757
Vallecitos Elementary (San Diego),San Diego,Elementary School District,369,0.5,0.3,1.1,0.3,75.9,0,1.6,0,20.3,79.7,38.03,58.57,715,1966,2836,9954
Vallejo City Unified (Solano),Solano,Unified School District,14468,0.4,2.8,27.1,14.5,41.7,2,2.1,2.4,7.2,92.8,19.85,30.26,845,1971,362,10111
Valley Center-Pauma Unified (San Diego),San Diego,Unified School District,4008,8.9,0.8,0.6,0.7,53.5,0.2,4.4,0.2,30.6,69.4,22.76,40.5,921,1015,840,9081
Valley Home Joint Elementary (Stanislaus),Stanislaus,Elementary School District,167,0,0,0,0,38.3,0,0,57.5,4.2,95.8,30.77,41.75,569,463,1197,9293
Ventura County Office of Education (Ventura),Ventura,County Office of Education (COE),3257,0.4,2.1,1.2,1,46.4,0.1,4.9,0,44,56,1.42,3.45,N/A,N/A,N/A,N/A
Ventura Unified (Ventura),Ventura,Unified School District,16813,0.3,2.7,1.1,0.7,52.4,0.2,3.8,0,38.7,61.3,42.44,54.29,497,1034,1001,9055
Victor Elementary (San Bernardino),San Bernardino,Elementary School District,12939,1.1,1.6,19.6,0.9,59.9,0.7,2,0,14.1,85.9,22.83,33.85,738,947,87,9876
