PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Trae Young,ATL,24,1,1,0,12.0,15,5,9,55.6,1,2,50.0,4,4,100,1,1,2,1,0,0,0,0,19,0,0,1
Norman Powell,LAC,29,1,0,1,12.0,13,5,8,62.5,2,4,50.0,1,1,100,0,1,1,2,0,0,0,2,17,0,0,4
Anthony Edwards,MIN,21,1,0,1,11.8,11,2,5,40.0,1,3,33.3,6,6,100,0,3,3,1,2,0,0,1,14,0,0,-6
Devin Booker,PHX,26,1,1,0,12.0,11,5,9,55.6,0,3,0.0,1,1,100,0,1,1,0,0,0,2,0,18,0,0,-4
Tyrese Maxey,PHI,22,1,1,0,12.0,10,4,7,57.1,2,3,66.7,0,0,0.0,0,1,1,2,0,1,0,2,17,0,0,11
Bones Hyland,LAC,22,1,0,1,12.0,9,3,6,50.0,0,1,0.0,3,4,75.0,0,0,0,0,0,1,0,2,12,0,0,4
Marcus Smart,BOS,29,1,0,1,8.1,9,4,8,50.0,1,5,20.0,0,0,0.0,0,1,1,2,0,1,0,0,16,0,0,-8
Al Horford,BOS,36,1,0,1,8.6,8,3,4,75.0,2,3,66.7,0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,-4
Michael Porter Jr.,DEN,24,1,1,0,12.0,8,3,5,60.0,2,3,66.7,0,0,0.0,0,3,3,1,0,1,1,1,19,0,0,3
Obi Toppin,NYK,25,1,1,0,9.8,8,3,6,50.0,1,3,33.3,1,1,100,1,1,2,1,1,3,1,1,23,0,0,-1
Stephen Curry,GSW,35,1,1,0,9.5,8,3,7,42.9,2,4,50.0,0,0,0.0,1,1,2,1,0,0,0,1,12,0,0,10
Dejounte Murray,ATL,26,1,1,0,10.8,7,3,5,60.0,1,1,100,0,0,0.0,0,0,0,0,1,1,0,0,9,0,0,5
Klay Thompson,GSW,33,1,1,0,6.6,7,3,5,60.0,1,3,33.3,0,0,0.0,0,1,1,0,1,0,0,0,7,0,0,4
Caris LeVert,CLE,28,1,0,1,8.3,6,3,6,50.0,0,3,0.0,0,0,0.0,1,0,1,0,1,0,0,1,6,0,0,-9
Christian Braun,DEN,22,1,1,0,5.5,6,3,3,100,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,2,7,0,0,1
Harrison Barnes,SAC,30,1,0,1,9.0,6,2,2,100,2,2,100,0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,-9
Jayson Tatum,BOS,25,1,0,1,9.8,6,2,6,33.3,0,3,0.0,2,3,66.7,1,2,3,2,1,0,0,1,12,1,0,0
Jonathan Kuminga,GSW,20,1,1,0,9.3,6,3,5,60.0,0,1,0.0,0,0,0.0,1,0,1,1,0,1,0,1,12,0,0,2
Kevin Durant,PHX,34,1,1,0,9.2,6,1,4,25.0,0,1,0.0,4,4,100,0,1,1,2,1,0,0,0,9,0,0,-8
Russell Westbrook,LAC,34,1,0,1,9.4,6,2,5,40.0,0,0,0.0,2,2,100,0,4,4,2,1,1,0,1,16,1,0,8
Damion Lee,PHX,30,1,1,0,3.8,5,1,1,100,1,1,100,2,2,100,0,0,0,0,0,0,0,1,5,0,0,0
Darius Garland,CLE,23,1,0,1,6.5,5,2,5,40.0,1,1,100,0,0,0.0,0,0,0,1,0,2,0,1,13,0,0,-7
Jalen Brunson,NYK,26,1,1,0,8.3,5,2,3,66.7,0,0,0.0,1,1,100,0,0,0,2,1,0,0,1,7,0,0,9
Joel Embiid,PHI,29,1,1,0,12.0,5,2,5,40.0,0,1,0.0,1,1,100,0,5,5,1,3,0,1,2,13,1,0,11
Josh Hart,NYK,28,1,1,0,8.3,5,2,2,100,1,1,100,0,0,0.0,1,2,3,0,1,1,0,0,11,0,0,9
Karl-Anthony Towns,MIN,27,1,0,1,12.0,5,2,2,100,1,1,100,0,0,0.0,0,1,1,0,0,1,0,1,9,0,0,-3
Keegan Murray,SAC,22,1,0,1,5.9,5,2,5,40.0,1,3,33.3,0,0,0.0,2,0,2,0,0,1,0,2,10,0,0,5
Terance Mann,LAC,26,1,0,1,12.0,5,2,2,100,1,1,100,0,0,0.0,0,2,2,2,0,1,0,3,13,0,0,4
Torrey Craig,PHX,32,1,1,0,6.5,5,1,1,100,1,1,100,2,2,100,1,0,1,0,0,0,0,4,6,0,0,-3
Aaron Gordon,DEN,27,1,1,0,6.2,4,1,1,100,0,0,0.0,2,2,100,0,1,1,0,0,0,0,1,5,0,0,2
Chris Paul,PHX,37,1,1,0,12.0,4,2,8,25.0,0,3,0.0,0,2,0.0,2,3,5,2,1,0,1,2,15,0,0,-4
De'Anthony Melton,PHI,24,1,1,0,12.0,4,2,2,100,0,0,0.0,0,0,0.0,1,0,1,1,1,3,0,0,15,0,0,11
Domantas Sabonis,SAC,26,1,0,1,7.0,4,2,4,50.0,0,1,0.0,0,0,0.0,0,1,1,0,1,1,0,1,7,1,0,-8
Eric Gordon,LAC,34,1,0,1,9.1,4,1,1,100,0,0,0.0,2,2,100,0,0,0,1,0,0,1,0,9,0,0,8
Immanuel Quickley,NYK,23,1,1,0,7.3,4,1,2,50.0,1,1,100,1,2,50.0,0,1,1,1,0,0,0,0,7,0,0,6
Mikal Bridges,BKN,26,1,0,1,12.0,4,1,5,20.0,0,0,0.0,2,2,100,0,1,1,1,0,1,0,1,10,0,0,-11
Nic Claxton,BKN,24,1,0,1,3.2,4,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,5,0,0,-1
Nikola Jokic,DEN,28,1,1,0,12.0,4,2,3,66.7,0,0,0.0,0,0,0.0,0,2,2,2,1,0,0,0,8,1,1,3
Robin Lopez,CLE,35,1,0,1,3.7,4,1,1,100,0,0,0.0,2,2,100,1,0,1,0,1,0,0,2,4,0,0,6
De'Andre Hunter,ATL,25,1,1,0,9.7,3,1,2,50.0,0,1,0.0,1,2,50.0,0,0,0,0,1,0,0,2,2,0,0,5
Donte DiVincenzo,GSW,26,1,1,0,8.6,3,1,3,33.3,1,2,50.0,0,0,0.0,1,2,3,3,1,2,0,0,16,0,0,5
Dorian Finney-Smith,BKN,29,1,0,1,8.8,3,1,3,33.3,1,3,33.3,0,0,0.0,0,1,1,0,0,0,0,2,4,0,0,-10
Georges Niang,PHI,29,1,1,0,6.7,3,1,2,50.0,1,1,100,0,0,0.0,0,1,1,0,0,0,0,0,4,0,0,3
Isaiah Hartenstein,NYK,24,1,1,0,6.1,3,1,2,50.0,0,0,0.0,1,2,50.0,1,2,3,0,1,0,0,1,6,0,0,-7
Jamal Murray,DEN,26,1,1,0,6.5,3,0,2,0.0,0,1,0.0,3,4,75.0,0,1,1,2,0,2,0,0,13,0,0,2
