PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,TPM,3PA,TPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PM,OFFRTG,DEFRTG,NETRTG,ASTP,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOR,EFGP,TSP,USGP,PACE,PIE,ALLSTAR
SUGAR RODGERS,LVA,29,16,11,5,13.9,3,1.1,3.5,30.4,0.8,2.6,31,0.1,0.1,50,0.2,2,2.2,1.3,1,0.3,0.4,1.3,8.7,0,0,-0.4,93.5,93.6,-0.1,14.9,1.31,22.3,1.3,13.5,7.4,17,42,42.2,13.7,100.98,4.9,NON-ALLSTAR
STEPHANIE TALBOT,MIN,25,16,10,6,15,4.6,1.4,4.1,35.4,0.9,2.8,33.3,0.8,0.9,85.7,0.6,1.4,2,1.1,1.1,0.6,0.3,1,10.1,0,0,0,91.9,91.8,0.2,11.2,0.94,16,4,9.4,6.6,17,46.9,51.3,15.7,97.12,7.3,NON-ALLSTAR
STEPHANIE MAVUNGA,IND,24,13,5,8,8,1.9,0.8,1.7,45.5,0,0.1,0,0.4,0.5,71.4,0.9,1.2,2.1,0.2,0.4,0.2,0.3,1.5,6,0,0,1.9,106.6,94.8,11.8,4.1,0.6,9.1,11.8,12.6,12.2,15.2,45.5,49.8,12.2,97.86,4.8,NON-ALLSTAR
STEFANIE DOLSON,CHI,27,17,9,8,24.6,8.9,3.4,6.4,53.2,1,2.5,39.5,1.1,1.1,100,1,4.3,5.3,1.8,2,0.5,0.6,3.1,19.3,0,0,1.1,100.7,97.5,3.2,11.5,0.91,16.9,4.3,15.3,10.3,18.6,61,64.6,16.2,96.78,9.4,NON-ALLSTAR
SOPHIE CUNNINGHAM,PHO,22,13,7,6,11.2,2.8,0.8,2.2,35.7,0.4,1.2,31.3,0.8,1,84.6,0.2,1.5,1.8,0.8,0.7,0.2,0.2,1.6,6.6,0,0,0.2,95.1,91.8,3.3,12.8,1.22,20.4,2.2,11.8,7.5,16.7,44.6,53.4,13.4,94.69,5.8,NON-ALLSTAR
SHEY PEDDY,WAS,30,8,5,3,3.1,0.9,0.1,0.5,25,0.1,0.4,33.3,0.5,0.5,100,0.1,0.5,0.6,0.4,0.3,0.3,0,0.3,2.7,0,0,1.3,88.7,72.5,16.1,20,1.5,30,4.3,12.5,9.1,20,37.5,60.8,12.5,101.81,16.1,NON-ALLSTAR
SHENISE JOHNSON,IND,28,10,3,7,11,3.3,1.2,4.1,29.3,0.3,1.4,21.4,0.6,0.7,85.7,0.6,1.4,2,0.8,0.5,0.3,0.1,0.8,7.6,0,0,-1.1,89.9,97.3,-7.4,13.6,1.6,14,5.5,11.8,8.7,8.8,32.9,37.4,18.4,97.88,6.5,NON-ALLSTAR
SHEKINNA STRICKLEN,CON,28,17,11,6,23.3,9.2,3.1,7.8,40.2,2.5,6.2,40,0.5,0.5,88.9,0.2,1.4,1.6,1,0.8,0.9,0.4,2.2,15.6,0,0,5.3,102.3,90.6,11.7,6.7,1.21,10.2,0.7,6.2,3.2,8.4,56.1,57.4,15.9,95.58,6.5,NON-ALLSTAR
SHAVONTE ZELLOUS,SEA,32,15,8,7,16.2,5.3,1.9,4.9,39.2,0.3,1.4,19,1.1,1.6,70.8,0.1,1.6,1.7,1.5,1.2,0.3,0.3,1.7,10.1,0,0,-3.9,83.9,96.9,-13,18.8,1.22,17.6,0.8,9.6,5.1,14.4,41.9,46.7,18.7,94.69,6.1,NON-ALLSTAR
SHATORI WALKER-KIMBROUGH,WAS,24,15,9,6,18.6,7.7,2.6,5.6,46.4,0.3,1.5,21.7,2.1,2.3,91.4,0.7,1.7,2.4,1.3,1.4,1.1,0.3,1.1,15.1,0,0,3.5,104,94.8,9.1,11.4,0.95,14.1,3.7,8.9,6.4,14.8,49.4,57.8,18.2,100.08,10.9,NON-ALLSTAR
