PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,TPM,3PA,TPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PM,OFFRTG,DEFRTG,NETRTG,ASTP,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOR,EFGP,TSP,USGP,PACE,PIE,ALLSTAR
KAYLA THORNTON,DAL,26,16,5,11,30.7,11.2,4,11.4,35.2,1.1,4.3,25,2.1,2.3,94.4,2,3.8,5.8,2.1,1.5,1.1,0.4,1.9,24,1,0,-2.8,94.7,99.4,-4.6,12.8,1.38,12.9,6.2,12.7,9.3,9.4,39.8,45.2,20.1,90.72,9.5,NON-ALLSTAR
KAYLA MCBRIDE,LVA,27,16,11,5,29.3,15.4,5.3,10.9,48,1.8,3.9,46.8,3.1,3.3,92.5,0.7,4.1,4.8,2.6,2,1.2,0.1,1.2,26.7,0,0,5.8,99.7,90.6,9.1,14.4,1.28,15.3,2.2,11.9,7.3,11.9,56.3,62,19.9,101.7,14.4,ALLSTAR
KATIE LOU SAMUELSON,CHI,22,4,2,2,11.7,1.8,0.5,1.8,28.6,0.3,1.5,16.7,0.5,0.5,100,0,1.3,1.3,0.8,0.3,0.5,0.3,1,6.4,0,0,-2,99.1,104.5,-5.5,7.7,3,25,0,10.4,5.2,8.3,35.7,44.4,7.4,111.77,4,NON-ALLSTAR
KARIMA CHRISTMAS-KELLY,MIN,29,6,2,4,12,2.7,0.8,3,27.8,0.5,1.8,27.3,0.5,0.8,60,0.2,0.7,0.8,1,0.7,0.8,0.2,1.3,7.5,0,0,-1.3,100.6,104.5,-3.8,10.7,1.5,20,1.6,6.2,3.9,13.3,36.1,39.6,14.4,103.62,1.8,NON-ALLSTAR
KALEENA MOSQUEDA-LEWIS,SEA,25,17,10,7,15.3,6.5,2.5,5.6,43.8,1,2.6,37.8,0.5,0.5,100,0.3,1,1.3,0.8,1.4,0.4,0.1,1.5,9.3,0,0,-3.7,88.4,100.8,-12.3,9.8,0.54,9.6,1.9,6.6,4.3,17.6,52.6,55,20.3,98.56,5.8,NON-ALLSTAR
KALANI BROWN,LAS,22,15,9,6,14.9,5.5,2.1,4.7,43.7,0,0,0,1.3,1.6,83.3,1.5,2.3,3.8,0.5,1.2,0.3,0.7,1.7,12.6,0,0,-3.3,86.3,95,-8.7,6.7,0.44,7.5,8.9,14.5,11.6,16.8,43.7,50.3,18.2,100.84,9.2,NON-ALLSTAR
KAHLEAH COPPER,CHI,24,17,9,8,16.1,7.7,2.7,6.6,40.7,0.5,1.5,36,1.8,2.3,76.9,0.2,1.6,1.8,1,1.1,0.4,0.1,1.7,11.9,0,0,2.1,94.1,88.1,6,11.3,0.94,10.2,1.1,8.9,5.2,10.8,44.7,50.3,22.8,100.54,8.1,NON-ALLSTAR
KAELA DAVIS,DAL,24,16,5,11,17.3,6.8,2.8,7.1,38.6,0.6,1.2,47.4,0.7,0.8,84.6,0.6,1.5,2.1,2,2.3,0.4,0.2,1.9,11.9,0,0,-2.2,92.6,98.5,-5.9,21.3,0.89,17.2,3.4,8.7,6,19.4,42.5,45.1,23.7,94.23,5,NON-ALLSTAR
JORDIN CANADA,SEA,23,15,8,7,29.9,10.4,3.9,10.3,37.7,0.4,1.9,20.7,2.3,3.1,73.9,0.6,2.4,3,5.5,2.6,2.9,0.3,1.6,29,1,0,6,100.6,90.4,10.2,29.3,2.1,27.8,2,8.7,5.2,13.2,39.6,44.8,20.6,94.88,10.8,NON-ALLSTAR
JONQUEL JONES,CON,25,17,11,6,29.9,15.7,5.8,12.2,47.1,1.4,4.4,30.7,2.8,3.7,76.2,3.1,7.2,10.3,1.2,2.3,1.1,2.4,2.5,37.9,8,0,5.3,101,91.8,9.1,7.1,0.51,6.8,9.5,24.1,16.5,13.2,52.6,56.6,23.1,94.97,16.4,ALLSTAR
JISU PARK,LVA,20,11,7,4,6.7,0.7,0.3,1.7,15.8,0,0.1,0,0.2,0.5,33.3,0.6,0.7,1.4,0.2,0.3,0.5,0.3,0.8,4.5,0,0,-0.3,79.6,80.5,-0.9,5.4,0.67,7.4,8.5,9.5,9,11.1,15.8,18.5,14,102.59,-2.6,NON-ALLSTAR
JEWELL LOYD,SEA,25,12,7,5,29.7,15.8,5.6,14.4,38.7,1.4,4.7,30.4,3.2,3.3,95,0.5,2.6,3.1,2.5,2.3,1.8,0.2,1.2,27,0,0,3.9,98,91.3,6.7,15.8,1.11,12.2,1.7,9.4,5.4,11,43.6,49.6,26.5,94.41,12,NON-ALLSTAR
JESSICA SHEPARD,MIN,22,6,4,2,18.7,4.8,1.8,4.8,37.9,0.2,1.2,14.3,1,1.3,75,1.5,4.2,5.7,3.5,2.5,0.3,0.2,1.5,15.9,0,0,5.3,98.7,84.8,13.9,30,1.4,30.4,8.1,21.4,14.9,21.7,39.7,44.6,17.8,95.37,12.6,NON-ALLSTAR
JESSICA BRELAND,ATL,31,16,5,11,22.7,7.1,2.9,8.1,36.4,0.1,0.6,11.1,1.2,1.4,82.6,1.4,5.6,6.9,1.7,1.6,1.3,1.1,1.6,23.5,0,0,-4.1,88.5,97.5,-9,14.7,1.08,14.1,5.4,22.1,13.6,13,36.8,41,19.5,94.52,12.7,NON-ALLSTAR
JASMINE THOMAS,CON,29,17,11,6,29.8,11.2,4.1,10.9,37.6,1.3,3.7,34.9,1.7,2.1,80.6,0.5,2.4,2.9,5.5,2.6,1.6,0.1,1.6,25.6,1,0,3.5,99.6,93.3,6.3,30.4,2.07,27.4,1.6,8.5,4.8,13.2,43.5,47.3,20.7,95.25,10.2,NON-ALLSTAR
JANTEL LAVENDER,CHI,30,17,9,8,27.3,9.7,4.4,8.8,50.3,0.3,1.1,26.3,0.6,0.6,90.9,1.9,4.9,6.8,1.1,1.5,0.3,0.7,1.5,21,2,0,-1.4,96.3,99.3,-3,6.7,0.73,9.5,6.8,16.2,11.8,13.1,52,53.6,16.4,99.35,10.4,NON-ALLSTAR
JAMIERRA FAULKNER,CHI,27,1,1,0,6.7,2,1,2,50,0,0,0,0,0,0,0,1,1,1,3,0,0,1,1.7,0,0,-9,56.3,112.5,-56.3,50,0.33,16.7,0,20,10,50,50,50,31.3,114.91,-6.7,NON-ALLSTAR
JACKIE YOUNG,LVA,21,16,11,5,22.2,5.6,2.1,6.5,32.7,0.4,1.2,31.6,1,1.4,69.6,0.6,2.6,3.2,4.5,1.3,1.1,0.3,1.6,19,0,0,3.5,99.1,91.2,7.8,29.3,3.43,34.8,2.4,10.1,6.5,10.1,35.6,39.4,15.8,101.53,8.2,NON-ALLSTAR
ISABELLE HARRISON,DAL,25,13,3,10,24.3,7.8,2.8,6.7,42.5,0,0.3,0,2.1,2.7,77.1,1.7,2.8,4.5,1.5,1.7,0.8,1.2,1.8,19.9,0,0,-2.3,94.2,98.4,-4.1,11,0.86,13.3,6.9,11.7,9.3,15.4,42.5,49.3,17.6,92.33,8.7,NON-ALLSTAR
IMANI MCGEE-STAFFORD,DAL,24,16,5,11,10.4,3.6,1.7,3.6,47.4,0,0,0,0.3,0.5,50,1.4,1.9,3.3,0.2,1.4,0.6,0.5,1.8,9.9,0,0,-1.2,94.5,98.8,-4.3,3.4,0.14,3.5,11.5,20.4,15.4,25.6,47.4,47.9,20.3,94.59,6.9,NON-ALLSTAR
HAN XU,NYL,19,9,1,8,8,3,1.3,2.8,48,0.2,0.6,40,0.1,0.2,50,0.1,0.9,1,0.2,0,0.2,0.2,0.4,5.9,0,0,1.9,98.7,87.5,11.2,4.9,0,7.1,1.3,11.3,6.1,0,52,52.2,14.8,101.39,9.4,NON-ALLSTAR
HALEY PETERS,ATL,26,4,0,4,6.6,0.5,0,1.8,0,0,0,0,0.5,0.5,100,0.3,0.3,0.5,0.3,1,0.3,0.3,0.8,2,0,0,-4.3,81.1,107.1,-26,6.3,0.25,7.7,3,3.8,3.4,30.8,0,12.7,17.9,98.87,-11.4,NON-ALLSTAR
GLORY JOHNSON,DAL,28,10,2,8,24.6,7.7,3.2,7.5,42.7,1.1,2.7,40.7,0.2,0.6,33.3,1.6,4.9,6.5,1.3,1.3,1.8,0.3,1.6,22.5,0,0,-4.4,88.9,98.7,-9.8,9.8,1,12.5,6.1,20.2,12.9,12.5,50,49.6,16.5,91.66,13.1,NON-ALLSTAR
GABBY WILLIAMS,CHI,22,17,9,8,16.3,6.2,2.6,6.2,41.5,0.2,1.4,13,0.9,1.2,71.4,0.4,1.5,1.9,2.1,1.4,0.6,0.2,1.2,12.8,0,0,1.3,91.2,88.7,2.6,22.9,1.5,20.5,2.5,8,5.5,13.6,42.9,46,21.2,100.17,9.4,NON-ALLSTAR
ESSENCE CARSON,PHO,32,15,7,8,21,6,2.1,6.1,34.1,0.5,1.9,28.6,1.3,1.5,90.9,0.5,1.9,2.3,1.6,0.7,0.6,0.5,1.3,13.7,0,0,-1.2,95.3,99.5,-4.2,12.8,2.4,17.9,2.3,8.9,5.6,7.5,38.5,44.7,16,93.2,7.1,NON-ALLSTAR
ERICA WHEELER,IND,28,18,6,12,25.7,11.6,4.4,9.6,45.9,1.4,3.6,40,1.4,1.5,92.6,0.1,2.5,2.6,5.5,3.2,1.1,0.3,2.5,23.8,0,0,0.8,97.4,96.3,1.1,37.6,1.71,29,0.4,9.2,5,17,53.5,56.8,23.4,92.16,13.1,NON-ALLSTAR
ERICA MCCALL,IND,23,8,3,5,7.7,1.3,0.4,1.9,20,0,0,0,0.5,0.5,100,1,1.4,2.4,0.4,0.3,0,0.1,0.6,4.8,0,0,1.5,110.9,98.5,12.5,6.4,1.5,14.3,11.8,15.7,13.8,9.5,20,29.8,11.5,101.19,4.4,NON-ALLSTAR
EMMA MEESSEMAN,WAS,26,4,2,2,24.9,13.8,6.5,11,59.1,0,1,0,0.8,1.5,50,2.3,2.8,5,2.3,0.3,1.3,0.8,1.5,28.9,0,0,5.8,109,98,11,15.3,9,15.8,8.3,10.4,9.3,1.8,59.1,59,19.9,96.8,17.4,NON-ALLSTAR
ELIZABETH WILLIAMS,ATL,26,16,5,11,28.7,9.2,3.2,7.2,44.3,0,0,0,2.8,3.9,71.4,2.9,3.6,6.4,0.9,1.4,0.8,1.8,2.1,24.8,0,0,-5,89.8,98.4,-8.7,6.3,0.65,8.3,9.2,10.9,10.1,12.7,44.3,51.5,15.9,93.12,10.2,NON-ALLSTAR
ELENA DELLE DONNE,WAS,29,12,9,3,27.4,15.8,6.2,13.5,45.7,1.4,4.1,34.7,2,2.1,96,1.5,6.7,8.2,2.3,1.2,0.8,1.2,1.1,33.6,3,0,9.6,109.7,91,18.7,14.6,2,13.1,5.5,23.6,14.7,6.5,50.9,54.6,25.4,93.79,18.7,NON-ALLSTAR
DIANA TAURASI,PHO,37,1,0,1,16,5,0,4,0,0,3,0,5,6,83.3,0,3,3,4,1,0,0,2,13.6,0,0,-4,82.4,94.1,-11.8,44.4,4,36.4,0,13.6,8.3,9.1,0,37.7,19.4,102.21,8.8,NON-ALLSTAR
DIAMOND DESHIELDS,CHI,24,17,9,8,29.2,14.8,5.4,14.1,37.9,1.6,4.5,35.5,2.5,3,82.4,0.8,4.8,5.6,2.3,2.1,1.3,0.4,2.4,27.9,0,0,-2.2,95.1,98.7,-3.6,14.1,1.11,11.7,2.8,14.3,8.9,10.5,43.5,47.8,25.5,98.87,10.1,ALLSTAR
DEARICA HAMBY,LVA,25,16,11,5,19.6,9.7,3.9,7.6,51.2,0.4,1.3,28.6,1.6,2.1,73.5,1.7,4.8,6.4,1.5,1.8,1,0.5,1.8,22.4,3,0,6.7,100.1,83.6,16.5,13,0.83,12.7,8.2,20.1,14.5,15.3,53.7,57,21.2,103.13,17,NON-ALLSTAR
DEWANNA BONNER,PHO,31,15,7,8,33.8,19.4,6.6,16.3,40.6,2.1,6.7,31.7,4.1,4.3,93.8,1.5,6.3,7.7,2.7,1.5,1.5,0.6,1.4,37.3,3,0,0.8,98.3,96.3,2,15.7,1.74,12,4.5,17.4,11.3,6.9,47.1,53.4,27.1,91.32,17.8,ALLSTAR
DANIELLE ROBINSON,MIN,30,17,10,7,28,10.1,4,10.2,39.3,0.5,2.2,21.6,1.6,1.8,87.1,0.7,2.9,3.6,3.6,2.1,1.2,0.4,1.7,22.4,1,0,3.4,95.7,89.4,6.3,22.5,1.72,21.8,2.5,10.5,6.6,12.7,41.6,45.8,20.3,95.51,10,NON-ALLSTAR
DAMIRIS DANTAS,MIN,26,11,6,5,29,10.3,3.6,8.6,42.1,1.8,4.3,42.6,1.2,1.7,68.4,1.5,3.5,5.1,3.2,2.1,0.9,0.5,2.9,23.4,0,0,2.7,95.9,91.7,4.2,19.2,1.52,21.9,5.8,12.3,9.2,14.4,52.6,54.7,17.2,94.71,10.4,NON-ALLSTAR
CRYSTAL LANGHORNE,SEA,32,18,10,8,18,5.6,2,4.7,42.9,0.6,1.2,45.5,1,1.3,75,0.8,2.2,3.1,1.2,1.3,0.3,0.3,0.8,11.8,0,0,-3.8,86.8,98.3,-11.5,12.5,0.96,15.7,4.4,12.3,8.3,16.4,48.8,52.9,15.6,97.26,8.9,NON-ALLSTAR
COURTNEY WILLIAMS,CON,25,17,11,6,28.4,11.1,4.5,11.8,38,0.5,1.1,44.4,1.6,2.2,75.7,1.2,4.5,5.6,3.2,1.4,1,0.4,1.5,25.5,1,0,2.7,97.5,92.3,5.2,19.8,2.29,18.5,3.7,16.1,9.5,8.1,40,43.5,21.2,95.53,11.1,NON-ALLSTAR
COURTNEY VANDERSLOOT,CHI,30,17,9,8,29.2,9.4,3.6,8.8,40.9,0.9,3,31.4,1.3,1.6,81.5,0.6,3.8,4.4,8.1,3.1,1.3,0.4,1.6,28.9,2,0,0.4,101.7,101.9,-0.2,40.6,2.6,39.1,2.1,12,7.4,15,46.3,49.7,18.8,97.7,11.9,ALLSTAR
COURTNEY PARIS,SEA,31,14,8,6,6.3,0.6,0.3,0.5,57.1,0,0,0,0,0.3,0,0.6,1.1,1.7,0.3,0.4,0.4,0.1,0.4,4.1,0,0,-2.5,86.8,109.3,-22.4,7.1,0.67,21.1,9.6,20,14.7,31.6,57.1,45.7,7.2,101.23,6,NON-ALLSTAR
CHLOE JACKSON,CHI,22,5,2,3,4.9,0.8,0.4,1.6,25,0,0,0,0,0.8,0,0.2,0.4,0.6,0.6,0.6,0.8,0,0.2,4.2,0,0,-2,72.7,92.6,-19.9,25,1,18.8,3.2,7.7,5.3,18.8,25,20.5,20.3,106.34,-0.9,NON-ALLSTAR
CHINEY OGWUMIKE,LAS,27,16,9,7,26.3,11.3,4.9,10.2,47.9,0.1,0.2,33.3,1.4,1.9,76.7,3.4,3.8,7.2,1,1.4,1.3,1,3.3,26.8,3,0,-0.5,94.8,95,-0.3,6.8,0.73,7.5,11.4,13.7,12.5,10.4,48.2,51.1,19.2,98.21,11.1,ALLSTAR
CHEYENNE PARKER,CHI,26,17,9,8,19.3,7.9,2.9,6.4,45.4,0.1,0.5,22.2,2.1,2.3,89.7,1.6,3.9,5.5,0.9,1.4,0.8,1.4,2.4,21.2,2,0,-0.3,93.8,94.7,-0.9,8.2,0.63,9.1,8.7,18,13.7,14.5,46.3,53.9,19.5,99.65,13.4,NON-ALLSTAR
CHELSEA GRAY,LAS,26,16,9,7,30.9,13.2,5,12.4,40.2,1.2,3.4,35.2,2,2.1,97,0.6,3.4,4,5.6,2.8,0.9,0.1,1.2,26.6,1,1,1.4,97.2,95.2,2,30.8,2,25.9,1.6,10.4,5.9,13,45,49.4,22.1,96.67,12.3,ALLSTAR
CAROLYN SWORDS,LVA,29,14,9,5,7.2,1.9,0.7,1.9,37,0,0,0,0.4,0.4,100,0.5,1.3,1.8,0.4,0.7,0.1,0.2,0.9,5,0,0,-3.4,79.6,100,-20.4,11.5,0.6,13,5.8,16.5,10.9,21.7,37,43.9,15.7,103.16,5.2,NON-ALLSTAR
CANDICE DUPREE,IND,34,18,6,12,31.7,11.7,5.2,10.9,48,0,0.1,0,1.2,1.5,81.5,0.9,4.9,5.8,2.3,1.5,0.4,0.6,0.9,23.5,3,0,-3.6,94.4,100.5,-6,13.6,1.56,15.2,2.8,15,9,9.7,48,50.5,18.4,92.41,12.6,ALLSTAR
CANDACE PARKER,LAS,33,7,3,4,23.4,8,2.7,8.6,31.7,0.7,2.6,27.8,1.9,2.4,76.5,0.9,5.6,6.4,2.7,3,1,0.6,1,21.5,1,0,0,97.3,96.4,0.9,18.8,0.9,17.8,3.7,22.4,13.3,19.6,35.8,41.5,23.7,98.11,9.3,NON-ALLSTAR
CAMILLE LITTLE,PHO,34,10,5,5,11,1.9,0.7,1.9,36.8,0,0.3,0,0.5,0.6,83.3,0.5,1.5,2,0.6,0.6,0.2,0.2,1,5.8,0,0,2,102.4,93.2,9.2,8.8,1,18.2,5.2,13.6,9.7,18.2,36.8,43.9,11.8,90.54,5.3,NON-ALLSTAR
BROOKE MCCARTY-WILLIAMS,DAL,23,16,5,11,15.4,2.4,0.8,3.4,23.6,0.6,1.8,32.1,0.3,0.3,80,0.4,1.1,1.5,2.6,1,0.6,0.1,1.1,9.1,0,0,-1.3,87.6,92.7,-5.1,28.7,2.56,36.3,2.2,7.6,4.7,14.2,31.8,34.1,12.7,94.1,5.6,NON-ALLSTAR
BRITTNEY SYKES,ATL,25,16,5,11,26.3,10.9,4.1,10.7,38,0.9,3.4,25.9,1.9,2.8,68.9,0.9,3.6,4.5,2.4,2.1,0.6,0.7,1.7,21.7,1,0,-2.8,90.4,97,-6.6,18.1,1.12,14.5,3,12.2,7.6,13,42.1,45.9,22.8,93.34,9.8,NON-ALLSTAR
BRITTNEY GRINER,PHO,28,15,7,8,34.8,18.8,8,15.3,52.4,0,0,0,2.8,3.6,77.8,2,5.1,7.1,2,2.9,0.8,2.1,3.1,36.3,2,0,-0.8,96.1,97.2,-1.1,12.6,0.7,9.3,5.8,13.9,10,13.3,52.4,55.8,26.3,91.97,14.2,ALLSTAR
BRITTANY BOYD,NYL,26,17,7,10,23.7,6.1,2.5,6.5,39.1,0.2,0.8,21.4,0.9,1.1,83.3,0.5,3.1,3.5,5.5,2.9,1.8,0.1,2.1,21.4,0,0,-7.4,92.3,106.5,-14.2,37.6,1.92,36.2,1.9,12.9,7.2,18.8,40.5,44.1,17.5,99.82,9.2,NON-ALLSTAR
BRIONNA JONES,CON,23,14,10,4,7.3,2.3,0.7,2.1,33.3,0,0.1,0,0.9,1.6,54.5,1.6,0.6,2.2,0.3,0.6,0.2,0.4,1.1,6.4,0,0,-3.2,83.3,105.3,-21.9,8,0.44,7.4,15.4,9.5,13,16.7,33.3,40.3,18.1,97.9,2.9,NON-ALLSTAR
BRIDGET CARLETON,CON,22,4,2,2,7.1,0,0,1.5,0,0,0.5,0,0,0,0,0.3,0.5,0.8,0.3,0.3,0,0,0.5,1,0,0,-2.8,85.7,107.3,-21.6,5.9,1,12.5,2.8,7.7,4.8,12.5,0,0,9.6,93.47,-6.4,NON-ALLSTAR
BRIANNA TURNER,PHO,23,11,4,7,2.5,0.4,0.2,0.5,33.3,0,0,0,0,0,0,0.4,0.5,0.9,0.1,0.2,0.1,0,0.5,1.7,0,0,-1.8,58.9,89.8,-30.9,7.7,0.5,11.1,13.3,20,16.7,22.2,33.3,33.3,12.9,101.3,5.8,NON-ALLSTAR
BRIANN JANUARY,PHO,32,15,7,8,30.5,7.5,2.7,6.4,42.7,1.1,2.9,37.2,1,1.1,88.2,0.2,1.5,1.7,3.5,1.7,1.2,0.1,2.1,16.9,0,0,0.7,97.5,96.1,1.4,18.2,2.08,28.7,0.7,4.8,2.8,13.8,51,54.6,13.1,91.69,6.9,NON-ALLSTAR
BRIA HOLMES,CON,25,17,11,6,13.3,4.4,1.7,4.2,40.8,0.2,1.1,21.1,0.8,1.2,61.9,0.5,1.2,1.6,0.7,0.6,0.5,0.3,0.9,9.3,0,0,-2.9,90.8,99.6,-8.8,9.6,1.2,11.7,3.4,9.1,6.2,9.7,43.7,46.7,16.8,97.4,7.3,NON-ALLSTAR
BRIA HARTLEY,NYL,26,7,1,6,23.7,9.3,2.4,8.6,28.3,0.7,2.7,26.3,3.7,4.3,86.7,1.3,3.3,4.6,4.4,2,1.3,0,1.4,23.3,0,0,-5.9,92.2,101.7,-9.5,33,2.21,26.1,5,13.1,9,11.8,32.5,44.4,21.6,101.54,12.1,NON-ALLSTAR
BLAKE DIETRICK,SEA,25,9,4,5,7.6,0.4,0,0.7,0,0,0.4,0,0.4,0.7,66.7,0.1,0.3,0.4,0.9,0.4,0.3,0,0.9,2.9,0,0,-2.6,78.5,94.9,-16.3,21.1,2,40,1.5,4.5,3,20,0,23.1,7.9,95.12,-0.9,NON-ALLSTAR
BETNIJAH LANEY,IND,25,18,6,12,28.5,6.1,2.6,7,37.3,0.6,2.2,28.2,0.3,0.6,50,1.5,3.9,5.4,1.6,1.6,1.8,0.2,1.5,19.2,0,0,-0.1,97.9,97.8,0.1,8.8,1,15.3,5.2,13,9.2,15.3,41.7,42.2,14,92.26,7.7,NON-ALLSTAR
AZURÁ STEVENS,DAL,23,9,3,6,16,4.8,2.1,5.9,35.8,0.1,1,11.1,0.4,0.6,80,1.7,1.9,3.6,0.6,1,0.6,1.1,1.3,13.9,0,0,-8,72.9,99.6,-26.7,9.1,0.56,7.2,9,10.9,9.9,13,36.8,38.9,18.7,94.96,7.6,NON-ALLSTAR
AVERY WARLEY-TALBERT,NYL,29,3,2,1,11.8,1,0.3,1.7,20,0,0,0,0.3,0.7,50,1,1.3,2.3,0,1.3,0,0.7,2.3,4.5,0,0,-0.3,103.2,100,3.2,0,0,0,8.8,12.1,10.4,40,20,25.5,13.2,87.8,-7.1,NON-ALLSTAR
ASTOU NDOUR,CHI,24,4,3,1,7.2,3,1.3,2,62.5,0.5,0.5,100,0,0,0,0,0.8,0.8,0,0.3,0.3,0.3,1,5.2,0,0,-3,83.1,98.4,-15.3,0,0,0,0,8.6,4.8,11.1,75,75,14.5,100.25,9.9,NON-ALLSTAR
ASIA TAYLOR,MIN,27,5,4,1,8.2,3.8,1.6,3,53.3,0,0,0,0.6,0.8,75,0.4,0.8,1.2,1,0.6,0,0.2,0.8,6.7,0,0,-4.8,76.3,98.8,-22.5,31.3,1.67,20,5,7.8,6.6,12,53.3,56.7,22.5,92.53,14.3,NON-ALLSTAR
ASIA DURR,NYL,22,14,6,8,29.6,11.1,4.5,9.6,46.7,1,3.2,31.1,1.1,1.4,80,0.2,1.4,1.6,1.8,1.4,0.7,0.5,2.2,17.9,0,0,-5.9,93.9,102.1,-8.2,10.3,1.25,13.2,0.7,4.4,2.5,10.6,51.9,54.2,16.7,99.14,6.6,NON-ALLSTAR
ASHLEY WALKER,LAS,32,3,2,1,7.5,0.7,0.3,3.7,9.1,0,1.7,0,0,0,0,0.7,0.3,1,1,0,0.3,0,1.3,4.4,0,0,-4.3,81.6,115.2,-33.6,25,0,21.4,7.7,5.6,6.8,0,9.1,9.1,18.3,101.47,-9.9,NON-ALLSTAR
ARIKE OGUNBOWALE,DAL,22,15,5,10,27.9,15.1,5.3,14.9,35.7,1.6,5.1,31.6,2.8,3.4,82.4,0.6,1.9,2.5,2.1,1.3,0.9,0.1,2,22.9,0,0,-4.1,90.7,98.9,-8.2,16.1,1.63,10.4,1.9,6.8,4.2,6.4,41.1,45.9,27.3,93.2,8.3,ALLSTAR
ARIEL ATKINS,WAS,22,15,9,6,24.2,11.7,4.2,10.3,40.9,1.6,4.5,35.3,1.7,1.9,89.3,0.7,2.2,2.9,1.5,0.7,1.7,0.7,1.9,23.8,0,0,5.1,104.9,94,10.9,9.6,2,11.1,2.8,8.5,5.8,5.5,48.7,52.6,21.9,94.71,10.7,NON-ALLSTAR
ARICA CARTER,PHO,22,2,1,1,3.8,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,1.5,-0.5,0,0,-5.5,37.5,113.3,-75.8,0,0,0,0,0,0,50,0,0,11.1,97.89,-35.7,NON-ALLSTAR
ANRIEL HOWARD,SEA,22,3,1,2,6.5,1.7,0.7,1.7,40,0.3,0.7,50,0,0,0,0.7,0.3,1,0,0.7,0.3,0,1.3,3.2,0,0,-2.3,61,82.1,-21.1,0,0,0,9.1,3.7,6.1,28.6,50,50,14.6,98.11,-3.5,NON-ALLSTAR
AMANDA ZAHUI B,NYL,25,11,3,8,26.5,10.2,3.7,7.9,47.1,1.3,3.5,35.9,1.5,1.8,80,1.3,6.3,7.5,0.7,1.6,1.1,2.2,3.4,28.5,2,0,-6.6,91.2,103.9,-12.7,4.8,0.44,6.6,4.3,22.2,13.1,14.9,55.2,58.5,16.1,101.1,11.5,NON-ALLSTAR
ALYSSA THOMAS,CON,27,17,11,6,30.5,11.6,4.8,9.5,50.6,0,0.1,0,1.9,3.4,57.9,2.5,4.7,7.2,3.1,1.8,2,0.5,2.6,30.6,3,0,3.6,99.3,93.6,5.8,17.8,1.77,19.7,7.5,16.5,11.6,11.2,50.6,52.7,17.7,94.92,12.9,ALLSTAR
ALYSHA CLARK,SEA,32,15,9,6,29.2,8.7,3.2,7.3,44,1.6,3.3,49,0.7,0.9,84.6,1.4,3.9,5.3,2.9,1.7,0.5,0.6,1.9,21.1,0,0,6,98.7,88.1,10.6,16.5,1.76,24,4.9,13.9,9.3,13.7,55,57.1,14.1,92.83,11.2,NON-ALLSTAR
ALLISHA GRAY,DAL,24,16,5,11,30.5,9.8,3.3,7.4,44.1,0.4,2.1,21.2,2.9,3.4,83.6,1.7,3.3,5,2.6,1.6,1.1,0.4,2.8,22.8,0,0,-4.1,92.5,99.3,-6.8,15.6,1.64,19.6,5.2,11.1,8,12,47,55.2,15,93.39,9.9,NON-ALLSTAR
ALLIE QUIGLEY,CHI,33,17,9,8,29.2,12.9,4.7,9.4,50,2.6,5.5,48.4,0.9,0.9,100,0.4,2.8,3.2,3.2,1.1,0.8,0.2,1.5,23.7,0,0,1,101.5,100.2,1.3,17.2,2.89,23.1,1.5,8.9,5.4,8,64.1,66,16.2,97.01,12,ALLSTAR
ALEXIS JONES,LAS,25,7,3,4,15.1,4.7,1.7,4.4,38.7,0.7,1.9,38.5,0.6,0.7,80,0,1.1,1.1,2.4,1.3,0.1,0.1,1.7,9.3,0,0,-2.9,87.2,96.9,-9.7,27.9,1.89,28.8,0,7,3.5,15.3,46.8,49.7,16.2,102.41,6,NON-ALLSTAR
ALEX BENTLEY,ATL,28,12,4,8,21.8,7.9,3,10.6,28.3,1.1,4.8,22.8,0.8,0.8,100,0.3,2.2,2.5,2.7,1.5,0.7,0.5,1.6,16.9,0,0,-6.8,82.8,97.9,-15.1,26,1.78,17.7,1.3,8.7,5,9.9,33.5,36.1,24.3,95.38,5.8,NON-ALLSTAR
ALANNA SMITH,PHO,22,13,5,8,8.5,1.3,0.5,2.6,20.6,0.2,1.2,13.3,0.1,0.2,50,0.8,1.5,2.2,0.2,0.5,0.3,0.3,1.2,5.6,0,0,-0.7,81.7,84.7,-2.9,5,0.43,6.7,8,16.1,11.9,15.6,23.5,24.4,16.8,95.24,-0.4,NON-ALLSTAR
ALANA BEARD,LAS,37,7,3,4,16.6,3.6,1.4,3.7,38.5,0,0.4,0,0.7,0.9,83.3,0.1,1.4,1.6,2,0.6,1,0.1,1.1,11.3,0,0,-0.6,98.3,99.6,-1.3,17.5,3.5,29.8,0.8,8.8,4.7,8.5,38.5,43.6,12.1,98.21,6.9,NON-ALLSTAR
ALAINA COATES,MIN,24,14,8,6,6.3,2.5,1.1,2.1,51.7,0,0,0,0.4,0.6,62.5,0.9,1.3,2.1,0.1,0.4,0.2,0.4,1.1,6.5,0,0,-0.6,89.6,92,-2.4,2.1,0.2,2.6,10.7,19.4,14.6,13.2,51.7,53.8,16.2,100.58,11.5,NON-ALLSTAR
