name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Andrew Wiggins","Minnesota Timberwolves",2018-01-24,2017,3059319,1610612750,400975454,1,7,53,1,"Driving Floating Bank Jump Shot","2PT Field Goal",7,"Portland Trail Blazers",60,40,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-03-02,2017,3059319,1610612750,400975680,4,9,26,0,"Driving Floating Jump Shot","2PT Field Goal",9,"Utah Jazz",-14,99,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-04-06,2016,3059319,1610612750,400900556,4,1,55,0,"Driving Floating Jump Shot","2PT Field Goal",6,"Portland Trail Blazers",-55,26,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-03-30,2017,3059319,1610612750,400975880,4,4,28,0,"Driving Floating Jump Shot","2PT Field Goal",11,"Dallas Mavericks",-25,117,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-18,2017,3059319,1610612750,400975411,1,1,22,1,"Driving Floating Jump Shot","2PT Field Goal",5,"Houston Rockets",29,50,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-12-01,2017,3059319,1610612750,400975075,1,6,16,1,"Driving Floating Jump Shot","2PT Field Goal",5,"Oklahoma City Thunder",22,55,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-12-31,2017,0,1610612750,0,2,2,36,0,"Driving Floating Jump Shot","2PT Field Goal",7,"Indiana Pacers",68,36,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-03-01,2016,3059319,1610612750,400899442,2,4,29,1,"Driving Floating Jump Shot","2PT Field Goal",5,"Utah Jazz",12,51,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-10-18,2017,3059319,1610612750,400974440,3,10,10,0,"Driving Floating Jump Shot","2PT Field Goal",7,"San Antonio Spurs",-35,65,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-02-09,2017,3059319,1610612750,400975568,2,10,50,1,"Driving Floating Jump Shot","2PT Field Goal",12,"Chicago Bulls",-13,120,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-01-15,2015,3059319,1610612750,400828481,4,5,35,0,"Driving Floating Jump Shot","2PT Field Goal",6,"Oklahoma City Thunder",9,61,0,0.10,"Adams, Steven",1.90,4.10
"Andrew Wiggins","Minnesota Timberwolves",2017-11-17,2017,3059319,1610612750,400974975,1,0,07,0,"Driving Floating Jump Shot","2PT Field Goal",7,"Dallas Mavericks",78,17,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-02-09,2017,3059319,1610612750,400975568,3,9,04,1,"Driving Floating Jump Shot","2PT Field Goal",6,"Chicago Bulls",9,66,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-01-13,2015,3059319,1610612750,400828468,4,2,57,0,"Driving Floating Jump Shot","2PT Field Goal",4,"Houston Rockets",-19,46,2,2.50,"Ariza, Trevor",2.40,8.20
"Andrew Wiggins","Minnesota Timberwolves",2018-02-09,2017,3059319,1610612750,400975568,3,5,06,0,"Driving Floating Jump Shot","2PT Field Goal",14,"Chicago Bulls",52,130,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-02-11,2017,3059319,1610612750,400975584,3,2,27,1,"Driving Floating Jump Shot","2PT Field Goal",7,"Sacramento Kings",2,78,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-10-22,2017,3059319,1610612750,400974790,1,8,12,1,"Driving Floating Jump Shot","2PT Field Goal",4,"Oklahoma City Thunder",-13,46,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-20,2017,3059319,1610612750,400975426,3,4,48,0,"Driving Floating Jump Shot","2PT Field Goal",8,"Toronto Raptors",-28,80,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-01-03,2016,3059319,1610612750,400899421,3,11,33,0,"Driving Floating Jump Shot","2PT Field Goal",11,"Philadelphia 76ers",56,95,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-03,2017,3059319,1610612750,400975303,3,7,03,0,"Driving Floating Jump Shot","2PT Field Goal",9,"Brooklyn Nets",51,81,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-05,2017,3059319,1610612750,400975316,1,8,40,0,"Driving Floating Jump Shot","2PT Field Goal",5,"Boston Celtics",-19,56,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-22,2017,3059319,1610612750,400975441,4,3,46,1,"Driving Floating Jump Shot","2PT Field Goal",8,"Los Angeles Clippers",3,85,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-03-01,2016,3059319,1610612750,400899442,3,9,36,1,"Driving Floating Jump Shot","2PT Field Goal",12,"Utah Jazz",-38,116,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-04-01,2017,3059319,1610612750,400975897,1,8,31,0,"Driving Floating Jump Shot","2PT Field Goal",6,"Utah Jazz",-9,60,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-03-26,2017,3059319,1610612750,400975852,4,9,20,1,"Driving Floating Jump Shot","2PT Field Goal",7,"Memphis Grizzlies",-41,65,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-12-28,2017,3059319,1610612750,400975264,1,4,32,0,"Driving Floating Jump Shot","2PT Field Goal",6,"Milwaukee Bucks",-63,24,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-02-09,2017,3059319,1610612750,400975568,1,6,14,1,"Driving Floating Jump Shot","2PT Field Goal",7,"Chicago Bulls",2,78,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-02-19,2015,3059319,1610612750,400828697,1,6,37,1,"Driving Floating Jump Shot","2PT Field Goal",5,"Memphis Grizzlies",-29,41,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-24,2017,3059319,1610612750,400975454,2,1,27,1,"Driving Floating Jump Shot","2PT Field Goal",4,"Portland Trail Blazers",-8,45,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-24,2017,3059319,1610612750,400975454,1,6,52,1,"Driving Floating Jump Shot","2PT Field Goal",12,"Portland Trail Blazers",54,117,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-24,2017,3059319,1610612750,400975454,3,5,39,1,"Driving Floating Jump Shot","2PT Field Goal",4,"Portland Trail Blazers",16,42,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-24,2017,3059319,1610612750,400975454,2,2,51,1,"Driving Floating Jump Shot","2PT Field Goal",5,"Portland Trail Blazers",1,52,0,0.00,,0.00,0.00
