,GAME,FGM,FGA,FG%,FTM,FTA,FT%,3FGM,3FGA,3FG%,PTS,TEAM
75,10/31,38,92,41.3,23,42,54.8,6,26,23.1,105,Memphis Grizzlies
76,10/29,50,88,56.8,11,15,73.3,12,27,44.4,123,Memphis Grizzlies
77,10/27,49,92,53.3,13,18,72.2,14,33,42.4,125,Memphis Grizzlies
78,10/24,47,94,50.0,24,31,77.4,16,34,47.1,134,Memphis Grizzlies
79,10/22,34,79,43.0,19,24,79.2,9,33,27.3,96,Memphis Grizzlies
80,10/21,45,98,45.9,20,29,69.0,19,42,45.2,129,Memphis Grizzlies
81,10/19,42,108,38.9,14,23,60.9,17,50,34.0,115,Memphis Grizzlies
0,4/9,37,85,43.5,10,15,66.7,11,43,25.6,95,Sacramento Kings
1,4/7,38,98,38.8,10,18,55.6,11,39,28.2,97,Sacramento Kings
2,4/5,46,106,43.4,15,19,78.9,12,37,32.4,119,Sacramento Kings
3,4/4,46,91,50.5,12,15,80.0,17,42,40.5,121,Sacramento Kings
4,4/2,49,103,47.6,25,32,78.1,11,44,25.0,134,Sacramento Kings
5,3/31,54,88,61.4,11,15,73.3,19,39,48.7,138,Sacramento Kings
6,3/29,42,92,45.7,18,24,75.0,18,48,37.5,120,Sacramento Kings
7,3/27,39,84,46.4,32,40,80.0,5,27,18.5,115,Sacramento Kings
8,3/25,44,95,46.3,17,21,81.0,16,43,37.2,121,Sacramento Kings
9,3/24,47,89,52.8,28,32,87.5,13,39,33.3,135,Sacramento Kings
10,3/21,39,81,48.1,14,21,66.7,17,44,38.6,109,Sacramento Kings
11,3/20,41,97,42.3,19,25,76.0,19,52,36.5,120,Sacramento Kings
12,3/18,48,86,55.8,14,23,60.9,22,37,59.5,132,Sacramento Kings
13,3/16,32,82,39.0,24,32,75.0,13,41,31.7,101,Sacramento Kings
14,3/15,38,78,48.7,23,29,79.3,18,42,42.9,117,Sacramento Kings
15,3/13,46,104,44.2,11,15,73.3,21,50,42.0,124,Sacramento Kings
16,3/11,41,85,48.2,31,37,83.8,15,35,42.9,128,Sacramento Kings
17,3/9,44,84,52.4,24,32,75.0,10,32,31.3,122,Sacramento Kings
18,3/6,47,83,56.6,13,20,65.0,16,38,42.1,123,Sacramento Kings
19,3/4,49,89,55.1,22,30,73.3,14,27,51.9,134,Sacramento Kings
20,3/3,46,87,52.9,26,26,100.0,10,33,30.3,128,Sacramento Kings
21,2/28,43,82,52.4,22,30,73.3,15,42,35.7,123,Sacramento Kings
22,2/26,45,85,52.9,16,24,66.7,18,43,41.9,124,Sacramento Kings
23,2/24,65,111,58.6,28,35,80.0,18,41,43.9,176,Sacramento Kings
24,2/23,47,85,55.3,25,31,80.6,14,34,41.2,133,Sacramento Kings
25,2/14,37,83,44.6,21,24,87.5,14,38,36.8,109,Sacramento Kings
26,2/11,51,100,51.0,23,25,92.0,8,32,25.0,133,Sacramento Kings
27,2/10,39,72,54.2,27,32,84.4,9,27,33.3,114,Sacramento Kings
28,2/8,46,92,50.0,28,30,93.3,10,30,33.3,130,Sacramento Kings
29,2/6,52,89,58.4,15,18,83.3,21,41,51.2,140,Sacramento Kings
30,2/5,35,82,42.7,23,27,85.2,11,42,26.2,104,Sacramento Kings
31,2/3,37,86,43.0,17,20,85.0,13,38,34.2,104,Sacramento Kings
