,GAME,FGM,FGA,FG%,FTM,FTA,FT%,3FGM,3FGA,3FG%,PTS,TEAM
43,1/6,50,98,51.0,10,14,71.4,17,37,45.9,127,Oklahoma City Thunder
44,1/4,36,89,40.4,28,31,90.3,15,37,40.5,115,Oklahoma City Thunder
45,1/3,58,98,59.2,14,22,63.6,20,40,50.0,150,Oklahoma City Thunder
46,12/31,35,92,38.0,14,22,63.6,12,36,33.3,96,Oklahoma City Thunder
47,12/29,42,99,42.4,18,21,85.7,11,36,30.6,113,Oklahoma City Thunder
48,12/27,46,86,53.5,25,31,80.6,13,24,54.2,130,Oklahoma City Thunder
49,12/23,47,102,46.1,18,25,72.0,13,35,37.1,125,Oklahoma City Thunder
50,12/21,36,77,46.8,21,25,84.0,8,24,33.3,101,Oklahoma City Thunder
51,12/19,40,88,45.5,32,37,86.5,11,31,35.5,123,Oklahoma City Thunder
52,12/17,38,92,41.3,20,31,64.5,19,45,42.2,115,Oklahoma City Thunder
53,12/16,41,88,46.6,17,21,81.0,11,37,29.7,110,Oklahoma City Thunder
54,12/14,41,82,50.0,17,23,73.9,9,24,37.5,108,Oklahoma City Thunder
55,12/12,42,88,47.7,20,21,95.2,10,31,32.3,114,Oklahoma City Thunder
56,12/10,38,83,45.8,16,20,80.0,10,29,34.5,102,Oklahoma City Thunder
57,12/7,34,92,37.0,20,23,87.0,14,38,36.8,102,Oklahoma City Thunder
58,12/5,43,95,45.3,23,24,95.8,12,34,35.3,121,Oklahoma City Thunder
59,12/3,48,93,51.6,28,35,80.0,11,26,42.3,135,Oklahoma City Thunder
60,11/30,48,94,51.1,14,21,66.7,9,27,33.3,119,Oklahoma City Thunder
61,11/28,34,92,37.0,21,23,91.3,12,38,31.6,101,Oklahoma City Thunder
62,11/26,38,97,39.2,19,23,82.6,10,44,22.7,105,Oklahoma City Thunder
63,11/25,44,95,46.3,28,32,87.5,7,29,24.1,123,Oklahoma City Thunder
64,11/23,42,97,43.3,24,28,85.7,18,40,45.0,126,Oklahoma City Thunder
65,11/21,43,88,48.9,25,32,78.1,8,24,33.3,119,Oklahoma City Thunder
66,11/18,45,96,46.9,9,11,81.8,11,34,32.4,110,Oklahoma City Thunder
67,11/16,44,81,54.3,17,26,65.4,16,31,51.6,121,Oklahoma City Thunder
68,11/14,47,98,48.0,17,21,81.0,11,30,36.7,122,Oklahoma City Thunder
69,11/13,55,88,62.5,18,20,90.0,17,31,54.8,145,Oklahoma City Thunder
70,11/11,52,93,55.9,13,17,76.5,15,36,41.7,132,Oklahoma City Thunder
71,11/9,50,111,45.0,14,19,73.7,18,45,40.0,132,Oklahoma City Thunder
72,11/7,41,102,40.2,11,17,64.7,10,33,30.3,103,Oklahoma City Thunder
73,11/5,36,84,42.9,10,16,62.5,12,35,34.3,94,Oklahoma City Thunder
74,11/3,45,93,48.4,14,19,73.7,6,29,20.7,110,Oklahoma City Thunder
75,11/1,45,95,47.4,16,20,80.0,10,34,29.4,116,Oklahoma City Thunder
76,10/29,44,89,49.4,24,31,77.4,5,25,20.0,117,Oklahoma City Thunder
77,10/27,47,95,49.5,7,8,87.5,17,38,44.7,118,Oklahoma City Thunder
78,10/25,42,110,38.2,20,25,80.0,4,30,13.3,108,Oklahoma City Thunder
79,10/23,41,94,43.6,15,21,71.4,9,41,22.0,106,Oklahoma City Thunder
80,10/22,42,94,44.7,18,23,78.3,15,38,39.5,117,Oklahoma City Thunder
81,10/19,38,99,38.4,18,22,81.8,14,45,31.1,108,Oklahoma City Thunder
