PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,SEASON
Aaron Gordon,ORL,23,6-9,220,Arizona,USA,2014,1,4,78,1246,574,289,2,4.7,16.5,21.3,53.8,16.6,2012
Aaron Holiday,IND,22,6-1,185,UCLA,USA,2018,1,23,50,294,67,87,7,0.8,8.8,20.6,51.8,18.0,2012
Abdel Nader,OKC,25,6-6,225,Iowa State,Egypt,2016,2,58,61,241,116,20,-10,1.7,13.9,14.8,52.2,4.4,2012
Al Horford,BOS,33,6-10,245,Florida,Dominican Republic,2007,1,3,68,925,458,283,6,6.2,16.1,18.8,60.5,20.3,2012
Al-Farouq Aminu,POR,28,6-9,220,Wake Forest,USA,2010,1,8,81,760,610,104,8,4.8,20.4,13.4,56.8,5.7,2012
Alan Williams,BKN,26,6-8,265,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,5,18,19,3,27,11.4,40.5,22.2,61.0,17.6,2012
Alec Burks,SAC,27,6-6,214,Colorado,USA,2011,1,12,64,561,235,128,-11,2.1,15.1,18.5,52.3,14.2,2012
Alex Abrines,OKC,25,6-6,200,None,Spain,2013,2,32,31,165,48,20,2,0.7,6.7,12.0,50.7,4.7,2012
Alex Caruso,LAL,25,6-5,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,25,229,67,77,3,3.5,7.9,18.4,56.9,20.5,2012
Alex Len,ATL,26,7-1,250,Maryland,Ukraine,2013,1,5,77,854,424,86,-4,9.0,15.9,21.4,57.5,8.6,2012
Alex Poythress,ATL,25,6-9,235,Kentucky,USA,Undrafted,Undrafted,Undrafted,21,107,76,17,-10,8.5,15.1,14.0,57.1,8.5,2012
Alfonzo McKinnie,GSW,26,6-8,215,Wisconsin-Green Bay,USA,Undrafted,Undrafted,Undrafted,72,337,247,31,1,7.5,15.2,13.1,56.9,4.1,2012
Alize Johnson,IND,23,6-9,212,Missouri State,USA,2018,2,50,14,13,19,1,-2,5.1,19.2,11.6,33.3,1.8,2012
Allen Crabbe,BKN,27,6-6,212,California,USA,2013,2,31,43,413,148,46,0,1.3,10.8,15.9,51.9,5.9,2012
Allonzo Trier,NYK,23,6-5,200,Arizona,USA,2018,,,64,695,197,119,-7,2.0,10.7,20.7,56.4,13.1,2012
Amile Jefferson,ORL,26,6-9,222,Duke,USA,2017,,,12,27,21,3,9,8.2,25.0,12.5,69.2,5.2,2012
Amir Johnson,PHI,32,6-9,240,No College,USA,2005,2,56,51,201,147,60,-5,8.4,18.5,16.9,57.4,15.6,2012
Andre Drummond,DET,25,6-11,279,Connecticut,USA,2012,1,9,79,1370,1232,112,3,15.1,31.1,22.6,55.5,6.8,2012
Andre Iguodala,GSW,35,6-6,215,Arizona,USA,2004,1,9,68,389,252,216,9,3.1,11.7,10.1,58.7,17.3,2012
Andre Ingram,LAL,33,6-3,190,American University,USA,Undrafted,Undrafted,Undrafted,4,0,2,0,10,5.9,5.3,18.4,0.0,0.0,2012
Andrew Bogut,GSW,34,7-0,260,Utah,Australia,2005,1,1,11,39,55,11,4,10.0,29.7,14.8,52.3,10.4,2012
Andrew Harrison,NOP,24,6-6,213,Kentucky,USA,2015,2,44,17,54,20,24,-6,3.2,7.4,17.1,44.3,19.4,2012
Andrew Wiggins,MIN,24,6-8,194,Kansas,Canada,2014,1,1,73,1321,352,184,-1,3.1,9.9,24.0,49.3,10.8,2012
Anfernee Simons,POR,20,6-4,185,None,USA,2018,1,24,20,75,13,13,-18,2.2,6.7,24.0,53.5,13.5,2012
Angel Delgado,LAC,24,6-10,245,Seton Hall,Dominican Republic,2018,,,2,3,4,0,7,8.3,14.3,15.0,25.5,0.0,2012
Ante Zizic,CLE,22,6-11,254,None,Croatia,2016,1,23,59,459,320,53,-4,9.7,19.3,17.8,59.0,7.5,2012
Anthony Davis,NOP,26,6-10,253,Kentucky,USA,2012,1,1,56,1452,672,218,3,8.9,24.9,28.8,59.7,18.6,2012
Anthony Tolliver,MIN,34,6-8,250,Creighton,USA,Undrafted,Undrafted,Undrafted,65,326,177,46,-4,1.2,14.3,12.1,57.1,5.9,2012
Antonio Blakeney,CHI,22,6-4,192,Louisiana State,USA,Undrafted,Undrafted,Undrafted,57,418,106,42,-8,0.8,11.4,24.0,48.7,7.9,2012
Aron Baynes,BOS,32,6-10,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,51,284,240,57,8,10.3,17.5,14.7,56.7,9.2,2012
Austin Rivers,HOU,26,6-4,200,Duke,USA,2012,1,10,76,618,162,167,3,1.2,6.5,14.2,50.3,12.0,2012
Avery Bradley,MEM,28,6-2,180,Texas-Austin,USA,2010,1,19,63,625,175,152,-2,2.2,6.5,16.0,49.6,11.4,2012
BJ Johnson,SAC,23,6-7,200,La Salle,USA,Undrafted,Undrafted,Undrafted,7,23,8,0,-13,3.8,15.0,17.8,60.9,0.0,2012
Bam Adebayo,MIA,21,6-10,255,Kentucky,USA,2017,1,14,82,729,597,184,1,8.3,22.1,15.7,62.3,14.6,2012
Ben McLemore,SAC,26,6-5,201,Kansas,USA,2013,1,7,19,75,17,4,-4,1.8,8.9,18.5,54.1,3.5,2012
Ben Simmons,PHI,22,6-10,230,Louisiana State,Australia,2016,1,1,79,1337,697,610,2,6.2,17.9,21.5,58.2,34.1,2012
Billy Garrett,NYK,24,6-6,215,DePaul,USA,Undrafted,Undrafted,Undrafted,4,26,3,7,-9,0.0,4.1,21.5,45.2,18.9,2012
Bismack Biyombo,CHA,26,6-9,255,None,DRC,2011,1,7,54,236,247,33,-8,9.9,20.5,12.8,60.2,6.4,2012
Blake Griffin,DET,30,6-10,250,Oklahoma,USA,2009,1,1,75,1841,565,402,1,3.6,18.2,29.6,58.1,26.8,2012
Boban Marjanovic,PHI,30,7-3,290,None,Serbia,Undrafted,Undrafted,Undrafted,58,422,265,54,0,12.4,23.2,22.2,66.4,12.8,2012
Bobby Portis,WAS,24,6-11,250,Arkansas,USA,2015,1,22,50,710,403,72,-4,8.3,22.6,24.1,52.9,8.5,2012
Bogdan Bogdanovic,SAC,26,6-6,205,None,Serbia,2014,1,27,70,990,243,267,-1,1.9,9.8,22.0,53.0,19.9,2012
Bojan Bogdanovic,IND,30,6-8,216,None,Croatia,2011,2,31,81,1454,333,161,3,1.3,11.3,21.9,61.3,9.5,2012
Bonzie Colson,MIL,23,6-6,225,Notre Dame,USA,Undrafted,Undrafted,Undrafted,8,39,30,3,-9,6.5,18.2,17.4,45.4,4.0,2012
Brad Wanamaker,BOS,29,6-4,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,36,140,41,56,9,0.8,9.6,16.2,59.7,22.5,2012
Bradley Beal,WAS,26,6-5,207,Florida,USA,2012,1,3,82,2099,411,448,-2,2.8,10.4,27.8,58.1,23.3,2012
Brandon Goodwin,DEN,23,6-2,180,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted,16,23,3,14,8,1.6,3.8,22.0,41.3,29.8,2012
Brandon Ingram,LAL,21,6-9,190,Duke,USA,2016,1,2,52,950,267,154,-2,2.2,11.3,22.7,55.5,12.7,2012
Brandon Knight,CLE,27,6-3,195,Kentucky,USA,2011,1,8,39,266,59,71,-12,1.2,7.0,17.8,48.4,14.7,2012
Brandon Sampson,CHI,22,6-5,184,Louisiana State,USA,2018,,,14,71,16,10,-6,1.4,6.3,15.4,56.7,6.3,2012
Brook Lopez,MIL,31,7-0,270,Stanford,USA,2008,1,10,81,1009,396,98,12,1.4,13.5,16.5,59.7,5.5,2012
Bruce Brown,DET,22,6-5,202,Miami,USA,2018,2,42,74,319,185,91,1,3.2,9.2,11.3,46.9,8.7,2012
Bruno Caboclo,MEM,23,6-9,218,None,Brazil,2014,1,20,34,282,158,50,1,5.0,13.7,15.0,57.1,9.1,2012
Bryn Forbes,SAS,25,6-3,190,Michigan State,USA,Undrafted,Undrafted,Undrafted,82,967,239,175,0,0.8,9.6,17.1,58.6,10.5,2012
