PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,SEASON
AJ Price,WAS,26,6-2,185,Connecticut,USA,2009,2,52,57,441,114,205,-2,1.5,7.4,17.7,50.1,27.3,2013
Aaron Brooks,HOU,28,6-0,161,Oregon,USA,2007,1,26,53,376,80,114,-10,1.3,7.0,17.8,55.5,19.0,2013
Aaron Gray,TOR,28,7-0,270,Pittsburgh,USA,2007,2,49,42,119,133,33,-8,9.4,18.1,13.1,54.4,10.3,2013
Al Harrington,ORL,33,6-9,245,None,USA,1998,1,25,10,51,27,10,-17,4.9,19.1,24.2,43.4,14.1,2013
Al Horford,ATL,27,6-10,250,Florida,Dominican Republic,2007,1,3,74,1289,757,240,3,7.7,20.6,21.9,56.0,14.9,2013
Al Jefferson,UTA,28,6-10,289,None,USA,2004,1,15,78,1391,720,164,-3,6.3,23.7,25.7,52.2,11.9,2013
Al-Farouq Aminu,NOH,22,6-9,215,Wake Forest,USA,2010,1,8,76,555,585,103,-1,7.0,23.0,14.3,51.9,7.6,2013
Alan Anderson,TOR,30,6-6,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,65,693,148,103,-3,2.3,8.4,23.1,50.9,12.5,2013
Alec Burks,UTA,21,6-6,202,Colorado,USA,2011,1,12,64,451,145,92,4,3.3,9.8,19.6,50.7,12.7,2013
Alexey Shved,MIN,24,6-6,182,None,Russia,Undrafted,Undrafted,Undrafted,77,665,175,286,-2,2.1,7.5,20.2,47.4,24.8,2013
Alonzo Gee,CLE,26,6-6,219,Alabama,USA,Undrafted,Undrafted,Undrafted,82,842,320,133,-7,2.8,10.5,16.6,50.5,8.1,2013
Amar'e Stoudemire,NYK,30,6-11,245,None,USA,2002,1,9,29,413,145,13,3,9.2,13.9,25.4,63.7,3.7,2013
Amir Johnson,TOR,26,6-9,210,No College,USA,2005,2,56,81,813,611,122,5,10.1,17.2,15.8,59.1,8.5,2013
Anderson Varejao,CLE,30,6-11,260,None,Brazil,2004,2,30,25,353,361,84,-4,14.1,27.2,17.8,52.9,15.7,2013
Andray Blatche,BKN,26,6-11,260,None,USA,2005,2,49,82,843,417,85,0,10.4,18.5,25.8,54.7,10.8,2013
Andre Drummond,DET,19,6-10,270,Connecticut,USA,2012,1,9,60,476,457,30,-2,13.3,23.5,16.7,57.8,4.0,2013
Andre Iguodala,DEN,29,6-6,207,Arizona,USA,2004,1,9,80,1038,423,433,7,3.0,11.8,18.6,52.0,22.4,2013
Andre Miller,DEN,37,6-2,200,Utah,USA,1999,1,8,82,786,238,484,4,2.8,8.0,17.6,54.8,32.6,2013
Andrea Bargnani,TOR,27,7-0,256,None,Italy,2006,1,1,35,443,128,38,-6,2.6,10.7,23.0,48.2,6.4,2013
Andrei Kirilenko,MIN,32,6-9,235,None,Russia,1999,1,24,64,791,362,177,-1,5.0,13.7,17.0,59.0,14.4,2013
Andrew Bogut,GSW,28,7-0,260,Utah,Australia,2005,1,1,32,186,245,67,2,8.9,21.2,13.4,46.3,12.1,2013
Andrew Goudelock,LAL,24,6-3,200,College of Charleston,USA,2011,2,46,1,0,1,0,-84,11.1,0.0,14.3,0.0,0.0,2013
Andrew Nicholson,ORL,23,6-9,250,St. Bonaventure,Canada,2012,1,19,75,587,258,44,-6,5.6,15.3,21.6,55.7,6.2,2013
Andris Biedrins,GSW,27,7-0,242,None,Latvia,2004,1,11,53,24,153,14,-6,6.8,21.9,3.7,44.9,3.9,2013
Antawn Jamison,LAL,37,6-9,235,North Carolina,USA,1998,1,4,76,712,362,50,1,6.6,14.6,18.3,56.1,5.1,2013
Anthony Davis,NOH,20,6-10,220,Kentucky,USA,2012,1,1,64,867,522,63,-4,9.4,21.3,21.2,55.9,6.0,2013
Anthony Morrow,DAL,27,6-5,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,41,164,30,13,-8,2.9,5.6,18.6,53.0,5.8,2013
Anthony Randolph,DEN,23,6-11,225,Louisiana State,USA,2008,1,14,39,143,95,12,1,9.1,17.4,21.3,53.4,5.4,2013
Anthony Tolliver,ATL,28,6-8,240,Creighton,USA,Undrafted,Undrafted,Undrafted,62,253,155,32,-3,3.2,12.8,12.9,53.1,5.2,2013
Arnett Moultrie,PHI,22,6-10,245,Mississippi State,USA,2012,1,27,47,174,145,10,-7,13.2,13.4,13.5,59.5,3.1,2013
Aron Baynes,SAS,26,6-10,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,16,43,32,5,1,8.4,13.8,15.8,52.1,5.3,2013
Arron Afflalo,ORL,27,6-5,215,UCLA,USA,2007,1,27,64,1057,239,206,-8,1.3,9.5,22.4,52.7,14.6,2013
Austin Daye,MEM,25,6-11,200,Gonzaga,USA,2009,1,15,55,247,123,42,1,2.4,16.1,16.3,55.4,9.3,2013
Austin Rivers,NOH,20,6-4,200,Duke,USA,2012,1,10,61,377,109,127,-5,1.2,7.0,16.9,43.1,14.2,2013
Avery Bradley,BOS,22,6-2,180,Texas-Austin,USA,2010,1,19,50,461,111,104,-1,2.3,5.5,18.9,46.1,11.5,2013
Ben Gordon,CHA,30,6-3,200,Connecticut,USA,2004,1,3,75,840,130,141,-16,1.1,7.6,26.5,51.5,18.0,2013
Ben Hansbrough,IND,25,6-3,203,Notre Dame,USA,Undrafted,Undrafted,Undrafted,28,57,18,21,-9,0.8,7.1,15.5,50.1,20.2,2013
Beno Udrih,ORL,30,6-3,203,None,Slovenia,2004,1,28,66,538,141,302,-5,2.2,7.2,18.6,51.6,32.9,2013
Bernard James,DAL,28,6-10,240,Florida State,USA,2012,2,33,46,131,131,6,-2,10.7,17.3,12.9,54.1,2.0,2013
Bismack Biyombo,CHA,20,6-9,245,None,DRC,2011,1,7,80,386,582,35,-8,8.8,18.6,10.1,47.2,2.5,2013
Blake Griffin,LAC,24,6-10,251,Oklahoma,USA,2009,1,1,80,1440,662,299,8,7.7,20.0,25.0,57.2,19.2,2013
Boris Diaw,SAS,31,6-8,235,None,France,2003,1,21,75,435,254,180,5,4.3,10.9,11.9,60.3,15.2,2013
Bradley Beal,WAS,20,6-5,207,Florida,USA,2012,1,3,56,780,211,137,-2,2.4,9.6,21.8,51.5,13.6,2013
Brandan Wright,DAL,25,6-10,210,North Carolina,USA,2007,1,8,64,541,260,38,5,7.7,14.3,18.5,60.6,5.4,2013
Brandon Bass,BOS,28,6-8,250,Louisiana State,USA,2005,2,33,81,701,425,84,-4,6.3,13.7,15.4,53.5,6.0,2013
Brandon Jennings,MIL,23,6-1,169,None,USA,2009,1,10,80,1397,246,521,-5,1.9,6.4,23.4,51.0,29.6,2013
Brandon Knight,DET,21,6-3,189,Kentucky,USA,2011,1,8,75,999,247,303,-3,2.3,8.3,22.3,51.1,21.6,2013
Brandon Roy,MIN,28,6-6,211,Washington,USA,2006,1,6,5,29,14,23,3,2.9,8.8,17.9,36.8,26.7,2013
Brandon Rush,GSW,27,6-6,210,Kansas,USA,2008,1,13,2,14,1,2,8,0.0,3.7,20.0,67.8,15.4,2013
Brendan Haywood,CHA,33,7-0,263,North Carolina,USA,2001,1,20,61,216,290,29,-8,10.2,14.4,11.2,44.1,4.0,2013
Brian Roberts,NOH,27,6-1,180,Dayton,USA,Undrafted,Undrafted,Undrafted,78,555,97,219,-8,1.3,6.8,21.2,50.9,30.1,2013
Brook Lopez,BKN,25,7-0,265,Stanford,USA,2008,1,10,74,1437,512,70,6,9.6,13.8,28.2,56.7,6.1,2013
Byron Mullens,CHA,24,7-0,275,Ohio State,USA,2009,1,24,53,564,337,81,-15,4.6,19.6,21.0,46.5,10.2,2013
C.J. Watson,BKN,29,6-2,175,Tennessee,USA,Undrafted,Undrafted,Undrafted,80,543,145,161,1,2.5,7.5,16.8,54.4,17.8,2013
CJ Miles,CLE,26,6-6,222,No College,USA,2005,2,34,65,729,174,63,-3,1.7,11.4,23.4,55.1,8.3,2013
Carl Landry,GSW,29,6-9,248,Purdue,USA,2007,2,31,81,874,483,65,-1,9.8,15.8,19.5,60.5,5.6,2013
Carlos Boozer,CHI,31,6-9,266,Duke,USA,2002,2,34,79,1281,771,179,-2,6.9,24.4,25.5,51.0,13.2,2013
Carlos Delfino,HOU,30,6-6,230,None,Argentina,2003,1,25,67,708,220,135,7,1.0,11.8,18.1,54.9,12.5,2013
Carmelo Anthony,NYK,29,6-8,230,Syracuse,USA,2003,1,3,67,1920,460,171,6,5.5,14.2,34.9,56.0,13.7,2013
Caron Butler,LAC,33,6-7,228,Connecticut,USA,2002,1,10,78,813,223,78,7,2.3,10.5,19.9,53.5,6.3,2013
Cartier Martin,WAS,28,6-7,220,Kansas State,USA,Undrafted,Undrafted,Undrafted,41,270,100,20,-3,1.5,12.5,19.1,51.1,4.9,2013
Chandler Parsons,HOU,24,6-9,227,Florida,USA,2011,2,38,76,1177,404,269,3,2.9,11.7,18.2,58.4,15.7,2013
Charles Jenkins,PHI,24,6-3,215,Hofstra,USA,2011,2,44,59,111,32,44,-3,1.7,5.0,14.5,42.5,16.7,2013
Charlie Villanueva,DET,28,6-11,232,Connecticut,USA,2005,1,7,69,467,241,54,-5,4.3,18.1,21.2,48.1,8.2,2013
Chase Budinger,MIN,25,6-7,218,Arizona,USA,2009,2,44,23,216,71,25,2,2.9,11.4,20.3,51.6,8.0,2013
Chauncey Billups,LAC,36,6-3,210,Colorado,USA,1997,1,3,22,184,32,49,5,0.5,8.5,19.4,60.1,16.8,2013
Chris Andersen,MIA,34,6-10,228,Blinn J.C.,USA,Undrafted,Undrafted,Undrafted,42,207,172,17,7,10.2,18.0,14.0,63.1,4.5,2013
Chris Bosh,MIA,29,6-11,235,Georgia Tech,USA,2003,1,4,74,1232,501,123,10,6.4,15.3,22.5,59.2,8.1,2013
Chris Copeland,NYK,29,6-8,225,Colorado,USA,Undrafted,Undrafted,Undrafted,56,486,119,27,4,4.1,10.4,25.0,58.3,5.5,2013
Chris Douglas-Roberts,DAL,26,6-7,210,Memphis,USA,2008,2,40,6,17,5,4,-9,0.0,8.2,13.8,46.2,10.3,2013
Chris Duhon,LAL,30,6-1,190,Duke,USA,2004,2,38,46,133,68,133,-1,1.3,6.6,8.9,51.7,23.6,2013
Chris Johnson,MIN,27,6-11,210,Louisiana State,USA,Undrafted,Undrafted,Undrafted,30,117,60,8,-4,7.6,13.7,16.5,65.0,4.2,2013
Chris Johnson,MEM,23,6-6,201,Dayton,USA,Undrafted,Undrafted,Undrafted,8,29,11,2,19,4.6,6.2,12.1,56.0,2.5,2013
Chris Kaman,DAL,31,7-0,265,Central Michigan,USA,2003,1,6,66,693,372,51,-5,7.5,20.3,25.1,52.9,6.6,2013
Chris Paul,LAC,28,6-0,175,Wake Forest,USA,2005,1,4,70,1186,262,678,10,2.4,9.6,22.3,59.4,44.3,2013
Chris Quinn,CLE,29,6-2,175,Notre Dame,USA,Undrafted,Undrafted,Undrafted,7,10,2,9,8,1.3,1.5,13.1,29.6,15.5,2013
Chris Singleton,WAS,23,6-8,230,Florida State,USA,2011,1,18,57,231,184,37,-4,5.4,14.6,15.4,42.5,6.5,2013
Chris Wilcox,BOS,30,6-10,235,Maryland,USA,2002,1,8,61,259,180,22,-2,7.2,14.1,11.7,72.5,4.1,2013
Chris Wright,DAL,23,6-1,210,Georgetown,USA,Undrafted,Undrafted,Undrafted,3,2,0,0,-81,0.0,0.0,20.0,50.0,0.0,2013
Chuck Hayes,SAC,30,6-6,250,Kentucky,USA,Undrafted,Undrafted,Undrafted,74,198,299,112,-1,9.1,15.6,9.3,46.9,13.5,2013
Cole Aldrich,SAC,24,6-11,240,Kansas,USA,2010,1,11,45,100,120,9,2,7.5,22.0,12.1,56.3,3.2,2013
Corey Brewer,DEN,27,6-9,188,Florida,USA,2007,1,7,82,990,235,124,4,2.7,8.4,22.8,50.6,9.7,2013
Corey Maggette,DET,33,6-6,225,Duke,USA,1999,1,13,18,95,25,19,-4,1.8,7.9,19.7,48.9,12.1,2013
Cory Higgins,CHA,24,6-5,180,Colorado,USA,Undrafted,Undrafted,Undrafted,6,14,3,5,-13,3.2,5.7,27.4,35.2,27.8,2013
Cory Joseph,SAS,21,6-3,185,Texas,Canada,2011,1,29,28,126,52,53,0,3.1,10.2,15.7,52.8,19.9,2013
Courtney Lee,BOS,27,6-5,200,Western Kentucky,USA,2008,1,22,78,612,190,143,-2,1.8,8.4,15.5,54.5,11.6,2013
D.J. Augustin,IND,25,6-0,183,Texas-Austin,USA,2008,1,9,76,356,91,170,-3,1.6,5.7,14.4,52.7,24.2,2013
DJ White,BOS,26,6-9,250,Indiana,USA,2008,1,29,12,29,13,4,15,5.3,10.0,15.8,53.8,7.0,2013
DaJuan Summers,LAC,25,6-8,240,Georgetown,USA,2009,2,35,2,2,2,1,0,0.0,33.3,28.6,25.0,25.0,2013
Daequan Cook,CHI,26,6-5,210,Ohio State,USA,2007,1,21,49,137,61,19,-5,1.5,12.9,18.1,39.8,7.2,2013
Dahntay Jones,ATL,32,6-6,225,Duke,USA,2003,1,20,78,262,101,48,-4,2.4,7.2,13.5,48.2,7.0,2013
Damian Lillard,POR,22,6-3,195,Weber State,USA,2012,1,6,82,1562,257,531,-2,1.4,7.0,23.7,54.6,28.0,2013
Damien Wilkins,PHI,33,6-6,225,Georgia,USA,Undrafted,Undrafted,Undrafted,61,388,105,91,-5,2.9,6.9,17.1,53.3,13.4,2013
Damion James,BKN,25,6-7,225,Texas-Austin,USA,2010,1,24,2,0,1,0,-25,0.0,33.3,0.0,0.0,0.0,2013
Daniel Gibson,CLE,27,6-2,200,Texas,USA,2006,2,42,46,250,60,82,-12,0.5,6.7,14.0,47.5,14.7,2013
Daniel Orton,OKC,22,6-10,255,Kentucky,USA,2010,1,29,13,33,26,4,-7,11.3,12.1,15.6,49.3,6.2,2013
Danilo Gallinari,DEN,24,6-10,225,None,Italy,2008,1,6,71,1149,367,176,7,2.8,13.0,21.0,56.1,11.3,2013
Danny Granger,IND,30,6-8,228,New Mexico,USA,2005,1,17,5,27,9,3,-10,4.3,8.1,26.2,35.0,7.9,2013
Danny Green,SAS,26,6-6,210,North Carolina,USA,2009,2,46,80,838,244,141,8,1.8,9.2,16.4,60.0,9.5,2013
Dante Cunningham,MIN,26,6-8,230,Villanova,USA,2009,2,33,80,695,408,67,-2,6.9,13.9,17.0,48.5,5.6,2013
Darius Johnson-Odom,LAL,23,6-2,215,Marquette,USA,2012,2,55,4,0,4,1,-56,8.3,20.0,22.2,0.0,33.3,2013
Darius Miller,NOH,23,6-8,235,Kentucky,USA,2012,2,46,52,118,78,44,-4,1.2,11.1,8.9,52.9,10.0,2013
Darius Morris,LAL,22,6-4,190,Michigan,USA,2011,2,41,48,194,57,76,0,3.4,4.5,15.6,47.5,17.5,2013
Darko Milicic,BOS,28,7-0,275,None,Serbia,2003,1,2,1,0,1,0,-30,0.0,25.0,23.1,0.0,0.0,2013
Darrell Arthur,MEM,25,6-9,235,Kansas,USA,2008,1,27,59,362,169,33,-5,7.0,11.0,19.6,47.7,6.0,2013
Darren Collison,DAL,25,6-0,175,UCLA,USA,2009,1,21,81,972,219,415,-2,1.4,7.8,19.0,57.5,26.4,2013
David Lee,GSW,30,6-9,240,Florida,USA,2005,1,30,79,1459,886,279,3,7.8,22.1,23.0,56.1,15.8,2013
David West,IND,32,6-9,250,Xavier,USA,2003,1,18,73,1250,563,213,8,6.2,16.7,24.3,54.5,15.7,2013
DeAndre Jordan,LAC,24,6-11,265,Texas A&M,USA,2008,2,35,82,724,594,28,8,11.4,20.7,15.8,60.6,2.0,2013
DeAndre Liggins,OKC,25,6-6,209,Kentucky,USA,2011,2,53,39,58,53,15,-5,4.5,13.8,10.4,52.8,7.7,2013
DeJuan Blair,SAS,24,6-7,270,Pittsburgh,USA,2009,2,37,61,328,230,45,-1,8.2,19.2,18.3,54.3,8.4,2013
DeMar DeRozan,TOR,23,6-7,216,Southern California,USA,2009,1,9,82,1485,320,204,-2,1.6,9.5,23.8,52.3,12.0,2013
DeMarcus Cousins,SAC,22,6-11,270,Kentucky,USA,2010,1,5,75,1280,746,199,-6,9.7,24.5,27.8,52.4,15.4,2013
DeMarre Carroll,UTA,26,6-8,212,Missouri,USA,2009,1,27,66,393,188,61,6,8.1,9.6,15.8,53.5,8.5,2013
DeQuan Jones,ORL,23,6-8,221,Miami,USA,Undrafted,Undrafted,Undrafted,63,233,105,16,-11,2.0,11.0,14.6,48.5,3.0,2013
DeSagana Diop,CHA,31,7-0,280,None,Senegal,2001,1,8,22,16,51,13,-7,4.4,16.7,6.9,29.2,8.7,2013
DeShawn Stevenson,ATL,32,6-5,218,None,USA,2000,1,23,56,284,122,52,-2,1.6,9.2,11.6,52.2,6.3,2013
Derek Fisher,OKC,38,6-1,210,Arkansas-Little Rock,USA,1996,1,24,33,175,37,47,6,0.4,6.1,16.4,49.2,11.7,2013
Deron Williams,BKN,29,6-3,209,Illinois,USA,2005,1,3,78,1476,232,604,3,1.0,7.6,23.8,57.4,36.4,2013
Derrick Favors,UTA,21,6-10,248,Georgia Tech,USA,2010,1,3,77,727,546,75,0,10.3,21.0,20.1,53.3,7.1,2013
Derrick Williams,MIN,22,6-8,241,Arizona,USA,2011,1,2,78,933,430,46,-5,5.0,18.3,23.4,51.5,4.4,2013
Devin Ebanks,LAL,23,6-9,215,West Virginia,USA,2010,2,43,19,65,41,10,-6,4.5,14.4,19.4,41.1,9.4,2013
Devin Harris,ATL,30,6-3,192,Wisconsin,USA,2004,1,5,58,577,116,197,6,0.4,7.6,19.1,56.5,21.5,2013
Dexter Pittman,MEM,25,6-11,285,Texas-Austin,USA,2010,2,32,11,8,12,0,-43,20.6,15.6,19.0,32.5,0.0,2013
Diante Garrett,PHX,24,6-4,190,Iowa State,USA,Undrafted,Undrafted,Undrafted,19,40,15,31,-14,3.0,6.8,19.6,37.5,35.2,2013
Dion Waiters,CLE,21,6-4,215,Syracuse,USA,2012,1,4,61,894,149,183,-4,1.2,8.1,25.8,49.2,17.8,2013
Dirk Nowitzki,DAL,35,7-0,245,None,Germany,1998,1,9,53,917,363,132,1,2.3,19.9,24.0,56.4,13.2,2013
Dominic McGuire,IND,27,6-9,235,Fresno State,USA,2007,2,47,26,51,78,20,-12,5.1,16.5,8.8,42.2,8.0,2013
Dominique Jones,DAL,24,6-5,215,South Florida,USA,2010,1,25,29,116,45,83,-2,5.3,7.5,22.7,43.8,40.3,2013
Donald Sloan,NOH,25,6-3,205,Texas A&M,USA,Undrafted,Undrafted,Undrafted,23,81,28,38,-13,1.0,9.8,17.1,45.5,28.4,2013
Donatas Motiejunas,HOU,22,7-0,222,None,Lithuania,2011,1,20,44,250,93,31,4,6.9,10.5,22.0,53.1,9.1,2013
Dorell Wright,PHI,27,6-9,205,None,USA,2004,1,19,79,729,302,150,-6,2.2,15.2,18.1,55.1,13.8,2013
Doron Lamb,ORL,21,6-4,210,Kentucky,USA,2012,2,42,47,154,46,32,-7,1.3,6.7,15.2,43.3,8.5,2013
Draymond Green,GSW,23,6-7,230,Michigan State,USA,2012,2,35,79,227,260,53,-1,5.5,17.8,13.5,40.4,7.6,2013
Drew Gooden,MIL,31,6-10,250,Kansas,USA,2002,1,4,16,52,31,6,-5,7.6,11.8,21.3,38.2,6.5,2013
Dwight Howard,LAL,27,6-11,265,None,USA,2004,1,1,76,1296,945,108,3,9.4,24.4,22.3,57.3,6.8,2013
Dwyane Wade,MIA,31,6-4,220,Marquette,USA,2003,1,5,69,1463,344,352,12,4.2,11.2,28.8,57.1,24.8,2013
E'Twaun Moore,ORL,24,6-4,191,Purdue,USA,2011,2,55,75,588,167,206,-9,2.8,7.2,19.2,47.1,19.5,2013
Earl Barron,NYK,31,7-0,250,Memphis,USA,Undrafted,Undrafted,Undrafted,12,39,61,5,-6,11.1,26.0,17.3,36.1,5.4,2013
Earl Clark,LAL,25,6-10,225,Louisville,USA,2009,1,14,59,428,325,65,-4,6.1,17.2,15.4,51.0,7.3,2013
Earl Watson,UTA,34,6-1,199,UCLA,USA,2001,2,39,48,96,87,190,-3,2.8,8.6,10.4,36.6,32.6,2013
Ed Davis,MEM,24,6-10,232,North Carolina,USA,2010,1,13,81,623,460,63,0,9.7,20.1,17.5,56.1,6.6,2013
Eddy Curry,DAL,30,7-0,295,None,USA,2001,1,4,2,9,4,0,11,8.7,6.7,22.8,46.1,0.0,2013
Ekpe Udoh,MIL,26,6-10,245,Baylor,USA,2010,1,6,76,323,251,43,-2,8.1,10.5,12.1,50.3,4.9,2013
Elton Brand,DAL,34,6-9,254,Duke,USA,1999,1,1,72,518,430,70,-2,8.8,18.9,16.7,49.9,7.2,2013
Emeka Okafor,WAS,30,6-10,255,Connecticut,USA,2004,1,2,79,765,692,93,-1,9.5,23.9,19.3,49.6,7.7,2013
Enes Freedom,UTA,21,6-11,267,None,Turkey,2011,1,3,70,506,304,31,5,12.5,15.5,20.6,58.8,5.0,2013
Eric Bledsoe,LAC,23,6-1,195,Kentucky,USA,2010,1,18,76,643,225,233,4,5.3,9.4,21.9,51.3,24.9,2013
Eric Gordon,NOH,24,6-3,215,Indiana,USA,2008,1,7,42,713,77,137,-2,0.8,5.8,28.1,52.3,18.3,2013
Eric Maynor,POR,26,6-3,175,Virginia Commonwealth,USA,2009,1,20,64,291,46,182,-3,1.0,4.0,18.1,47.2,29.5,2013
Ersan Ilyasova,MIL,26,6-10,235,None,Turkey,2005,2,36,73,962,520,117,0,7.2,18.5,20.2,55.2,9.2,2013
Evan Fournier,DEN,20,6-6,200,None,France,2012,1,20,38,202,35,44,7,1.4,6.0,19.8,59.7,15.3,2013
